Fecha;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;3;3;0.1;2;5;18;7;42
02/01/2015;3;3;0.1;5;12;23;19;35
03/01/2015;5;3;0.1;6;14;26;23;31
04/01/2015;4;3;0.2;2;8;18;10;41
05/01/2015;6;3;0.2;5;10;29;18;31
06/01/2015;7;3;0.2;2;5;26;7;42
07/01/2015;5;3;0.1;6;12;30;21;28
08/01/2015;15;4;0.2;11;14;44;31;22
09/01/2015;11;5;0.3;17;23;58;49;15
10/01/2015;10;7;0.2;10;21;63;37;21
11/01/2015;5;5;0.2;3;11;24;14;39
12/01/2015;6;4;0.2;12;14;38;31;32
13/01/2015;8;7;0.4;14;20;51;41;16
14/01/2015;7;6;0.1;10;18;38;33;28
15/01/2015;7;7;0.2;14;17;;39;30
16/01/2015;4;5;0.1;6;11;;20;52
17/01/2015;3;5;0.1;2;9;;11;53
18/01/2015;6;6;0.1;3;11;;15;44
19/01/2015;;3;0.2;8;7;;18;39
20/01/2015;6;9;0.2;17;14;30;40;28
21/01/2015;5;12;0.2;20;14;31;45;30
22/01/2015;2;8;0.3;15;12;23;34;42
23/01/2015;3;4;0.2;13;12;18;31;51
24/01/2015;;8;0.2;12;11;;29;51
25/01/2015;;8;0.2;11;10;;25;57
26/01/2015;;8;0.2;15;16;;39;36
27/01/2015;;9;0.3;16;13;;37;43
28/01/2015;;11;0.3;17;17;31;43;36
29/01/2015;;13;0.2;9;8;26;22;54
30/01/2015;;10;0.3;3;7;22;11;50
31/01/2015;;10;0.5;2;6;11;7;67
01/02/2015;;10;0.4;2;5;8;6;74
02/02/2015;;;0.3;4;10;20;16;45
03/02/2015;;;0.3;5;12;32;19;44
04/02/2015;;;0.2;2;7;11;9;58
05/02/2015;8;7;0.2;6;10;29;18;54
06/02/2015;4;5;0.1;6;10;15;18;56
07/02/2015;7;4;0.2;4;9;19;15;30
08/02/2015;9;5;0.4;5;13;29;19;37
09/02/2015;10;7;0.1;12;15;39;32;44
