Fecha;Hora;SO2;NO;NO2;CO;O3;PM10;BEN;TOL;XIL
01/01/2014;1:00:00;4;8;10.2;0.37;1.3;50;1.29;0.38;0.07
01/01/2014;2:00:00;3.9;7.3;9.6;0.34;1.5;31;0.79;0.47;0.22
01/01/2014;3:00:00;4.1;10.1;10.7;0.35;3;42;0.82;0.37;0.02
01/01/2014;4:00:00;3.8;5.9;10.4;0.34;2;37;0.77;0.31;0.02
01/01/2014;5:00:00;3.7;4.3;9;0.33;2.1;40;0.73;0.18;0.02
01/01/2014;6:00:00;3.8;5.3;7.7;0.31;1.7;42;0.69;0.16;0.02
01/01/2014;7:00:00;3.9;8.5;8.3;0.3;4;39;0.75;0.28;0.02
01/01/2014;8:00:00;4;8.7;8.3;0.3;2.4;39;0.81;0.33;0.02
01/01/2014;9:00:00;4;9.5;6.6;0.27;2.4;39;0.93;0.53;0.14
01/01/2014;10:00:00;3.8;8.4;7.1;0.27;3.3;35;0.62;0.51;0.09
01/01/2014;11:00:00;3.8;6.6;7.1;0.29;5.4;38;0.67;0.45;0.06
01/01/2014;12:00:00;3.3;2.8;5;0.29;11.3;29;0.4;0.21;0.07
01/01/2014;13:00:00;3.6;4;7.2;0.3;14.6;24;0.22;0.04;0.02
01/01/2014;14:00:00;3.8;4.7;8;0.34;30;24;0.25;0.02;0.02
01/01/2014;15:00:00;4;3.5;6.8;0.35;15.6;28;0.28;0.03;0.02
01/01/2014;16:00:00;3.9;1.8;4.4;0.36;15.7;22;0.08;0.02;0.02
01/01/2014;17:00:00;3.9;1.8;5.3;0.35;13.1;22;0.11;0.02;0.02
01/01/2014;18:00:00;4.4;9.3;9.4;0.37;4.8;28;0.24;0.1;0.02
01/01/2014;19:00:00;5;16.1;13.6;0.41;1.8;26;0.88;0.48;0.19
01/01/2014;20:00:00;5.3;23.2;15.4;0.41;1.9;36;1.21;0.51;0.06
01/01/2014;21:00:00;4.9;13.2;12.5;0.37;1.8;28;0.78;0.28;0.09
01/01/2014;22:00:00;4.9;24;14.4;0.43;2.5;34;0.96;0.42;0.1
01/01/2014;23:00:00;5.3;16.1;12.5;0.41;1.9;28;1.25;0.79;0.43
01/01/2014;0:00:00;4.4;8.2;11.1;0.37;1.9;30;0.67;0.25;0.06
02/01/2014;1:00:00;4.5;6.8;9.9;0.37;2.3;21;0.6;0.25;0.02
02/01/2014;2:00:00;4.4;6.8;9.6;0.37;1.4;32;0.6;0.31;0.02
02/01/2014;3:00:00;4.2;3.9;7.9;0.36;3;25;0.41;0.31;0.02
02/01/2014;4:00:00;4.4;5.8;6.9;0.36;4.2;21;0.32;0.22;0.02
02/01/2014;5:00:00;4;2.5;5.8;0.33;6.3;14;0.12;0.03;0.02
02/01/2014;6:00:00;4.4;9.4;8.8;0.36;1.5;21;0.31;0.22;0.02
02/01/2014;7:00:00;5.1;18.8;11.9;0.37;1.6;21;0.43;0.31;0.1
02/01/2014;8:00:00;5.7;29.1;13.4;0.43;1.6;26;1.36;1.05;0.73
02/01/2014;9:00:00;7.2;56.6;19.1;0.41;2.1;30;1.53;1.03;0.72
02/01/2014;10:00:00;6.6;45.8;19.7;0.37;2.4;33;1.5;1.25;0.7
02/01/2014;11:00:00;6.1;38.4;20.3;0.38;3.4;33;1.12;0.69;0.08
02/01/2014;12:00:00;5.3;18;15.9;0.37;7.5;32;1.94;1.04;0.19
02/01/2014;13:00:00;4.4;6.1;9.7;0.32;13.2;17;0.18;0.13;0.02
02/01/2014;14:00:00;4.2;3.6;7.6;0.35;22.7;21;0.16;0.09;0.02
02/01/2014;15:00:00;4.1;2.5;6.2;0.33;27.9;15;0.07;0.03;0.02
02/01/2014;16:00:00;4;3;8.6;0.33;22.1;16;0.09;0.23;0.04
02/01/2014;17:00:00;5;22.8;20.1;0.37;4.1;30;0.3;0.65;0.06
02/01/2014;18:00:00;6.3;40;23.3;0.41;2.3;36;0.95;0.79;0.26
02/01/2014;19:00:00;6.9;49;22.9;0.44;2.2;40;1.75;1.18;0.28
