Fecha;NO;NO2;PM10;PM25;SO2
01/01/2015;78;42;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
02/01/2015;111;50;38;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
03/01/2015;97;50;38;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
04/01/2015;40;37;28;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;4
05/01/2015;66;35;26;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
06/01/2015;30;27;24;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
07/01/2015;13;29;17;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
08/01/2015;17;26;10;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
09/01/2015;58;35;24;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
10/01/2015;47;27;24;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
11/01/2015;37;35;17;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
12/01/2015;48;34;20;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
13/01/2015;50;33;25;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;
14/01/2015;36;40;18;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
15/01/2015;16;23;9;9;3
16/01/2015;10;27;8;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
17/01/2015;13;32;14;16;2
18/01/2015;4;20;7;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
19/01/2015;15;32;7;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
20/01/2015;21;36;12;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
21/01/2015;18;36;7;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;4
22/01/2015;18;37;8;11;3
23/01/2015;50;42;18;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
24/01/2015;55;45;27;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
25/01/2015;30;26;27;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
26/01/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;28;29;2
27/01/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;29;28;2
28/01/2015;81;30;41;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
29/01/2015;20;27;12;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
30/01/2015;4;7;4;5;3
31/01/2015;4;10;3;4;3
01/02/2015;3;8;3;6;2
02/02/2015;16;26;7;9;3
03/02/2015;10;18;3;6;3
04/02/2015;13;23;6;8;4
05/02/2015;14;27;8;9;3
06/02/2015;16;30;8;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
07/02/2015;12;25;11;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
08/02/2015;4;11;14;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
09/02/2015;17;29;16;14;2
10/02/2015;51;52;25;25;3
11/02/2015;39;45;26;22;3
12/02/2015;29;40;22;20;2
13/02/2015;21;35;18;19;1
14/02/2015;10;22;11;9;1
15/02/2015;4;11;4;4;1
16/02/2015;11;23;7;8;1
17/02/2015;9;20;7;9;1
18/02/2015;12;27;10;11;1
19/02/2015;44;47;23;21;2
20/02/2015;17;34;17;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
21/02/2015;6;15;5;7;2
22/02/2015;4;9;2;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
23/02/2015;13;19;5;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
24/02/2015;8;18;5;7;1
25/02/2015;9;18;7;8;1
26/02/2015;11;19;6;8;1
27/02/2015;19;27;7;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
28/02/2015;7;17;8;9;1
01/03/2015;7;14;7;7;1
02/03/2015;11;18;8;9;1
03/03/2015;16;25;11;13;1
04/03/2015;7;16;7;8;1
05/03/2015;12;25;10;12;1
06/03/2015;64;55;25;24;2
07/03/2015;37;45;25;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
08/03/2015;14;31;18;21;2
09/03/2015;44;53;29;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
10/03/2015;51;44;32;31;3
11/03/2015;44;54;34;37;2
12/03/2015;20;33;40;36;2
13/03/2015;9;22;19;18;1
14/03/2015;8;16;11;12;1
15/03/2015;4;17;20;21;2
16/03/2015;22;34;26;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
17/03/2015;19;35;26;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
18/03/2015;7;18;11;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
19/03/2015;5;18;8;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
20/03/2015;6;18;20;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
21/03/2015;5;16;8;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
22/03/2015;3;11;7;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
23/03/2015;13;23;7;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
24/03/2015;7;25;4;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
25/03/2015;11;27;6;8;3
26/03/2015;8;23;9;10;2
27/03/2015;13;23;6;8;1
28/03/2015;10;21;12;14;1
29/03/2015;5;18;8;10;1
30/03/2015;7;21;10;11;1
31/03/2015;13;26;12;11;1
01/04/2015;10;19;14;11;1
02/04/2015;4;17;12;9;1
03/04/2015;6;18;10;11;2
04/04/2015;3;10;7;8;2
05/04/2015;3;12;7;8;2
06/04/2015;9;19;14;12;2
07/04/2015;10;22;18;10;3
08/04/2015;7;21;22;12;2
09/04/2015;12;26;24;15;2
10/04/2015;5;17;9;9;2
11/04/2015;7;23;9;9;2
12/04/2015;4;14;22;13;1
13/04/2015;7;21;35;17;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
14/04/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;39;16;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
15/04/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;34;15;5
