Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;CO;NO;NO2;NOX;O3
01/01/2015;1.9;268;10.5;72;1016;90;0;;3;0.1;3;7;11;40
02/01/2015;1.6;271;10.9;56;1018;101;0;;3;0.2;6;27;36;27
03/01/2015;1.6;279;13.2;45;1016;102;0;;3;0.1;4;16;21;39
04/01/2015;1.6;271;14.1;53;1013;100;0;;3;0.1;3;13;16;39
05/01/2015;1.9;255;11.3;77;1012;97;0;;3;0.1;4;15;21;28
06/01/2015;1.2;252;11.5;84;1008;82;0;;4;0.1;2;8;11;31
07/01/2015;2.3;266;11.1;80;1013;81;0;;3;0.1;4;12;18;27
08/01/2015;1.7;257;10.7;78;1019;97;0;;3;0.1;4;17;22;22
09/01/2015;1.4;269;11.5;67;1022;104;0;;4;0.1;9;29;43;19
10/01/2015;1.5;274;14.2;48;1014;107;0;;3;0.1;5;25;33;31
11/01/2015;1.8;268;13.5;52;1011;69;0;;4;0.2;4;13;19;36
12/01/2015;1.8;265;12.7;78;1015;100;0;;3;0.2;3;12;17;32
13/01/2015;1.2;261;13;72;1008;97;0;;3;0.1;4;25;30;20
14/01/2015;1.6;278;13.1;58;1007;104;0;;7;0.1;4;16;22;35
15/01/2015;;;14.3;48;;;0;;;;;;;41
16/01/2015;;;12.3;41;;;;;;;;;;57
17/01/2015;;;8.9;43;;;;;;;;;;57
18/01/2015;;;7.3;54;;;;;;;;;;45
19/01/2015;;;8;68;;;;;;;;;;40
20/01/2015;;;5.8;51;;;;;;;;;;44
21/01/2015;;;8;51;;;;;;;;;;50
22/01/2015;;;8;48;;;;;;;;;;56
23/01/2015;;;8.1;41;;;;;;;;;;56
24/01/2015;;;10;34;;;;;;;;;;60
25/01/2015;;;10.4;30;;;;;;;;;;62
26/01/2015;;;7.9;44;;;;;;;;;;49
27/01/2015;;;10.5;50;;;;8;;;;;;44
28/01/2015;;;9;51;;;;6;;;;;;51
29/01/2015;;;13.9;42;;;;5;;;;;;57
30/01/2015;;;16.7;52;;;;10;;;;;;53
31/01/2015;;;11.9;43;;;;2;;;;;;63
01/02/2015;;;8.9;31;;;;2;;;;;;71
02/02/2015;;;9.4;42;;;;2;;;;;;59
