Fecha;TMP;HR;PM25;SO2;NO;NO2;PM10;NOX;O3
01/01/2015;5.6;69.2;17;3;3;13;18;17;37
02/01/2015;7;73.9;14;3;5;19;15;26;35
03/01/2015;10;52.1;9;3;3;17;10;21;39
04/01/2015;11.3;49.4;12;3;5;16;13;23;45
05/01/2015;8.4;78;18;3;4;20;19;26;32
06/01/2015;8.6;74.3;22;3;4;12;23;18;37
07/01/2015;7.6;81.1;27;3;7;22;29;31;32
08/01/2015;6.4;83.6;29;3;9;21;31;34;26
09/01/2015;8.2;70.8;20;3;4;20;22;27;29
10/01/2015;11.3;54.7;9;3;3;13;11;16;39
11/01/2015;12.3;49.4;11;3;4;11;13;16;49
12/01/2015;8.2;74.9;13;3;6;23;18;31;31
13/01/2015;9.4;69.7;12;3;10;29;17;43;29
14/01/2015;10.8;62.7;13;3;10;24;18;38;37
15/01/2015;10.4;70.9;23;3;8;30;28;42;28
16/01/2015;9.7;63.2;10;3;4;15;14;20;48
17/01/2015;7.2;60.6;9;3;2;10;11;12;55
18/01/2015;5.7;69.3;14;3;2;10;16;13;44
19/01/2015;6.6;88.7;5;3;2;6;5;8;50
20/01/2015;5.2;65.4;6;3;2;13;9;16;52
21/01/2015;6.8;66.7;9;3;2;9;10;11;52
22/01/2015;7.6;63.3;6;3;2;5;6;8;65
23/01/2015;8.1;53.9;3;3;2;6;3;8;65
24/01/2015;7.2;52.5;5;3;2;5;5;7;59
25/01/2015;8.8;54.4;5;3;3;10;6;14;53
26/01/2015;5.3;66.5;11;3;7;21;15;31;32
27/01/2015;10.2;58.4;7;3;4;15;9;20;44
28/01/2015;9.5;61.7;6;3;3;15;8;18;49
29/01/2015;13.2;53.1;8;3;2;8;10;10;61
30/01/2015;18.3;52.4;2;3;2;4;10;6;63
31/01/2015;13;56.4;1;3;2;4;2;6;72
01/02/2015;8.1;49.8;1;3;2;4;2;6;77
02/02/2015;7.5;60.5;4;3;2;8;4;11;57
03/02/2015;10.3;62.6;2;3;2;6;2;9;65
04/02/2015;6.2;60.6;2;3;2;4;2;6;78
05/02/2015;5.2;49.2;3;3;2;4;5;6;72
06/02/2015;5.1;50.4;5;3;2;10;6;12;63
07/02/2015;3.6;62.9;9;3;2;10;10;12;48
08/02/2015;5.8;60.2;11;3;2;9;12;11;52
09/02/2015;4.7;76.8;14;3;7;16;16;26;43
10/02/2015;6.7;86.4;10;3;2;14;12;17;48
11/02/2015;9;81.7;13;3;4;16;17;21;46
12/02/2015;7.5;93.2;15;3;4;20;17;25;34
13/02/2015;9.9;78.4;13;3;4;14;16;19;45
14/02/2015;12.5;63;5;3;2;4;6;6;70
15/02/2015;13.3;67.1;3;3;2;4;3;6;58
16/02/2015;14.1;62.3;4;3;2;5;5;7;61
17/02/2015;10.1;78;3;3;2;6;4;8;66
18/02/2015;10.6;75.5;6;3;2;6;6;8;75
19/02/2015;9.9;69.9;11;3;2;6;12;8;82
20/02/2015;8.9;76.4;15;3;2;11;17;13;61
21/02/2015;9;72.2;8;3;2;8;9;10;58
22/02/2015;11.5;48.1;1;3;2;4;2;6;82
23/02/2015;14.5;56.8;5;3;2;5;6;7;62
24/02/2015;11.9;46.1;2;3;2;4;3;6;80
25/02/2015;11.8;51.4;2;3;2;4;3;6;73
26/02/2015;16.2;52.7;2;3;2;4;3;6;65
27/02/2015;14.1;47.1;3;3;2;11;5;13;61
28/02/2015;10.4;56.3;6;3;2;13;7;15;54
01/03/2015;16.5;54.9;6;3;2;4;7;6;59
02/03/2015;20.5;51.7;4;3;2;5;5;8;54
03/03/2015;16.7;65.2;13;3;3;16;17;20;41
04/03/2015;15;65.4;11;3;2;10;14;13;52
05/03/2015;10;40.3;3;3;2;11;8;13;73
06/03/2015;7.3;51.8;8;3;3;21;14;25;49
07/03/2015;11.1;53.3;11;3;2;20;19;23;64
08/03/2015;10.6;65.1;12;3;2;11;16;13;77
09/03/2015;12.2;73.6;18;3;3;16;24;19;65
10/03/2015;11.6;73.8;19;3;3;22;24;26;61
11/03/2015;14.8;59.7;14;3;3;21;21;24;65
12/03/2015;17.1;43.4;12;3;3;19;21;22;73
13/03/2015;12.9;68.7;29;3;2;11;33;13;96
14/03/2015;9.1;86.5;18;3;2;10;20;12;56
15/03/2015;8.9;77.9;12;3;2;6;13;7;68
16/03/2015;9.9;71.8;11;3;2;5;12;7;77
17/03/2015;8.1;80.4;12;3;3;8;14;11;68
18/03/2015;10.5;88.8;7;3;2;11;9;13;68
19/03/2015;13.5;79.2;7;3;2;5;10;7;82
20/03/2015;13.7;75.8;5;3;2;4;7;6;91
21/03/2015;12.8;85.2;11;3;2;6;12;8;73
24/03/2015;12.4;92.9;9;3;2;9;11;12;65
25/03/2015;10.1;69.9;2;3;2;6;2;8;79
26/03/2015;11.4;51.8;2;3;2;5;3;7;79
27/03/2015;18.4;53.7;2;3;2;7;2;10;59
28/03/2015;17.6;58.1;3;3;2;8;4;10;56
29/03/2015;18.4;53.9;5;3;2;8;6;10;60
30/03/2015;22.2;40.8;2;3;2;7;4;8;77
31/03/2015;20.9;49.2;4;3;2;9;7;11;71
01/04/2015;15.4;67;6;3;3;10;9;14;62
02/04/2015;13.3;77.7;9;3;3;12;12;15;57
03/04/2015;14.8;77.6;11;3;2;10;13;11;61
04/04/2015;14;77.2;11;3;2;6;12;8;65
05/04/2015;14.5;77;10;3;2;4;12;6;71
06/04/2015;12.1;76.6;6;3;2;5;8;7;76
07/04/2015;12.6;62.2;4;3;2;5;6;7;93
08/04/2015;11.9;60.3;5;3;2;6;10;8;96
09/04/2015;12.5;68.8;8;3;2;5;11;7;78
10/04/2015;12.4;75.3;11;3;2;6;14;9;77
11/04/2015;13.1;74.4;14;3;2;6;17;8;81
12/04/2015;14.5;70.8;14;3;2;5;18;7;80
13/04/2015;15.2;59.9;12;3;2;7;22;9;79
14/04/2015;15;53.2;12;3;2;7;22;9;78
