Fecha;NO;NO2;O3;PM10;SO2
01/01/2014;2;7;71;;2
02/01/2014;2;4;73;;2
03/01/2014;2;5;74;;2
04/01/2014;2;8;77;;2
05/01/2014;2;3;69;;2
06/01/2014;2;5;70;;2
07/01/2014;2;6;66;;2
08/01/2014;2;4;71;;2
09/01/2014;2;9;64;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
10/01/2014;2;9;39;14;2
11/01/2014;2;9;32;12;2
12/01/2014;2;7;48;11;2
13/01/2014;2;7;65;4;2
14/01/2014;2;16;58;7;2
15/01/2014;2;7;57;6;2
16/01/2014;2;7;75;5;2
17/01/2014;2;3;70;6;2
18/01/2014;2;5;69;9;2
19/01/2014;2;16;68;7;2
20/01/2014;2;26;72;6;2
21/01/2014;2;7;60;12;2
22/01/2014;2;21;65;7;2
23/01/2014;2;24;75;9;2
24/01/2014;2;28;66;12;2
25/01/2014;4;26;52;6;2
26/01/2014;2;12;47;8;2
27/01/2014;2;29;72;6;2
28/01/2014;2;16;73;5;2
29/01/2014;2;19;70;6;2
30/01/2014;2;22;70;6;2
31/01/2014;2;11;71;7;2
01/02/2014;2;20;71;9;2
02/02/2014;2;7;68;7;2
03/02/2014;2;6;73;8;2
04/02/2014;2;4;74;6;2
05/02/2014;2;10;77;9;2
06/02/2014;2;10;67;6;3
07/02/2014;2;8;70;7;3
08/02/2014;2;18;74;7;3
09/02/2014;2;5;74;8;6
10/02/2014;2;33;74;10;2
11/02/2014;2;10;71;10;2
12/02/2014;2;6;70;9;2
13/02/2014;2;18;77;9;2
14/02/2014;2;15;61;7;2
15/02/2014;2;9;71;7;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
16/02/2014;2;7;62;9;2
17/02/2014;2;5;76;11;2
18/02/2014;3;23;61;9;2
19/02/2014;2;18;61;12;2
20/02/2014;2;13;49;7;2
21/02/2014;2;26;69;10;3
22/02/2014;2;7;67;11;4
23/02/2014;2;5;74;13;2
24/02/2014;2;6;77;12;2
25/02/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
26/02/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
27/02/2014;2;19;62;11;2
28/02/2014;2;28;69;7;2
01/03/2014;2;13;61;7;2
02/03/2014;3;18;49;5;2
03/03/2014;2;28;74;9;2
04/03/2014;2;22;69;8;2
05/03/2014;3;33;63;12;2
06/03/2014;2;9;53;9;2
07/03/2014;2;2;65;;2
08/03/2014;2;2;61;;2
09/03/2014;2;3;72;;2
