Fecha;NO;NO2;NOX;O3;dd;vv
01/10/2015;10;34;30;77;289;0.73
30/09/2015;7;27;24;66;86;0.86
29/09/2015;13;34;34;65;314;0.44
28/09/2015;12;37;36;67;57;0.45
27/09/2015;5;15;16;61;350;0.45
26/09/2015;7;23;21;59;36;0.93
25/09/2015;13;30;32;60;42;0.75
24/09/2015;8;30;23;57;54;0.75
23/09/2015;5;28;20;46;259;0.25
22/09/2015;5;31;19;57;286;1.29
21/09/2015;10;29;28;75;292;0.52
20/09/2015;4;17;14;67;58;0.58
19/09/2015;6;20;17;68;33;0.66
18/09/2015;11;34;36;67;293;0.16
17/09/2015;10;49;31;50;242;1.16
16/09/2015;4;24;12;61;217;3.83
15/09/2015;12;35;32;53;159;1.93
14/09/2015;7;39;24;58;292;0.45
13/09/2015;4;16;14;57;227;1.2
12/09/2015;4;21;15;52;18;0.6
11/09/2015;12;33;32;76;285;0.63
10/09/2015;5;19;17;65;347;0.5
09/09/2015;13;40;37;74;296;0.34
08/09/2015;9;30;26;75;45;0.75
07/09/2015;9;35;24;65;34;0.81
06/09/2015;4;13;13;75;53;0.97
05/09/2015;4;18;14;59;34;0.54
04/09/2015;4;17;14;55;303;0.34
03/09/2015;5;28;19;60;317;0.66
02/09/2015;7;24;19;64;4;0.54
01/09/2015;6;36;21;55;310;0.71
31/08/2015;6;27;18;63;302;0.71
30/08/2015;4;10;10;75;151;1.19
29/08/2015;5;26;18;65;260;0.67
28/08/2015;7;22;20;50;292;0.98
27/08/2015;9;35;30;51;198;0.6
26/08/2015;6;18;21;72;230;0.35
25/08/2015;5;17;17;62;57;0.99
24/08/2015;6;33;16;60;302;0.8
23/08/2015;4;15;11;59;207;1.63
22/08/2015;4;13;13;56;295;0.77
21/08/2015;8;33;24;85;294;0.86
20/08/2015;8;26;25;76;344;0.37
19/08/2015;6;21;17;60;38;0.83
18/08/2015;7;25;19;61;11;0.57
17/08/2015;5;19;15;65;6;0.48
16/08/2015;6;14;18;47;34;0.38
15/08/2015;4;13;12;48;342;0.49
14/08/2015;4;21;13;64;284;1.53
13/08/2015;5;31;16;64;286;1.24
12/08/2015;7;28;24;75;297;0.85
11/08/2015;7;28;21;92;293;0.95
10/08/2015;9;28;24;90;56;1.33
09/08/2015;4;21;13;61;4;0.58
08/08/2015;4;15;13;58;318;0.64
07/08/2015;3;24;14;53;296;0.72
06/08/2015;11;37;31;66;30;0.68
05/08/2015;10;20;25;68;297;0.47
04/08/2015;5;24;17;46;325;0.55
03/08/2015;5;26;16;76;319;0.61
02/08/2015;4;14;14;105;182;0.22
01/08/2015;4;15;12;85;43;1.07
31/07/2015;4;20;14;72;354;0.28
30/07/2015;4;30;15;63;34;0.8
29/07/2015;9;36;26;56;24;0.41
28/07/2015;4;18;15;61;5;0.52
27/07/2015;4;19;16;52;294;0.6
26/07/2015;4;21;14;72;346;0.64
25/07/2015;3;14;11;70;343;0.67
