Fecha;Hora;PM10 ;dd;vv;TMP;HR;PRB;RS;LL
01/01/2014;0:00:00;24;218;3.5;12.5;84;1024;0;0.0
01/01/2014;1:00:00;24;222;3.0;12.5;85;1024;0;0.0
01/01/2014;2:00:00;25;215;3.6;12.3;84;1023;0;0.0
01/01/2014;3:00:00;29;217;3.4;12.1;85;1023;0;0.0
01/01/2014;4:00:00;26;218;3.2;12.5;85;1023;0;0.0
01/01/2014;5:00:00;25;219;3.5;12.4;84;1023;0;0.0
01/01/2014;6:00:00;25;221;3.6;12.2;84;1022;0;0.0
01/01/2014;7:00:00;19;225;3.5;12.5;82;1023;0;0.0
01/01/2014;8:00:00;24;226;3.2;12.5;83;1024;23;0.0
01/01/2014;9:00:00;18;214;2.8;13.4;79;1024;164;0.0
01/01/2014;10:00:00;20;124;1.3;16.1;74;1025;298;0.0
01/01/2014;11:00:00;22;63;2.5;16.2;74;1025;415;0.0
01/01/2014;12:00:00;23;66;2.2;15.9;76;1024;265;0.0
01/01/2014;13:00:00;15;69;2.3;15.4;78;1024;228;0.0
01/01/2014;14:00:00;20;53;2.0;15.2;80;1023;157;0.0
01/01/2014;15:00:00;13;86;1.8;15.2;80;1022;152;0.0
01/01/2014;16:00:00;12;67;1.7;15.0;81;1023;91;0.0
01/01/2014;17:00:00;12;129;1.3;14.5;83;1023;33;0.0
01/01/2014;18:00:00;11;220;2.8;12.8;83;1023;2;0.0
01/01/2014;19:00:00;8;232;2.5;12.5;78;1023;0;0.0
01/01/2014;20:00:00;8;235;2.2;12.6;74;1024;0;0.0
01/01/2014;21:00:00;6;229;2.2;12.5;80;1024;0;0.0
01/01/2014;22:00:00;6;217;3.2;12.0;86;1024;0;0.0
01/01/2014;23:00:00;7;211;3.2;11.8;83;1024;0;0.0
02/01/2014;0:00:00;5;212;3.4;12.0;80;1023;0;0.0
02/01/2014;1:00:00;6;212;2.9;12.3;83;1023;0;0.0
02/01/2014;2:00:00;7;213;2.9;12.9;83;1022;0;0.0
02/01/2014;3:00:00;5;213;2.3;12.2;88;1022;0;0.0
02/01/2014;4:00:00;6;213;2.5;11.8;87;1022;0;0.0
02/01/2014;5:00:00;8;217;2.8;11.9;87;1022;0;0.0
02/01/2014;6:00:00;7;215;2.7;11.8;87;1022;0;0.0
02/01/2014;7:00:00;5;217;3.1;11.8;84;1022;0;0.0
02/01/2014;8:00:00;6;216;2.5;12.5;86;1023;48;0.0
02/01/2014;9:00:00;6;192;1.8;13.9;82;1024;177;0.0
02/01/2014;10:00:00;6;125;1.6;15.9;81;1024;296;0.0
02/01/2014;11:00:00;5;112;1.9;16.4;80;1024;381;0.0
02/01/2014;12:00:00;6;101;2.2;16.4;80;1024;438;0.0
02/01/2014;13:00:00;6;100;2.0;16.6;80;1023;446;0.0
02/01/2014;14:00:00;7;87;2.1;16.6;80;1022;408;0.0
02/01/2014;15:00:00;8;113;1.7;16.8;79;1022;333;0.0
02/01/2014;16:00:00;8;117;1.5;16.4;80;1022;224;0.0
02/01/2014;17:00:00;6;145;1.2;15.0;85;1023;41;0.0
02/01/2014;18:00:00;5;212;1.8;13.5;90;1023;2;0.0
02/01/2014;19:00:00;6;215;2.1;13.3;90;1024;0;0.0
02/01/2014;20:00:00;7;216;2.7;13.2;90;1024;0;0.0
02/01/2014;21:00:00;6;217;2.7;13.2;91;1024;0;0.0
02/01/2014;22:00:00;5;215;2.8;13.1;90;1024;0;0.0
