Fecha;BEN;CO;NO;NO2;NOX;O3;PM10;PM25;SO2;TOL
01/07/2015;null(null);0.11;1.2;2.0;2.3;56.0;5.1;null(null);1.0;null(null)
02/07/2015;null(null);0.1;1.3;1.8;2.1;63.0;2.0;null(null);1.0;null(null)
03/07/2015;null(null);0.1;1.1;1.7;2.1;86.0;4.7;null(null);1.0;null(null)
04/07/2015;null(null);0.14;1.2;2.2;2.4;58.0;1.8;null(null);1.0;null(null)
05/07/2015;null(null);0.18;1.3;2.8;3.1;61.0;3.5;null(null);1.0;null(null)
06/07/2015;null(null);0.11;1.3;2.1;2.3;92.0;6.8;null(null);1.0;null(null)
07/07/2015;null(null);0.1;1.2;2.1;2.2;71.0;9.9;null(null);1.0;null(null)
10/07/2015;null(null);0.15;1.9;2.0;2.8;98.0;18.0;null(null);1.0;null(null)
11/07/2015;null(null);0.23;1.8;2.4;2.9;61.0;3.9;null(null);1.0;null(null)
12/07/2015;null(null);0.15;1.8;2.0;2.7;76.0;3.0;null(null);1.0;null(null)
13/07/2015;null(null);0.4;1.8;2.7;3.1;102.0;6.8;null(null);1.0;null(null)
14/07/2015;null(null);0.2;1.6;5.5;5.5;108.0;8.8;null(null);1.0;null(null)
15/07/2015;null(null);0.31;1.7;6.5;6.5;107.0;9.6;null(null);1.0;null(null)
16/07/2015;null(null);0.49;1.8;6.9;7.0;82.0;11.0;null(null);1.0;null(null)
17/07/2015;null(null);0.21;1.8;3.4;3.8;62.0;3.3;null(null);1.0;null(null)
18/07/2015;null(null);0.26;1.8;2.7;2.9;59.0;3.6;null(null);1.0;null(null)
19/07/2015;null(null);0.26;1.8;1.9;2.4;54.0;2.4;null(null);1.0;null(null)
20/07/2015;null(null);0.37;1.8;2.0;2.4;50.0;1.7;null(null);1.0;null(null)
21/07/2015;null(null);0.18;1.7;1.9;2.3;46.0;3.7;null(null);1.0;null(null)
22/07/2015;null(null);0.13;1.8;2.0;2.6;69.0;4.0;null(null);1.0;null(null)
23/07/2015;null(null);0.17;1.9;2.0;2.3;83.0;3.7;null(null);1.0;null(null)
24/07/2015;null(null);0.14;1.8;2.0;2.6;52.0;1.8;null(null);1.0;null(null)
25/07/2015;null(null);0.31;1.9;1.8;2.4;73.0;4.4;null(null);1.0;null(null)
26/07/2015;null(null);0.3;1.7;2.0;2.5;53.0;3.3;null(null);1.0;null(null)
27/07/2015;null(null);0.2;1.6;2.0;2.3;68.0;4.5;null(null);1.0;null(null)
28/07/2015;null(null);0.15;1.9;2.0;2.5;51.0;4.4;null(null);1.0;null(null)
29/07/2015;null(null);0.18;1.8;2.1;2.6;49.0;1.2;null(null);1.0;null(null)
30/07/2015;null(null);0.12;1.7;2.0;2.5;46.0;2.0;null(null);1.3;null(null)
31/07/2015;null(null);0.12;1.8;2.0;2.5;55.0;null(null);null(null);null(null);null(null)
01/08/2015;null(null);0.26;1.8;1.9;2.3;78.0;2.1;null(null);1.0;null(null)
02/08/2015;null(null);0.59;1.9;1.9;2.4;109.0;3.4;null(null);1.1;null(null)
03/08/2015;null(null);0.41;1.9;2.1;2.8;79.0;2.2;null(null);1.0;null(null)
04/08/2015;null(null);0.15;1.9;2.0;2.5;66.0;3.6;null(null);1.0;null(null)
05/08/2015;null(null);0.1;1.9;1.9;2.4;75.0;5.6;null(null);1.0;null(null)
06/08/2015;null(null);0.1;1.8;2.0;2.5;58.0;3.5;null(null);1.0;null(null)
07/08/2015;null(null);0.1;1.9;2.0;2.4;68.0;4.5;null(null);1.0;null(null)
08/08/2015;null(null);0.14;1.9;2.0;2.6;67.0;8.0;null(null);1.0;null(null)
09/08/2015;null(null);0.15;1.8;2.0;2.6;82.0;5.1;null(null);1.0;null(null)
10/08/2015;null(null);0.11;1.9;2.0;2.5;115.0;17.0;null(null);1.0;null(null)
11/08/2015;null(null);0.11;1.8;2.0;2.6;113.0;35.0;null(null);1.1;null(null)
12/08/2015;null(null);0.1;1.9;1.9;2.4;72.0;17.0;null(null);1.0;null(null)
13/08/2015;null(null);0.14;1.9;2.1;2.7;46.0;1.1;null(null);1.0;null(null)
14/08/2015;null(null);0.14;1.9;2.1;2.5;46.0;1.5;null(null);1.0;null(null)
15/08/2015;null(null);0.12;1.8;2.0;2.6;42.0;1.9;null(null);1.0;null(null)
16/08/2015;null(null);0.1;2.0;2.0;2.5;38.0;1.0;null(null);1.0;null(null)
17/08/2015;null(null);0.45;1.8;2.0;2.5;50.0;3.5;null(null);1.0;null(null)
18/08/2015;null(null);0.2;1.8;2.0;2.5;54.0;2.1;null(null);1.0;null(null)
19/08/2015;null(null);0.26;1.9;1.9;2.7;74.0;2.9;null(null);1.0;null(null)
20/08/2015;null(null);0.22;2.0;2.0;2.6;93.0;6.5;null(null);1.0;null(null)
21/08/2015;null(null);0.24;1.8;2.0;2.4;96.0;8.8;null(null);1.0;null(null)
22/08/2015;null(null);0.17;1.8;2.1;2.7;57.0;9.5;null(null);1.0;null(null)
23/08/2015;null(null);0.12;1.8;2.0;2.5;48.0;3.0;null(null);1.0;null(null)
24/08/2015;null(null);0.14;1.9;2.2;2.6;56.0;3.4;null(null);1.0;null(null)
25/08/2015;null(null);0.11;1.9;2.1;2.6;49.0;1.8;null(null);1.0;null(null)
26/08/2015;null(null);0.22;2.0;1.9;2.4;48.0;1.4;null(null);1.0;null(null)
27/08/2015;null(null);0.16;1.8;2.0;2.5;41.0;1.3;null(null);1.0;null(null)
28/08/2015;null(null);0.12;1.9;2.0;2.7;44.0;1.6;null(null);1.2;null(null)
29/08/2015;null(null);0.1;1.9;2.0;2.4;60.0;4.0;null(null);1.0;null(null)
30/08/2015;null(null);0.11;1.8;2.0;2.7;91.0;27.0;null(null);1.0;null(null)
31/08/2015;null(null);0.42;1.9;1.8;2.4;65.0;21.0;null(null);1.0;null(null)
01/06/2015;null(null);0.13;2.6;2.5;3.5;65.0;9.0;null(null);1.0;null(null)
02/06/2015;null(null);0.21;2.3;2.4;3.3;90.0;8.7;null(null);1.0;null(null)
03/06/2015;null(null);0.1;2.3;2.5;3.4;101.0;11.0;null(null);1.0;null(null)
04/06/2015;null(null);0.14;2.3;2.6;3.3;107.0;12.0;null(null);1.0;null(null)
10/06/2015;null(null);0.1;1.8;1.9;2.5;65.0;7.0;null(null);1.0;null(null)
11/06/2015;null(null);0.11;1.9;2.0;2.5;84.0;7.9;null(null);1.0;null(null)
12/06/2015;null(null);0.13;2.0;1.9;2.3;79.0;4.7;null(null);1.0;null(null)
13/06/2015;null(null);0.13;2.0;1.9;2.5;73.0;3.6;null(null);1.0;null(null)
14/06/2015;null(null);0.17;2.1;2.0;2.7;65.0;3.6;null(null);1.0;null(null)
15/06/2015;null(null);0.1;2.0;2.0;2.5;62.0;3.8;null(null);1.4;null(null)
16/06/2015;null(null);0.12;1.9;2.1;2.7;71.0;4.3;null(null);1.0;null(null)
17/06/2015;null(null);0.12;1.8;2.0;2.5;77.0;4.2;null(null);1.0;null(null)
18/06/2015;null(null);0.13;1.9;2.3;2.9;80.0;3.4;null(null);1.0;null(null)
19/06/2015;null(null);0.63;1.8;1.9;2.3;77.0;6.1;null(null);2.2;null(null)
20/06/2015;null(null);1.5;2.8;2.8;3.9;82.0;null(null);null(null);18.0;null(null)
21/06/2015;null(null);0.15;2.9;3.0;4.1;101.0;null(null);null(null);16.0;null(null)
24/06/2015;null(null);0.1;1.9;2.3;2.9;73.0;9.2;null(null);1.0;null(null)
25/06/2015;null(null);0.1;2.0;2.4;3.0;90.0;13.0;null(null);1.0;null(null)
26/06/2015;null(null);0.1;1.9;2.7;3.1;98.0;7.4;null(null);1.0;null(null)
27/06/2015;null(null);0.11;1.8;2.2;2.7;67.0;3.4;null(null);1.0;null(null)
28/06/2015;null(null);0.13;1.8;2.7;3.1;74.0;1.6;null(null);1.0;null(null)
30/06/2015;null(null);0.11;1.2;1.8;2.2;108.0;null(null);null(null);null(null);null(null)
01/04/2015;null(null);0.12;2.8;3.7;4.8;82.0;8.2;null(null);1.0;null(null)
02/04/2015;null(null);0.12;2.4;4.1;4.7;91.0;10.0;null(null);1.0;null(null)
03/04/2015;null(null);0.1;2.4;3.5;4.1;77.0;7.7;null(null);1.0;null(null)
04/04/2015;null(null);0.11;2.4;3.8;4.5;84.0;10.0;null(null);1.0;null(null)
05/04/2015;null(null);0.11;2.3;3.5;4.1;87.0;8.7;null(null);1.0;null(null)
06/04/2015;null(null);0.12;2.0;3.3;3.8;92.0;7.8;null(null);1.0;null(null)
07/04/2015;null(null);0.11;2.2;3.7;4.3;102.0;9.8;null(null);1.0;null(null)
08/04/2015;null(null);0.11;2.5;3.1;4.3;102.0;11.0;null(null);1.0;null(null)
09/04/2015;null(null);0.14;2.3;3.7;4.4;71.0;10.0;null(null);1.0;null(null)
10/04/2015;null(null);0.1;2.5;4.8;5.5;69.0;8.1;null(null);1.0;null(null)
11/04/2015;null(null);0.11;2.4;4.6;5.0;85.0;8.6;null(null);1.0;null(null)
12/04/2015;null(null);0.11;2.3;4.3;4.9;104.0;12.0;null(null);1.0;null(null)
13/04/2015;null(null);0.12;2.5;4.3;5.3;111.0;73.0;null(null);1.0;null(null)
14/04/2015;null(null);0.15;2.0;3.4;4.0;99.0;21.0;null(null);1.0;null(null)
15/04/2015;null(null);0.39;2.2;4.2;4.8;91.0;13.0;null(null);1.0;null(null)
16/04/2015;null(null);0.13;2.3;4.2;4.8;66.0;10.0;null(null);1.0;null(null)
17/04/2015;null(null);0.14;2.1;3.2;3.6;91.0;9.6;null(null);1.0;null(null)
18/04/2015;null(null);0.15;2.3;3.0;3.9;80.0;6.9;null(null);1.0;null(null)
19/04/2015;null(null);0.1;2.3;3.1;3.9;80.0;7.4;null(null);1.0;null(null)
20/04/2015;null(null);0.1;2.1;3.1;3.8;88.0;7.9;null(null);1.0;null(null)
21/04/2015;null(null);0.1;2.1;3.1;3.8;109.0;8.3;null(null);1.0;null(null)
22/04/2015;null(null);0.13;2.1;3.6;4.3;85.0;9.3;null(null);1.0;null(null)
23/04/2015;null(null);0.1;2.1;3.8;4.3;86.0;7.8;null(null);1.0;null(null)
24/04/2015;null(null);0.1;2.3;3.1;3.7;87.0;8.0;null(null);1.0;null(null)
25/04/2015;null(null);0.1;2.2;2.5;3.2;84.0;7.6;null(null);1.0;null(null)
26/04/2015;null(null);0.21;2.4;2.4;3.3;81.0;6.8;null(null);1.0;null(null)
27/04/2015;null(null);0.39;2.7;2.9;3.9;76.0;7.0;null(null);1.0;null(null)
28/04/2015;null(null);0.22;2.6;3.1;3.7;67.0;7.3;null(null);1.0;null(null)
29/04/2015;null(null);0.3;2.8;3.1;4.4;82.0;8.1;null(null);1.0;null(null)
30/04/2015;null(null);0.17;2.6;2.9;3.9;62.0;7.7;null(null);1.0;null(null)
01/05/2015;null(null);0.13;2.7;2.7;3.5;55.0;6.6;null(null);1.0;null(null)
02/05/2015;null(null);0.11;2.4;2.5;3.3;59.0;7.3;null(null);1.0;null(null)
03/05/2015;null(null);0.54;2.3;2.5;3.3;55.0;7.0;null(null);1.0;null(null)
04/05/2015;null(null);0.45;2.1;2.3;3.0;69.0;6.4;null(null);1.0;null(null)
05/05/2015;null(null);0.14;2.3;2.6;3.5;86.0;7.8;null(null);1.0;null(null)
06/05/2015;null(null);0.11;2.5;2.6;3.6;97.0;7.6;null(null);1.0;null(null)
07/05/2015;null(null);0.16;2.4;2.5;3.5;101.0;8.1;null(null);1.0;null(null)
08/05/2015;null(null);0.28;2.5;2.6;3.6;81.0;null(null);null(null);1.0;null(null)
09/05/2015;null(null);0.11;2.6;3.0;3.7;83.0;null(null);null(null);1.0;null(null)
10/05/2015;null(null);0.18;2.5;2.9;3.7;105.0;null(null);null(null);1.0;null(null)
11/05/2015;null(null);0.11;2.3;2.6;3.4;111.0;12.0;null(null);2.3;null(null)
12/05/2015;null(null);0.13;2.1;2.5;3.0;119.0;null(null);null(null);1.0;null(null)
13/05/2015;null(null);0.2;2.4;2.6;3.4;84.0;null(null);null(null);1.0;null(null)
14/05/2015;null(null);0.26;2.6;2.9;3.8;60.0;15.0;null(null);1.0;null(null)
15/05/2015;null(null);0.11;2.8;3.0;4.1;57.0;13.0;null(null);1.0;null(null)
16/05/2015;null(null);0.16;2.6;2.6;3.7;51.0;13.0;null(null);1.0;null(null)
17/05/2015;null(null);0.12;2.4;2.6;3.3;37.0;14.0;null(null);1.0;null(null)
18/05/2015;null(null);0.16;2.1;2.7;3.0;50.0;13.0;null(null);1.0;null(null)
19/05/2015;null(null);0.2;2.6;2.9;3.8;60.0;11.0;null(null);1.0;null(null)
20/05/2015;null(null);0.1;2.8;3.1;4.1;66.0;11.0;null(null);1.0;null(null)
21/05/2015;null(null);0.12;2.6;3.0;3.8;69.0;12.0;null(null);1.6;null(null)
22/05/2015;null(null);0.15;2.7;2.9;3.8;55.0;14.0;null(null);1.0;null(null)
23/05/2015;null(null);0.13;2.4;3.4;4.0;46.0;14.0;null(null);1.1;null(null)
24/05/2015;null(null);0.11;2.4;2.6;3.4;45.0;12.0;null(null);1.0;null(null)
25/05/2015;null(null);0.11;2.4;2.6;3.5;58.0;12.0;null(null);1.3;null(null)
26/05/2015;null(null);0.14;2.5;2.3;3.5;67.0;9.7;null(null);1.0;null(null)
27/05/2015;null(null);0.21;2.4;2.5;3.4;76.0;9.2;null(null);1.0;null(null)
28/05/2015;null(null);0.15;2.5;2.4;3.5;96.0;10.0;null(null);1.0;null(null)
29/05/2015;null(null);0.15;2.4;2.5;3.1;91.0;11.0;null(null);1.0;null(null)
30/05/2015;null(null);0.11;2.3;2.5;3.3;75.0;11.0;null(null);1.0;null(null)
31/05/2015;null(null);0.13;2.3;2.6;3.4;52.0;9.0;null(null);1.0;null(null)
01/03/2015;0.01;0.1;2.0;3.1;3.6;58.0;5.8;null(null);1.0;0.01
02/03/2015;0.01;0.1;2.0;3.5;4.1;53.0;4.8;null(null);1.0;0.01
03/03/2015;0.01;0.1;1.9;3.0;3.6;50.0;5.1;null(null);1.0;0.01
04/03/2015;0.01;0.11;2.3;4.3;4.7;73.0;5.3;null(null);1.0;0.01
05/03/2015;0.01;0.11;2.4;4.5;5.2;78.0;6.4;null(null);1.0;0.01
06/03/2015;0.01;0.1;2.3;4.3;5.3;79.0;6.6;null(null);1.0;0.01
07/03/2015;0.01;0.1;2.1;3.9;4.7;83.0;null(null);null(null);1.0;0.01
08/03/2015;0.01;0.11;2.0;3.9;4.4;80.0;null(null);null(null);1.0;0.01
09/03/2015;null(null);0.11;2.2;3.7;4.6;85.0;null(null);null(null);1.0;null(null)
10/03/2015;null(null);0.11;2.0;4.5;5.0;95.0;11.0;null(null);1.0;null(null)
11/03/2015;null(null);0.12;2.1;5.0;5.7;76.0;12.0;null(null);1.0;null(null)
12/03/2015;null(null);0.1;2.1;4.4;4.9;56.0;17.0;null(null);1.0;null(null)
13/03/2015;null(null);0.11;2.4;3.5;4.3;75.0;15.0;null(null);1.0;null(null)
14/03/2015;null(null);0.11;2.6;3.7;4.4;73.0;15.0;null(null);1.0;null(null)
15/03/2015;null(null);0.1;2.4;3.8;4.8;65.0;18.0;null(null);1.0;null(null)
16/03/2015;null(null);0.11;2.2;3.7;4.2;78.0;13.0;null(null);1.0;null(null)
17/03/2015;null(null);0.13;2.1;3.4;3.9;84.0;14.0;null(null);1.0;null(null)
18/03/2015;null(null);0.25;2.0;3.5;4.3;84.0;13.0;null(null);1.0;null(null)
19/03/2015;null(null);0.13;2.0;3.4;3.8;82.0;15.0;null(null);1.0;null(null)
20/03/2015;null(null);0.1;2.2;3.3;4.2;79.0;13.0;null(null);1.0;null(null)
21/03/2015;null(null);0.1;2.2;4.1;4.6;68.0;17.0;null(null);1.0;null(null)
22/03/2015;null(null);0.11;2.1;3.2;3.8;72.0;15.0;null(null);1.0;null(null)
23/03/2015;null(null);0.12;2.3;3.9;4.4;62.0;18.0;null(null);1.0;null(null)
24/03/2015;null(null);0.1;2.2;3.3;4.0;76.0;16.0;null(null);1.0;null(null)
25/03/2015;null(null);0.11;2.4;3.1;4.0;78.0;16.0;null(null);1.2;null(null)
26/03/2015;null(null);0.15;2.1;4.2;4.7;58.0;23.0;null(null);1.0;null(null)
27/03/2015;null(null);0.31;2.4;3.5;4.2;54.0;14.0;null(null);1.0;null(null)
28/03/2015;null(null);0.1;2.6;4.9;5.5;63.0;7.7;null(null);1.0;null(null)
29/03/2015;null(null);0.1;2.6;4.5;5.1;77.0;7.0;null(null);1.0;null(null)
30/03/2015;null(null);0.1;2.6;4.2;5.1;93.0;7.3;null(null);1.0;null(null)
31/03/2015;null(null);0.11;2.8;4.4;5.6;78.0;7.6;null(null);1.0;null(null)
01/01/2015;0.01;0.1;3.2;5.5;6.6;65.0;4.4;null(null);1.0;0.01
02/01/2015;0.01;0.11;3.5;5.5;7.0;65.0;4.7;null(null);1.0;0.01
03/01/2015;0.01;0.12;3.2;5.2;6.3;65.0;4.6;null(null);1.0;0.01
04/01/2015;0.01;0.11;3.2;5.1;6.5;64.0;5.4;null(null);1.0;0.01
05/01/2015;0.01;0.14;2.6;6.4;6.9;54.0;7.5;null(null);1.0;0.01
06/01/2015;0.01;0.15;3.0;6.0;6.8;53.0;9.0;null(null);1.0;0.01
07/01/2015;0.01;0.11;3.4;7.2;8.5;33.0;7.3;null(null);1.0;0.01
08/01/2015;0.01;0.1;3.6;10.0;11.0;24.0;6.1;null(null);1.0;0.01
09/01/2015;0.01;0.1;2.9;9.5;10.0;36.0;6.3;null(null);1.0;0.01
10/01/2015;0.01;0.11;2.8;7.2;7.7;50.0;5.0;null(null);1.0;0.01
11/01/2015;0.01;0.13;2.8;6.2;7.2;46.0;5.9;null(null);1.0;0.01
12/01/2015;0.01;0.14;2.8;4.7;5.5;54.0;5.0;null(null);1.0;0.01
13/01/2015;0.01;0.2;2.7;5.0;5.9;54.0;7.5;null(null);1.0;0.01
14/01/2015;0.01;0.11;2.7;5.1;5.8;53.0;5.0;null(null);1.0;0.01
15/01/2015;0.01;0.1;2.5;4.0;4.7;70.0;5.4;null(null);1.0;0.01
16/01/2015;0.01;0.1;2.8;5.0;5.9;61.0;4.8;null(null);1.0;0.01
17/01/2015;0.01;0.1;2.8;4.9;5.5;55.0;5.7;null(null);1.0;0.01
18/01/2015;0.01;0.1;2.5;4.2;4.8;59.0;3.9;null(null);1.0;0.01
19/01/2015;0.01;0.1;2.5;4.4;5.1;60.0;7.5;null(null);1.0;0.01
20/01/2015;0.01;0.1;2.5;4.5;5.2;54.0;4.5;null(null);1.0;0.01
21/01/2015;0.01;0.1;2.5;4.5;5.3;63.0;4.6;null(null);1.0;0.01
22/01/2015;0.01;0.14;2.5;4.6;5.2;66.0;5.0;null(null);1.0;0.01
23/01/2015;0.01;0.1;2.7;4.1;5.1;59.0;null(null);null(null);1.3;0.01
24/01/2015;0.01;0.51;2.6;4.2;5.1;52.0;null(null);null(null);1.7;0.01
25/01/2015;0.01;0.3;2.7;6.5;7.3;38.0;null(null);null(null);1.4;0.01
26/01/2015;0.01;0.11;2.8;8.8;9.8;42.0;null(null);null(null);3.2;0.01
27/01/2015;0.01;0.26;2.9;6.7;7.8;40.0;null(null);null(null);1.0;0.01
28/01/2015;0.01;0.16;2.7;4.4;5.8;51.0;null(null);null(null);3.3;0.01
29/01/2015;0.01;0.1;2.2;3.3;4.0;56.0;5.5;null(null);1.0;0.01
30/01/2015;0.01;0.36;1.9;2.9;3.4;60.0;5.2;null(null);1.0;0.01
