Fecha;CO;NO;NO2;PM10;SO2
01/01/2014;0.3;3;12;9;2
02/01/2014;0.6;22;43;20;7
03/01/2014;0.5;17;35;25;5
04/01/2014;0.3;5;13;13;2
05/01/2014;0.5;20;31;17;5
06/01/2014;0.3;4;17;12;2
07/01/2014;0.3;9;25;9;2
08/01/2014;0.5;22;37;23;10
09/01/2014;0.6;49;45;35;9
10/01/2014;0.7;51;43;39;12
11/01/2014;0.8;42;41;42;13
12/01/2014;0.7;17;31;32;10
13/01/2014;0.5;20;30;13;3
14/01/2014;0.4;14;26;11;3
15/01/2014;0.5;17;31;16;3
16/01/2014;0.4;11;25;11;2
17/01/2014;0.5;21;39;15;7
18/01/2014;0.4;9;24;13;3
19/01/2014;0.4;7;19;12;2
20/01/2014;0.4;15;28;12;3
21/01/2014;0.6;24;42;22;6
22/01/2014;0.5;31;37;17;3
23/01/2014;0.6;27;43;21;4
24/01/2014;0.6;30;40;23;4
25/01/2014;0.5;12;28;13;4
26/01/2014;0.4;6;18;11;4
27/01/2014;0.3;5;14;9;1
28/01/2014;0.3;6;16;10;1
29/01/2014;0.4;17;29;14;2
30/01/2014;0.4;11;21;12;1
31/01/2014;0.4;11;26;12;3
01/02/2014;0.3;4;11;11;1
02/02/2014;0.3;4;18;13;3
03/02/2014;0.4;8;22;12;2
04/02/2014;0.3;8;22;10;2
05/02/2014;0.4;9;22;13;3
06/02/2014;0.3;5;12;10;1
07/02/2014;0.3;9;20;10;2
08/02/2014;0.3;3;10;8;1
09/02/2014;0.5;7;28;12;7
10/02/2014;0.4;8;19;13;2
11/02/2014;0.5;23;41;16;7
12/02/2014;0.7;26;45;26;9
13/02/2014;0.5;19;28;19;4
14/02/2014;0.3;7;15;9;1
15/02/2014;0.3;7;19;9;1
16/02/2014;0.4;8;25;12;5
17/02/2014;0.5;15;33;19;6
18/02/2014;0.4;22;31;17;4
19/02/2014;0.5;27;35;23;6
20/02/2014;0.6;24;28;23;6
21/02/2014;0.3;7;16;12;1
22/02/2014;0.5;12;26;18;4
23/02/2014;0.6;12;30;23;8
24/02/2014;0.5;15;33;20;5
25/02/2014;0.4;6;15;11;1
26/02/2014;0.4;9;18;12;1
27/02/2014;0.3;10;21;14;2
28/02/2014;0.3;8;15;13;2
01/03/2014;0.5;23;29;14;7
02/03/2014;0.3;7;13;10;2
03/03/2014;0.2;4;8;11;1
04/03/2014;0.3;6;13;10;1
05/03/2014;0.5;31;39;24;7
06/03/2014;0.5;24;37;25;6
07/03/2014;0.5;35;49;29;7
08/03/2014;0.5;16;37;25;5
09/03/2014;0.4;9;29;26;3
10/03/2014;0.6;24;47;28;8
11/03/2014;0.6;26;46;36;8
12/03/2014;0.6;21;41;41;4
13/03/2014;0.4;18;44;41;5
14/03/2014;0.5;19;49;48;6
15/03/2014;0.5;10;36;38;4
16/03/2014;0.5;7;27;24;4
17/03/2014;0.6;24;42;30;6
18/03/2014;0.5;15;34;39;4
19/03/2014;0.5;15;31;29;3
20/03/2014;0.4;14;28;33;2
21/03/2014;0.3;7;17;21;1
22/03/2014;0.2;3;9;10;1
23/03/2014;0.3;4;13;10;1
24/03/2014;0.4;9;25;16;2
25/03/2014;0.3;7;14;12;2
26/03/2014;0.3;12;22;12;3
27/03/2014;0.5;17;32;18;10
28/03/2014;0.5;15;38;22;9
29/03/2014;0.6;9;32;21;9
30/03/2014;0.3;3;13;15;4
31/03/2014;0.3;8;24;14;4
01/04/2014;0.3;8;26;11;8
02/04/2014;0.4;10;33;10;7
03/04/2014;0.4;16;29;12;6
04/04/2014;0.5;17;38;16;11
05/04/2014;0.5;9;19;15;6
06/04/2014;0.4;8;17;12;7
07/04/2014;0.4;18;17;15;5
08/04/2014;0.4;15;23;16;5
09/04/2014;0.4;19;33;23;6
10/04/2014;0.3;13;22;26;5
11/04/2014;0.3;14;21;11;3
12/04/2014;0.3;7;18;15;4
13/04/2014;0.3;7;20;18;3
14/04/2014;0.3;13;24;24;3
15/04/2014;0.3;9;23;24;3
16/04/2014;0.3;9;19;18;3
17/04/2014;0.3;5;15;13;2
18/04/2014;0.3;5;17;18;5
19/04/2014;0.3;7;19;20;4
20/04/2014;0.2;3;9;5;3
21/04/2014;0.3;16;20;11;5
22/04/2014;0.3;7;15;10;3
23/04/2014;0.2;3;10;9;2
24/04/2014;0.3;6;13;12;2
25/04/2014;0.3;7;15;9;1
26/04/2014;0.3;3;9;8;2
27/04/2014;0.3;2;6;13;1
28/04/2014;0.3;5;9;9;1
29/04/2014;0.3;11;14;13;2
30/04/2014;0.3;18;21;12;3
01/05/2014;0.2;4;11;9;2
02/05/2014;0.3;14;26;13;3
03/05/2014;0.3;5;15;12;2
04/05/2014;0.3;5;17;16;2
05/05/2014;0.4;14;25;20;5
06/05/2014;0.3;12;21;21;3
07/05/2014;0.3;11;22;21;3
08/05/2014;0.3;12;27;24;5
09/05/2014;0.2;12;24;21;4
10/05/2014;0.2;6;14;17;4
11/05/2014;0.2;2;8;12;2
12/05/2014;0.3;9;17;17;3
13/05/2014;0.2;5;14;13;1
14/05/2014;0.3;9;17;16;2
15/05/2014;0.3;9;20;17;2
16/05/2014;0.3;10;23;20;2
17/05/2014;0.3;4;16;16;2
18/05/2014;0.3;2;10;18;2
19/05/2014;0.3;7;18;28;2
20/05/2014;0.2;6;14;10;2
21/05/2014;0.2;5;14;8;2
22/05/2014;0.3;5;11;8;2
23/05/2014;0.3;5;10;10;2
24/05/2014;0.3;5;14;13;3
25/05/2014;0.3;3;12;11;2
26/05/2014;0.4;15;25;13;4
27/05/2014;0.3;14;22;16;4
28/05/2014;0.4;20;31;10;5
29/05/2014;0.4;17;30;12;6
30/05/2014;0.3;17;32;14;4
31/05/2014;0.3;6;17;11;2
01/06/2014;0.3;3;12;9;3
02/06/2014;0.3;7;21;17;3
03/06/2014;0.2;8;15;18;3
04/06/2014;0.2;7;14;9;3
05/06/2014;0.2;10;18;14;2
06/06/2014;0.2;8;14;17;2
07/06/2014;0.2;3;10;9;1
08/06/2014;0.2;3;9;9;1
09/06/2014;0.2;9;15;12;2
10/06/2014;0.3;12;26;14;6
11/06/2014;0.4;11;23;19;4
12/06/2014;0.3;10;22;21;4
13/06/2014;0.3;13;29;27;18
14/06/2014;0.2;4;13;17;2
15/06/2014;0.2;3;11;11;2
16/06/2014;0.2;7;15;12;2
17/06/2014;0.3;8;19;18;3
18/06/2014;0.3;7;22;19;3
19/06/2014;0.3;7;21;20;4
20/06/2014;0.2;8;22;36;3
21/06/2014;0.2;4;13;21;2
22/06/2014;0.2;2;12;18;4
23/06/2014;0.3;9;25;22;7
24/06/2014;0.3;8;27;17;5
25/06/2014;0.3;15;35;28;13
26/06/2014;0.2;9;29;17;15
27/06/2014;0.2;10;23;20;9
28/06/2014;0.2;4;15;12;5
29/06/2014;0.2;4;13;9;3
30/06/2014;0.2;10;18;15;4
01/07/2014;0.2;6;14;13;6
