Fecha;S02;CO;NO2;PM10;O3;NO;NOX
03/10/2015;5;0,3;6;20;70;2;9
04/10/2015;5;0,2;5;18;79;2;8
05/10/2015;5;0,2;5;16;85;2;8
06/10/2015;5;0,2;4;14;89;2;7
07/10/2015;5;0,2;7;14;65;3;10
08/10/2015;5;0,2;5;18;59;2;9
09/10/2015;5;0,3;7;16;55;3;12
10/10/2015;6;0,3;9;15;54;3;14
11/10/2015;6;0,2;7;12;50;3;12
12/10/2015;6;0,2;8;13;56;3;13
13/10/2015;5;0,2;9;27;65;3;14
14/10/2015;5;0,2;7;28;70;2;10
15/10/2015;5;0,3;8;23;59;3;12
16/10/2015;6;0,3;11;17;43;3;16
17/10/2015;0;0,0;0;0;0;0;0
18/10/2015;0;0,0;0;0;0;0;0
19/10/2015;0;0,0;0;0;0;0;0
20/10/2015;0;0,0;0;0;0;0;0
21/10/2015;0;0,0;0;0;0;0;0
22/10/2015;0;0,0;0;0;0;0;0
23/10/2015;0;0,0;0;0;0;0;0
24/10/2015;0;0,0;0;0;0;0;0
25/10/2015;0;0,0;0;0;0;0;0
26/10/2015;0;0,0;0;0;0;0;0
27/10/2015;0;0,0;0;0;0;0;0
28/10/2015;0;0,0;0;0;0;0;0
29/10/2015;0;0,0;0;0;0;0;0
30/10/2015;0;0,0;0;0;0;0;0
31/10/2015;0;0,0;0;0;0;0;0
01/11/2015;0;0,0;0;0;0;0;0
