Fecha;PM10;HR;PRB;LL;RS;TMP
01/10/2015;24;86;1020.6;9.8;48.1;16.6
30/09/2015;13;80;1017.7;2.3;71.1;18
29/09/2015;17;85;1018.7;0.2;80.3;15.7
28/09/2015;18;84;1023.1;0.1;61;16.5
27/09/2015;9;84;1022.8;0.1;64.5;15.8
26/09/2015;12;85;1020.3;0.4;74.6;16.7
25/09/2015;17;82;1021.4;0;69.9;16.3
24/09/2015;13;80;1022.1;0;69.1;15.9
23/09/2015;12;83;1019.4;8.6;73.1;16.1
22/09/2015;12;87;1016.9;10.8;53.4;16.3
21/09/2015;18;81;1019.1;0;44.7;16.1
20/09/2015;7;79;1023.7;0;83.5;16.2
19/09/2015;8;80;1026.3;0;82.8;16.6
18/09/2015;17;78;1022.5;0.2;76.9;15.8
17/09/2015;18;76;1012.5;0.6;46.7;16.3
16/09/2015;18;59;996.8;0;94.8;23
15/09/2015;16;73;1003.9;1.7;42.2;18.2
14/09/2015;25;79;1013.5;5.1;61;16.8
13/09/2015;21;81;1007.2;1.1;55.3;19.5
12/09/2015;14;89;1012.4;1.4;21.8;19.6
11/09/2015;23;81;1013.1;0.3;94.4;20.3
10/09/2015;21;86;1016.2;3.8;41.9;19.1
09/09/2015;26;78;1014.6;0.3;65.2;19.4
08/09/2015;19;78;1018.8;0;104.5;16.7
07/09/2015;16;75;1023.8;0.1;108.2;16.4
06/09/2015;9;77;1024.5;0.1;95.5;16.5
05/09/2015;8;76;1023;0.2;107.5;16.9
04/09/2015;10;72;1019.9;0;96.2;17.2
03/09/2015;12;82;1018.3;0.7;83.2;18.1
02/09/2015;14;76;1018.5;17.1;98.6;18.3
01/09/2015;12;78;1020.7;0.8;123.2;19.5
31/08/2015;30;77;1013.9;10.9;47.8;23.8
30/08/2015;20;61;1013.3;0;81.5;27.6
29/08/2015;17;81;1015.1;0;121.8;24.1
28/08/2015;17;80;1016.4;0.3;126.9;23.2
27/08/2015;24;70;1011.7;0.5;83.7;24.5
26/08/2015;17;64;1012.8;0.5;109.5;24.8
25/08/2015;21;69;1018.2;1.1;134.4;20.4
24/08/2015;20;65;1014;0.7;80.9;20
23/08/2015;8;71;1007.3;2.9;142.7;21.7
22/08/2015;16;87;1012.3;16;91.9;21.6
21/08/2015;36;79;1018.5;0.5;143.2;22.1
20/08/2015;28;78;1021.5;0.4;152.6;21.2
19/08/2015;15;79;1021.1;0.7;150.9;18.7
18/08/2015;18;78;1018.1;1.2;150.6;18.7
17/08/2015;19;82;1016.4;1.3;162.2;19.1
16/08/2015;14;82;1015.5;2.4;107.4;18
15/08/2015;9;86;1017.7;4.3;128.1;17.8
14/08/2015;15;78;1018.5;9;89.5;18.6
13/08/2015;17;79;1016.2;5.4;124.4;21.6
12/08/2015;27;81;1015;2.1;135.4;23.3
11/08/2015;26;83;1013.4;1.2;124.2;21.3
10/08/2015;17;79;1017.8;0.6;179.8;21
09/08/2015;12;88;1023.7;6.1;107;18.7
08/08/2015;8;96;1024.1;24.5;35.1;17
07/08/2015;17;88;1019.3;12.4;43.4;20.6
06/08/2015;28;84;1015.7;0.5;153.8;21.5
05/08/2015;29;85;1014.5;0.8;88.2;21.5
04/08/2015;10;89;1019;6.8;65.5;19.8
03/08/2015;25;80;1016.2;4.6;126.3;21.9
02/08/2015;16;67;1014.2;0.2;209.6;24.2
01/08/2015;14;75;1018;0.4;174.4;19.2
31/07/2015;12;81;1013.3;1.3;52.1;18.2
30/07/2015;14;77;1017.6;1;86.7;18.1
29/07/2015;13;87;1016.4;3.8;42.3;18.7
28/07/2015;22;73;1016.2;1.5;220.2;22.4
27/07/2015;17;81;1017.8;3.4;96.2;20.7
26/07/2015;13;69;1015.5;0.5;180.3;21.5
25/07/2015;14;74;1020.8;5.8;203.5;19.7
24/07/2015;19;78;1014;4.5;199.5;21.9
23/07/2015;12;81;1017.6;2.6;247.3;22.2
22/07/2015;9;95;1020.1;15.4;39.7;21
21/07/2015;20;86;1016.7;7.8;87.6;22.9
20/07/2015;;;;;;
19/07/2015;;;;;;
18/07/2015;17;85;1016.1;3.5;168.7;23.4
17/07/2015;24;84;1018.2;8.3;139.7;21.7
16/07/2015;14;85;1015.8;0.7;75.7;22
15/07/2015;23;79;1018.5;1.7;241;22.7
14/07/2015;14;75;1022.6;1.4;243.8;21.7
13/07/2015;12;72;1023.8;1.4;240.5;21.7
12/07/2015;8;70;1024.1;1.5;259.8;21.6
11/07/2015;16;82;1024.5;5.8;57.4;20.3
10/07/2015;35;74;1017.5;1.3;253.1;21.8
09/07/2015;15;69;1022.2;2.3;267.9;20.3
08/07/2015;10;78;1023.4;14;125.8;19.8
07/07/2015;15;77;1019.4;1.3;226.8;22.4
06/07/2015;26;76;1018.5;1.8;271.9;23.2
05/07/2015;11;79;1021.2;1.4;119.3;22.1
04/07/2015;15;77;1021.8;3;220.9;22.5
03/07/2015;29;66;1017.6;1;263;27.2
02/07/2015;19;88;1020.6;0.7;78.2;21.2
01/07/2015;30;81;1014.4;0.4;231.2;22.6
30/06/2015;42;74;1012.9;1.9;257.2;25.5
29/06/2015;52;79;1020.2;1.3;238.6;22.6
28/06/2015;12;84;1022.4;1.4;106.4;20.5
27/06/2015;14;77;1022.9;1.1;275.6;21.4
26/06/2015;33;83;1022.4;1.2;181.4;20.9
25/06/2015;37;69;1021.2;1.1;321.8;21.8
24/06/2015;59;75;1020.6;0.9;300.5;19.8
23/06/2015;21;75;1017.9;0.6;318.5;19.8
22/06/2015;28;80;1016.3;0;297.4;20.1
21/06/2015;13;77;1021.1;0;310.1;18.8
20/06/2015;16;82;1023.9;0;279;17.7
19/06/2015;15;89;1024.2;7.8;69.6;17
18/06/2015;26;83;1026;0;189.7;17.5
17/06/2015;36;81;1027.2;0.1;188.7;17.7
16/06/2015;22;86;1025.5;6.6;20.9;16.2
15/06/2015;16;85;1019.9;14.7;118.2;16.7
14/06/2015;10;82;1014.1;1.4;218.8;17.3
13/06/2015;13;89;1011.9;9.1;61.9;17.5
12/06/2015;17;85;1012.2;1.1;136.9;18.2
11/06/2015;15;78;1010.9;5.3;37;20.3
10/06/2015;12;88;1014.3;20.6;70.1;16.9
09/06/2015;30;79;1019.3;0.6;195.2;18.1
08/06/2015;28;82;1021.4;0;285.5;19.4
07/06/2015;15;84;1024.1;0.3;197.5;18.9
06/06/2015;13;88;1025.7;1.7;57.6;17.7
05/06/2015;29;86;1021;1.5;129.8;19.1
04/06/2015;31;65;1018.8;0;293.4;24.6
03/06/2015;16;85;1023.6;0.4;88.8;18.4
02/06/2015;16;84;1020.9;0;131.6;19.2
01/06/2015;15;84;1019.9;0;81.3;18.3
31/05/2015;12;72;1019.8;0;276.5;17.7
30/05/2015;12;77;1020.6;0;234.5;15.5
29/05/2015;14;78;1019.2;0;126;15.8
28/05/2015;24;81;1020.9;0;169.6;16.4
27/05/2015;28;81;1024.1;0;266.4;16.6
26/05/2015;18;79;1024.7;0;87.4;15.3
25/05/2015;12;85;1023.4;1;105;15.3
24/05/2015;9;90;1022;0.5;46.1;15.5
23/05/2015;11;80;1024.3;1.2;142.3;14.5
22/05/2015;17;78;1028.8;0.2;158.8;13.3
21/05/2015;16;76;1030.5;1.1;128.4;12.9
20/05/2015;12;82;1024.5;13.7;76.5;12.4
19/05/2015;17;79;1019.9;10.8;104.2;13.1
18/05/2015;18;81;1018.3;0.9;162.4;14.3
17/05/2015;9;86;1027.5;1.1;186;15.1
16/05/2015;9;86;1032.3;8.5;105;13.9
15/05/2015;20;81;1026;8.4;78.4;13.4
14/05/2015;23;81;1020.5;2;56.3;14.8
13/05/2015;28;88;1020.4;0.1;67.6;16.1
12/05/2015;22;83;1021;0;193;17
11/05/2015;27;86;1021.4;0;136.4;16.3
10/05/2015;18;70;1021.3;0;203.1;20.6
09/05/2015;11;78;1027.1;0;71.5;16.1
08/05/2015;21;58;1018.6;0;182.3;19.8
07/05/2015;33;61;1014.8;0;198.8;19.5
06/05/2015;20;74;1021.1;0;163.7;13.9
05/05/2015;20;69;1013.6;3.1;142.6;15.9
04/05/2015;22;57;1001.7;0;100.9;24.2
03/05/2015;12;68;1008.5;2.2;61.1;20.9
02/05/2015;9;76;1010.1;0;99.1;20
