Fecha;CO;NO;NO2;NOX;O3;PM10;SO2;dd;HR;PRB;TMP;vv
01/10/2015;0.36;15;59;53;84;39;10;277;84;1008.4;16.9;0.57
30/09/2015;0.32;17;55;62;47;36;9;3;81;1004.4;17.7;0.32
29/09/2015;0.31;16;50;59;44;43;9;45;93;1005.9;15.2;0.57
28/09/2015;0.26;14;53;53;52;27;8;68;86;1010.2;16.5;0.32
27/09/2015;0.25;5;42;24;49;20;8;343;89;1010.3;15.7;0.56
26/09/2015;0.3;9;35;33;52;26;9;38;89;1007.4;17.4;0.6
25/09/2015;0.29;20;47;61;44;39;7;47;88;1008.3;16.7;0.67
24/09/2015;0.22;9;42;43;38;27;5;;;1008.8;;
23/09/2015;0.29;9;48;47;47;14;5;;;1007.1;;
22/09/2015;0.24;5;25;20;59;16;5;;;1004.5;;
21/09/2015;0.37;13;53;55;53;35;8;;;1006.2;;
20/09/2015;0.31;5;33;27;64;19;8;;;1010.8;;
19/09/2015;0.28;7;38;33;59;20;8;;;1013.5;;
18/09/2015;0.3;14;47;51;46;20;7;;;1009.9;;
17/09/2015;0.27;7;40;30;68;15;6;;;1000.1;;
16/09/2015;0.27;8;34;26;66;16;6;;;983.6;;
15/09/2015;0.52;17;55;57;50;37;6;;;991;;
14/09/2015;0.26;10;67;39;42;22;7;;;1000.6;;
13/09/2015;0.3;3;21;15;63;16;6;;;995.1;;
12/09/2015;0.34;3;23;18;54;28;6;;;1000;;
11/09/2015;0.39;13;58;53;58;64;6;;;1000.7;;
10/09/2015;0.4;22;80;70;38;77;6;;;1003.7;;
09/09/2015;0.46;45;113;116;37;68;7;;;1002.2;;
08/09/2015;0.43;39;86;98;46;52;8;;;1006.1;;
07/09/2015;0.34;29;75;71;50;44;7;;;1011.5;;
06/09/2015;0.26;4;27;19;70;18;6;;;1012.1;;
05/09/2015;0.26;4;36;19;52;14;6;;;1010.6;;
04/09/2015;0.29;8;59;29;43;21;6;;;1007.5;;
03/09/2015;0.31;3;15;14;51;15;5;;;1006.3;;
02/09/2015;0.4;22;65;57;54;42;6;;;1005.9;;
01/09/2015;1.02;11;55;30;44;20;6;;;1008.5;;
31/08/2015;0.31;21;87;58;46;43;6;;;1002;;
30/08/2015;0.28;4;36;20;74;33;5;;;1000.9;;
29/08/2015;0.33;6;56;27;59;33;6;;;1002.7;;
28/08/2015;0.31;20;48;60;55;43;7;;;1003.6;;
27/08/2015;0.32;;47;;42;;;;;;;
26/08/2015;0.32;11;45;42;72;30;6;;;1000.2;;
25/08/2015;0.31;15;46;47;56;32;7;;;1005.3;;
24/08/2015;0.27;9;38;30;62;19;6;;;1001.4;;
