Fecha;BEN;CO;NO;NO2;NOX;O3;PM10;SO2;TOL
1/08/2015;null(null);0.11;8.5;26.0;37.0;67.0;10.0;null(null);null(null)
2/08/2015;null(null);0.3;7.5;22.0;31.0;52.0;14.0;null(null);null(null)
3/08/2015;null(null);0.12;17.0;35.0;58.0;40.0;19.0;null(null);null(null)
4/08/2015;null(null);0.12;32.0;46.0;92.0;42.0;12.0;null(null);null(null)
5/08/2015;null(null);0.34;20.0;52.0;77.0;44.0;12.0;null(null);null(null)
6/08/2015;null(null);0.2;null(null);null(null);null(null);38.0;10.0;null(null);null(null)
7/08/2015;null(null);0.36;null(null);null(null);null(null);53.0;14.0;null(null);null(null)
8/08/2015;null(null);0.15;null(null);null(null);null(null);64.0;7.9;null(null);null(null)
9/08/2015;null(null);0.37;null(null);null(null);null(null);68.0;14.0;null(null);null(null)
10/08/2015;null(null);0.22;null(null);null(null);null(null);63.0;46.0;null(null);null(null)
11/08/2015;null(null);0.19;11.0;26.0;43.0;58.0;28.0;null(null);null(null)
12/08/2015;null(null);0.19;10.0;19.0;35.0;48.0;18.0;null(null);null(null)
13/08/2015;null(null);0.19;11.0;20.0;36.0;49.0;12.0;null(null);null(null)
14/08/2015;null(null);0.19;14.0;23.0;44.0;33.0;9.5;null(null);null(null)
15/08/2015;null(null);0.12;7.5;14.0;25.0;30.0;6.7;null(null);null(null)
16/08/2015;null(null);0.36;7.0;13.0;24.0;29.0;6.3;null(null);null(null)
17/08/2015;null(null);0.31;6.8;12.0;22.0;32.0;6.9;null(null);null(null)
18/08/2015;null(null);0.44;14.0;21.0;42.0;41.0;9.7;null(null);null(null)
19/08/2015;null(null);0.32;15.0;31.0;54.0;37.0;14.0;null(null);null(null)
20/08/2015;null(null);0.41;23.0;35.0;69.0;29.0;18.0;null(null);null(null)
21/08/2015;null(null);0.34;24.0;26.0;62.0;25.0;19.0;null(null);null(null)
22/08/2015;null(null);0.31;9.8;13.0;28.0;22.0;6.8;null(null);null(null)
23/08/2015;null(null);0.22;4.1;4.8;10.0;50.0;10.0;null(null);null(null)
24/08/2015;null(null);0.31;11.0;14.0;31.0;49.0;14.0;null(null);null(null)
25/08/2015;null(null);0.28;9.8;15.0;30.0;35.0;8.1;null(null);null(null)
26/08/2015;null(null);0.33;4.6;3.8;9.8;35.0;5.2;null(null);null(null)
27/08/2015;null(null);0.28;5.6;3.1;11.0;12.0;5.1;null(null);null(null)
28/08/2015;null(null);0.52;10.0;11.0;26.0;7.7;6.8;null(null);null(null)
29/08/2015;null(null);0.49;12.0;12.0;30.0;16.0;6.9;null(null);null(null)
30/08/2015;null(null);0.37;7.5;15.0;26.0;37.0;12.0;null(null);null(null)
31/08/2015;null(null);0.36;11.0;21.0;37.0;33.0;9.5;null(null);null(null)
1/10/2015;null(null);0.27;13.0;36.0;55.0;43.0;23.0;null(null);null(null)
2/10/2015;null(null);0.2;24.0;38.0;75.0;34.0;24.0;null(null);null(null)
3/10/2015;null(null);0.2;7.8;28.0;39.0;44.0;22.0;null(null);null(null)
4/10/2015;null(null);0.27;3.5;2.2;5.8;56.0;15.0;null(null);null(null)
5/10/2015;null(null);0.33;4.9;3.3;9.1;68.0;28.0;null(null);null(null)
6/10/2015;null(null);0.21;13.0;24.0;43.0;45.0;null(null);null(null);null(null)
7/10/2015;null(null);0.13;15.0;27.0;50.0;26.0;null(null);null(null);null(null)
8/10/2015;null(null);0.29;23.0;29.0;64.0;20.0;18.0;null(null);null(null)
9/10/2015;null(null);0.37;21.0;41.0;73.0;22.0;25.0;null(null);null(null)
10/10/2015;null(null);0.44;4.5;10.0;17.0;58.0;15.0;null(null);null(null)
11/10/2015;null(null);0.3;4.0;6.1;11.0;41.0;2.9;null(null);null(null)
12/10/2015;null(null);0.32;5.5;11.0;19.0;39.0;5.5;null(null);null(null)
13/10/2015;null(null);0.29;16.0;29.0;54.0;31.0;null(null);null(null);null(null)
14/10/2015;null(null);0.24;15.0;29.0;52.0;50.0;17.0;null(null);null(null)
15/10/2015;null(null);0.11;12.0;29.0;47.0;52.0;19.0;1.8;null(null)
16/10/2015;null(null);0.18;17.0;36.0;61.0;27.0;26.0;2.5;null(null)
17/10/2015;null(null);0.15;5.1;13.0;20.0;56.0;16.0;1.1;null(null)
18/10/2015;null(null);0.12;9.4;20.0;33.0;32.0;14.0;2.0;null(null)
19/10/2015;null(null);0.4;28.0;25.0;68.0;19.0;10.0;2.0;null(null)
20/10/2015;null(null);0.26;9.7;23.0;37.0;45.0;9.7;2.3;null(null)
21/10/2015;null(null);0.12;20.0;39.0;69.0;30.0;16.0;3.7;null(null)
22/10/2015;null(null);0.13;20.0;41.0;70.0;31.0;20.0;2.5;null(null)
23/10/2015;null(null);0.23;12.0;23.0;40.0;51.0;17.0;1.5;null(null)
24/10/2015;null(null);0.32;7.5;21.0;31.0;50.0;16.0;1.9;null(null)
25/10/2015;null(null);0.14;4.3;11.0;15.0;56.0;11.0;2.0;null(null)
26/10/2015;null(null);0.13;7.4;20.0;29.0;49.0;10.0;1.9;null(null)
27/10/2015;null(null);0.36;6.5;15.0;23.0;60.0;8.9;2.0;null(null)
28/10/2015;null(null);0.3;8.0;15.0;26.0;65.0;12.0;1.9;null(null)
29/10/2015;null(null);0.32;6.5;12.0;20.0;62.0;4.8;1.5;null(null)
30/10/2015;null(null);0.15;7.4;20.0;29.0;54.0;10.0;2.1;null(null)
1/09/2015;null(null);0.29;13.0;21.0;41.0;46.0;11.0;null(null);null(null)
2/09/2015;null(null);0.22;14.0;20.0;41.0;47.0;12.0;null(null);null(null)
3/09/2015;null(null);0.19;8.2;17.0;29.0;62.0;7.2;null(null);null(null)
4/09/2015;null(null);0.25;13.0;22.0;42.0;52.0;9.3;null(null);null(null)
5/09/2015;null(null);0.28;6.8;19.0;29.0;58.0;7.8;null(null);null(null)
6/09/2015;null(null);0.28;5.5;20.0;28.0;62.0;11.0;null(null);null(null)
7/09/2015;null(null);0.17;9.8;35.0;50.0;56.0;16.0;null(null);null(null)
8/09/2015;null(null);0.44;21.0;36.0;68.0;46.0;25.0;null(null);null(null)
9/09/2015;null(null);0.26;11.0;27.0;43.0;33.0;17.0;null(null);null(null)
10/09/2015;null(null);0.24;17.0;24.0;50.0;29.0;22.0;null(null);null(null)
11/09/2015;null(null);0.15;23.0;31.0;66.0;25.0;17.0;null(null);null(null)
12/09/2015;null(null);0.3;7.5;14.0;26.0;45.0;11.0;null(null);null(null)
13/09/2015;null(null);0.12;4.4;5.7;12.0;60.0;8.9;null(null);null(null)
14/09/2015;null(null);0.12;10.0;17.0;33.0;55.0;14.0;null(null);null(null)
15/09/2015;null(null);0.17;4.9;3.2;9.3;57.0;3.4;null(null);null(null)
16/09/2015;null(null);0.51;8.8;13.0;26.0;62.0;null(null);null(null);null(null)
17/09/2015;null(null);0.11;12.0;23.0;41.0;42.0;21.0;null(null);null(null)
18/09/2015;null(null);0.5;12.0;24.0;43.0;40.0;11.0;null(null);null(null)
19/09/2015;null(null);0.32;8.3;24.0;37.0;42.0;9.8;null(null);null(null)
20/09/2015;null(null);0.4;5.2;17.0;25.0;57.0;10.0;null(null);null(null)
21/09/2015;null(null);0.35;31.0;32.0;80.0;38.0;19.0;null(null);null(null)
22/09/2015;null(null);0.11;9.3;22.0;36.0;48.0;11.0;null(null);null(null)
23/09/2015;null(null);0.29;21.0;27.0;60.0;32.0;14.0;null(null);null(null)
24/09/2015;null(null);0.32;23.0;36.0;72.0;20.0;17.0;null(null);null(null)
25/09/2015;null(null);0.35;21.0;45.0;77.0;43.0;25.0;null(null);null(null)
26/09/2015;null(null);0.28;7.5;30.0;41.0;42.0;23.0;null(null);null(null)
27/09/2015;null(null);0.32;6.3;22.0;31.0;33.0;19.0;null(null);null(null)
28/09/2015;null(null);0.31;23.0;38.0;72.0;24.0;17.0;null(null);null(null)
29/09/2015;null(null);0.18;14.0;43.0;65.0;45.0;17.0;null(null);null(null)
30/09/2015;null(null);0.19;9.1;30.0;44.0;52.0;22.0;null(null);null(null)
1/10/2015;null(null);0.27;13.0;36.0;55.0;43.0;23.0;null(null);null(null)
2/10/2015;null(null);0.2;24.0;38.0;75.0;34.0;24.0;null(null);null(null)
3/10/2015;null(null);0.2;7.8;28.0;39.0;44.0;22.0;null(null);null(null)
4/10/2015;null(null);0.27;3.5;2.2;5.8;56.0;15.0;null(null);null(null)
5/10/2015;null(null);0.33;4.9;3.3;9.1;68.0;28.0;null(null);null(null)
6/10/2015;null(null);0.21;13.0;24.0;43.0;45.0;null(null);null(null);null(null)
7/10/2015;null(null);0.13;15.0;27.0;50.0;26.0;null(null);null(null);null(null)
8/10/2015;null(null);0.29;23.0;29.0;64.0;20.0;18.0;null(null);null(null)
9/10/2015;null(null);0.37;21.0;41.0;73.0;22.0;25.0;null(null);null(null)
10/10/2015;null(null);0.44;4.5;10.0;17.0;58.0;15.0;null(null);null(null)
11/10/2015;null(null);0.3;4.0;6.1;11.0;41.0;2.9;null(null);null(null)
12/10/2015;null(null);0.32;5.5;11.0;19.0;39.0;5.5;null(null);null(null)
13/10/2015;null(null);0.29;16.0;29.0;54.0;31.0;null(null);null(null);null(null)
14/10/2015;null(null);0.24;15.0;29.0;52.0;50.0;17.0;null(null);null(null)
15/10/2015;null(null);0.11;12.0;29.0;47.0;52.0;19.0;1.8;null(null)
16/10/2015;null(null);0.18;17.0;36.0;61.0;27.0;26.0;2.5;null(null)
17/10/2015;null(null);0.15;5.1;13.0;20.0;56.0;16.0;1.1;null(null)
18/10/2015;null(null);0.12;9.4;20.0;33.0;32.0;14.0;2.0;null(null)
19/10/2015;null(null);0.4;28.0;25.0;68.0;19.0;10.0;2.0;null(null)
20/10/2015;null(null);0.26;9.7;23.0;37.0;45.0;9.7;2.3;null(null)
21/10/2015;null(null);0.12;20.0;39.0;69.0;30.0;16.0;3.7;null(null)
22/10/2015;null(null);0.13;20.0;41.0;70.0;31.0;20.0;2.5;null(null)
23/10/2015;null(null);0.23;12.0;23.0;40.0;51.0;17.0;1.5;null(null)
24/10/2015;null(null);0.32;7.5;21.0;31.0;50.0;16.0;1.9;null(null)
25/10/2015;null(null);0.14;4.3;11.0;15.0;56.0;11.0;2.0;null(null)
26/10/2015;null(null);0.13;7.4;20.0;29.0;49.0;10.0;1.9;null(null)
27/10/2015;null(null);0.36;6.5;15.0;23.0;60.0;8.9;2.0;null(null)
28/10/2015;null(null);0.3;8.0;15.0;26.0;65.0;12.0;1.9;null(null)
29/10/2015;null(null);0.32;6.5;12.0;20.0;62.0;4.8;1.5;null(null)
30/10/2015;null(null);0.15;7.4;20.0;29.0;54.0;10.0;2.1;null(null)
23/05/2015;null(null);0.51;7.7;23.0;33.0;68.0;14.0;null(null);null(null)
24/05/2015;null(null);0.64;6.3;13.0;21.0;59.0;13.0;null(null);null(null)
25/05/2015;null(null);0.58;16.0;28.0;52.0;51.0;13.0;null(null);null(null)
26/05/2015;null(null);1.2;11.0;27.0;43.0;71.0;13.0;null(null);null(null)
27/05/2015;null(null);0.36;12.0;30.0;47.0;65.0;11.0;null(null);null(null)
28/05/2015;null(null);0.22;12.0;30.0;47.0;78.0;13.0;null(null);null(null)
29/05/2015;null(null);0.16;17.0;36.0;62.0;62.0;13.0;null(null);null(null)
30/05/2015;null(null);0.22;9.3;15.0;29.0;38.0;10.0;null(null);null(null)
31/05/2015;null(null);0.13;7.1;11.0;20.0;31.0;7.5;null(null);null(null)
1/07/2015;null(null);0.17;9.4;16.0;30.0;38.0;13.0;null(null);null(null)
2/07/2015;null(null);0.13;11.0;15.0;32.0;38.0;12.0;null(null);null(null)
3/07/2015;null(null);0.2;13.0;14.0;33.0;42.0;13.0;null(null);null(null)
4/07/2015;null(null);0.3;6.5;10.0;19.0;40.0;10.0;null(null);null(null)
5/07/2015;null(null);0.1;5.5;10.0;17.0;49.0;13.0;null(null);null(null)
6/07/2015;null(null);0.15;14.0;21.0;42.0;41.0;18.0;null(null);null(null)
7/07/2015;null(null);0.13;12.0;16.0;34.0;30.0;14.0;null(null);null(null)
8/07/2015;null(null);0.27;10.0;19.0;34.0;51.0;12.0;null(null);null(null)
9/07/2015;null(null);0.39;9.7;27.0;41.0;75.0;20.0;null(null);null(null)
10/07/2015;null(null);0.18;9.2;15.0;29.0;53.0;21.0;null(null);null(null)
11/07/2015;null(null);0.25;8.0;17.0;28.0;38.0;14.0;null(null);null(null)
12/07/2015;null(null);0.29;6.2;16.0;24.0;44.0;16.0;null(null);null(null)
13/07/2015;null(null);0.45;19.0;38.0;66.0;34.0;24.0;null(null);null(null)
14/07/2015;null(null);0.3;17.0;39.0;64.0;34.0;24.0;null(null);null(null)
15/07/2015;null(null);0.28;15.0;29.0;51.0;45.0;21.0;null(null);null(null)
16/07/2015;null(null);0.28;11.0;16.0;31.0;37.0;11.0;null(null);null(null)
17/07/2015;null(null);0.15;14.0;20.0;41.0;21.0;7.8;null(null);null(null)
18/07/2015;null(null);0.23;9.1;18.0;30.0;30.0;8.8;null(null);null(null)
19/07/2015;null(null);0.19;7.0;13.0;21.0;30.0;7.6;null(null);null(null)
20/07/2015;null(null);0.38;17.0;21.0;46.0;10.0;9.0;null(null);null(null)
21/07/2015;null(null);0.44;15.0;16.0;37.0;18.0;8.8;null(null);null(null)
22/07/2015;null(null);0.25;16.0;32.0;54.0;38.0;17.0;null(null);null(null)
23/07/2015;null(null);0.12;20.0;37.0;67.0;36.0;14.0;null(null);null(null)
24/07/2015;null(null);0.12;14.0;26.0;46.0;31.0;8.8;null(null);null(null)
25/07/2015;null(null);0.1;8.3;20.0;29.0;63.0;14.0;null(null);null(null)
26/07/2015;null(null);0.26;9.0;22.0;33.0;15.0;8.8;null(null);null(null)
27/07/2015;null(null);0.34;17.0;26.0;49.0;36.0;12.0;null(null);null(null)
28/07/2015;null(null);0.14;21.0;30.0;60.0;18.0;12.0;null(null);null(null)
29/07/2015;null(null);0.2;14.0;18.0;37.0;16.0;7.2;null(null);null(null)
30/07/2015;null(null);0.16;12.0;20.0;37.0;21.0;10.0;null(null);null(null)
31/07/2015;null(null);0.37;11.0;22.0;38.0;51.0;11.0;null(null);null(null)
1/06/2015;null(null);0.21;17.0;22.0;47.0;48.0;9.1;null(null);null(null)
2/06/2015;null(null);0.21;15.0;23.0;46.0;49.0;11.0;null(null);null(null)
3/06/2015;null(null);0.27;31.0;38.0;86.0;46.0;16.0;null(null);null(null)
4/06/2015;null(null);0.39;18.0;27.0;54.0;48.0;16.0;null(null);null(null)
5/06/2015;null(null);0.27;14.0;25.0;46.0;43.0;18.0;null(null);null(null)
6/06/2015;null(null);0.31;7.1;21.0;30.0;51.0;14.0;null(null);null(null)
7/06/2015;null(null);0.27;5.4;22.0;29.0;71.0;19.0;null(null);null(null)
8/06/2015;null(null);0.37;16.0;47.0;71.0;72.0;25.0;null(null);null(null)
9/06/2015;null(null);0.27;11.0;29.0;46.0;73.0;19.0;null(null);null(null)
10/06/2015;null(null);0.22;8.1;24.0;36.0;78.0;16.0;null(null);null(null)
11/06/2015;null(null);0.44;12.0;24.0;41.0;81.0;21.0;null(null);null(null)
