Fecha;HR (%);PRB (mbar);RS (W/m2);LL (l/m2);PM10;SO2;NO2;NO;O3;dd;vv;TMP
01/01/2015;81;1024;119;0;33;0;21;16;12;170;1;4.1
02/01/2015;82.2;1026;100;0.2;38;1;28;46;7;163;1;4.8
03/01/2015;84.8;1026;112;0;30;1;24;22;12;156;1;7.2
04/01/2015;89.5;1024;68;0;29;0;22;14;9;181;1;9.3
05/01/2015;85.4;1016;122;0;27;0;23;26;6;150;1;7
06/01/2015;84.4;1017;102;0;32;0;21;9;15;158;1;8.9
07/01/2015;87.2;1019;113;0.2;41;0;22;32;10;160;1;6.3
08/01/2015;87.4;1026;70;0;59;1;31;55;3;166;1;6
09/01/2015;83.5;1030;122;0.2;49;1;30;42;6;207;1;8.7
10/01/2015;92.9;1023;89;0;37;1;20;14;10;161;1;7.7
11/01/2015;91.4;1023;48;5;30;1;19;6;29;181;1;8.4
12/01/2015;68.4;1016;135;0.2;23;1;22;21;24;173;2;7.8
13/01/2015;59.4;1009;74;0;31;1;19;5;40;192;3;11.5
14/01/2015;65.6;1010;127;0;27;0;21;17;26;156;2;8.9
15/01/2015;61.1;998;43;3.6;23;0;14;3;66;175;4;11.7
16/01/2015;80;1002;75;11;12;0;18;5;52;188;2;6.4
17/01/2015;70.2;1008;131;0.4;21;0;18;4;39;157;1;6.5
18/01/2015;61.8;998;77;14.8;11;0;7;1;65;164;3;8.7
19/01/2015;77.4;1004;52;16.4;15;0;17;5;59;216;2;5.3
20/01/2015;87.2;999;22;13.8;17;0;20;9;47;212;2;5.2
21/01/2015;73.8;997;30;24.2;11;0;13;4;70;253;3;6.2
22/01/2015;76.9;1005;50;25.8;15;0;14;5;63;210;3;7.1
23/01/2015;91.7;1015;29;12.2;21;1;29;11;28;177;1;5.2
24/01/2015;94.5;1019;29;5;26;1;21;6;29;137;1;4.8
25/01/2015;87.4;1023;52;0.2;26;1;20;4;34;156;1;6.7
26/01/2015;85.1;1021;59;0;39;1;32;21;16;173;1;5.1
27/01/2015;91.5;1021;22;6.4;25;1;28;7;35;144;1;8.1
28/01/2015;94.5;1014;33;1.4;30;1;33;14;19;180;1;8.5
29/01/2015;82.5;998;21;2.8;28;0;24;13;28;233;3;9.7
30/01/2015;83.2;986;7;88.2;8;0;7;1;74;294;6;10.7
31/01/2015;74.2;988;23;75.2;11;0;3;0;83;306;4;6.2
01/02/2015;68.9;1001;32;22.2;12;0;6;1;78;251;3;5.9
02/02/2015;81.4;994;50;14.8;19;0;27;13;35;190;2;6.8
03/02/2015;84.1;991;39;24.2;17;0;23;6;54;156;2;4.4
04/02/2015;83.2;1000;20;29.8;14;0;15;3;63;129;3;2
05/02/2015;77.9;1007;46;21.4;22;0;23;7;55;128;2;3.5
06/02/2015;96.9;1003;18;21;25;0;34;13;31;154;1;1.4
07/02/2015;94.8;1010;9;1.2;43;0;31;10;16;170;1;2.8
08/02/2015;92;1019;32;0.4;39;0;21;5;22;134;1;3.8
09/02/2015;82.8;1017;117;0;38;0;28;11;29;127;1;4.7
10/02/2015;71.5;1010;133;0;35;1;34;15;32;183;2;5.4
11/02/2015;74.2;1008;82;0.2;;1;35;17;27;169;1;5.3
12/02/2015;71.7;1006;73;0;;2;33;18;21;181;1;6.8
13/02/2015;80;1005;48;2.2;38;3;24;13;40;174;2;6.5
14/02/2015;92.3;1001;19;7.4;22;1;23;5;33;143;1;6.9
15/02/2015;96.8;1001;27;29.2;13;0;15;2;50;211;2;9.1
16/02/2015;78.2;1010;36;22.2;14;0;10;3;71;230;3;9.9
17/02/2015;72.1;1024;50;6.8;22;0;18;5;65;97;3;7.7
18/02/2015;83.9;1024;62;0.2;34;1;28;14;23;166;1;5.6
19/02/2015;71.7;1017;144;0.2;38;1;32;15;24;150;1;6.9
20/02/2015;75.2;1005;40;2.8;35;2;33;15;24;174;1;8.5
21/02/2015;79.3;1001;56;57;10;0;3;1;88;255;4;7.9
22/02/2015;83.5;1004;41;15.4;21;1;15;2;63;220;2;8.5
23/02/2015;83.5;1002;28;10.8;19;0;15;7;53;246;3;8.2
24/02/2015;74.5;1013;39;30.6;8;0;5;2;87;306;4;7.2
25/02/2015;77.1;1017;68;15.8;9;0;4;1;85;268;5;10.4
26/02/2015;86.7;1014;48;15.4;6;0;8;2;69;222;3;11.5
27/02/2015;75.3;1016;61;15.8;16;0;15;4;76;152;2;8.7
28/02/2015;93.6;1011;36;3.2;24;2;23;8;31;131;1;10.2
01/03/2015;83.2;1008;92;0;17;1;17;3;25;165;2;14.4
02/03/2015;98.4;1012;23;5;18;1;23;8;36;132;1;11.5
03/03/2015;94;1014;47;7;22;1;22;9;42;171;1;10.4
04/03/2015;77;1025;89;12;12;0;15;4;74;111;2;8.3
05/03/2015;75.5;1026;152;1.6;24;2;20;6;47;106;2;7.7
06/03/2015;71.7;1019;170;0;32;2;29;12;23;187;1;8.8
07/03/2015;68.3;1016;171;0;32;5;27;8;24;186;1;11.2
08/03/2015;64.4;1015;169;0;27;2;22;3;45;149;2;10.5
09/03/2015;70.9;1014;163;0;51;5;37;11;30;211;2;10.1
10/03/2015;84.7;1014;155;0;59;4;35;12;24;199;2;10
11/03/2015;91.5;1015;39;0;63;2;30;6;27;147;1;9.7
12/03/2015;78.9;1012;128;0;59;1;19;4;43;171;2;11.3
13/03/2015;74.3;1016;52;6.6;19;0;12;2;81;276;3;8.8
14/03/2015;72.3;1014;39;7.8;16;0;9;2;82;206;3;7.2
15/03/2015;80.9;1010;17;2.6;34;0;16;2;56;126;2;6.6
16/03/2015;73.5;1006;196;0;39;0;25;7;37;155;2;7.8
17/03/2015;58.7;1004;183;0;40;1;30;7;40;130;2;11
18/03/2015;78.7;1008;110;0;41;0;30;7;35;134;1;10.4
19/03/2015;90.9;1009;65;2.2;41;0;28;9;34;135;2;10.6
20/03/2015;84.2;1008;16;0.2;56;0;26;6;53;110;2;8.9
21/03/2015;97.3;1004;17;8;27;0;23;4;40;149;1;7.4
22/03/2015;81;1004;56;3.2;27;0;14;2;65;67;2;8.5
23/03/2015;93.1;999;40;8.4;20;0;25;8;32;164;1;6
24/03/2015;89.7;1001;36;36.4;15;0;20;5;62;176;2;7.2
25/03/2015;74.7;1004;98;12.4;9;0;10;2;78;233;3;7
26/03/2015;90.7;1007;42;22.8;11;0;19;4;53;186;2;9.2
27/03/2015;92.7;1017;31;18.6;10;0;21;6;48;205;2;11.6
28/03/2015;87.5;1019;126;0;27;0;18;4;36;178;1;11.9
29/03/2015;72;1016;165;0;22;0;14;1;37;132;2;13.7
30/03/2015;75.9;1017;108;0;23;0;17;5;49;146;2;12.9
31/03/2015;81.1;1020;61;0.4;19;0;13;4;61;177;2;12.6
01/04/2015;75.5;1022;166;2.6;28;0;23;6;52;90;2;11.5
02/04/2015;66.6;1016;230;0;26;1;22;6;35;125;2;11.4
03/04/2015;77.8;1012;171;0;23;0;12;4;47;103;2;11
04/04/2015;80.2;1008;89;0.8;15;0;13;2;66;114;2;10.8
05/04/2015;73.2;1005;160;0;14;1;11;2;52;124;2;11.6
06/04/2015;69.5;1009;245;0;22;1;12;1;47;115;2;10.1
07/04/2015;64.5;1012;248;0;32;1;21;5;46;121;2;12.2
08/04/2015;28.8;1010;247;0;31;1;8;0;91;187;4;18.6
09/04/2015;53;1009;151;0;34;2;19;3;77;154;2;15.7
10/04/2015;67.1;1009;139;0.6;14;1;13;2;74;89;2;14.8
11/04/2015;76.9;1014;160;0;18;1;14;1;51;119;2;13.8
12/04/2015;64.2;1013;250;0;28;2;14;1;47;157;2;16.7
13/04/2015;42.6;1013;238;0;56;1;24;3;64;146;2;19.7
14/04/2015;29.6;1008;179;0;55;1;20;1;73;161;2;22.2
15/04/2015;39.1;1002;49;0;58;1;17;2;73;175;3;19.6
16/04/2015;76.7;1003;145;3.2;37;1;20;6;46;107;2;14.4
17/04/2015;86.6;1006;76;8.6;21;0;18;4;63;179;2;13.9
18/04/2015;78.3;1002;143;0.6;19;0;11;2;53;157;2;13
19/04/2015;75;1006;147;0;10;0;8;1;58;131;2;11.6
20/04/2015;74.2;1010;254;0;23;1;18;5;49;75;2;13.1
21/04/2015;52.4;1007;306;0;;;;;;102;2;20.3
22/04/2015;53.6;1006;81;0.4;25;1;10;;79;166;3;17.5
23/04/2015;75.4;1008;170;0;20;0;16;;49;108;2;15.2
24/04/2015;78.3;1002;100;0.2;33;2;27;;29;119;2;14.8
25/04/2015;63.1;998;198;0.2;17;2;13;2;56;161;3;17.7
26/04/2015;83.9;995;89;6.6;13;1;7;1;70;184;2;13.9
27/04/2015;82.5;1003;86;13.8;12;0;13;3;62;186;2;12.3
28/04/2015;66.5;1010;232;0;18;0;13;3;54;120;2;13.3
29/04/2015;79.2;1009;67;4.4;19;0;18;4;36;167;1;12.1
30/04/2015;64.5;1004;226;0;22;1;22;6;38;122;2;17.3
01/05/2015;75.1;1001;89;0;10;0;9;2;40;96;2;18
02/05/2015;68.4;997;93;0;9;1;9;2;34;167;3;20.2
03/05/2015;65.4;996;123;0;9;1;10;2;56;142;3;19.3
04/05/2015;53.7;989;185;0;23;1;6;1;65;193;5;21
05/05/2015;73.6;1002;99;1;17;1;13;3;71;126;2;14
06/05/2015;65.6;1009;249;0;17;0;14;4;57;78;2;13.3
07/05/2015;58.2;1001;277;0;28;1;19;5;54;164;2;18
08/05/2015;57.5;1007;278;0;21;1;15;3;80;98;2;18.6
09/05/2015;83.3;1015;70;0.6;14;0;10;2;62;158;2;15.6
10/05/2015;74.3;1009;273;0;22;1;10;2;52;196;2;18.9
11/05/2015;88.5;1010;83;0;33;0;15;4;57;154;2;15
12/05/2015;84;1009;214;0.2;36;1;13;4;48;151;2;16.7
13/05/2015;80.4;1008;116;0.2;40;1;14;5;50;182;2;16.8
14/05/2015;74.4;1009;35;0.2;27;0;9;4;57;201;3;13.6
15/05/2015;73.2;1016;104;2;11;0;4;3;73;152;4;12.5
16/05/2015;73;1020;180;0;15;0;8;3;57;97;2;14.5
