Fecha;NO;NO2;NOX;PM10;PM25
01/10/2015;9;55;36;25;14
30/09/2015;4;47;22;15;7
29/09/2015;15;57;48;23;
28/09/2015;7;54;35;19;
27/09/2015;4;29;18;14;
26/09/2015;4;24;20;14;
25/09/2015;10;43;39;19;12
24/09/2015;5;42;29;16;9
23/09/2015;5;23;24;8;3
22/09/2015;7;25;31;12;
21/09/2015;17;39;49;21;11
20/09/2015;9;25;32;10;
19/09/2015;6;23;24;13;6
18/09/2015;8;31;31;14;
17/09/2015;4;31;17;10;4
16/09/2015;3;12;12;9;3
15/09/2015;3;37;19;14;4
14/09/2015;4;38;21;;6
13/09/2015;2;19;12;;6
12/09/2015;3;34;19;;14
11/09/2015;14;54;44;;
10/09/2015;3;32;21;19;12
09/09/2015;6;45;32;23;12
08/09/2015;7;50;35;17;9
07/09/2015;9;45;31;13;7
06/09/2015;4;25;18;10;
05/09/2015;3;19;16;9;4
04/09/2015;3;24;17;9;4
03/09/2015;3;32;22;11;5
02/09/2015;4;33;20;13;6
01/09/2015;3;24;17;10;5
31/08/2015;4;51;24;25;10
30/08/2015;3;9;10;32;9
29/08/2015;4;36;17;27;9
28/08/2015;3;31;17;14;6
27/08/2015;4;21;16;17;6
26/08/2015;4;48;24;20;7
25/08/2015;5;41;24;12;
24/08/2015;3;12;12;12;5
23/08/2015;3;12;10;9;
22/08/2015;3;24;15;;
21/08/2015;5;47;28;24;13
20/08/2015;5;31;23;17;
19/08/2015;4;22;16;12;
18/08/2015;3;28;15;14;6
17/08/2015;3;22;14;15;6
16/08/2015;3;17;14;12;6
15/08/2015;2;11;11;10;5
14/08/2015;2;12;12;11;4
13/08/2015;3;18;13;15;7
12/08/2015;3;29;16;36;16
11/08/2015;7;52;29;27;14
10/08/2015;4;30;21;15;
09/08/2015;3;17;14;13;5
08/08/2015;2;18;13;10;5
07/08/2015;3;13;13;10;
06/08/2015;4;24;17;19;
05/08/2015;4;24;19;20;
04/08/2015;3;20;14;10;4
03/08/2015;4;57;27;25;
02/08/2015;4;32;22;19;
01/08/2015;3;19;14;15;7
31/07/2015;3;25;19;13;7
30/07/2015;3;24;17;13;5
29/07/2015;5;28;20;14;
28/07/2015;4;24;18;17;7
27/07/2015;3;20;15;18;7
26/07/2015;3;12;13;17;6
25/07/2015;3;14;12;16;6
24/07/2015;6;45;26;20;9
23/07/2015;3;20;15;15;6
22/07/2015;3;29;18;11;6
21/07/2015;4;24;21;19;
20/07/2015;6;40;27;23;12
19/07/2015;3;31;16;20;
18/07/2015;4;35;23;25;14
17/07/2015;7;59;35;36;19
16/07/2015;5;60;30;31;
15/07/2015;3;36;20;22;13
14/07/2015;3;27;17;18;10
13/07/2015;3;26;17;14;6
12/07/2015;3;17;11;9;
11/07/2015;2;9;11;14;5
10/07/2015;5;41;25;31;15
09/07/2015;3;32;17;13;5
08/07/2015;3;19;13;8;4
07/07/2015;4;55;23;21;10
06/07/2015;3;46;19;26;12
05/07/2015;2;11;11;12;6
04/07/2015;3;30;17;20;10
03/07/2015;3;28;17;35;14
02/07/2015;4;31;21;16;9
01/07/2015;4;65;26;33;18
30/06/2015;3;69;25;36;17
29/06/2015;3;37;18;22;11
28/06/2015;3;24;18;19;10
27/06/2015;3;39;15;22;12
26/06/2015;5;63;31;33;18
25/06/2015;4;36;26;23;13
24/06/2015;4;34;21;24;13
23/06/2015;4;23;18;19;9
22/06/2015;7;54;37;24;11
21/06/2015;3;31;21;16;
20/06/2015;3;25;18;16;7
19/06/2015;4;21;21;11;6
18/06/2015;3;41;22;21;10
17/06/2015;3;36;22;20;10
16/06/2015;3;35;19;17;8
15/06/2015;3;36;22;15;8
14/06/2015;2;26;15;12;
13/06/2015;3;21;16;13;
12/06/2015;3;36;19;16;
11/06/2015;3;29;17;12;
10/06/2015;3;50;24;13;
09/06/2015;3;35;21;29;15
08/06/2015;3;28;19;24;13
07/06/2015;3;45;17;15;7
06/06/2015;3;23;14;8;
05/06/2015;5;68;30;22;
04/06/2015;5;56;27;23;11
03/06/2015;4;31;24;18;10
02/06/2015;4;53;27;18;9
01/06/2015;4;29;21;13;8
31/05/2015;4;23;17;13;
30/05/2015;3;29;19;14;
29/05/2015;3;26;21;11;
28/05/2015;4;52;26;19;
27/05/2015;3;29;18;15;8
26/05/2015;4;40;22;13;
25/05/2015;3;31;22;11;5
24/05/2015;3;19;15;9;5
23/05/2015;3;24;16;14;6
22/05/2015;3;22;20;14;5
21/05/2015;4;30;24;13;5
20/05/2015;4;40;27;8;3
19/05/2015;3;25;21;10;
18/05/2015;7;40;29;14;
17/05/2015;3;26;13;5;
16/05/2015;3;25;17;8;3
15/05/2015;3;34;22;7;
14/05/2015;4;40;26;20;9
13/05/2015;7;78;43;48;19
12/05/2015;6;89;43;38;15
11/05/2015;6;81;39;30;13
10/05/2015;4;43;24;19;7
09/05/2015;3;32;21;15;5
08/05/2015;3;33;17;15;6
07/05/2015;11;65;43;25;11
06/05/2015;4;43;27;16;8
05/05/2015;4;44;21;13;4
04/05/2015;4;35;17;19;8
03/05/2015;2;16;12;19;9
02/05/2015;2;32;14;7;4
01/05/2015;2;21;12;8;4
30/04/2015;5;38;24;14;
29/04/2015;5;29;27;16;8
28/04/2015;4;26;19;13;6
27/04/2015;5;30;24;8;3
26/04/2015;4;31;17;5;
25/04/2015;4;17;15;6;
24/04/2015;11;70;48;22;
23/04/2015;6;57;30;15;8
22/04/2015;5;20;19;14;5
21/04/2015;15;66;45;19;9
20/04/2015;14;65;47;18;
19/04/2015;4;20;19;9;
18/04/2015;6;35;27;16;
17/04/2015;13;52;50;18;9
16/04/2015;6;77;31;27;10
15/04/2015;4;33;18;22;8
14/04/2015;11;98;40;31;9
13/04/2015;11;100;43;49;14
12/04/2015;7;33;25;27;10
11/04/2015;5;26;23;16;10
10/04/2015;5;47;26;19;8
09/04/2015;4;18;15;18;2
08/04/2015;3;10;12;16;4
07/04/2015;11;55;33;21;6
06/04/2015;4;27;19;13;4
05/04/2015;4;15;15;7;3
04/04/2015;4;17;17;7;2
03/04/2015;6;35;27;13;5
02/04/2015;6;38;31;15;3
01/04/2015;5;37;24;19;3
31/03/2015;7;48;32;19;6
30/03/2015;16;66;56;23;6
29/03/2015;4;33;24;10;3
28/03/2015;4;28;23;12;5
27/03/2015;6;52;34;8;3
26/03/2015;4;55;32;10;4
25/03/2015;6;57;39;7;2
24/03/2015;6;54;44;7;3
23/03/2015;26;94;91;9;
22/03/2015;3;27;20;9;4
21/03/2015;3;39;24;8;4
20/03/2015;4;30;25;19;9
19/03/2015;4;27;21;12;5
18/03/2015;6;56;39;11;4
17/03/2015;13;57;57;18;5
16/03/2015;6;46;43;17;8
15/03/2015;4;41;36;13;8
14/03/2015;4;44;38;7;3
13/03/2015;7;48;50;27;6
12/03/2015;12;60;62;43;16
11/03/2015;21;60;82;41;17
10/03/2015;29;70;92;31;7
09/03/2015;13;80;62;25;6
08/03/2015;4;51;34;13;3
07/03/2015;12;76;60;19;6
06/03/2015;16;79;69;23;6
05/03/2015;4;45;28;16;3
04/03/2015;5;54;38;9;2
03/03/2015;7;61;38;9;4
02/03/2015;4;42;27;7;2
01/03/2015;4;37;22;7;2
28/02/2015;6;54;37;11;4
27/02/2015;5;52;36;9;2
26/02/2015;5;60;40;5;2
25/02/2015;4;51;35;6;3
24/02/2015;3;49;30;6;3
23/02/2015;4;49;32;7;3
22/02/2015;3;44;31;8;2
21/02/2015;3;38;28;6;2
20/02/2015;18;70;60;21;
19/02/2015;23;81;78;23;6
18/02/2015;6;55;41;16;4
17/02/2015;4;49;35;13;3
16/02/2015;4;54;37;9;2
15/02/2015;4;40;29;5;1
14/02/2015;4;64;36;7;3
13/02/2015;12;73;57;18;7
12/02/2015;41;109;132;34;13
11/02/2015;80;128;209;46;25
10/02/2015;34;104;118;29;10
09/02/2015;10;97;51;25;4
08/02/2015;3;62;31;21;12
07/02/2015;4;59;32;17;7
06/02/2015;8;55;46;9;3
05/02/2015;5;41;34;10;2
04/02/2015;4;48;35;12;2
03/02/2015;3;67;32;7;1
02/02/2015;3;46;30;5;1
01/02/2015;2;48;29;8;2
31/01/2015;2;33;24;6;2
30/01/2015;4;55;39;6;2
29/01/2015;5;50;29;9;4
28/01/2015;4;56;38;11;3
27/01/2015;7;66;49;11;4
26/01/2015;5;70;47;21;6
25/01/2015;3;55;30;16;3
24/01/2015;19;65;69;17;6
23/01/2015;8;77;57;13;3
22/01/2015;7;78;52;8;2
21/01/2015;3;49;30;5;2
20/01/2015;4;57;35;8;
19/01/2015;7;75;50;10;2
18/01/2015;3;43;25;10;3
17/01/2015;3;47;25;10;2
16/01/2015;4;39;29;8;1
15/01/2015;5;66;30;9;3
14/01/2015;5;61;33;11;3
13/01/2015;9;53;40;17;6
12/01/2015;42;81;117;21;8
11/01/2015;5;45;33;12;5
10/01/2015;37;79;101;20;8
09/01/2015;80;101;181;28;9
08/01/2015;70;77;157;27;13
07/01/2015;40;82;112;22;6
06/01/2015;21;64;74;17;8
05/01/2015;24;64;77;11;3
04/01/2015;37;69;105;19;
03/01/2015;43;90;119;21;5
02/01/2015;73;108;173;30;9
01/01/2015;27;76;92;27;9
