Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3;dd;vv;TMP;HR;PRB;RS;LL;;;;
01/01/2014;00:00:00;9;2;10;18;1;57;182;3.3;13.7;43;984;0;0.0;;;;
01/01/2014;01:00:00;8;3;15;17;7;53;170;1.6;12.7;47;984;0;0.0;;;;
01/01/2014;02:00:00;8;2;11;13;4;56;180;2.6;12.4;45;984;0;0.0;;;;
01/01/2014;03:00:00;7;2;9;9;4;56;180;3.7;12.1;45;983;0;0.0;;;;
01/01/2014;04:00:00;7;2;8;11;4;59;182;3.2;11.8;50;983;0;0.0;;;;
01/01/2014;05:00:00;8;2;8;13;2;60;181;3.0;11.3;60;983;0;0.0;;;;
01/01/2014;06:00:00;8;2;8;13;3;62;181;3.4;11.0;66;983;0;0.0;;;;
01/01/2014;07:00:00;8;3;11;11;1;57;184;3.8;10.9;67;983;0;0.0;;;;
01/01/2014;08:00:00;8;3;10;11;4;59;186;4.0;10.7;70;984;6;0.0;;;;
01/01/2014;09:00:00;8;3;8;10;1;65;179;3.5;12.3;74;984;198;0.0;;;;
01/01/2014;10:00:00;8;2;5;10;1;80;82;1.5;14.9;73;985;379;0.0;;;;
01/01/2014;11:00:00;8;2;6;21;4;80;22;1.1;15.3;74;985;523;0.0;;;;
01/01/2014;12:00:00;8;2;6;19;6;80;6;1.9;14.8;75;985;416;0.0;;;;
01/01/2014;13:00:00;8;2;7;22;4;80;5;1.5;14.6;78;984;248;0.0;;;;
01/01/2014;14:00:00;8;2;7;11;5;82;168;1.1;15.3;77;983;414;0.0;;;;
01/01/2014;15:00:00;8;2;7;16;4;82;6;1.9;15.9;76;983;491;0.0;;;;
01/01/2014;16:00:00;8;2;7;17;8;80;14;2.0;14.5;78;983;142;0.0;;;;
01/01/2014;17:00:00;8;2;9;12;6;79;68;1.6;14.2;79;983;57;0.0;;;;
01/01/2014;18:00:00;8;3;21;13;6;58;147;1.6;13.4;78;983;4;0.0;;;;
01/01/2014;19:00:00;8;3;28;37;9;45;175;1.6;12.4;76;983;0;0.0;;;;
01/01/2014;20:00:00;8;3;25;51;8;49;180;2.0;12.0;75;984;0;0.0;;;;
01/01/2014;21:00:00;8;3;17;17;9;53;181;3.3;11.5;80;984;0;0.0;;;;
01/01/2014;22:00:00;8;2;12;11;4;59;179;3.1;11.3;79;984;0;0.0;;;;
01/01/2014;23:00:00;8;2;12;9;4;57;168;2.3;10.9;74;984;0;0.0;;;;
02/01/2014;00:00:00;8;2;9;7;4;60;178;1.6;11.0;68;983;0;0.0;;;;
02/01/2014;01:00:00;8;2;7;5;2;63;166;2.2;10.9;69;983;0;0.0;;;;
02/01/2014;02:00:00;8;2;6;5;3;68;180;1.4;11.3;73;982;0;0.0;;;;
02/01/2014;03:00:00;8;2;9;8;3;65;191;3.3;10.9;78;982;0;0.0;;;;
02/01/2014;04:00:00;8;2;7;5;1;70;191;1.5;11.2;77;982;0;0.0;;;;
