Fecha;BEN;CO;EBN;NO;NO2;NOX;O3;OXL;PM10;SO2;TOL
01/08/2015;null(null);0.1;null(null);2.8;8.4;13.0;78.0;null(null);14.0;1.1;null(null)
02/08/2015;null(null);0.1;null(null);2.6;9.9;14.0;67.0;null(null);13.0;1.2;null(null)
03/08/2015;0.012;0.1;0.01;3.6;11.0;16.0;43.0;0.01;13.0;1.1;0.01
04/08/2015;0.013;0.1;0.01;4.2;8.9;15.0;52.0;0.01;13.0;4.1;0.01
05/08/2015;0.014;0.1;0.01;3.3;6.3;11.0;48.0;0.01;9.5;1.0;0.01
06/08/2015;0.01;0.1;0.01;3.2;6.7;12.0;55.0;0.01;12.0;1.0;0.01
07/08/2015;0.01;0.1;0.01;3.7;7.9;13.0;58.0;0.01;13.0;1.1;0.01
08/08/2015;0.01;0.1;0.01;2.6;4.6;8.5;59.0;0.01;14.0;3.7;0.01
09/08/2015;0.01;0.1;0.01;2.0;3.7;6.8;67.0;0.01;16.0;2.0;0.01
10/08/2015;0.01;0.11;0.01;3.5;10.0;15.0;75.0;0.01;23.0;1.4;0.01
11/08/2015;0.01;0.1;0.01;3.0;9.0;14.0;81.0;0.01;22.0;1.4;0.01
12/08/2015;0.01;0.1;0.01;2.3;4.8;8.3;57.0;0.01;19.0;1.2;0.01
13/08/2015;0.01;0.1;0.01;3.0;6.0;10.0;54.0;0.01;6.0;1.0;0.01
14/08/2015;0.01;0.1;0.01;3.5;9.5;15.0;36.0;0.01;11.0;1.4;0.01
15/08/2015;0.01;0.1;0.01;2.5;6.5;10.0;37.0;0.01;10.0;2.1;0.01
16/08/2015;0.01;0.1;0.01;2.2;4.5;7.7;39.0;0.01;7.3;1.0;0.01
17/08/2015;0.01;0.1;0.01;4.4;9.3;16.0;40.0;0.01;9.8;1.0;0.01
18/08/2015;0.01;0.1;0.01;4.6;8.0;15.0;46.0;0.01;11.0;1.5;0.01
19/08/2015;0.01;0.1;0.01;5.1;8.8;16.0;55.0;0.01;16.0;1.4;0.01
20/08/2015;0.01;0.1;0.01;3.8;11.0;16.0;59.0;0.01;14.0;1.7;0.01
21/08/2015;0.01;0.1;0.01;4.4;12.0;18.0;50.0;0.01;18.0;1.0;0.01
22/08/2015;0.01;0.1;0.01;2.3;4.3;7.6;45.0;0.01;12.0;1.1;0.01
23/08/2015;0.01;0.1;0.01;1.7;1.8;4.2;51.0;0.01;8.9;3.3;0.01
24/08/2015;0.01;0.1;0.01;3.0;5.2;9.4;57.0;0.01;8.5;1.2;0.01
25/08/2015;0.01;0.1;0.01;2.6;4.8;8.8;48.0;0.01;8.5;1.3;0.01
26/08/2015;0.01;0.1;0.01;2.5;4.0;7.9;43.0;0.01;7.1;1.1;0.01
27/08/2015;0.01;0.1;0.01;2.3;2.4;5.7;36.0;0.01;7.3;3.2;0.01
28/08/2015;0.01;0.1;0.01;3.4;5.2;10.0;33.0;0.01;8.0;1.2;0.01
29/08/2015;0.01;0.1;0.01;3.6;7.8;13.0;44.0;0.01;12.0;1.1;0.01
30/08/2015;0.01;0.1;0.01;2.1;6.6;9.8;61.0;0.01;26.0;1.1;0.01
31/08/2015;0.01;0.1;0.01;3.6;8.0;14.0;55.0;0.01;17.0;1.0;0.01
01/10/2015;0.01;0.1;0.01;5.8;19.0;28.0;42.0;0.01;20.0;1.3;0.01
02/10/2015;0.01;0.1;0.01;5.0;18.0;25.0;51.0;0.01;21.0;1.2;0.01
03/10/2015;0.01;0.1;0.01;4.2;18.0;25.0;30.0;0.01;16.0;1.5;0.01
04/10/2015;0.01;0.1;0.01;2.2;4.9;8.2;42.0;0.01;7.3;1.2;0.01
