Fecha;CO;NO;NO2;NOX;O3;PM10;SO2
01/10/2015;0.39;;0;;69;30;8
30/09/2015;0.42;;0;;44;30;7
29/09/2015;0.42;;0;;61;28;6
28/09/2015;0.4;;0;;54;24;6
27/09/2015;0.38;;0;;73;17;6
26/09/2015;0.3;;0;;64;20;5
25/09/2015;0.35;;0;;52;23;6
24/09/2015;0.31;;0;;48;16;5
23/09/2015;0.33;;0;;62;11;4
22/09/2015;0.24;;0;;72;12;5
21/09/2015;0.36;;0;;66;24;8
20/09/2015;0.28;;0;;80;15;9
19/09/2015;0.25;;0;;75;17;6
18/09/2015;0.35;;0;;59;20;7
17/09/2015;0.42;;0;;60;16;4
16/09/2015;0.25;;0;;59;16;4
15/09/2015;0.3;;0;;54;18;6
14/09/2015;0.23;;0;;60;19;4
13/09/2015;0.31;;0;;63;15;5
12/09/2015;0.24;;0;;76;18;8
11/09/2015;0.28;;0;;73;25;11
10/09/2015;0.36;;0;;63;26;6
09/09/2015;0.37;;0;;67;36;9
08/09/2015;0.27;;0;;67;28;10
07/09/2015;0.29;;0;;60;23;6
06/09/2015;0.26;;0;;84;16;5
05/09/2015;0.25;;0;;75;14;5
04/09/2015;0.25;;0;;58;;5
03/09/2015;0.26;;0;;55;;6
02/09/2015;0.29;;0;;62;21;4
01/09/2015;0.26;;0;;67;16;4
31/08/2015;0.3;;0;;58;29;4
30/08/2015;0.36;;0;;78;25;4
29/08/2015;0.25;;0;;69;25;4
28/08/2015;0.26;;0;;55;24;4
27/08/2015;0.25;;0;;52;20;4
26/08/2015;0.37;;0;;29;31;4
25/08/2015;0.26;;0;;62;19;4
24/08/2015;0.24;;0;;70;17;4
23/08/2015;0.2;;0;;63;8;4
22/08/2015;0.36;;0;;67;24;3
21/08/2015;0.31;;0;;87;34;3
20/08/2015;0.23;;0;;75;25;5
19/08/2015;0.22;;0;;73;15;5
18/08/2015;0.29;;0;;77;18;4
17/08/2015;0.3;;0;;75;21;4
16/08/2015;0.27;;0;;55;16;5
15/08/2015;0.25;;0;;63;13;4
14/08/2015;0.24;;0;;68;16;3
13/08/2015;0.27;;0;;65;18;5
12/08/2015;0.27;;0;;76;32;7
11/08/2015;0.32;;0;;98;31;7
10/08/2015;0.23;;0;;102;20;5
09/08/2015;0.21;;0;;81;15;6
08/08/2015;0.16;;0;;69;14;6
07/08/2015;0.25;;0;;63;14;4
06/08/2015;0.29;;0;;70;24;3
05/08/2015;0.28;;0;;70;23;1
04/08/2015;0.27;;0;;42;13;1
03/08/2015;0.28;;0;;90;22;2
02/08/2015;0.22;;0;;112;21;2
01/08/2015;0.21;;0;;95;18;1
31/07/2015;0.23;;0;;78;15;0
30/07/2015;0.31;;0;;52;16;1
29/07/2015;0.32;;0;;46;17;2
28/07/2015;0.22;;0;;67;17;3
27/07/2015;0.24;;0;;42;18;
26/07/2015;0.21;;0;;85;17;
25/07/2015;0.16;;0;;82;16;
24/07/2015;0.4;;0;;58;23;
23/07/2015;0.35;;0;;58;19;
22/07/2015;0.3;;0;;38;16;
21/07/2015;0.18;;0;;49;19;
20/07/2015;0.37;;0;;54;25;
19/07/2015;0.36;;0;;72;23;3
18/07/2015;0.27;;0;;50;22;3
17/07/2015;0.51;;0;;61;28;4
16/07/2015;0.33;;0;;58;20;2
15/07/2015;0.34;;0;;50;22;2
14/07/2015;0.24;;0;;60;20;2
13/07/2015;0.34;;0;;55;17;2
12/07/2015;0.23;;0;;58;10;1
11/07/2015;0.23;;0;;67;18;3
10/07/2015;0.4;;0;;93;39;6
09/07/2015;0.24;;0;;64;16;1
08/07/2015;0.25;;0;;53;12;1
07/07/2015;0.24;;0;;61;22;5
06/07/2015;0.32;;0;;73;25;3
05/07/2015;0.29;;0;;53;11;1
04/07/2015;0.29;;0;;65;23;4
03/07/2015;0.43;;0;;91;33;4
02/07/2015;0.31;;0;;50;17;2
01/07/2015;0.3;;0;;82;34;3
30/06/2015;0.5;;0;;89;37;6
29/06/2015;0.23;;0;;68;22;7
28/06/2015;0.27;;0;;52;18;6
27/06/2015;0.26;;0;;75;25;8
26/06/2015;0.35;;0;;71;38;5
25/06/2015;0.36;;0;;93;33;9
24/06/2015;0.46;;0;;58;24;8
23/06/2015;0.41;;0;;54;19;4
22/06/2015;0.42;;0;;56;24;7
21/06/2015;0.29;;0;;86;22;9
20/06/2015;0.26;;0;;76;22;5
19/06/2015;0.32;;0;;66;20;6
18/06/2015;0.3;;0;;88;24;6
17/06/2015;0.27;;0;;89;22;5
16/06/2015;0.23;;0;;76;15;4
15/06/2015;0.27;;0;;77;16;4
14/06/2015;0.27;;0;;98;14;6
13/06/2015;0.28;;0;;81;15;4
12/06/2015;0.37;;0;;66;24;4
11/06/2015;0.35;;0;;65;20;4
10/06/2015;0.4;;0;;10;;
09/06/2015;0.3;;0;;88;;
08/06/2015;0.45;;0;;90;32;8
07/06/2015;0.29;;0;;69;20;4
06/06/2015;0.35;;0;;63;16;3
05/06/2015;0.38;;0;;56;31;6
04/06/2015;0.33;;0;;93;32;5
03/06/2015;0.29;;0;;60;20;4
02/06/2015;0.32;;0;;58;23;4
01/06/2015;0.36;;0;;50;20;5
31/05/2015;0.27;;0;;73;19;9
30/05/2015;0.28;;0;;91;20;8
29/05/2015;0.35;;0;;87;15;4
28/05/2015;0.25;;0;;78;24;6
27/05/2015;;;0;;66;23;5
26/05/2015;;;0;;70;20;5
25/05/2015;;;0;;59;16;4
24/05/2015;;;0;;52;12;4
23/05/2015;;;0;;81;16;5
