Fecha;BEN;CO;EBN;NO;NO2;NOX;OXL;PM10;SO2;TOL;O3
01/10/2015;0.17;0.58;0.27;19;85;;1.02;28;14;1.84;
30/09/2015;0.46;0.49;0.54;16;92;79;2.25;32;14;4.09;
29/09/2015;0.33;0.41;0.37;25;58;76;1.57;31;14;2.56;
28/09/2015;0.25;0.35;0.19;16;66;70;1.06;23;12;2.32;
27/09/2015;0.22;0.33;0.06;13;54;49;0.47;18;11;1.17;
26/09/2015;0.18;0.28;0.13;16;50;57;0.71;19;12;1.54;
25/09/2015;0.28;0.34;0.21;29;61;84;1.02;22;11;2.45;
24/09/2015;0.15;0.29;0.11;19;69;70;0.77;13;7;1.78;
23/09/2015;0.14;0.29;0.1;10;69;55;0.63;9;6;1.54;
22/09/2015;0.05;0.25;0.02;6;41;33;0.26;12;7;1.48;
21/09/2015;0.34;0.38;0.32;25;59;69;1.06;25;13;2.39;
20/09/2015;0.27;0.35;0.06;11;64;48;0.44;17;13;1.16;
19/09/2015;0.15;0.27;0.12;13;53;49;0.62;16;12;1.2;
18/09/2015;0.12;0.25;0.11;18;55;63;0.77;17;13;1.42;
17/09/2015;;0.31;;8;61;43;;11;7;;
16/09/2015;;0.28;;7;47;31;;10;3;;
15/09/2015;;0.31;;22;67;70;;19;6;;
14/09/2015;0.81;0.22;0.2;7;65;38;0.28;17;5;0.81;
13/09/2015;0.94;0.41;0.21;8;41;40;0.37;12;6;0.94;
12/09/2015;0.88;0.34;0.19;6;44;31;0.24;14;7;0.75;
11/09/2015;1.04;0.35;0.39;20;55;66;1.1;23;14;1.61;
10/09/2015;1.05;0.38;0.31;11;79;51;0.87;20;6;1.61;
09/09/2015;1.03;0.37;0.61;23;80;80;2.34;30;13;2.27;
08/09/2015;0.95;0.28;0.33;21;81;82;0.94;25;15;1.64;
07/09/2015;0.87;0.27;0.27;21;64;71;0.63;21;10;1.25;
06/09/2015;0.81;0.24;0.2;10;71;47;0.36;14;8;0.74;
05/09/2015;0.84;0.22;0.2;8;64;41;0.28;12;6;0.72;
04/09/2015;0.84;0.26;0.19;7;61;36;0.23;8;4;0.79;
03/09/2015;1.17;0.34;0.27;7;59;41;0.53;12;6;1.99;
02/09/2015;0.94;0.28;0.29;17;64;57;0.73;20;8;1.54;
01/09/2015;0.9;0.3;0.2;6;53;37;0.24;12;6;1.52;
31/08/2015;0.96;0.4;0.26;12;74;46;0.57;23;4;1;
30/08/2015;1.07;0.4;0.29;12;115;56;0.71;33;7;1.33;
29/08/2015;0.86;0.37;0.33;14;61;47;0.57;22;7;0.98;
28/08/2015;1.11;0.39;0.32;14;60;52;0.51;25;7;1.38;
27/08/2015;0.95;0.38;0.33;18;76;71;0.86;15;6;1.6;
26/08/2015;1.06;0.35;0.49;30;112;100;1.18;24;10;2.64;
25/08/2015;0.93;0.27;0.25;17;59;62;0.51;16;8;1.04;
24/08/2015;0.82;0.24;0.19;6;53;30;0.18;12;4;0.47;
23/08/2015;0.8;0.29;0.18;7;39;34;0.22;7;4;0.54;
22/08/2015;1.1;0.55;0.21;7;49;36;0.35;23;4;0.89;
21/08/2015;1.11;0.51;0.41;17;74;62;1.02;30;9;1.7;
20/08/2015;1.05;0.46;0.3;15;54;61;0.79;21;10;1.55;
19/08/2015;0.95;0.26;0.2;12;43;45;0.35;11;6;0.84;
18/08/2015;0.85;0.32;0.28;10;53;41;0.35;15;5;0.81;
17/08/2015;0.81;0.42;0.23;11;42;38;0.44;16;4;0.76;
16/08/2015;0.87;0.42;0.19;10;31;36;0.3;14;6;0.71;
15/08/2015;0.94;0.26;0.18;7;33;29;0.2;11;5;0.63;
14/08/2015;0.78;0.21;0.18;5;22;23;0.1;11;5;0.37;
13/08/2015;0.85;0.45;0.22;8;51;35;0.34;13;5;0.93;
12/08/2015;0.94;0.45;0.3;12;61;54;0.65;;6;1.36;
11/08/2015;0.92;0.4;0.32;12;60;49;0.74;32;7;1.44;
10/08/2015;0.83;0.32;0.26;13;53;50;0.56;20;6;1.32;
09/08/2015;0.8;0.24;0.19;5;42;24;0.15;17;6;0.41;
08/08/2015;0.81;0.18;0.18;5;27;26;0.1;14;8;0.45;
07/08/2015;0.44;0.42;0.19;6;53;33;0.28;14;9;0.9;
06/08/2015;0.28;0.42;0.27;17;62;57;0.7;28;11;1.56;
05/08/2015;0.24;0.4;0.31;13;48;44;0.82;21;5;1.74;
04/08/2015;0.24;0.4;0.22;7;45;41;0.49;14;5;1.23;
03/08/2015;0.24;0.62;0.26;10;64;43;0.58;22;6;2.1;
02/08/2015;0.21;0.5;0.17;7;41;36;0.28;20;6;0.9;
01/08/2015;0.17;0.24;0.18;6;44;34;0.33;16;5;0.88;
31/07/2015;0.23;0.29;0.19;5;41;32;0.4;16;4;1.06;
30/07/2015;0.23;0.31;0.21;8;63;36;0.31;13;4;0.97;
29/07/2015;0.25;0.42;0.31;13;55;50;0.81;;6;1.63;
28/07/2015;0.24;0.38;0.21;10;44;41;0.38;16;6;1.29;
27/07/2015;0.18;0.34;0.17;7;50;32;0.26;19;6;0.87;
26/07/2015;0.2;0.33;0.16;7;40;34;0.3;19;7;0.74;
25/07/2015;0.15;0.29;0.16;5;41;23;0.16;18;6;0.5;
24/07/2015;0.33;0.4;0.42;19;63;61;1.28;23;6;2.24;
23/07/2015;0.27;0.34;0.24;10;46;44;0.62;19;4;1.45;
22/07/2015;0.2;0.33;0.23;8;41;39;0.56;19;4;1.81;
21/07/2015;0.39;0.6;0.29;10;53;44;0.68;;5;2.22;
20/07/2015;0.32;0.53;0.29;16;55;56;0.76;37;5;1.61;
19/07/2015;0.25;0.6;0.21;10;45;36;0.42;;4;1;
18/07/2015;0.29;0.55;0.22;8;42;35;0.46;;4;1.07;
17/07/2015;0.46;0.55;0.43;16;58;56;1.07;35;5;1.89;
16/07/2015;0.37;0.46;0.2;7;45;32;0.41;;4;1.23;
15/07/2015;0.21;0.38;0.18;6;44;30;0.28;32;5;1.03;
14/07/2015;0.2;0.35;0.22;9;59;38;0.48;22;5;1.3;
13/07/2015;0.26;0.34;0.22;15;44;46;0.48;20;6;1.2;
12/07/2015;0.16;0.31;0.16;4;30;21;0.14;13;5;0.56;
11/07/2015;0.15;0.3;0.16;5;25;21;0.17;24;5;0.54;
10/07/2015;0.33;0.38;0.38;16;74;57;1.05;33;8;1.72;
09/07/2015;0.27;0.35;0.2;8;62;35;0.31;18;5;1.08;
08/07/2015;0.2;0.35;0.17;6;45;25;0.16;;4;0.66;
07/07/2015;0.24;0.41;0.27;7;44;29;0.67;;5;1.29;
06/07/2015;;0.53;;;42;;;;;;
05/07/2015;0.36;0.53;0.18;5;22;21;0.36;;5;0.97;
04/07/2015;0.2;0.41;0.93;8;44;32;2.67;30;6;1.35;
03/07/2015;0.27;0.48;8.91;16;76;62;22.13;33;5;2.49;
02/07/2015;0.26;0.45;0.24;7;42;33;0.46;;4;1.27;
01/07/2015;0.26;0.53;0.23;8;59;34;0.49;42;4;1.29;
30/06/2015;0.49;0.69;0.79;14;91;62;1.45;;4;4.39;
29/06/2015;0.22;0.3;0.47;8;61;42;1.12;30;4;1.74;
28/06/2015;0.32;0.42;0.22;9;35;32;0.52;20;6;1.36;
27/06/2015;0.29;0.37;0.2;6;45;29;0.44;27;5;1.22;
26/06/2015;0.32;0.87;0.41;10;73;46;0.97;37;5;2.24;
25/06/2015;0.45;0.69;0.54;16;58;66;1.52;30;8;2.42;
24/06/2015;0.45;0.56;0.3;16;44;51;0.61;27;10;1.18;
23/06/2015;0.46;0.47;0.2;9;50;34;0.33;19;5;0.89;
22/06/2015;0.3;0.44;0.29;15;58;51;0.65;28;6;1.2;
21/06/2015;0.33;0.4;0.22;10;59;45;0.46;25;10;0.81;
20/06/2015;0.3;0.33;0.24;10;44;39;0.38;21;6;1;
19/06/2015;0.34;0.51;0.37;12;68;51;0.62;26;8;1.1;
18/06/2015;0.49;1.35;0.41;16;72;57;0.61;22;7;1.15;
17/06/2015;0.55;1.14;0.24;6;72;36;0.48;18;5;1.04;
16/06/2015;0.18;0.21;0.17;6;61;31;0.22;11;5;0.58;
15/06/2015;0.26;0.33;0.2;6;84;33;0.34;13;4;0.99;
14/06/2015;0.26;0.36;0.17;6;36;29;0.27;14;6;0.47;
13/06/2015;0.37;0.5;0.19;7;49;34;0.37;14;4;0.73;
12/06/2015;0.39;0.61;0.19;7;62;40;0.37;23;4;0.89;
11/06/2015;0.33;0.51;0.32;12;84;60;0.7;23;4;1.48;
10/06/2015;0.42;0.53;0.41;14;78;73;0.91;27;5;2.24;
09/06/2015;0.34;0.51;0.34;12;84;54;0.59;32;7;1.33;
08/06/2015;0.44;0.55;0.23;8;59;37;0.42;30;5;1;
07/06/2015;0.29;0.37;0.16;5;26;22;0.22;20;3;0.48;
06/06/2015;0.24;0.32;0.19;5;31;24;0.31;16;3;0.56;
05/06/2015;0.29;0.53;0.3;15;78;52;0.71;29;5;1.31;
04/06/2015;0.35;0.4;0.81;18;73;70;2.29;29;4;2.01;
03/06/2015;0.23;0.4;0.56;6;33;32;1.57;17;2;4.3;
02/06/2015;0.16;0.4;0.39;10;46;40;1.38;20;3;3.57;
01/06/2015;0.17;0.44;0.28;11;55;43;1.06;17;3;1.38;
31/05/2015;0.16;0.42;0.2;10;54;40;0.67;20;8;0.6;
30/05/2015;0.16;0.37;0.21;13;59;51;0.8;20;7;0.78;
29/05/2015;;0.32;;6;57;29;0.53;12;2;0.54;
28/05/2015;0.09;0.32;0.41;15;60;55;2.16;22;5;2.08;
27/05/2015;0.11;0;0.14;8;70;40;1.27;19;4;1.71;
26/05/2015;0.12;0.19;0.07;7;69;32;0.72;18;4;1.13;
25/05/2015;0.06;0.38;0;6;28;25;0.36;12;3;0.59;
24/05/2015;0.04;0.23;0;5;20;20;0.32;11;4;0.51;
23/05/2015;0.15;0.62;0.08;7;57;29;0.72;15;5;0.93;
22/05/2015;0.1;0.47;0.03;8;76;35;0.71;18;4;1.32;
21/05/2015;0.12;0.44;0.07;10;74;43;0.8;13;4;1.19;
20/05/2015;0.07;0.33;0.08;7;68;37;0.91;12;5;1.5;
19/05/2015;0.09;0.25;0.07;6;65;34;0.81;13;5;1.15;
18/05/2015;0.15;0.36;0.27;21;43;58;1.84;22;7;1.94;
17/05/2015;0.07;0.22;0.01;5;33;22;0.4;11;3;0.75;
16/05/2015;0.08;0.23;0.02;6;36;27;0.5;14;5;0.86;
15/05/2015;0.05;0.25;0.04;7;39;34;0.68;9;4;0.92;
14/05/2015;0.09;0.19;0.06;7;42;34;0.87;22;6;1.2;
13/05/2015;0.3;0;0.34;9;54;43;2.02;33;6;2.9;
12/05/2015;0.17;0.41;0.2;5;38;31;1.41;37;9;1.75;
11/05/2015;0.23;0.51;0.13;5;39;26;1.08;39;4;1.52;
10/05/2015;0.15;0.4;0.12;9;38;39;1.09;25;10;1.62;
09/05/2015;0.15;0.54;0.21;5;42;30;1.41;20;5;1.79;
08/05/2015;0.21;0.46;0.18;6;87;33;1.39;18;5;1.82;
07/05/2015;0.28;0.37;0.87;19;84;79;4.16;24;8;6.24;
06/05/2015;0.2;0.38;;8;52;32;1.34;18;5;1.69;
05/05/2015;;0.26;;5;55;25;0.79;16;4;1.04;
04/05/2015;;0.63;;20;63;61;2.35;19;3;3.28;
03/05/2015;0.15;0.57;0.01;4;29;22;0.61;18;3;1.06;
02/05/2015;0.08;0.41;0.18;15;48;44;1.54;19;3;2.28;
01/05/2015;0.08;0.32;0.01;3;21;15;0.44;10;3;0.78;
30/04/2015;0.19;0.35;0.46;12;72;53;2.51;22;9;3.23;
29/04/2015;0.31;0.48;0.59;15;49;56;2.96;23;11;3.39;
28/04/2015;0.23;0.5;0.17;8;60;36;1.01;21;4;1.27;
27/04/2015;0.31;0.33;0.06;4;41;23;0.57;11;4;1.1;
26/04/2015;0.04;0.26;0;4;29;22;0.45;10;4;0.81;
25/04/2015;0.37;0.74;0.36;8;46;38;2.03;20;5;2.39;
24/04/2015;0.47;0.55;0.73;20;66;70;3.4;35;10;3.98;
23/04/2015;0.16;0.38;0.32;8;57;40;1.85;21;5;2.32;
22/04/2015;0.18;0.34;0.21;8;88;46;1.49;20;5;2.12;
21/04/2015;0.38;0.46;0.71;21;68;75;3.33;35;11;4.2;
20/04/2015;0.46;0.36;0.29;13;48;51;1.88;26;12;2.33;
19/04/2015;0.2;0.37;0.16;5;42;29;1.07;15;6;1.41;
18/04/2015;0.27;0.37;0.25;7;41;35;1.53;23;6;1.83;
17/04/2015;0.17;0.24;0.36;;37;;2.08;28;6;2.41;
16/04/2015;0.3;0;0.53;;0;;2.57;34;7;3.19;
15/04/2015;0.12;0;0.33;;0;;1.97;25;5;2.66;
14/04/2015;0.28;0.41;0.72;;100;;3.58;38;12;3.85;
13/04/2015;0.29;0.36;0.6;13;98;76;3.16;42;9;3.63;
12/04/2015;0.29;0.38;0.32;11;75;55;2;29;11;2.5;
11/04/2015;0.26;0.56;0.25;7;62;41;1.54;19;5;2.65;
10/04/2015;0.3;0.54;0.19;7;68;46;1.44;18;5;4.05;
09/04/2015;0.26;0.31;0.38;9;77;58;2.13;21;5;5.56;
08/04/2015;0.22;0.36;0.18;8;69;51;1.41;15;5;4.23;
07/04/2015;0.35;0.42;0.44;25;94;91;2.43;25;12;3.31;
06/04/2015;0.27;0.36;0.13;11;56;49;1.01;21;10;1.32;
05/04/2015;0.15;0.28;0.02;4;56;25;0.38;10;4;0.74;
04/04/2015;0.07;0.25;0.02;3;53;21;0.26;10;5;0.51;
03/04/2015;0.19;0.35;0.18;12;48;45;1.15;21;15;1.34;
02/04/2015;0.22;0.29;0.23;10;49;48;1.56;23;12;1.86;
01/04/2015;0.13;0.26;0.05;4;56;28;0.56;29;3;0.83;
31/03/2015;0.3;0.26;0.07;5;42;32;0.93;22;7;1.19;
30/03/2015;0.19;0.4;0.19;13;60;50;1.45;27;10;1.6;
29/03/2015;0.37;0.49;0.52;22;78;75;2.71;24;9;2.99;
28/03/2015;0.28;0.45;0.21;9;71;42;1.37;23;6;1.49;
27/03/2015;0.17;0.33;0.19;13;90;62;1.3;14;7;2;
26/03/2015;0.29;0.44;0.37;23;86;82;2.16;13;7;2.75;
25/03/2015;0.34;0.25;0.07;5;58;35;0.93;11;5;1.54;
24/03/2015;0.44;0.51;0.44;18;73;72;2.34;16;5;2.85;
23/03/2015;0.41;0.37;0.6;20;91;93;2.93;14;5;4.88;
22/03/2015;0.27;0.44;0;3;33;19;0.24;18;3;1.58;
21/03/2015;0.54;0.45;0.23;5;54;45;1.43;21;5;10.06;
20/03/2015;0.52;0.52;0.01;4;39;28;0.5;38;3;5.81;
19/03/2015;0.47;0.61;0.44;11;66;54;2.32;26;7;2.55;
18/03/2015;0.57;0.62;0.94;31;104;115;4.23;33;13;5.35;
17/03/2015;0.46;0.49;0.6;22;106;100;3.03;27;10;3.5;
16/03/2015;0.51;0.49;0.46;31;75;102;2.32;33;10;2.7;
15/03/2015;0.42;0.49;0.16;10;67;53;1.11;23;5;1.62;
14/03/2015;0.28;0.43;0.06;4;56;31;0.71;16;5;1.28;
13/03/2015;0.22;0.41;0.16;5;62;39;1.16;24;6;1.81;
12/03/2015;0.45;0.49;0.57;20;62;72;2.64;47;7;3.67;
11/03/2015;0.76;0.69;0.72;23;74;85;3.41;57;11;8.02;
10/03/2015;0.59;0.52;0.94;36;81;114;4.1;41;21;4.44;
09/03/2015;0.45;0.54;0.66;26;77;100;3.1;39;14;3.57;
08/03/2015;0.51;0.58;0.36;23;63;78;1.92;30;18;2.79;
07/03/2015;0.57;0.63;0.75;40;95;116;3.47;32;19;4.62;
06/03/2015;;0.6;;42;92;128;;37;16;;
05/03/2015;;0.32;;14;90;58;;18;5;;
04/03/2015;;0.27;;4;68;28;;11;4;;
03/03/2015;;0.38;;17;77;67;;16;5;;
02/03/2015;0.42;0.6;0.21;17;69;67;1.45;15;3;2.09;
01/03/2015;0.33;0.76;0.37;26;54;77;2.17;15;5;2.59;
28/02/2015;0.65;0.76;0.68;53;90;146;3.4;21;8;4.03;
27/02/2015;0.2;0.3;0.06;4;68;32;0.54;15;4;0.83;
26/02/2015;0.18;0.28;0.13;7;75;42;0.98;8;4;1.23;
25/02/2015;0.18;0.29;0.05;3;40;28;0.66;;5;1;
24/02/2015;0.19;0.29;0.04;4;45;30;0.56;11;4;1.03;
23/02/2015;0.23;0.41;0.22;12;68;59;1.51;14;6;1.69;
22/02/2015;0.21;0.41;0.11;8;78;48;0.76;12;5;1.04;
21/02/2015;0.16;0.27;0.01;3;25;21;0.29;11;4;0.56;
20/02/2015;0.36;0.54;0.47;25;91;89;2.34;19;12;2.68;
19/02/2015;0.5;0.49;0.8;39;101;116;3.68;25;13;4.02;
18/02/2015;0.42;0.44;0.66;25;79;85;3.13;18;6;3.21;
17/02/2015;0.23;0.43;0.01;3;35;21;0.32;17;4;0.55;
16/02/2015;0.2;0.31;0.14;6;69;40;1;12;5;1.28;
15/02/2015;0.25;0.38;0.16;8;68;50;1.17;11;4;1.44;
14/02/2015;0.29;0.37;0.25;13;83;72;1.52;11;8;1.71;
13/02/2015;0.39;0.36;0.34;15;92;64;1.79;;5;2.41;
12/02/2015;0.5;0.41;0.62;19;89;86;2.95;;5;3.76;
