Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
01/01/2014;;2;2;70;1;;;;1
02/01/2014;;2;6;67;3;;;;2
03/01/2014;;2;5;69;9;;;;1
04/01/2014;;2;3;76;8;;;;3
05/01/2014;;2;3;70;7;;;;4
06/01/2014;;2;3;70;5;;;;3
07/01/2014;;2;4;61;3;;;;3
08/01/2014;;2;8;53;8;;;;3
09/01/2014;;2;10;40;14;;;;3
10/01/2014;;3;13;19;20;;;;6
11/01/2014;;3;14;19;26;;;;5
12/01/2014;;2;7;41;18;;;;3
13/01/2014;;2;4;64;6;;;;5
14/01/2014;;2;4;65;4;;;;4
15/01/2014;;2;5;53;4;;;;2
16/01/2014;;1;3;73;4;;;;2
17/01/2014;;2;4;70;5;;;;2
18/01/2014;;2;5;57;6;;;;4
19/01/2014;;2;3;55;6;;;;4
20/01/2014;;1;3;76;5;;;;4
21/01/2014;;2;4;52;5;;;;3
22/01/2014;;2;4;67;4;;;;3
23/01/2014;;1;2;79;11;;;;2
24/01/2014;;2;3;73;13;;;;1
25/01/2014;;1;2;65;2;;;;3
26/01/2014;;2;3;53;5;;;;3
27/01/2014;;2;2;81;6;;;;3
28/01/2014;;2;3;72;6;;;;3
29/01/2014;;2;3;70;6;;;;2
30/01/2014;;2;4;70;5;;;;1
31/01/2014;;2;4;68;8;;;;2
01/02/2014;;1;3;73;4;;;;2
02/02/2014;;2;3;61;8;;;;2
03/02/2014;;2;3;72;5;;;;7
04/02/2014;;2;3;75;5;;;;6
05/02/2014;;2;3;78;8;;;;3
06/02/2014;;2;2;71;9;;;;1
07/02/2014;;2;2;74;5;;;;2
08/02/2014;;2;2;80;8;;;;2
09/02/2014;;2;3;77;8;;;;2
10/02/2014;;1;2;83;8;;;;1
11/02/2014;;2;3;75;6;;;;2
12/02/2014;;2;4;62;6;;;;2
13/02/2014;;2;2;74;11;;;;2
14/02/2014;;2;2;58;9;;;;3
15/02/2014;;2;2;74;4;;;;4
16/02/2014;;2;3;50;5;;;;2
17/02/2014;;2;4;70;7;;;;2
18/02/2014;;2;5;50;10;;;;3
19/02/2014;;2;5;47;10;;;;4
20/02/2014;;2;4;45;6;;;;2
21/02/2014;;2;5;73;7;;;;3
22/02/2014;;2;5;65;6;;;;3
23/02/2014;;2;6;56;13;;;;3
24/02/2014;;2;7;67;11;;;;4
25/02/2014;;2;4;73;8;;;;2
26/02/2014;;2;4;64;7;;;;3
27/02/2014;;2;5;62;14;;;;2
28/02/2014;;2;2;79;10;;;;2
01/03/2014;;2;4;65;4;;;;1
02/03/2014;;2;4;55;4;;;;2
03/03/2014;;2;2;81;7;;;;3
04/03/2014;;2;3;73;9;;;;2
05/03/2014;;1;4;70;8;;;;2
06/03/2014;;1;5;50;8;;;;2
07/03/2014;;1;7;48;12;;;;3
08/03/2014;;1;8;59;17;;;;3
09/03/2014;;1;8;83;14;;;;1
10/03/2014;;1;7;75;16;;;;2
11/03/2014;;1;8;85;22;;;;2
12/03/2014;;1;12;70;32;;;;3
