Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
01/01/2014;;1;2;63;9;;;;3
02/01/2014;;1;1;59;10;;;;3
03/01/2014;;1;4;61;14;;;;4
04/01/2014;;1;3;77;13;;;;4
05/01/2014;;1;3;66;16;;;;3
06/01/2014;;2;6;65;16;;;;4
07/01/2014;;2;1;45;13;;;;3
08/01/2014;;11;2;37;20;;;;3
09/01/2014;;30;1;21;22;;;;5
10/01/2014;;31;1;8;30;;;;4
11/01/2014;;16;3;13;28;;;;5
12/01/2014;;4;1;33;23;;;;5
13/01/2014;;3;1;64;14;;;;4
14/01/2014;;2;1;62;12;;;;3
15/01/2014;;2;2;51;15;;;;3
16/01/2014;;1;1;65;12;;;;3
17/01/2014;;7;2;54;13;;;;3
18/01/2014;;2;1;54;12;;;;2
19/01/2014;;2;1;58;11;;;;3
20/01/2014;;3;1;60;15;;;;3
21/01/2014;;2;1;53;15;;;;4
22/01/2014;;4;2;56;14;;;;2
23/01/2014;;5;1;43;19;;;;5
24/01/2014;;3;1;49;18;;;;4
25/01/2014;;3;1;50;16;;;;4
26/01/2014;;5;1;38;15;;;;5
27/01/2014;;2;2;72;13;;;;4
28/01/2014;;2;3;69;14;;;;6
29/01/2014;;2;2;71;12;;;;4
30/01/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3;2;57;15;;;;4
31/01/2014;0.1;2;1;64;14;;;;3
01/02/2014;0.2;2;1;71;12;;;;3
02/02/2014;0.5;9;1;47;19;;;;4
03/02/2014;0.5;11;2;47;14;;;;4
04/02/2014;0.3;1;1;71;12;;;;3
05/02/2014;0.2;1;1;78;17;;;;3
06/02/2014;0.2;4;1;72;12;;;;4
07/02/2014;0.2;1;1;69;13;;;;3
08/02/2014;0.3;1;1;79;15;;;;2
09/02/2014;0.4;1;1;70;14;;;;2
10/02/2014;0.5;2;2;77;11;;;;3
11/02/2014;0.4;3;1;60;15;;;;4
12/02/2014;0.2;3;1;48;12;;;;4
13/02/2014;0.3;1;1;61;12;;;;5
14/02/2014;0.2;2;1;56;11;;;;4
15/02/2014;0.2;2;1;73;13;;;;3
16/02/2014;0.3;4;1;43;15;;;;4
17/02/2014;0.4;11;2;38;14;;;;4
18/02/2014;0.2;4;1;41;14;;;;3
19/02/2014;0.2;19;1;36;19;;;;5
20/02/2014;0.2;2;1;47;16;;;;4
21/02/2014;0.2;3;1;67;13;;;;3
22/02/2014;0.3;1;1;58;17;;;;2
23/02/2014;0.3;1;1;54;16;;;;3
24/02/2014;0.3;2;1;64;13;;;;5
25/02/2014;0.2;2;1;76;16;;;;4
26/02/2014;0.2;2;1;72;14;;;;4
27/02/2014;0.3;2;1;62;16;;;;5
