Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
01/01/2014;0.1;1;7;;11;;;;4
02/01/2014;0.1;2;14;;13;;;;3
03/01/2014;0.2;4;18;;16;;;;1
04/01/2014;0.3;2;10;;12;;;;2
05/01/2014;0.3;1;7;;11;;;;3
06/01/2014;0.3;2;9;;12;;;;4
07/01/2014;0.5;3;15;;17;;;;4
08/01/2014;0.4;29;25;;33;;;;3
09/01/2014;0.3;41;30;;57;;;;1
10/01/2014;0.3;46;27;;56;;;;3
11/01/2014;0.3;13;22;;54;;;;3
12/01/2014;0.2;1;12;;45;;;;2
13/01/2014;0.2;4;20;;19;;;;2
14/01/2014;0.2;5;26;;15;;;;3
15/01/2014;0.2;8;26;;22;;;;3
16/01/2014;0.4;3;15;;15;;;;2
17/01/2014;0.3;2;13;;15;;;;2
18/01/2014;0.2;2;16;;16;;;;2
19/01/2014;0.3;3;17;;17;;;;4
20/01/2014;0.3;6;24;;15;;;;3
21/01/2014;0.3;9;27;;18;;;;4
22/01/2014;0.3;7;21;;23;;;;5
23/01/2014;0.2;5;28;;18;;;;4
24/01/2014;0.1;4;23;;24;;;;2
25/01/2014;0.2;3;13;;13;;;;2
26/01/2014;0.3;3;12;;16;;;;3
27/01/2014;0.2;2;16;;14;;;;3
28/01/2014;0.2;2;12;;13;;;;2
29/01/2014;0.1;3;16;;15;;;;2
30/01/2014;0.2;4;18;;12;;;;2
31/01/2014;0.2;6;23;;16;;;;3
01/02/2014;0.4;3;15;;17;;;;4
02/02/2014;0.4;3;14;;17;;;;4
03/02/2014;0.2;4;20;;13;;;;2
04/02/2014;0.3;2;12;;13;;;;2
05/02/2014;0.3;3;12;;16;;;;3
06/02/2014;0.3;1;6;;18;;;;2
07/02/2014;0.4;3;10;;15;;;;3
08/02/2014;0.2;2;8;;14;;;;4
09/02/2014;0.2;1;4;;12;;;;5
10/02/2014;0.3;1;9;;13;;;;6
11/02/2014;0.3;4;17;;14;;;;4
12/02/2014;0.3;5;21;;17;;;;2
13/02/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2;12;;22;;;;3
14/02/2014;;2;5;;26;;;;3
15/02/2014;;3;11;;15;;;;2
16/02/2014;;4;16;;14;;;;3
17/02/2014;;7;20;;22;;;;2
18/02/2014;;16;23;;30;;;;3
19/02/2014;;9;23;;22;;;;2
20/02/2014;;14;18;;21;;;;2
21/02/2014;;4;18;;14;;;;2
22/02/2014;;3;15;;20;;;;2
23/02/2014;;1;9;;18;;;;3
24/02/2014;;8;18;;27;;;;3
25/02/2014;;2;11;;29;;;;2
26/02/2014;;6;19;;17;;;;2
27/02/2014;;6;26;;23;;;;2
28/02/2014;;1;10;;16;;;;3
01/03/2014;;5;19;;14;;;;3
02/03/2014;;3;15;;15;;;;4
03/03/2014;;2;9;;12;;;;4
04/03/2014;;5;15;;16;;;;2
05/03/2014;;2;11;;15;;;;2
06/03/2014;;10;20;;20;;;;3
07/03/2014;;12;21;;32;;;;2
08/03/2014;;6;22;;36;;;;1
09/03/2014;;1;13;;24;;;;2
10/03/2014;;7;24;;30;;;;3
11/03/2014;;6;25;;40;;;;3
12/03/2014;;7;29;;54;;;;2
13/03/2014;;9;25;;46;;;;2
14/03/2014;;6;22;;45;;;;3
15/03/2014;;3;15;;52;;;;3
16/03/2014;;2;17;;45;;;;2
17/03/2014;;9;27;;35;;;;2
18/03/2014;;3;18;;38;;;;2
19/03/2014;;4;17;;25;;;;1
20/03/2014;;16;24;;39;;;;1
21/03/2014;;5;22;;41;;;;1
22/03/2014;;3;8;;15;;;;1
23/03/2014;;3;9;;14;;;;1
24/03/2014;;8;20;;19;;;;1
25/03/2014;;4;10;;17;;;;1
26/03/2014;;3;13;;13;;;;1
27/03/2014;;5;20;;15;;;;2
28/03/2014;;8;16;;21;;;;2
29/03/2014;;4;6;;23;;;;4
30/03/2014;;5;11;;40;;;;5
31/03/2014;;10;18;;23;;;;2
01/04/2014;;5;9;;23;;;;2
02/04/2014;;5;12;;23;;;;3
03/04/2014;;6;14;;12;;;;2
04/04/2014;;9;16;;15;;;;1
05/04/2014;;7;15;;13;;;;1
06/04/2014;;8;15;;;;;;
07/04/2014;;13;16;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
08/04/2014;;5;6;;13;;;;3
09/04/2014;;6;14;;23;;;;5
10/04/2014;;13;17;;28;;;;4
11/04/2014;;7;13;;25;;;;2
12/04/2014;;5;9;;35;;;;3
13/04/2014;;5;11;;32;;;;3
14/04/2014;;11;20;;31;;;;4
15/04/2014;;10;22;;33;;;;3
16/04/2014;;10;21;;25;;;;3
17/04/2014;;8;16;;18;;;;2
18/04/2014;;6;11;;16;;;;2
19/04/2014;;6;9;;19;;;;3
20/04/2014;;6;9;;14;;;;4
21/04/2014;;7;10;;14;;;;3
22/04/2014;;9;17;;19;;;;3
23/04/2014;;9;12;;19;;;;3
24/04/2014;;8;12;;16;;;;2
25/04/2014;;8;12;;16;;;;3
26/04/2014;;6;6;;13;;;;3
27/04/2014;;6;6;;18;;;;2
28/04/2014;;7;7;;15;;;;2
29/04/2014;;7;9;;15;;;;3
30/04/2014;;9;10;;17;;;;3
01/05/2014;;6;4;;13;;;;2
02/05/2014;;6;4;;10;;;;2
03/05/2014;;5;3;;15;;;;2
04/05/2014;;6;7;;19;;;;2
05/05/2014;;9;14;;26;;;;3
06/05/2014;;7;13;;25;;;;3
07/05/2014;;8;12;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;2
08/05/2014;;8;12;;23;;;;3
09/05/2014;;8;12;;21;;;;3
10/05/2014;;8;7;;20;;;;2
11/05/2014;;6;3;;15;;;;4
12/05/2014;;7;9;;18;;;;5
13/05/2014;;6;6;;14;;;;3
14/05/2014;;7;11;;18;;;;2
15/05/2014;;8;10;;19;;;;2
16/05/2014;;8;11;;21;;;;2
17/05/2014;;6;7;;20;;;;2
18/05/2014;;7;8;;25;;;;4
19/05/2014;;7;12;;27;;;;5
20/05/2014;;7;7;;16;;;;5
21/05/2014;;7;5;;20;;;;4
22/05/2014;;7;6;;12;;;;2
23/05/2014;;7;6;;11;;;;2
24/05/2014;;6;5;;21;;;;2
25/05/2014;;6;4;;14;;;;2
26/05/2014;;7;7;;13;;;;2
27/05/2014;;7;9;;17;;;;3
28/05/2014;;7;9;;15;;;;3
29/05/2014;;10;10;;14;;;;3
30/05/2014;;7;7;;11;;;;3
31/05/2014;;7;5;;13;;;;3
01/06/2014;;6;5;;17;;;;2
02/06/2014;;9;11;;21;;;;2
03/06/2014;;7;9;;22;;;;3
04/06/2014;;7;9;;18;;;;3
05/06/2014;;8;10;;22;;;;3
06/06/2014;;9;12;;50;;;;2
07/06/2014;;7;7;;15;;;;2
08/06/2014;;7;5;;15;;;;4
09/06/2014;;6;6;;23;;;;3
10/06/2014;;6;4;;21;;;;2
