Fecha;CO;NO;NO2;NOX;PM10
01/10/2015;0.44;20;55;57;25
30/09/2015;0.37;15;59;53;19
29/09/2015;0.33;10;33;36;22
28/09/2015;0.3;8;56;39;19
27/09/2015;0.3;4;35;25;12
26/09/2015;0.28;5;30;28;13
25/09/2015;0.32;11;37;44;
24/09/2015;0.29;13;40;46;
23/09/2015;0.22;9;57;43;8
22/09/2015;0.27;5;45;25;12
21/09/2015;0.34;8;34;33;18
20/09/2015;0.43;4;33;23;8
19/09/2015;0.37;5;36;26;11
18/09/2015;0.29;7;27;29;13
17/09/2015;0.24;5;35;26;10
16/09/2015;0.25;5;24;24;13
15/09/2015;0.52;17;58;55;16
14/09/2015;0.4;5;34;27;13
13/09/2015;0.34;6;47;31;13
12/09/2015;0.31;3;25;22;18
11/09/2015;0.37;9;34;36;23
10/09/2015;0.32;7;71;42;18
09/09/2015;0.36;17;46;53;31
08/09/2015;0.36;9;46;39;20
07/09/2015;0.37;10;47;40;15
06/09/2015;0.3;4;42;21;10
05/09/2015;0.28;5;35;26;9
04/09/2015;0.25;7;40;32;10
03/09/2015;0.26;7;53;41;11
02/09/2015;0.25;6;30;27;13
01/09/2015;0.27;5;33;27;9
31/08/2015;0.42;5;37;27;25
30/08/2015;0.35;3;41;18;23
29/08/2015;0.45;7;31;27;18
28/08/2015;0.44;11;39;37;16
27/08/2015;0.38;8;39;41;18
26/08/2015;0.31;4;35;28;18
25/08/2015;0.32;8;34;32;13
24/08/2015;0.2;4;38;17;11
23/08/2015;0.33;3;16;13;7
22/08/2015;0.33;3;25;18;18
21/08/2015;0.3;6;30;28;22
20/08/2015;0.28;5;26;24;13
19/08/2015;0.27;4;24;20;9
18/08/2015;0.23;4;26;21;11
17/08/2015;0.22;4;26;17;13
16/08/2015;0.22;4;19;16;10
15/08/2015;0.22;4;23;18;9
14/08/2015;0.22;3;22;15;10
13/08/2015;0.33;3;26;18;11
12/08/2015;0.33;5;30;23;26
11/08/2015;0.3;4;20;20;20
10/08/2015;0.27;4;27;22;12
09/08/2015;0.26;4;27;20;11
08/08/2015;0.21;3;21;17;8
07/08/2015;0.33;7;21;21;12
06/08/2015;0.33;5;34;23;20
05/08/2015;0.29;4;25;21;18
04/08/2015;0.26;4;20;19;8
03/08/2015;0.29;5;48;29;20
02/08/2015;0.29;8;38;32;14
01/08/2015;0.28;5;34;24;13
31/07/2015;0.2;5;53;30;12
30/07/2015;0.2;10;46;41;13
29/07/2015;0.34;9;31;30;13
28/07/2015;0.25;6;31;24;12
27/07/2015;0.24;6;42;27;15
26/07/2015;0.23;6;26;23;10
25/07/2015;0.27;4;29;18;12
24/07/2015;0.35;8;34;31;15
23/07/2015;0.31;7;30;29;12
22/07/2015;0.36;7;35;30;14
21/07/2015;0.35;8;36;33;16
20/07/2015;0.64;9;29;35;23
19/07/2015;0.39;4;31;20;14
18/07/2015;0.39;5;30;25;19
17/07/2015;0.35;8;35;33;29
16/07/2015;0.4;8;47;35;24
15/07/2015;0.36;7;37;28;21
14/07/2015;0.29;7;40;28;13
13/07/2015;0.35;11;33;36;14
12/07/2015;0.2;4;22;18;7
11/07/2015;0.26;4;19;16;14
10/07/2015;0.33;11;38;39;27
09/07/2015;0.2;8;46;31;11
08/07/2015;0.26;5;20;21;7
07/07/2015;0.35;6;36;25;22
06/07/2015;0.33;5;29;26;21
05/07/2015;0.24;3;11;13;12
04/07/2015;0.28;4;24;18;17
03/07/2015;0.3;7;32;30;24
02/07/2015;0.3;5;32;23;14
01/07/2015;0.35;6;45;27;32
30/06/2015;0.65;11;71;43;40
29/06/2015;0.37;12;44;41;17
28/06/2015;0.3;3;15;13;13
27/06/2015;0.28;5;29;21;19
26/06/2015;0.29;5;32;26;32
25/06/2015;0.35;4;25;25;35
24/06/2015;0.35;7;26;26;20
23/06/2015;0.27;10;30;33;13
22/06/2015;0.3;7;26;29;23
21/06/2015;0.28;4;28;20;15
20/06/2015;0.26;8;28;26;13
19/06/2015;0.37;10;42;38;14
18/06/2015;0.36;7;38;31;21
17/06/2015;0.28;4;45;25;19
16/06/2015;0.25;5;52;26;15
15/06/2015;0.32;5;33;25;15
14/06/2015;0.27;4;23;19;10
13/06/2015;0.3;4;24;20;11
12/06/2015;0.29;6;39;28;17
11/06/2015;0.3;8;65;37;15
10/06/2015;0.35;8;42;38;16
09/06/2015;0.37;5;50;28;28
08/06/2015;0.36;4;27;21;26
07/06/2015;0.33;3;15;14;13
06/06/2015;0.27;4;18;17;9
05/06/2015;0.45;10;51;36;24
04/06/2015;0.37;8;75;36;21
03/06/2015;0.28;7;43;31;16
02/06/2015;0.28;5;31;22;16
01/06/2015;0.27;7;35;27;12
31/05/2015;0.26;4;17;15;11
30/05/2015;0.33;6;25;26;13
29/05/2015;0.3;7;41;32;11
28/05/2015;0.34;6;33;28;19
27/05/2015;0.25;6;46;27;16
26/05/2015;0.26;5;43;22;13
25/05/2015;0.26;6;44;25;11
24/05/2015;0.23;3;13;13;10
23/05/2015;0.22;4;21;19;13
22/05/2015;0.26;8;48;32;12
21/05/2015;0.25;7;47;33;13
20/05/2015;0.25;5;41;24;9
19/05/2015;0.21;4;23;20;9
18/05/2015;0.3;6;23;23;14
17/05/2015;0.28;6;28;23;7
16/05/2015;0.24;3;21;17;8
15/05/2015;0.25;4;27;20;7
14/05/2015;0.28;4;26;22;19
13/05/2015;0.29;28;83;82;31
12/05/2015;0.39;9;49;42;33
11/05/2015;0.37;6;35;31;31
10/05/2015;0.33;4;27;20;16
09/05/2015;0.24;4;23;21;14
08/05/2015;0.39;5;51;29;17
07/05/2015;0.43;8;42;36;25
06/05/2015;0.25;5;34;23;13
05/05/2015;0.23;4;38;21;13
04/05/2015;0.45;11;59;38;22
03/05/2015;0.4;5;38;27;19
02/05/2015;0.39;11;43;36;11
01/05/2015;0.26;5;30;22;9
30/04/2015;0.39;15;42;47;16
29/04/2015;0.42;11;38;41;16
28/04/2015;0.33;10;45;36;13
27/04/2015;0.28;6;64;30;10
26/04/2015;0.29;3;27;19;6
25/04/2015;0.3;4;39;26;9
24/04/2015;0.36;15;47;54;24
23/04/2015;0.35;6;57;30;17
22/04/2015;0.28;4;28;23;15
21/04/2015;0.41;12;48;45;16
20/04/2015;0.37;7;45;34;12
19/04/2015;0.27;4;27;22;7
18/04/2015;0.39;4;32;26;9
17/04/2015;0.39;11;47;49;10
16/04/2015;0.44;9;81;48;18
15/04/2015;0.24;4;32;25;23
14/04/2015;0.34;23;111;75;40
13/04/2015;0.45;23;103;80;37
12/04/2015;0.27;5;50;29;24
11/04/2015;0.35;5;39;30;13
10/04/2015;0.27;5;44;29;18
09/04/2015;0.21;4;54;26;18
08/04/2015;0.26;4;31;21;16
07/04/2015;0.37;12;70;48;20
06/04/2015;0.26;5;51;29;12
05/04/2015;0.25;4;31;21;7
04/04/2015;0.22;4;23;19;7
03/04/2015;0.24;5;29;23;10
02/04/2015;0.21;4;37;25;11
01/04/2015;0.27;6;46;29;18
31/03/2015;0.28;7;49;35;16
30/03/2015;0.46;16;59;54;24
29/03/2015;0.31;7;51;36;12
28/03/2015;0.25;7;48;36;15
27/03/2015;0.35;9;77;42;9
26/03/2015;0.36;16;72;64;9
25/03/2015;0.21;6;43;34;7
24/03/2015;0.47;16;59;64;9
23/03/2015;0.29;23;78;86;9
22/03/2015;0.32;5;41;27;10
21/03/2015;0.33;8;49;42;9
20/03/2015;0.27;8;50;43;20
19/03/2015;0.42;8;55;45;16
18/03/2015;0.74;30;107;106;27
17/03/2015;0.43;19;102;69;20
16/03/2015;0.39;20;55;70;23
15/03/2015;0.32;7;49;38;14
14/03/2015;0.27;6;55;36;7
13/03/2015;0.21;6;52;31;18
12/03/2015;0.47;13;46;49;36
11/03/2015;0.46;22;58;70;38
10/03/2015;0.47;30;108;98;33
09/03/2015;0.42;27;101;93;
