Fecha;NO;NO2;NOX;SO2;CO;PM10;O3
01/01/2014;;;;13;0.2;32;37
02/01/2014;;;;13;0.5;24;54
03/01/2014;;;;14;0.5;36;36
04/01/2014;;;;13;0.3;26;51
05/01/2014;;;;12;0.3;22;63
06/01/2014;;;;13;0.4;22;35
07/01/2014;;;;12;0.4;36;
08/01/2014;;;;;0.3;36;
11/01/2014;16;32;56;13;0.4;36;30
12/01/2014;15;30;54;14;0.3;39;33
13/01/2014;42;40;104;15;0.5;39;17
14/01/2014;16;34;59;12;0.5;22;55
15/01/2014;26;36;75;14;0.5;27;27
16/01/2014;25;35;73;14;0.5;30;20
17/01/2014;19;31;59;13;0.4;24;44
18/01/2014;5;24;32;13;0.4;20;56
19/01/2014;4;24;31;12;0.4;13;61
20/01/2014;18;33;61;13;0.5;22;56
21/01/2014;25;37;76;14;0.4;26;39
22/01/2014;10;39;54;15;0.4;23;35
23/01/2014;7;31;42;13;0.4;14;45
24/01/2014;9;34;48;13;0.4;19;52
25/01/2014;6;28;37;13;0.4;21;52
26/01/2014;7;30;41;14;0.4;24;44
27/01/2014;10;30;45;11;0.4;26;46
28/01/2014;12;32;50;8;0.4;26;57
29/01/2014;6;30;39;8;0.5;29;63
30/01/2014;7;30;41;7;0.4;14;60
31/01/2014;28;40;83;8;0.5;22;38
01/02/2014;6;31;40;8;0.4;18;51
02/02/2014;5;20;27;7;0.4;19;76
03/02/2014;21;35;67;9;0.5;34;46
04/02/2014;26;33;72;8;0.4;27;55
05/02/2014;7;28;39;8;0.5;46;64
06/02/2014;24;35;71;8;0.4;35;36
07/02/2014;11;28;44;7;0.4;24;71
08/02/2014;6;24;33;8;0.4;36;67
09/02/2014;8;27;38;7;0.4;27;56
10/02/2014;5;20;27;7;0.3;22;79
13/02/2014;9;26;39;;0.3;30;48
14/02/2014;11;29;46;;0.4;28;33
15/02/2014;14;31;52;7;0.4;78;44
16/02/2014;6;28;38;7;0.3;37;49
17/02/2014;7;25;36;6;0.4;25;59
18/02/2014;8;30;41;6;0.3;46;41
19/02/2014;8;33;45;6;0.4;34;45
20/02/2014;18;37;64;6;0.5;33;44
21/02/2014;10;32;48;7;0.4;33;45
22/02/2014;5;22;30;6;0.3;18;78
23/02/2014;6;31;40;7;0.4;22;62
24/02/2014;11;35;52;6;0.5;24;48
25/02/2014;21;33;65;6;0.4;23;50
26/02/2014;23;37;73;7;0.4;26;44
27/02/2014;21;37;69;7;0.5;23;57
28/02/2014;18;38;67;7;0.5;30;47
01/03/2014;6;27;35;6;0.4;22;60
02/03/2014;6;26;35;6;0.3;16;45
03/03/2014;5;23;31;6;0.4;29;71
04/03/2014;7;29;39;7;0.5;23;73
05/03/2014;6;26;35;6;0.4;22;63
06/03/2014;14;32;53;7;0.4;27;48
07/03/2014;6;33;42;10;0.4;23;71
08/03/2014;5;31;39;7;0.3;27;64
09/03/2014;4;24;29;6;0.4;23;88
10/03/2014;6;31;40;6;0.4;26;72
11/03/2014;10;33;47;7;0.3;29;68
12/03/2014;4;23;29;6;0.4;26;88
13/03/2014;5;26;33;6;0.4;23;78
14/03/2014;7;34;44;7;0.3;23;66
15/03/2014;12;41;59;9;0.4;30;60
16/03/2014;5;29;37;7;0.4;32;94
17/03/2014;19;33;62;8;0.5;32;57
18/03/2014;20;43;73;10;0.4;39;54
19/03/2014;4;22;29;7;0.3;27;89
20/03/2014;9;34;49;7;0.4;30;60
21/03/2014;11;36;53;7;0.4;45;65
22/03/2014;5;27;35;7;0.4;47;92
23/03/2014;6;25;33;7;0.2;21;79
24/03/2014;14;34;55;7;0.5;32;71
25/03/2014;7;28;39;7;0.4;59;88
26/03/2014;5;24;31;6;0.3;34;86
27/03/2014;8;27;39;7;0.5;22;81
28/03/2014;6;26;36;7;0.4;36;81
29/03/2014;4;19;26;7;0.4;42;101
30/03/2014;6;26;35;6;0.4;21;76
31/03/2014;16;39;63;7;0.5;29;62
01/04/2014;7;32;43;6;0.4;32;71
02/04/2014;7;32;42;6;0.4;46;83
03/04/2014;16;36;61;14;0.4;26;70
04/04/2014;6;28;38;7;0.4;24;83
05/04/2014;7;29;39;7;0.4;23;73
06/04/2014;8;29;41;8;0.5;21;63
07/04/2014;16;38;63;9;0.5;27;48
08/04/2014;16;41;65;10;0.4;23;55
09/04/2014;6;26;36;7;0.4;26;83
10/04/2014;14;40;61;8;0.5;28;54
11/04/2014;9;41;54;12;0.4;32;51
12/04/2014;5;31;38;7;0.3;31;73
13/04/2014;5;33;41;8;0.3;30;86
14/04/2014;5;28;36;7;0.3;25;74
15/04/2014;9;43;57;9;0.4;31;70
16/04/2014;7;39;49;10;0.5;29;89
17/04/2014;5;30;38;8;0.2;28;68
18/04/2014;6;30;39;9;0.3;27;73
19/04/2014;5;23;30;7;0.4;41;98
20/04/2014;8;28;39;9;0.3;38;71
21/04/2014;6;28;37;7;0.4;28;77
22/04/2014;12;33;51;7;0.4;27;62
23/04/2014;23;42;77;9;0.4;28;46
24/04/2014;7;30;42;8;0.5;30;64
25/04/2014;10;31;47;8;0.4;28;89
26/04/2014;7;33;44;8;0.4;27;82
27/04/2014;9;32;45;13;0.4;19;65
28/04/2014;16;37;61;9;0.4;22;60
29/04/2014;9;33;46;8;0.4;21;71
30/04/2014;6;31;40;8;0.4;24;84
01/05/2014;5;27;35;8;0.3;14;65
02/05/2014;12;33;52;7;0.4;21;53
03/05/2014;7;33;43;12;0.4;21;58
04/05/2014;7;38;49;8;0.4;20;54
05/05/2014;7;27;37;7;0.5;22;68
06/05/2014;5;25;32;7;0.4;22;77
07/05/2014;7;34;44;8;0.4;23;65
08/05/2014;4;21;27;7;0.4;17;87
09/05/2014;6;24;32;7;0.4;19;77
10/05/2014;7;32;42;8;0.4;17;62
11/05/2014;5;25;32;7;0.4;21;83
12/05/2014;5;19;26;7;0.4;17;79
13/05/2014;4;15;21;7;0.3;17;79
14/05/2014;5;18;26;7;0.3;18;79
15/05/2014;5;23;31;7;0.4;18;69
16/05/2014;5;23;30;7;0.4;24;86
17/05/2014;4;21;27;7;0.3;27;95
18/05/2014;5;22;29;8;0.4;21;108
19/05/2014;6;32;40;8;0.4;22;98
20/05/2014;7;32;43;8;0.4;34;75
21/05/2014;6;24;32;8;0.4;44;84
22/05/2014;17;36;62;13;0.4;32;63
23/05/2014;13;31;51;8;0.5;29;64
24/05/2014;7;33;44;8;0.4;26;55
25/05/2014;6;26;35;7;0.4;23;70
26/05/2014;7;25;35;7;0.4;30;82
27/05/2014;10;27;43;8;0.4;33;64
28/05/2014;8;30;42;7;0.5;34;70
29/05/2014;16;34;58;7;0.4;43;58
30/05/2014;8;25;38;7;0.4;30;72
31/05/2014;5;16;24;7;0.4;25;81
01/06/2014;6;21;30;7;0.4;13;63
02/06/2014;11;26;42;8;0.4;20;70
03/06/2014;6;23;32;8;0.5;21;104
04/06/2014;7;23;33;7;0.4;28;83
05/06/2014;6;23;33;6;0.3;33;82
06/06/2014;7;26;37;5;0.4;26;78
07/06/2014;7;24;35;6;0.4;34;71
08/06/2014;12;35;54;6;0.5;33;41
09/06/2014;6;21;30;5;0.4;26;54
10/06/2014;6;23;33;6;0.5;36;66
11/06/2014;7;26;37;10;0.5;25;76
12/06/2014;6;31;41;15;0.5;27;79
13/06/2014;9;37;51;16;0.5;30;72
14/06/2014;7;33;44;15;0.5;28;85
15/06/2014;6;21;31;13;0.5;36;87
16/06/2014;6;22;32;13;0.5;24;78
