Fecha;SO2;NO;NO2;O3
01/01/2015;3;15;45;25
02/01/2015;4;25;54;22
03/01/2015;5;12;39;33
04/01/2015;5;23;48;18
05/01/2015;5;44;56;12
06/01/2015;5;14;38;18
07/01/2015;6;59;60;9
08/01/2015;5;21;42;9
09/01/2015;5;17;34;18
10/01/2015;8;25;44;16
11/01/2015;7;20;41;12
12/01/2015;5;39;61;13
13/01/2015;2;26;61;20
14/01/2015;3;29;52;32
15/01/2015;3;35;63;23
16/01/2015;2;47;57;14
17/01/2015;1;24;42;33
18/01/2015;2;10;39;34
19/01/2015;1;31;62;13
20/01/2015;1;22;47;12
21/01/2015;1;25;48;13
22/01/2015;2;28;52;14
23/01/2015;2;20;54;18
24/01/2015;1;8;35;43
25/01/2015;2;8;36;62
26/01/2015;2;32;65;15
27/01/2015;2;31;55;21
28/01/2015;2;27;53;21
29/01/2015;2;23;49;27
30/01/2015;2;8;35;49
31/01/2015;2;5;25;56
01/02/2015;2;3;19;62
02/02/2015;2;33;54;30
03/02/2015;4;35;54;17
04/02/2015;2;13;47;36
05/02/2015;3;29;54;30
06/02/2015;2;19;53;27
07/02/2015;4;18;49;22
08/02/2015;3;6;29;42
09/02/2015;5;39;65;24
10/02/2015;6;48;72;25
11/02/2015;7;46;80;21
12/02/2015;8;46;78;24
13/02/2015;9;32;75;21
14/02/2015;7;10;44;37
15/02/2015;7;12;37;41
16/02/2015;5;25;66;20
17/02/2015;2;40;67;23
18/02/2015;1;23;52;36
19/02/2015;1;25;59;38
20/02/2015;2;23;69;33
21/02/2015;2;10;53;44
22/02/2015;1;6;36;61
23/02/2015;2;27;55;24
24/02/2015;1;8;31;59
25/02/2015;1;14;44;51
26/02/2015;3;46;70;16
27/02/2015;2;36;59;28
28/02/2015;1;15;55;37
01/03/2015;3;29;65;26
02/03/2015;5;23;41;32
03/03/2015;4;17;43;48
04/03/2015;3;32;59;20
05/03/2015;2;10;37;61
06/03/2015;3;28;62;32
07/03/2015;2;14;46;45
08/03/2015;2;15;53;45
09/03/2015;6;29;74;37
10/03/2015;7;29;76;39
11/03/2015;7;40;87;30
12/03/2015;4;29;60;56
13/03/2015;3;19;49;72
14/03/2015;2;7;39;57
15/03/2015;2;10;43;40
16/03/2015;2;16;44;44
17/03/2015;2;24;46;46
18/03/2015;1;5;20;85
19/03/2015;1;6;24;88
20/03/2015;1;5;16;96
21/03/2015;2;4;12;89
22/03/2015;3;5;18;75
23/03/2015;3;4;17;90
24/03/2015;3;6;24;79
25/03/2015;4;18;47;36
26/03/2015;4;18;57;35
27/03/2015;4;22;50;37
28/03/2015;6;16;39;39
29/03/2015;5;6;28;52
30/03/2015;5;14;48;37
31/03/2015;7;15;36;57
01/04/2015;6;10;36;48
02/04/2015;7;7;32;63
03/04/2015;8;5;29;62
04/04/2015;7;5;27;64
05/04/2015;7;4;22;67
06/04/2015;6;4;17;88
07/04/2015;6;13;33;71
08/04/2015;7;11;48;65
09/04/2015;8;15;54;63
10/04/2015;8;15;47;70
11/04/2015;8;6;29;86
12/04/2015;10;5;37;80
13/04/2015;9;23;62;55
14/04/2015;1;24;68;46
15/04/2015;1;19;50;68
16/04/2015;1;11;39;73
17/04/2015;1;15;38;64
18/04/2015;2;13;44;56
19/04/2015;1;5;20;78
20/04/2015;1;10;33;62
21/04/2015;2;18;41;56
22/04/2015;1;16;50;58
23/04/2015;2;12;46;68
24/04/2015;3;17;58;55
25/04/2015;2;6;31;82
26/04/2015;2;5;20;80
27/04/2015;1;8;30;55
28/04/2015;4;10;28;66
29/04/2015;4;13;39;59
30/04/2015;6;11;43;56
01/05/2015;7;8;37;66
02/05/2015;6;9;46;61
03/05/2015;12;14;49;54
04/05/2015;5;6;18;89
05/05/2015;7;11;30;77
06/05/2015;10;15;48;59
07/05/2015;9;14;51;59
08/05/2015;9;13;46;67
09/05/2015;11;6;36;77
10/05/2015;11;9;39;57
11/05/2015;14;17;57;45
12/05/2015;14;16;47;55
13/05/2015;13;19;63;50
14/05/2015;8;8;29;74
15/05/2015;3;7;25;78
16/05/2015;3;5;29;87
17/05/2015;5;5;27;90
18/05/2015;8;15;57;54
19/05/2015;6;11;40;53
20/05/2015;Sense dades;10;22;61
21/05/2015;Sense dades;9;28;64
22/05/2015;Sense dades;9;30;72
23/05/2015;Sense dades;4;25;82
24/05/2015;Sense dades;3;23;88
25/05/2015;3;8;31;87
26/05/2015;2;5;24;75
27/05/2015;2;7;22;81
28/05/2015;4;6;37;62
29/05/2015;4;10;40;67
30/05/2015;1;4;25;80
31/05/2015;1;4;18;89
01/06/2015;3;5;29;75
02/06/2015;4;9;40;60
03/06/2015;5;13;48;62
04/06/2015;5;11;45;66
05/06/2015;6;19;69;46
06/06/2015;4;6;31;83
07/06/2015;4;5;41;87
08/06/2015;3;11;49;75
09/06/2015;4;10;49;65
10/06/2015;4;7;26;90
11/06/2015;4;7;28;82
12/06/2015;6;11;34;69
13/06/2015;5;3;12;94
14/06/2015;6;3;19;79
15/06/2015;5;5;18;84
16/06/2015;3;6;38;70
17/06/2015;2;7;28;73
18/06/2015;3;9;39;75
19/06/2015;1;7;31;82
20/06/2015;4;5;32;79
21/06/2015;4;4;32;66
22/06/2015;4;8;42;63
23/06/2015;6;7;37;73
24/06/2015;4;3;18;80
25/06/2015;3;5;25;80
26/06/2015;5;8;34;70
27/06/2015;4;5;22;76
28/06/2015;4;4;21;69
29/06/2015;4;10;48;54
30/06/2015;3;8;41;74
01/07/2015;1;7;29;65
02/07/2015;1;4;22;83
03/07/2015;2;9;41;66
04/07/2015;3;6;43;72
05/07/2015;6;6;47;65
06/07/2015;6;12;64;55
07/07/2015;6;8;43;69
08/07/2015;3;4;21;71
09/07/2015;2;7;32;56
10/07/2015;2;7;31;58
11/07/2015;1;3;15;75
12/07/2015;1;5;20;57
13/07/2015;2;5;18;57
14/07/2015;2;5;21;58
15/07/2015;5;10;33;53
16/07/2015;4;6;24;68
17/07/2015;4;6;21;56
18/07/2015;4;4;20;51
19/07/2015;5;2;15;77
20/07/2015;4;7;25;55
21/07/2015;4;7;30;46
22/07/2015;5;7;26;90
23/07/2015;6;6;28;72
24/07/2015;3;7;27;60
25/07/2015;1;3;13;72
26/07/2015;1;3;19;63
27/07/2015;2;6;21;44
28/07/2015;5;6;23;48
29/07/2015;4;6;17;52
30/07/2015;5;4;11;60
31/07/2015;3;5;20;73
01/08/2015;1;3;12;89
02/08/2015;1;3;23;80
03/08/2015;1;5;31;63
04/08/2015;1;4;18;78
05/08/2015;2;8;37;55
06/08/2015;2;9;25;55
07/08/2015;1;6;18;54
08/08/2015;2;3;23;52
09/08/2015;3;3;13;61
10/08/2015;2;3;12;74
11/08/2015;1;5;26;65
12/08/2015;1;4;26;55
13/08/2015;2;5;34;53
14/08/2015;5;8;29;40
15/08/2015;5;3;19;53
16/08/2015;5;3;22;56
17/08/2015;4;3;19;62
18/08/2015;5;3;20;64
19/08/2015;5;5;32;58
20/08/2015;4;4;26;60
21/08/2015;1;4;25;62
22/08/2015;1;4;24;66
23/08/2015;1;2;24;62
24/08/2015;1;4;22;56
25/08/2015;1;6;26;48
26/08/2015;1;6;30;51
27/08/2015;1;9;35;49
28/08/2015;1;13;31;48
29/08/2015;1;3;17;55
30/08/2015;1;3;18;56
31/08/2015;1;5;30;61
01/09/2015;1;5;24;69
02/09/2015;1;6;28;60
03/09/2015;1;3;16;82
04/09/2015;1;7;35;49
05/09/2015;1;4;20;64
06/09/2015;1;2;16;71
07/09/2015;1;8;27;63
08/09/2015;1;8;36;64
09/09/2015;1;8;40;61
10/09/2015;1;18;57;38
11/09/2015;1;8;36;45
12/09/2015;1;3;27;67
13/09/2015;1;4;29;60
14/09/2015;1;9;30;52
15/09/2015;1;12;37;56
16/09/2015;2;16;42;51
17/09/2015;1;5;25;64
18/09/2015;2;7;29;58
19/09/2015;2;4;24;68
20/09/2015;1;2;14;78
21/09/2015;1;7;33;57
22/09/2015;1;9;32;56
23/09/2015;1;6;21;61
24/09/2015;2;10;41;48
25/09/2015;2;16;38;58
26/09/2015;2;8;34;56
27/09/2015;1;6;32;51
28/09/2015;1;11;33;57
29/09/2015;1;7;30;54
30/09/2015;1;5;22;60
01/10/2015;1;9;38;53
02/10/2015;1;17;37;54
03/10/2015;1;15;48;51
04/10/2015;2;6;40;41
05/10/2015;3;32;59;28
06/10/2015;2;14;37;43
07/10/2015;1;15;35;43
08/10/2015;2;10;32;44
09/10/2015;2;18;43;39
10/10/2015;2;11;49;37
11/10/2015;2;4;29;57
12/10/2015;1;3;19;61
13/10/2015;1;13;35;34
14/10/2015;1;14;46;29
15/10/2015;1;12;43;38
16/10/2015;1;19;48;36
17/10/2015;1;11;38;45
18/10/2015;3;12;53;33
19/10/2015;1;15;37;35
20/10/2015;1;18;44;34
21/10/2015;1;12;36;39
22/10/2015;2;23;63;24
23/10/2015;3;29;58;27
24/10/2015;3;26;67;16
25/10/2015;1;8;32;39
26/10/2015;1;12;41;40
27/10/2015;2;27;56;24
28/10/2015;1;20;45;38
29/10/2015;2;39;60;18
30/10/2015;2;31;54;25
31/10/2015;1;16;35;46
01/11/2015;1;2;16;77
02/11/2015;1;3;10;79
03/11/2015;1;21;45;46
04/11/2015;1;19;55;23
05/11/2015;2;31;49;32
06/11/2015;2;71;69;9
07/11/2015;2;56;57;5
