Fecha;Hora;SO2;NO;CO;PM10;O3;dd;vv;HR;PRB;RS;LL;BEN;PM25
23/10/2015;13:00:00;8;18;;;33;11;0.8;60;1012;548;0;;16
23/10/2015;12:00:00;9;31;;;19;16;0.7;63;1013;589;0;;20
23/10/2015;11:00:00;11;28;;;14;7;0.5;71;1013;531;0;;15
23/10/2015;10:00:00;7;26;;;14;180;0.8;84;1014;427;0;;20
23/10/2015;9:00:00;8;40;;;7;353;1;97;1014;280;0;;9
23/10/2015;8:00:00;5;40;;;4;343;0.3;100;1014;109;0;;8
23/10/2015;7:00:00;5;46;;;3;341;0.4;100;1014;5;0;;8
23/10/2015;6:00:00;5;41;;;2;182;0.3;100;1014;3;0;;7
23/10/2015;5:00:00;4;12;;;11;346;0.4;100;1015;3;0;;9
23/10/2015;4:00:00;4;8;;;20;323;0.4;100;1015;3;0;;12
23/10/2015;3:00:00;4;7;;;21;191;0.2;100;1016;3;0;;13
23/10/2015;2:00:00;4;7;;;15;344;0.2;100;1017;3;0;;19
23/10/2015;1:00:00;4;7;;;16;183;0.2;99;1017;3;0;;13
23/10/2015;0:00:00;4;11;;;17;339;0.3;98;1017;3;0;;11
22/10/2015;23:00:00;4;14;;;5;187;0.1;97;1018;3;0;;12
22/10/2015;22:00:00;5;26;;;6;165;0.8;95;1018;3;0;;18
22/10/2015;21:00:00;5;53;;;3;221;0.15;92;1018;3;0;;13
22/10/2015;20:00:00;4;12;;;22;158;0.6;87;1018;3;0;;13
22/10/2015;19:00:00;5;8;;;45;20;1.47;83;1018;3;0;;12
22/10/2015;18:00:00;5;7;;;59;17;2.07;78;1018;11;0;;13
22/10/2015;17:00:00;6;7;;;69;22;1.85;74;1018;92;0;;13
22/10/2015;16:00:00;7;7;;;77;159;2.4;71;1018;220;0;;10
22/10/2015;15:00:00;8;8;;;76;153;1.6;69;1018;405;0;;11
22/10/2015;14:00:00;6;8;;;78;21;1.4;67;1018;530;0;;13
22/10/2015;13:00:00;6;9;;;71;14;1.5;66;1018;591;0;;13
22/10/2015;12:00:00;6;8;;;71;156;1.2;65;1019;593;0;;12
22/10/2015;11:00:00;9;10;;;57;17;0.83;67;1019;498;0;;12
22/10/2015;10:00:00;14;17;;;24;359;1;71;1020;400;0;;13
22/10/2015;9:00:00;12;46;;;8;357;0.67;80;1019;269;0;;12
22/10/2015;8:00:00;11;61;;;4;336;0.95;90;1019;63;0;;9
22/10/2015;7:00:00;8;33;;;3;359;0.93;91;1018;4;0;;8
22/10/2015;6:00:00;7;23;;;3;358;0.75;91;1018;3;0;;16
22/10/2015;5:00:00;6;12;;;6;344;0.33;91;1018;3;0;;8
22/10/2015;4:00:00;7;7;;;17;356;0.5;91;1018;3;0;;5
22/10/2015;3:00:00;4;6;;;34;322;0.1;91;1018;3;0;;8
22/10/2015;2:00:00;4;6;;;28;354;0.15;92;1018;3;0;;12
22/10/2015;1:00:00;4;6;;;31;207;0.3;92;1018;3;0;;12
22/10/2015;0:00:00;4;6;;;15;181;0.2;92;1018;3;0;;16
21/10/2015;23:00:00;4;9;;;11;169;0.1;90;1018;3;0;;11
21/10/2015;22:00:00;4;11;;;11;158;0.43;89;1018;3;0;;21
21/10/2015;21:00:00;6;35;;;4;178;0.3;86;1018;3;0;;11
21/10/2015;20:00:00;4;16;;;14;172;0.45;81;1018;3;0;;8
21/10/2015;19:00:00;4;7;;;49;14;1.37;75;1018;3;0;;6
