Fecha;NO;NO2;NOX;O3;SO2;dd;vv
01/10/2015;34;61;83;78;7;319;1.64
30/09/2015;28;62;80;63;8;131;0.61
29/09/2015;18;44;56;64;7;3;0.57
28/09/2015;19;63;61;69;8;92;0.5
27/09/2015;7;53;30;70;7;8;0.57
26/09/2015;10;39;36;69;6;17;0.61
25/09/2015;25;44;62;66;7;23;0.59
24/09/2015;17;39;49;63;6;88;0.46
23/09/2015;10;46;39;51;5;308;0.8
22/09/2015;8;47;32;61;4;316;2.38
21/09/2015;28;62;71;81;13;316;1.05
20/09/2015;9;45;33;79;8;65;0.47
19/09/2015;10;49;36;81;6;36;0.7
18/09/2015;18;53;56;72;8;324;0.45
17/09/2015;7;33;29;64;5;271;0.94
16/09/2015;5;15;16;72;5;202;2.57
15/09/2015;17;47;48;61;6;159;2.24
14/09/2015;8;61;39;67;5;320;0.89
13/09/2015;5;23;20;72;3;239;0.79
12/09/2015;3;36;20;73;4;14;0.53
11/09/2015;22;49;56;86;5;299;0.81
10/09/2015;8;46;40;70;3;339;0.56
09/09/2015;34;66;85;81;6;307;1.06
08/09/2015;32;58;78;86;5;25;0.69
07/09/2015;26;59;67;73;6;10;0.9
06/09/2015;6;50;28;85;6;52;0.76
05/09/2015;7;41;31;71;6;354;0.59
04/09/2015;4;41;25;62;6;345;0.67
03/09/2015;5;44;30;57;6;317;1.51
02/09/2015;13;39;40;74;6;360;0.4
01/09/2015;3;40;24;60;5;316;1.29
31/08/2015;8;49;34;62;5;317;1.51
30/08/2015;;16;;84;6;136;1.23
29/08/2015;;25;;76;6;312;0.85
28/08/2015;;44;;51;6;5;1.22
27/08/2015;12;42;42;61;6;198;0.73
26/08/2015;12;60;41;84;6;313;0.75
25/08/2015;20;44;52;71;6;79;0.93
24/08/2015;7;58;26;68;6;308;1.48
23/08/2015;3;14;10;67;6;207;1.22
22/08/2015;4;25;17;69;6;312;1.11
21/08/2015;17;40;45;97;7;310;1.57
20/08/2015;12;45;38;90;6;58;0.64
19/08/2015;19;35;45;69;4;29;0.99
18/08/2015;10;35;33;70;5;26;0.57
17/08/2015;5;28;20;74;4;347;0.91
16/08/2015;5;16;18;53;5;54;0.53
15/08/2015;3;25;17;55;5;316;1.17
14/08/2015;5;48;23;68;5;315;2.32
13/08/2015;6;37;27;72;4;320;1.99
12/08/2015;8;42;33;83;4;313;0.95
11/08/2015;12;35;37;95;4;310;1.34
10/08/2015;13;41;39;91;4;86;1.07
