Fecha;NO;NO2;O3;PM10;PM25;SO2
01/01/2015;6;20;25;;;4
02/01/2015;13;24;18;;;4
03/01/2015;12;22;14;;;4
04/01/2015;10;20;15;;;4
05/01/2015;9;18;14;;;4
06/01/2015;4;13;25;;;4
07/01/2015;5;16;27;;;4
08/01/2015;6;15;25;;;4
09/01/2015;6;16;18;;;4
10/01/2015;7;16;10;;;4
11/01/2015;6;13;11;;;3
12/01/2015;10;18;10;;;3
13/01/2015;14;22;21;;;4
14/01/2015;16;21;6;;;4
15/01/2015;35;17;9;;;4
16/01/2015;11;19;34;;;4
17/01/2015;5;20;43;;;4
18/01/2015;5;19;38;;;4
19/01/2015;8;25;34;;;4
20/01/2015;11;22;22;;;4
21/01/2015;7;22;29;;;4
22/01/2015;16;25;24;;;4
23/01/2015;12;26;41;;;4
24/01/2015;6;22;45;;;4
25/01/2015;4;20;55;;;4
26/01/2015;12;26;27;;;4
27/01/2015;21;26;19;;;4
28/01/2015;11;24;31;;;4
29/01/2015;5;21;46;;;4
30/01/2015;5;20;60;;;3
31/01/2015;4;14;68;;;3
01/02/2015;4;13;75;;;3
02/02/2015;8;24;46;;;4
03/02/2015;5;20;56;;;4
04/02/2015;5;19;63;;;4
05/02/2015;5;19;64;;;4
06/02/2015;6;23;44;;;5
07/02/2015;7;22;30;;;4
08/02/2015;5;20;44;;;4
09/02/2015;13;28;27;;;4
10/02/2015;11;31;30;;;4
11/02/2015;15;35;33;;;4
12/02/2015;9;31;29;;;4
13/02/2015;10;28;29;;;4
14/02/2015;6;21;44;;;4
15/02/2015;4;18;45;;;4
16/02/2015;6;25;53;;;4
17/02/2015;6;25;34;;;4
18/02/2015;10;24;32;;;4
19/02/2015;9;25;35;;;4
20/02/2015;6;27;51;;;4
21/02/2015;4;20;65;;;4
22/02/2015;4;17;78;;;4
23/02/2015;7;20;52;;;4
24/02/2015;4;16;78;;;4
25/02/2015;4;18;69;;;4
26/02/2015;5;19;58;;;4
27/02/2015;4;17;79;;;4
28/02/2015;5;19;53;;;4
01/03/2015;4;17;40;;;4
02/03/2015;7;17;34;;;4
03/03/2015;5;19;41;;;4
04/03/2015;6;18;57;;;4
05/03/2015;4;21;70;;;4
06/03/2015;7;23;51;;;4
07/03/2015;5;21;57;;;4
08/03/2015;4;22;58;;;4
09/03/2015;6;24;51;;;4
10/03/2015;7;24;59;;;5
11/03/2015;5;23;70;;;4
12/03/2015;5;22;71;;;4
13/03/2015;5;20;62;;;4
14/03/2015;4;19;75;;;4
15/03/2015;4;18;64;;;4
16/03/2015;4;21;55;;;4
17/03/2015;5;22;65;;;4
18/03/2015;4;22;52;;No hay dato;4
19/03/2015;4;17;57;;No hay dato;4
20/03/2015;6;16;57;;No hay dato;4
21/03/2015;3;9;61;;No hay dato;3
22/03/2015;3;9;56;;No hay dato;3
23/03/2015;4;10;73;;No hay dato;3
24/03/2015;4;11;52;;No hay dato;3
25/03/2015;4;12;75;;No hay dato;3
26/03/2015;5;11;63;;No hay dato;4
27/03/2015;4;10;71;;No hay dato;4
28/03/2015;3;6;58;;No hay dato;4
29/03/2015;4;6;70;;No hay dato;4
30/03/2015;3;8;78;;No hay dato;4
31/03/2015;7;10;55;;No hay dato;3
01/04/2015;4;9;75;;No hay dato;4
02/04/2015;4;8;52;;No hay dato;4
03/04/2015;3;8;49;;No hay dato;4
04/04/2015;3;6;64;;No hay dato;3
05/04/2015;3;5;57;;No hay dato;3
06/04/2015;3;6;85;;No hay dato;4
07/04/2015;3;10;80;;No hay dato;4
08/04/2015;3;10;87;;No hay dato;4
09/04/2015;4;12;88;;No hay dato;4
10/04/2015;3;12;88;;No hay dato;4
11/04/2015;3;9;82;;No hay dato;4
12/04/2015;3;8;81;;No hay dato;4
13/04/2015;;;;;No hay dato;
14/04/2015;4;12;81;;;4
15/04/2015;5;15;68;;;4
16/04/2015;3;10;62;;;3
17/04/2015;4;9;57;;;3
18/04/2015;3;7;71;;;3
19/04/2015;3;5;72;;;3
20/04/2015;4;9;62;;;3
21/04/2015;3;9;75;;;3
22/04/2015;4;13;69;;;4
23/04/2015;3;7;66;;;3
24/04/2015;3;7;79;;;4
25/04/2015;3;7;70;;;3
26/04/2015;3;5;53;;;3
27/04/2015;3;8;70;;;3
28/04/2015;3;8;76;;;4
29/04/2015;4;9;55;;;3
