Fecha;vv;dd;TMP;HR;PRB;RS;LL;SO2;NO;NO2;PM10;NOX;O3
01/01/2015;;;;;;;;;;;5;;
02/01/2015;;;;;;;0;;;;6;;
03/01/2015;7.9;332;11.7;26;901;110;0;3;;;6;;86
04/01/2015;9.4;338;9.8;47;897;113;0;3;;;7;;80
05/01/2015;;164;9.7;54;894;113;0;4;;;10;;77
06/01/2015;;339;7.3;58;890;104;0;4;;;10;;75
07/01/2015;;337;4.4;82;893;94;0;4;;;9;;73
08/01/2015;;333;5.9;67;899;117;0;9;;;7;;81
09/01/2015;;334;9.6;61;905;118;0;4;;;6;;82
10/01/2015;;335;14.6;29;900;116;0;3;;;5;;85
11/01/2015;;333;7.1;63;895;49;0;4;;;6;;80
12/01/2015;;164;9;50;897;122;0;7;;;11;;84
13/01/2015;;252;11.3;37;891;116;0;3;;;5;;81
14/01/2015;;276;8.8;59;890;118;0;3;;;12;;75
15/01/2015;;238;10.8;43;884;116;0;4;;;11;;83
16/01/2015;;291;5.1;61;876;72;0.2;4;;;3;;84
17/01/2015;;328;1.7;60;883;109;0;4;;;8;;83
18/01/2015;;163;2.5;48;877;63;0;3;;;7;;81
19/01/2015;;335;-0.5;;871;9;0;4;2;4;11;6;73
20/01/2015;;337;-0.9;78;871;94;0;5;2;5;6;7;77
21/01/2015;8.1;326;0.4;;870;78;0;4;3;4;6;8;75
22/01/2015;9.8;332;-0.1;90;873;41;0;4;3;5;5;9;78
23/01/2015;14.6;332;0.4;75;880;113;0;3;;;6;;80
24/01/2015;14.8;331;1.7;70;884;123;0;3;;;6;;81
25/01/2015;16;331;1.6;54;884;131;0;3;;;9;;87
26/01/2015;12.4;335;1.9;67;888;109;0;3;;;6;;87
27/01/2015;15.8;335;3.9;82;887;99;0;3;;;4;;82
28/01/2015;8;334;4.1;74;884;129;0;3;;;3;;85
29/01/2015;7.5;312;8.3;63;875;99;0;3;3;4;4;7;79
30/01/2015;9.8;313;7.7;82;861;21;8.9;3;3;4;2;7;76
31/01/2015;8.7;326;2.4;84;859;77;3.2;3;3;4;1;8;87
01/02/2015;10.6;328;-0.4;79;869;70;0;4;3;4;3;7;84
02/02/2015;1.3;307;2;73;871;71;0;4;3;4;3;7;79
03/02/2015;5.8;309;2.1;71;862;110;0.1;3;3;4;2;8;82
04/02/2015;;;;;;;0;;;;;;
05/02/2015;;;;;;;;;;;12;;
06/02/2015;;;;;;;;;;;5;;
07/02/2015;;;;;;;;;;;10;;
08/02/2015;;;;;;;;;;;12;;
09/02/2015;;;;;;;;;;;11;;
10/02/2015;;;;;;;0;;;;;;
11/02/2015;4.3;156;3.2;84;885;60;0;4;3;4;;8;98
12/02/2015;2;175;4.2;84;884;32;0.8;4;3;5;28;9;94
13/02/2015;4.6;317;6;64;884;107;0;3;3;5;;8;88
14/02/2015;6.9;319;5.7;72;879;82;1.2;4;3;4;5;9;85
15/02/2015;12.1;326;6.7;80;875;122;0.4;4;3;4;;9;77
16/02/2015;13.8;336;5.3;81;880;134;5.4;5;3;5;;9;84
17/02/2015;8;332;2.3;;888;44;4.4;4;3;5;1;9;77
18/02/2015;5.3;359;2.3;82;894;129;0;5;3;5;;9;78
19/02/2015;1.4;126;3.9;71;893;140;0;5;3;5;14;9;98
20/02/2015;2.5;165;5.2;69;884;183;0;3;3;5;;9;106
21/02/2015;13.4;324;2.8;78;870;75;3.7;4;3;5;2;9;93
22/02/2015;19.6;335;2.6;75;871;131;0;4;3;4;;9;92
23/02/2015;11.9;320;8.2;66;878;153;2.9;3;3;5;0;9;76
24/02/2015;16.7;328;1.8;76;881;96;0;4;3;4;0;9;86
25/02/2015;21.1;335;4.4;80;882;55;0;3;3;4;;9;89
26/02/2015;15.9;336;7.7;77;884;46;0.1;4;3;4;;9;79
27/02/2015;18.7;333;3.7;72;881;182;1.1;4;3;4;;8;92
28/02/2015;9.6;327;4.9;75;884;116;0;3;3;4;1;8;85
01/03/2015;8.4;324;11.6;67;888;142;0;3;3;5;1;9;71
02/03/2015;7.3;323;14.2;63;890;182;0;3;3;5;;9;65
03/03/2015;1.6;182;13.3;71;892;112;0;4;3;5;5;9;61
04/03/2015;15.5;336;5.7;72;890;153;0;4;3;4;2;8;85
05/03/2015;10.8;326;2.6;52;891;219;0;3;3;4;1;8;92
06/03/2015;2.4;335;9.1;30;895;223;0;3;3;5;1;9;92
07/03/2015;3.8;333;13.8;25;894;221;0;4;3;5;5;9;95
08/03/2015;3.3;335;11.5;43;890;203;0;5;3;5;7;9;99
09/03/2015;3.6;324;11.3;29;890;179;0;6;3;5;5;9;104
10/03/2015;2.2;275;12.7;35;892;217;0;5;4;5;13;10;106
11/03/2015;4.9;337;14.6;34;891;221;0;7;3;5;8;9;104
12/03/2015;2.5;317;14.5;37;888;220;0;6;3;5;15;10;126
13/03/2015;10.6;337;6.2;74;886;127;0;6;3;5;18;9;88
14/03/2015;10.8;329;1.8;72;882;164;0;4;3;5;4;9;92
15/03/2015;5.6;331;1.4;75;880;120;0;3;3;5;13;9;88
16/03/2015;3;358;2.6;78;881;159;0;3;3;4;12;8;91
17/03/2015;4.1;144;4.9;69;883;224;0;4;3;5;8;9;104
18/03/2015;6.2;118;4.9;100;883;28;7.7;4;3;4;4;9;102
19/03/2015;6.5;105;6.2;;882;74;3.6;5;3;4;;8;101
20/03/2015;3.4;81;5.9;90;878;36;26.7;4;3;4;8;9;100
21/03/2015;2.5;76;6.2;;873;53;41.9;4;3;5;4;9;95
22/03/2015;1.5;124;5;;875;51;27.4;3;4;5;1;10;96
23/03/2015;4.2;168;4.9;;873;25;43.1;4;3;5;0;9;103
24/03/2015;5.7;9;4.6;;870;21;48.2;3;3;5;0;9;94
25/03/2015;14.9;335;0.6;78;868;101;0;3;3;4;;9;94
26/03/2015;14.2;334;3.9;78;876;122;0;3;3;4;;8;84
27/03/2015;13.9;330;9.2;71;887;248;0;4;3;5;;8;84
28/03/2015;11.5;333;11.3;65;891;266;0;3;3;4;;9;77
29/03/2015;11;331;10.8;65;890;210;0;3;3;4;;8;85
30/03/2015;14.6;330;14.1;51;890;222;0;3;3;5;;9;90
31/03/2015;15.7;335;13.7;59;892;272;0;3;3;4;;9;89
01/04/2015;15.1;336;8;62;891;241;0;3;3;4;9;9;96
02/04/2015;6.8;337;11.3;31;891;278;0;3;3;5;6;9;
03/04/2015;6.2;331;13.5;31;886;265;0;3;3;5;4;9;
04/04/2015;8.7;341;7.7;67;881;264;0;3;3;4;7;9;
05/04/2015;8.5;359;7.7;75;878;286;0;4;3;5;6;9;83
06/04/2015;4.4;149;6.4;;885;183;0;6;3;5;8;9;93
07/04/2015;5.5;146;6.2;65;891;220;0;4;3;5;8;9;
08/04/2015;7;156;5.6;75;892;287;0;3;3;5;9;8;
09/04/2015;7;149;7.4;47;890;255;0;4;3;5;9;9;
10/04/2015;4.8;147;8.8;66;889;275;0;4;3;5;13;9;
11/04/2015;2.6;59;10.3;74;891;158;0;6;3;5;21;9;
12/04/2015;4.1;125;10.8;48;894;237;0;4;3;5;26;9;
13/04/2015;4.8;142;13.2;36;896;278;0;3;3;5;20;9;
14/04/2015;6;150;14.5;35;893;264;0;3;3;5;11;9;
15/04/2015;6.2;142;10.4;52;886;74;0;4;3;5;16;9;
