Fecha;NO;NO2;NOX;O3;PM10;PM25;dd;HR;PRB;LL;RS;RUV;TMP;vv
01/10/2015;2;20;12;96;15;9;266;84;1010;0;144.6;26.7;17.3;1.55
30/09/2015;3;11;13;90;11;7;164;78;1006.8;0.1;184.1;34.9;17.9;0.42
29/09/2015;2;9;11;93;;10;268;89;1008;0;92.8;18.9;15.2;0.26
28/09/2015;2;11;12;97;;8;107;88;1012.2;0.1;190.1;36.4;16.5;0.38
27/09/2015;2;12;11;81;10;6;343;88;1012.1;0;184.1;37;15.5;0.7
26/09/2015;2;10;11;77;14;7;228;88;1009.6;0;167.3;35.7;16.9;0.09
25/09/2015;3;10;11;79;;5;67;84;1010.6;0.1;168.9;32.1;16.9;0.39
24/09/2015;2;9;10;77;7;3;136;82;1011.1;0.2;154.1;34;16.6;0.7
23/09/2015;2;8;9;78;7;3;287;90;1008.8;12.8;77.3;19.6;15.4;1.08
22/09/2015;2;6;8;88;;4;275;86;1006.3;11.9;116.5;28.9;15.7;2.34
21/09/2015;2;19;11;92;;6;287;86;1008.3;0;192.5;40.7;16;0.83
20/09/2015;2;6;9;86;6;;179;83;1012.9;0;217;47.6;16.1;0.31
19/09/2015;2;9;10;86;8;3;37;84;1015.4;0.2;196.9;42.6;15.8;0.25
18/09/2015;2;12;11;90;7;4;234;79;1011.5;0;189.9;36;15.2;0.93
17/09/2015;2;12;11;74;5;;213;80;1001.7;5.9;91.7;18.7;15.2;1.54
16/09/2015;2;9;9;77;7;3;199;60;985.4;0;137;33.9;21.8;3.3
15/09/2015;3;12;10;66;5;;180;78;992.1;12.5;57.3;14.6;17.2;4.64
14/09/2015;3;7;9;78;8;3;264;78;1002.5;7.1;120.9;28;16.2;2.04
13/09/2015;3;9;11;70;7;;190;78;996.6;3.2;90;20;18.5;1.73
12/09/2015;3;8;9;87;11;;212;91;1002;2.1;32.3;8.2;18.4;0.19
11/09/2015;3;11;11;97;10;7;315;88;1002.7;0.2;223.7;46.8;18.1;0.62
10/09/2015;3;10;10;91;12;7;335;86;1005.6;0;167.2;38.2;18.4;0.52
09/09/2015;3;16;13;101;14;11;258;85;1004;0;188.5;39.6;17.8;0.71
08/09/2015;3;15;12;90;9;;121;81;1008;0;241.9;50.2;16.2;0.36
07/09/2015;3;12;11;81;8;;112;77;1013.2;0.2;240.4;49.7;16;0.07
06/09/2015;3;9;10;92;6;;96;77;1013.8;0.1;248.6;50.1;16.5;0.21
05/09/2015;3;9;9;82;5;;225;80;1012.4;0.2;144.6;32.9;15.6;0.33
04/09/2015;3;9;9;81;4;1;327;81;1009.4;4.3;130.4;31.1;15.9;0.82
03/09/2015;3;9;9;82;5;;291;85;1008;8.6;129.4;31.7;16.5;0.84
02/09/2015;3;14;11;88;9;6;344;82;1007.9;2.2;110.3;28;17;0.33
01/09/2015;3;7;9;83;7;;316;81;1010.1;0.5;120.6;30.4;18;1.35
31/08/2015;3;10;10;84;13;;270;85;1003.7;6;116.3;27.6;21.5;1.44
30/08/2015;3;7;10;96;16;9;304;80;1002.8;3.1;202.7;49.1;23;0.63
29/08/2015;3;11;11;69;14;;316;90;1004.8;0;234;56;20.7;0.74
28/08/2015;3;7;9;66;5;;344;88;1006.1;0;236.7;61.1;20.8;0.97
27/08/2015;3;10;10;72;6;3;189;58;1000.9;0;191.8;56.2;25.3;1.43
26/08/2015;3;14;11;80;7;;171;62;1002.1;0;238.6;59.1;23.1;0.84
25/08/2015;3;8;10;72;5;;142;70;1007.3;0;273.8;66.1;19.8;1
24/08/2015;3;10;9;70;8;3;269;70;1003.3;0;258.8;57.6;18.6;2.17
23/08/2015;3;7;9;68;8;1;204;70;996.6;2.1;242.3;58.7;20.2;1.04
22/08/2015;3;10;11;77;17;;291;92;1001.9;13.5;92;24.2;19.2;0.34
21/08/2015;3;11;12;102;15;;295;86;1008;1.2;270.5;64.6;20;1.01
20/08/2015;3;8;10;104;10;6;329;85;1010.9;0;288;71.9;18.8;0.69
19/08/2015;3;14;10;74;5;;323;81;1010.2;0;263.9;70.9;17.8;0.16
18/08/2015;3;9;10;80;8;5;345;81;1007.3;0;249.8;63.5;18.1;0.53
17/08/2015;3;7;10;84;9;4;348;85;1005.8;0;284.9;72.6;17.7;0.76
16/08/2015;3;6;9;68;8;4;221;87;1004.7;0.9;130.5;37.7;16.7;0.11
15/08/2015;3;8;9;62;9;4;298;87;1007;7;196.6;52.1;17;0.66
14/08/2015;3;5;8;76;9;;275;79;1007.6;6.6;178.4;48.5;17.7;3.22
13/08/2015;3;10;10;79;9;;259;83;1005.7;1.4;218.4;55;19.6;2.2
12/08/2015;3;14;12;106;19;13;321;88;1004.5;0.7;233.8;60.9;21.1;0.73
11/08/2015;3;20;12;106;18;10;299;87;1003;0;220.1;57.3;20.5;0.99
10/08/2015;3;8;10;106;11;7;74;84;1007;0;301.1;79.8;19.8;0.25
09/08/2015;3;7;9;82;8;;291;85;1013;4.7;223.9;60.3;18.5;0.99
08/08/2015;3;6;8;73;6;2;260;85;1013.4;2;111.8;24.3;17.4;1.19
07/08/2015;3;8;9;66;9;3;269;91;1009.1;0.7;60.8;18.4;18.8;1.22
06/08/2015;3;11;10;76;13;9;349;89;1005.3;0;136.4;42.8;19.9;0.06
05/08/2015;3;12;11;82;13;;252;85;1004.1;0;237.9;56.7;20.1;0.84
04/08/2015;2;7;8;62;7;;309;90;1008.3;5.1;107.5;34.5;18.9;0.28
03/08/2015;3;7;8;114;10;;338;85;1005.7;0;226.6;59;20.2;0.48
02/08/2015;3;10;10;118;12;;271;65;1003.4;0;313.4;89;22.4;0.87
