Fecha;BEN;EBN;OXL;TOL;dd;HR;PRB;LL;RS;TMP;vv
01/10/2015;0.37;0.93;4.29;3.84;324;75;1016.9;41.2;103.6;17.4;0.68
30/09/2015;0.46;1.24;5.74;4.94;201;74;1013.1;0;102.4;18.1;0.28
29/09/2015;0.3;0.97;4.83;4;307;82;1014.7;0;89.1;15.6;0.06
28/09/2015;0.34;0.78;3.97;2.96;145;76;1018.7;0;120.7;17.2;0.14
27/09/2015;0.23;0.66;4.15;1.31;334;80;1019;0;125.7;16.3;0.23
26/09/2015;0.33;0.89;5.05;2.12;316;79;1016.2;0;120;17.6;0.15
25/09/2015;1.42;1.16;5.17;3.68;74;77;1017.1;0;123;17.3;0.31
24/09/2015;0.47;1.15;5.62;2.75;100;79;1017.6;0;120.7;17.8;0.17
23/09/2015;0.22;1.21;7.33;2.68;302;89;1015.7;9.9;40.6;15.4;0.48
22/09/2015;0.22;0.89;5.35;1.7;308;76;1013.3;2.1;77;16.7;1.31
21/09/2015;0.33;0.95;5.29;2.21;329;78;1015.1;0;141.9;16.4;0.46
20/09/2015;0.34;0.86;4.91;1.62;210;73;1019.4;0;159.5;16.9;0.08
19/09/2015;0.28;0.99;5.83;1.71;347;74;1022.1;0;171;16.6;0.16
18/09/2015;0.3;1.27;6.18;2.22;346;72;1018.4;0.1;127.3;15.9;0.3
17/09/2015;0.22;1.12;6.17;2.08;263;69;1008.6;0.3;70.8;16.2;0.54
16/09/2015;0.14;0.71;4.1;0.97;238;55;992;0;94.9;22.7;1.11
15/09/2015;0.17;0.98;5.01;2.3;193;68;998.7;2.4;36.3;18.3;1.51
14/09/2015;0.18;1.62;9.44;1.66;314;69;1009.3;2;100.6;17.1;0.87
13/09/2015;0.29;2.3;12.15;2.38;224;75;1003.3;0.8;69;19.1;0.46
12/09/2015;0.33;2.99;16.23;2.23;360;79;1008.6;0.1;56.8;19.5;0.32
11/09/2015;0.53;1.53;7.93;2.55;338;77;1009.4;0;176.6;19.1;0.63
10/09/2015;0.31;0.52;1.92;2.72;335;80;1012.4;0;104.5;18.9;0.62
09/09/2015;0.34;0.65;2.33;2.95;337;76;1010.7;0;153.3;18.4;0.32
08/09/2015;0.36;0.56;2.08;3.31;197;71;1014.6;0;194.1;16.9;0.1
07/09/2015;0.33;0.32;1.1;1.82;68;72;1020;0;135.2;16;0.12
06/09/2015;0.23;0.19;0.55;0.95;95;72;1020.5;0;161;16.3;0.44
05/09/2015;0.2;0.22;0.67;1.26;9;75;1019.1;0;117.6;16.6;0.14
04/09/2015;0.47;0.4;1.32;2.18;335;80;1016.2;2.2;86.2;16.3;0.31
