Fecha;NO;NO2;NOX;O3;PM10;SH2;SO2;dd;HR;PRB;LL;RS;TMP;vv
01/10/2015;4;36;20;95;18;3;3;277;78;1021.2;39.4;154.3;18.8;1.15
30/09/2015;8;54;33;60;19;3;3;204;81;1017.3;0.9;162.3;18.4;0.7
29/09/2015;5;30;22;75;15;3;3;236;88;1018.9;0;77.2;16.2;0.51
28/09/2015;4;28;22;68;16;2;4;200;82;1023;0;205.6;17.6;0.7
27/09/2015;3;14;13;77;11;2;2;257;86;1023.3;0;124.1;16.6;0.33
26/09/2015;4;21;18;70;12;2;2;214;84;1020.5;0;153.7;18.3;0.19
25/09/2015;6;32;24;65;17;3;2;224;83;1021.4;0;184.8;17.7;0.79
24/09/2015;4;23;21;64;10;2;1;199;84;1021.9;0;166.1;18.4;0.54
23/09/2015;3;19;17;67;5;2;1;272;90;1019.8;12.3;51.3;16.9;1.06
22/09/2015;3;15;13;73;8;3;2;272;81;1017.2;2.3;62.4;17.4;2.22
21/09/2015;5;39;23;85;12;3;2;300;83;1019.3;0;160.2;17.5;0.51
20/09/2015;3;16;14;86;7;3;2;228;80;1023.7;0;231.9;17.3;0.66
19/09/2015;3;14;14;82;8;3;2;4;79;1026.5;0;185.6;17.3;0.23
18/09/2015;3;19;15;83;35;4;3;234;74;1022.6;0;167.1;17.3;1.12
17/09/2015;3;12;12;70;8;3;4;223;76;1012.7;0.4;82.3;16.9;1.81
16/09/2015;3;24;13;76;12;3;4;218;61;995.5;0.1;197.1;23.3;2.39
15/09/2015;3;19;14;71;8;3;4;201;71;1002.3;2.8;53;19.4;2.45
14/09/2015;3;15;14;80;13;3;4;271;73;1013.3;2.4;166.8;18.2;1.78
13/09/2015;3;9;11;67;8;3;4;200;80;1007.2;1.5;95.6;19.7;1.37
12/09/2015;3;18;16;83;13;4;6;244;86;1012.7;3.3;42.8;19.9;0.28
11/09/2015;4;31;20;95;14;4;5;298;82;1013.5;0;212.8;19.9;0.31
10/09/2015;4;16;16;79;12;4;5;265;84;1016.6;0;144.2;19.6;0.68
09/09/2015;7;46;31;89;22;5;6;301;80;1014.8;0;155;19.4;0.28
08/09/2015;4;31;22;96;13;4;6;222;75;1018.8;0;252.7;17.8;0.69
07/09/2015;4;21;17;80;10;4;5;179;76;1024.3;0;192.7;17.4;0.36
06/09/2015;3;36;16;86;8;3;10;182;77;1024.8;0;227.4;17.2;0.3
05/09/2015;3;11;11;85;7;3;4;239;79;1023.4;0;181.2;17.3;0.64
04/09/2015;3;26;17;72;6;3;5;233;86;1020.5;15.9;95.6;17.1;0.72
03/09/2015;3;14;15;76;8;3;4;248;85;1019.1;14.9;89;17.8;1.14
02/09/2015;3;27;17;85;12;3;5;212;80;1018.8;4.1;87.9;18.3;0.23
01/09/2015;3;17;15;73;10;3;4;275;83;1021.4;6.3;65.2;19;0.79
31/08/2015;3;17;16;78;20;4;4;304;82;1014.6;13.8;100.6;23.2;1.12
30/08/2015;3;34;18;79;23;5;7;168;73;1013.2;2.8;207.7;26.1;0.28
29/08/2015;5;31;21;66;19;4;8;347;87;1015.6;0;201.6;22.2;0.37
