Fecha;dd;HR;PRB;TMP;vv
01/10/2015;303;79;1016;18;3.27
30/09/2015;171;76;1012.2;18.5;0.64
29/09/2015;59;84;1013.8;16.1;0.67
28/09/2015;155;79;1017.7;17.6;0.84
27/09/2015;41;85;1018;16.5;0.56
26/09/2015;38;83;1015.3;17.9;0.39
25/09/2015;107;79;1016.2;17.5;0.82
24/09/2015;118;80;1016.6;17.9;0.98
23/09/2015;307;89;1014.8;16.2;2.51
22/09/2015;293;78;1012.4;16.9;5.21
21/09/2015;343;82;1014.1;16.7;1.05
20/09/2015;215;77;1018.4;17;0.64
19/09/2015;43;78;1021.1;16.8;0.62
18/09/2015;339;73;1017.4;16.4;0.47
17/09/2015;284;70;1007.7;16.8;1.67
16/09/2015;246;58;991.2;22.8;2.73
15/09/2015;176;67;997.8;19.2;3.36
14/09/2015;301;70;1008.4;17.6;3.59
13/09/2015;225;75;1002.5;19.8;0.86
12/09/2015;352;84;1007.7;19.6;1.08
11/09/2015;312;82;1008.5;18.9;0.86
10/09/2015;311;84;1011.5;19.3;1.54
09/09/2015;310;80;1009.8;18.7;1.47
08/09/2015;208;75;1013.7;17.1;0.38
07/09/2015;90;73;1018.9;16.9;0.96
06/09/2015;117;73;1019.5;17.1;1
05/09/2015;353;73;1018.1;17.3;0.76
04/09/2015;8;81;1015.2;16.7;0.74
03/09/2015;305;82;1013.9;17.4;2.11
02/09/2015;88;78;1013.7;17.9;0.87
01/09/2015;315;78;1016.1;18.8;2.22
31/08/2015;318;84;1009.6;22.1;3.68
30/08/2015;359;74;1008.2;24.7;0.34
29/08/2015;329;89;1010.6;21.5;2.69
28/08/2015;309;85;1011.7;21.8;1.83
27/08/2015;203;59;1006.5;26.2;0.93
26/08/2015;290;66;1007.7;22.8;1.45
25/08/2015;101;64;1012.7;21.3;1.17
24/08/2015;309;64;1009.2;19.7;3.78
23/08/2015;256;61;1002.3;22.2;1.59
22/08/2015;337;88;1007.7;20.5;1.21
21/08/2015;312;84;1013.8;20.7;1.81
20/08/2015;259;75;1016.3;20.2;0.71
19/08/2015;340;73;1015.8;19.4;0.84
18/08/2015;22;78;1013;19.3;0.96
17/08/2015;9;80;1011.6;19;1.32
16/08/2015;144;78;1010.4;18;0.5
15/08/2015;341;81;1012.8;18.4;1.04
14/08/2015;303;70;1013.7;19;5.93
13/08/2015;305;77;1011.7;20.6;3.81
12/08/2015;330;85;1010.3;21.5;1.83
11/08/2015;340;86;1008.9;21.1;1.84
10/08/2015;133;70;1012.1;22.4;1.78
09/08/2015;320;74;1018.7;20;2.41
08/08/2015;305;77;1019.3;18.7;3.53
07/08/2015;297;83;1014.9;20;2.92
06/08/2015;16;81;1010.9;20.9;0.86
05/08/2015;331;82;1009.8;20.8;1.38
04/08/2015;303;86;1014;19.5;1.07
03/08/2015;345;80;1011.4;21;1.36
02/08/2015;241;61;1008.8;24.2;0.44
01/08/2015;94;71;1012.9;19.2;0.94
31/07/2015;337;79;1009;18;1.08
30/07/2015;51;71;1012.6;18.8;0.96
29/07/2015;79;86;1011.6;19;0.9
28/07/2015;352;73;1011.1;21.4;0.85
27/07/2015;305;76;1012.9;20.7;4.44
26/07/2015;330;70;1010.4;20.9;1.1
25/07/2015;307;69;1016;19.3;2.38
24/07/2015;295;79;1009.3;20.8;2.37
23/07/2015;304;78;1012.5;21.6;0.92
22/07/2015;306;87;1015.7;21.1;2.98
21/07/2015;317;90;1012.2;22.2;1.16
20/07/2015;300;76;1012;23.6;2.09
19/07/2015;314;83;1012.4;22.6;1.14
18/07/2015;331;86;1011.2;22.1;1.27
17/07/2015;339;85;1013.2;21.1;1.32
16/07/2015;3;90;1010.9;21;1.9
15/07/2015;331;85;1013.8;21;1.92
14/07/2015;338;77;1017.4;21;1.11
13/07/2015;356;79;1018.7;19.7;1.33
12/07/2015;47;76;1019.1;20.6;0.85
11/07/2015;330;77;1019.6;20.2;2.08
10/07/2015;302;69;1012.3;21.5;2.43
09/07/2015;81;65;1017;21.1;1.33
08/07/2015;335;75;1018.7;19.5;2.67
07/07/2015;338;83;1014.7;20.6;2.92
06/07/2015;326;83;1013.7;21.1;1.6
05/07/2015;322;87;1016.4;20.3;2.34
04/07/2015;66;74;1016.6;22.1;1.81
03/07/2015;165;69;1012.4;24.9;0.3
02/07/2015;324;87;1015.9;19.6;3.04
01/07/2015;341;84;1009.8;20.4;2.61
30/06/2015;8;79;1008;22.6;0.97
29/06/2015;7;79;1014.7;22.1;0.52
28/06/2015;38;83;1017.4;20.2;1.11
27/06/2015;330;78;1017.6;20.6;1.49
26/06/2015;316;86;1017.7;19.8;2.44
25/06/2015;301;74;1015.8;21.1;0.61
24/06/2015;357;74;1015.4;19.5;0.96
23/06/2015;351;77;1012.9;19.4;2.26
22/06/2015;343;84;1011.4;19.3;1.49
21/06/2015;313;77;1015.8;18.8;1.24
20/06/2015;321;79;1018.6;17.9;0.85
19/06/2015;322;84;1019.4;17.4;1.33
18/06/2015;359;80;1021.1;17.5;1.8
17/06/2015;314;78;1022.5;17.5;4.06
16/06/2015;305;74;1021.1;16.7;5.25
15/06/2015;313;81;1015.4;16.9;4.07
14/06/2015;331;81;1009.3;16.3;1.53
13/06/2015;334;86;1006.9;17.5;0.97
12/06/2015;11;85;1007.3;17.2;1.41
11/06/2015;315;83;1006;18.5;1.05
10/06/2015;290;87;1009;16.7;0.09
09/06/2015;342;83;1014.7;16.9;1.55
08/06/2015;348;86;1016.8;18.4;2.47
07/06/2015;326;85;1019.1;18.1;2.05
06/06/2015;349;88;1020.8;16.7;1.74
05/06/2015;318;83;1016;18.4;3.04
04/06/2015;97;76;1013.3;21.5;0.44
03/06/2015;1;83;1018.3;18.6;0.96
02/06/2015;338;86;1015.9;17.8;1.95
01/06/2015;320;87;1015;17.3;1.68
31/05/2015;333;78;1014.7;16.9;1.59
30/05/2015;330;78;1015.3;15.5;0.95
29/05/2015;331;77;1014.2;15.9;2.6
28/05/2015;329;82;1015.9;15.7;1.93
27/05/2015;284;84;1019.4;15.6;2.57
26/05/2015;284;82;1020;14.9;4.44
25/05/2015;293;87;1018.6;15;4.67
24/05/2015;274;87;1017.4;15.2;4.24
23/05/2015;298;76;1019.5;14.3;3.69
22/05/2015;305;72;1024;13.7;3.44
21/05/2015;300;68;1025.8;13.5;4.6
20/05/2015;273;79;1019.8;12.7;5.57
19/05/2015;277;77;1015.4;12.8;4.7
18/05/2015;294;85;1013.4;13.1;1.8
17/05/2015;301;86;1022.4;14.6;2.18
