Fecha;NO2;PM10;O3;NO;NOX
03/10/2015;13;15;77;2;16
04/10/2015;9;14;63;1;11
05/10/2015;8;22;74;1;10
06/10/2015;8;8;72;2;11
07/10/2015;8;8;78;1;10
08/10/2015;10;10;67;1;12
09/10/2015;22;15;50;5;30
10/10/2015;19;22;57;4;25
11/10/2015;15;21;59;1;17
12/10/2015;12;14;56;2;15
13/10/2015;11;17;79;2;13
14/10/2015;9;17;93;2;11
15/10/2015;9;11;85;2;12
16/10/2015;25;17;54;4;31
17/10/2015;16;25;63;4;21
18/10/2015;10;15;65;2;13
19/10/2015;18;16;43;3;22
20/10/2015;9;13;82;1;11
21/10/2015;7;11;90;1;9
22/10/2015;7;8;89;1;9
23/10/2015;14;15;54;3;19
24/10/2015;12;22;60;2;16
25/10/2015;7;19;73;1;9
26/10/2015;7;24;82;1;9
27/10/2015;6;12;62;1;8
28/10/2015;0;7;61;0;0
29/10/2015;18;9;52;10;33
30/10/2015;11;18;62;3;15
31/10/2015;14;16;67;3;19
01/11/2015;12;21;68;2;15
