Fecha;vv;dd;TMP;HR;PRB;RS;LL;SO2;NO;NO2;PM10;NOX;O3
07/01/2015;;;;;;;0;;;;;;
08/01/2015;1.5;280;11.9;73;1012;109;0;4;;;;;40
09/01/2015;0.9;239;12.8;63;1015;116;0;3;6;19;;25;41
10/01/2015;1.6;279;17.2;33;1008;119;0;3;4;13;18;17;53
11/01/2015;1.8;276;16;41;1006;120;0;3;4;7;11;11;56
12/01/2015;1.3;277;13.2;72;1009;114;0;4;5;10;19;15;45
13/01/2015;0.7;252;13.2;74;1002;107;0;4;8;20;30;28;31
14/01/2015;1.8;276;15.2;51;1001;119;0;4;5;15;15;20;54
15/01/2015;1.3;253;15.6;51;994;114;0;6;9;18;22;27;54
16/01/2015;2.8;271;15.5;39;988;74;0;4;10;9;9;19;74
17/01/2015;1.9;278;11.7;41;996;125;0;4;6;14;13;19;68
18/01/2015;1.3;294;10.4;48;990;70;0;6;2;20;13;21;60
19/01/2015;1;303;10.6;69;985;35;1.2;4;7;26;10;32;47
20/01/2015;1.5;274;9.2;49;984;84;0.2;4;12;14;11;25;58
21/01/2015;1.7;295;11.4;49;983;83;0;4;10;13;13;22;58
22/01/2015;1.4;275;11.1;47;987;89;0;5;4;14;11;17;65
23/01/2015;2.2;299;12.4;32;993;133;0;4;5;10;6;14;74
24/01/2015;2.4;299;13.4;32;997;121;0;3;4;14;11;18;73
25/01/2015;2.4;304;13;27;998;131;0;4;5;7;9;11;72
26/01/2015;1.4;272;11.2;44;1002;125;0;3;6;10;15;15;58
27/01/2015;1.4;291;14.2;47;999;129;0;4;3;14;10;16;59
28/01/2015;1.4;265;12.8;51;997;129;0;5;2;11;10;12;62
29/01/2015;2.8;285;18;40;985;84;0;3;3;7;11;9;71
30/01/2015;4.6;284;19.8;51;971;117;7.4;4;6;14;16;19;64
31/01/2015;4.6;308;14.3;48;971;134;2.4;4;8;13;5;21;78
01/02/2015;5.1;304;12;32;984;146;2.4;4;5;10;6;15;81
02/02/2015;2.2;270;12.7;42;985;86;0;3;4;10;5;14;71
03/02/2015;3.2;292;12.9;47;975;151;0.4;4;8;11;5;18;67
04/02/2015;2.8;313;8.8;50;974;83;1;3;4;14;5;18;70
05/02/2015;4.7;303;9.1;24;980;132;0;3;5;13;;17;76
06/02/2015;2.5;301;7.7;33;984;162;0;3;4;9;;12;70
07/02/2015;0.8;223;6.7;61;992;79;0;3;7;12;14;19;41
08/02/2015;1.9;294;9.6;48;995;156;0;3;5;8;;13;62
09/02/2015;1.6;278;9.1;57;1000;121;0;3;6;6;17;11;63
10/02/2015;1.9;277;10.6;61;1000;159;0;3;7;8;;14;71
11/02/2015;1;274;11.5;73;998;48;0;5;7;13;;19;64
12/02/2015;0.4;291;11.7;83;997;37;0.4;3;6;26;28;31;38
13/02/2015;1.2;274;13.2;66;996;130;0;5;7;22;;28;47
14/02/2015;1.4;293;14.4;53;991;66;0;3;5;16;10;20;60
15/02/2015;2.5;294;16.7;51;987;151;0;4;3;13;;15;62
16/02/2015;2.1;262;15.7;55;993;145;0;3;3;21;;22;68
17/02/2015;1.5;346;13.7;65;1001;39;1;5;4;20;15;22;49
18/02/2015;1.4;287;12.7;58;1008;113;0;3;5;16;;20;58
19/02/2015;1.7;272;11.3;64;1006;94;1.6;3;10;17;;26;72
20/02/2015;1.9;261;11.3;67;997;170;0;3;8;18;24;25;70
21/02/2015;2.7;303;12.9;55;983;96;0.2;4;6;13;14;18;67
22/02/2015;3.4;326;15;34;986;170;0;3;7;10;7;16;81
23/02/2015;3.5;295;19;39;988;103;1.4;3;4;10;7;13;67
24/02/2015;5.5;315;14.8;30;996;152;2.2;3;5;8;5;12;82
25/02/2015;3.3;292;15.6;40;997;56;0;3;6;8;1;14;78
26/02/2015;2.8;307;18.6;46;995;147;0;5;4;24;10;27;60
27/02/2015;2.9;304;16.3;33;995;178;0;3;4;16;7;19;79
28/02/2015;1.4;288;13.6;42;997;160;0;4;5;13;13;18;73
01/03/2015;1.5;293;19.1;50;998;138;0;4;4;6;9;10;55
02/03/2015;1.6;303;23;43;998;147;0;6;3;20;13;22;52
03/03/2015;0.8;194;16.6;75;1001;90;0.2;5;8;22;26;29;36
04/03/2015;2.6;294;15.1;53;1003;189;0.2;4;;;11;;55
05/03/2015;2;286;14;26;1006;214;0;4;;;9;;76
06/03/2015;1.7;232;12.8;47;1008;207;0;4;9;6;17;14;70
07/03/2015;1.3;215;15.3;47;1004;214;0;6;9;13;21;21;68
08/03/2015;0.9;185;13.3;67;1001;181;0;4;8;8;19;16;75
09/03/2015;1.1;199;14.3;67;1001;182;0;4;7;16;26;23;65
10/03/2015;1.2;223;15.1;60;1002;206;0;6;7;14;28;20;76
11/03/2015;1.1;212;15.8;57;1000;202;0;5;13;16;26;30;73
12/03/2015;1.6;250;18.5;39;997;202;0;7;7;12;28;18;89
13/03/2015;1.4;212;14.3;76;998;186;0;3;8;12;37;20;82
14/03/2015;1.7;280;13;46;997;166;0;3;8;10;16;18;73
15/03/2015;1.3;263;12.1;45;994;120;0;4;7;12;13;19;77
16/03/2015;1.5;230;11.6;57;995;220;0;3;6;12;15;18;70
17/03/2015;1.3;223;12;61;997;209;0;4;13;7;20;20;81
18/03/2015;1.5;34;13.7;78;995;30;5.4;4;5;13;19;17;68
19/03/2015;2.4;36;15;75;992;25;1.4;9;6;17;25;23;72
20/03/2015;2.2;37;14.8;76;988;19;0.6;6;3;10;21;13;74
21/03/2015;1.5;304;14.1;89;982;50;;4;2;6;10;8;70
22/03/2015;1;298;12.5;;985;14;;3;4;8;5;13;70
23/03/2015;;;;;;;;;;;13;;
24/03/2015;1.4;299;13.2;92;979;;;5;2;14;15;17;63
25/03/2015;2.8;313;13.7;38;980;241;;3;2;5;11;7;85
26/03/2015;1.7;357;14.5;39;988;232;;3;3;15;16;17;73
27/03/2015;2;300;20.8;36;995;249;0.2;3;2;7;8;9;71
28/03/2015;1.4;238;20.2;50;998;253;0;5;3;7;15;10;59
29/03/2015;1.3;81;19.9;49;997;191;0;6;4;10;21;13;60
30/03/2015;1.7;289;24.1;29;997;64;0;5;5;10;12;14;72
31/03/2015;1.1;220;23.6;40;998;255;0;4;4;17;19;21;69
01/04/2015;1.7;232;18.4;49;1001;258;0;3;4;9;15;14;78
02/04/2015;1.3;222;16.2;62;999;257;0;4;4;8;21;12;67
03/04/2015;1.2;179;16.8;64;994;242;0;6;6;8;22;13;66
04/04/2015;1.3;189;15.9;74;989;240;0;5;2;11;18;13;54
05/04/2015;1.3;189;15.6;70;988;268;0.2;4;3;5;10;8;63
06/04/2015;0.8;201;14.8;78;996;81;2.6;3;4;9;15;13;71
07/04/2015;1.4;202;13.9;70;1003;216;0;4;2;9;18;12;72
08/04/2015;1.3;221;14;65;1005;243;0.2;4;3;7;15;10;87
09/04/2015;0.9;184;14.2;67;1002;202;0;5;3;8;18;11;83
10/04/2015;1.4;247;15.4;59;1000;236;0;3;3;9;18;11;93
11/04/2015;0.9;275;15.2;74;1000;101;0;5;4;10;26;13;83
12/04/2015;1.3;230;17.1;55;1003;194;0;7;4;8;23;12;86
13/04/2015;1.2;206;17.6;44;1004;249;0;9;5;9;40;13;99
14/04/2015;1.1;210;18.3;48;1001;235;0;5;5;9;26;13;90
15/04/2015;1.1;252;16.9;56;994;79;0.4;3;5;13;32;18;72
16/04/2015;1.6;349;18.4;68;990;196;0;8;5;14;33;19;63
17/04/2015;2.3;284;20.4;50;992;254;0;4;4;7;14;11;80
18/04/2015;1.8;184;18.7;62;989;236;0;6;4;11;16;15;84
19/04/2015;2.3;246;19;43;990;273;0;4;3;7;12;10;89
20/04/2015;1.8;210;18;58;997;278;0;3;3;7;12;10;86
21/04/2015;1.5;224;18;60;999;231;0;6;2;9;14;10;81
22/04/2015;1.3;243;17.6;69;997;217;0;6;2;5;18;7;77
23/04/2015;1.7;215;19.2;62;993;250;0;4;3;9;27;12;77
24/04/2015;1.6;168;19.2;70;991;239;0;3;4;10;;15;91
25/04/2015;0.9;191;19.5;77;988;158;0;8;4;13;51;16;60
26/04/2015;2;269;21.3;52;982;217;0.8;5;2;5;12;7;70
27/04/2015;3.8;297;21.1;35;983;277;0;3;4;5;7;8;91
28/04/2015;2.4;250;19.1;49;992;274;0;4;4;5;10;8;85
29/04/2015;1.2;197;18.1;68;993;173;0;4;4;8;20;11;78
30/04/2015;1.4;203;19.3;73;995;282;0;4;6;8;24;13;76
01/05/2015;1.4;249;23.7;50;989;238;0;6;2;8;20;10;69
02/05/2015;1.4;202;23.8;53;989;283;0;5;4;4;;7;70
03/05/2015;1;182;24.4;60;985;233;0;4;4;6;;9;80
04/05/2015;1;160;22.7;64;983;203;0;9;3;11;;13;76
05/05/2015;1.2;266;22.5;59;986;149;0;10;8;22;;29;50
06/05/2015;1.8;254;22.2;40;993;312;0;3;3;8;;11;93
07/05/2015;1.4;186;20.6;61;995;298;0;5;5;10;22;15;86
