Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;;;7;66;;;;;;;;;;;62
02/01/2015;;;8;52;;;;;;;;;;;66
03/01/2015;;;11.7;33;;;;;;;;;;;71
04/01/2015;;;12.2;38;;;;;;;;;;;72
05/01/2015;;;9.1;69;;;;;;;;;;;61
06/01/2015;;;8.3;60;;;;;;;;;;;65
07/01/2015;;;7.4;79;;;;;;;;;;;61
08/01/2015;;;7.3;76;;;;;;;;;;;58
09/01/2015;;;9;54;;;;;;;;;;;67
10/01/2015;;;12.2;36;;;;;;;;;;;64
11/01/2015;;;12.2;37;;;;;;;;;;;74
12/01/2015;;;10;60;;;;;;;;;;;70
13/01/2015;;;10.9;49;;;;;;;;;;;72
14/01/2015;;;11.2;51;;;;;;;;;;;70
15/01/2015;;;12;52;;;;;;;;;;;69
16/01/2015;;;8.8;56;;;;;;;;;;;76
17/01/2015;;;6.2;53;;;;;;;;;;;71
18/01/2015;;;5.1;62;;;;;;;;;;;70
19/01/2015;;;3.7;93;;;;;;;;;;;52
20/01/2015;;;3.5;62;;;;;;;;;;;69
21/01/2015;;;4;70;;;;;;;;;;;58
22/01/2015;;;5.1;64;;;;;;;;;;;69
23/01/2015;;;6;50;;;;;;;;;;;75
24/01/2015;;;6.3;45;;;;;;;;;;;75
25/01/2015;;;9.3;37;;;;;;;;;;;80
26/01/2015;;;7.1;50;;;;;;;;;;;69
27/01/2015;;;8.7;53;;;;;;;;;;;66
28/01/2015;;;8.7;52;;;;;;;;;;;71
29/01/2015;;;10.8;55;;;;;;;;;;;69
30/01/2015;;;14.9;60;;;;;;;;;;;64
31/01/2015;;;10.4;57;;;;;;;;;;;77
01/02/2015;;;5.5;51;;;;;;;;;;;79
02/02/2015;;;6;61;;;;;;;;;;;69
03/02/2015;;;8.3;64;;;;;;;;;;;75
04/02/2015;;;3.7;60;;;;;;;;;;;81
05/02/2015;;;3.4;41;;;;;;;;;;;79
06/02/2015;;;2.6;51;;;;;;;;;;;74
07/02/2015;;;2.1;64;;;;;;;;;;;58
08/02/2015;;;4.1;59;;;;;;;;;;;64
09/02/2015;;;4;82;;;;;;;;;;;53
10/02/2015;;;5.7;90;;;;;;;;;;;60
11/02/2015;;;7.8;93;;;0.1;;;;;;;;62
12/02/2015;0.3;105;7.8;;960;0;0;13;3;0.1;2;11;18;13;62
13/02/2015;2;263;10;69;961;128;0;7;3;0.1;2;4;8;7;74
14/02/2015;5.9;271;11.5;66;957;60;0;6;3;0.1;2;4;6;6;79
15/02/2015;4;269;12.9;66;952;86;0;2;3;0.1;2;4;2;6;72
16/02/2015;2.5;279;12.3;69;957;105;0;4;3;0.1;2;6;4;8;61
17/02/2015;;;;;;;0;;;;;;;
19/02/2015;;;;;;;0.5;;;;;;;
20/02/2015;0.6;99;9.1;;961;92;0.2;15;3;0.1;2;6;17;8;82
21/02/2015;3;274;9.2;68;949;30;0;5;3;0.1;2;4;5;6;83
22/02/2015;1.4;267;10.4;49;952;135;0;2;3;0.1;2;4;2;7;84
23/02/2015;7;265;13;61;954;140;0;4;3;0.1;2;4;4;6;69
24/02/2015;2.6;282;10.2;46;961;136;0;1;3;0.1;2;4;2;6;86
25/02/2015;2.2;277;10.4;54;963;95;0;1;3;0.1;2;4;2;6;80
26/02/2015;1.6;282;14.5;57;959;104;0.2;2;3;0.1;2;4;2;7;71
27/02/2015;1.4;226;12.5;48;959;154;0;2;3;0.1;2;4;2;6;78
28/02/2015;1.1;269;12.3;47;961;185;0;2;3;0.1;2;4;2;7;81
01/03/2015;3.5;262;15.9;56;962;173;0;3;3;0.1;2;4;4;6;71
02/03/2015;3.6;256;19.1;53;962;187;0;3;3;0.1;2;4;4;6;67
03/03/2015;1;152;16.2;71;963;143;0;11;3;0.1;2;9;12;12;63
04/03/2015;1.6;53;14.7;56;965;170;0;8;3;0.1;2;7;9;9;72
05/03/2015;1.3;226;9.7;32;969;215;0;;3;0.1;2;5;;7;90
06/03/2015;1.4;207;10.3;39;969;212;0;5;3;0.1;2;9;7;11;85
07/03/2015;1.4;250;14.1;34;967;217;0;4;3;0.2;2;6;6;8;88
08/03/2015;1;175;10.8;64;964;164;0;11;3;0.2;2;7;12;10;92
09/03/2015;1.3;245;13.2;62;963;196;0;13;3;0.1;2;8;14;10;88
10/03/2015;1.4;255;14.6;57;964;205;0;12;3;0.1;2;9;14;11;104
11/03/2015;;;17.6;39;;;0;;;;;;;;98
12/03/2015;;;16.7;35;;;;;;;;;;;98
13/03/2015;;;11;72;;;;;;;;;;;96
14/03/2015;;;7.9;74;;;;;;;;;;;69
15/03/2015;;;7.8;58;;;;;;;;;;;84
