Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;CO;NO;NO2;NOX;O3
01/01/2015;;;5.9;65;;;;;;;;;;34
02/01/2015;;;6.2;69;;;;;;;;;;25
03/01/2015;;;8.1;60;;;;;;;;;;32
04/01/2015;;;10.7;50;;;;;;;;;;40
05/01/2015;;;7.2;75;;;;;;;;;;22
06/01/2015;;;7.8;73;;;;;;;;;;26
07/01/2015;;;7.8;71;;;;;;;;;;23
08/01/2015;;;7.2;75;;;;;;;;;;26
09/01/2015;;;6.7;70;;;;;;;;;;22
10/01/2015;;;8.7;56;;;;;;;;;;31
11/01/2015;;;10.2;46;;;;;;;;;;36
12/01/2015;;;8.7;74;;;;;;;;;;21
13/01/2015;;;9.6;81;;;0.1;;;;;;;19
14/01/2015;0.8;229;12;68;1021;107;0.1;;3;0.2;7;20;31;33
15/01/2015;1.1;228;11.4;74;1015;114;0.4;;4;0.2;6;16;25;34
16/01/2015;2.5;263;11.2;63;1012;50;0;;3;0.2;3;10;15;47
17/01/2015;2.2;257;8.8;57;1019;129;0.2;;3;0.2;2;9;13;53
18/01/2015;0.7;243;7.2;67;1012;76;0.1;;3;0.2;3;11;15;40
19/01/2015;1.5;286;9.2;80;1005;13;0;;3;0.2;3;12;17;40
20/01/2015;1.9;260;7.2;64;1010;76;0.1;;3;0.1;3;9;13;53
21/01/2015;3;265;8.5;63;1008;123;0;;3;0.2;3;9;14;52
22/01/2015;5.7;301;10.4;54;1010;110;0;;3;0.1;3;6;9;71
23/01/2015;3.9;296;10.9;45;1018;138;0.2;;3;0.1;2;6;10;69
24/01/2015;2.8;262;9.5;47;1022;133;0;;3;0.1;2;7;10;64
25/01/2015;;;;;;;0;;;;;;
27/01/2015;;;;;;;0.1;;;;;;
28/01/2015;1.7;243;11.8;59;1018;146;0.2;8;4;0.1;3;7;11;59
29/01/2015;3.7;251;14.8;52;1010;130;0;12;3;0.1;2;7;10;66
30/01/2015;7;265;19.9;47;998;135;0;10;3;0.1;2;4;7;67
31/01/2015;8;294;16;47;996;122;0;4;3;0.1;2;4;7;77
01/02/2015;7.2;302;10.8;39;1009;157;0;4;3;0.1;2;5;7;76
02/02/2015;2.5;257;10.5;51;1009;111;0.2;8;3;0.1;2;6;10;62
03/02/2015;4.3;269;13.2;52;1000;148;0.2;5;3;0.2;2;5;8;69
04/02/2015;6.7;300;9.3;50;998;142;0.2;7;3;0.1;2;4;7;80
05/02/2015;7.6;305;8.4;36;1006;138;0.2;9;3;0.1;2;4;7;75
06/02/2015;4.9;292;8.6;41;1009;145;0.6;7;3;0.2;2;6;9;69
07/02/2015;0.5;254;6;62;1017;67;0;21;3;0.2;4;9;14;43
08/02/2015;1.5;240;7.7;65;1020;161;0;20;3;0.2;2;6;9;54
09/02/2015;1.4;327;7.8;73;1021;70;0;20;3;0.2;3;9;14;54
10/02/2015;;;8.8;77;;;0;;;;;;;54
11/02/2015;;;9.8;75;;;;;;;;;;44
12/02/2015;;;8.9;83;;;;;;;;;;39
13/02/2015;;;10.5;69;;;;;;;;;;40
14/02/2015;;;13;50;;;;;;;;;;65
15/02/2015;;;13.6;57;;;;;;;;;;49
16/02/2015;;;14.2;55;;;;;;;;;;54
17/02/2015;;;11.2;68;;;;;;;;;;46
18/02/2015;;;11.9;62;;;;;;;;;;73
19/02/2015;;;10.7;65;;;;;;;;;;62
20/02/2015;;;9.5;69;;;;;;;;;;50
21/02/2015;;;9.9;59;;;;;;;;;;52
22/02/2015;;;11.6;40;;;;;;;;;;74
23/02/2015;;;14.7;45;;;;;;;;;;58
24/02/2015;;;13.8;28;;;;;;;;;;81
25/02/2015;;;13.3;34;;;;;;;;;;77
26/02/2015;;;17;38;;;;;;;;;;65
27/02/2015;;;15.6;36;;;;;;;;;;71
28/02/2015;;;11.1;58;;;;;;;;;;59
01/03/2015;;;16.3;45;;;;;;;;;;63
02/03/2015;;;18.5;45;;;;;;;;;;51
03/03/2015;;;14.8;66;;;;;;;;;;40
04/03/2015;;;13;68;;;;;;;;;;48
05/03/2015;;;10.3;32;;;;;;;;;;71
06/03/2015;;;8;47;;;;;;;;;;53
07/03/2015;;;10.3;51;;;;;;;;;;55
08/03/2015;;;9.1;70;;;;;;;;;;55
09/03/2015;;;11.7;64;;;;;;;;;;59
10/03/2015;;;11.1;70;;;;;;;;;;54
11/03/2015;;;13;62;;;;;;;;;;53
12/03/2015;;;14.9;56;;;;;;;;;;44
13/03/2015;;;13.3;68;;;;;;;;;;87
14/03/2015;;;8.5;80;;;;;;;;;;45
15/03/2015;;;8.4;77;;;;;;;;;;45
16/03/2015;;;9.4;72;;;;;;;;;;51
17/03/2015;;;8.7;71;;;;;;;;;;61
18/03/2015;;;10.2;80;;;;;;;;;;64
19/03/2015;;;12.1;78;;;;;;;;;;69
20/03/2015;;;13.2;74;;;;;;;;;;76
21/03/2015;;;13.4;68;;;;;;;;;;67
22/03/2015;;;12.7;75;;;;;;;;;;62
