Fecha;BEN;CO;EBN;NO;NO2;NOX;O3;OXL;PM10;SO2;TOL
01/08/2015;null(null);0.1;null(null);6.3;15.0;24.0;66.0;null(null);21.0;1.3;null(null)
02/08/2015;null(null);0.1;null(null);4.9;14.0;21.0;68.0;null(null);24.0;1.0;null(null)
03/08/2015;null(null);0.1;null(null);10.0;16.0;32.0;29.0;null(null);24.0;2.0;null(null)
04/08/2015;null(null);0.1;null(null);8.0;14.0;25.0;24.0;null(null);22.0;2.0;null(null)
05/08/2015;null(null);0.1;null(null);9.4;16.0;30.0;16.0;null(null);23.0;1.9;null(null)
06/08/2015;null(null);0.1;null(null);10.0;13.0;28.0;43.0;null(null);23.0;1.5;null(null)
07/08/2015;null(null);0.1;null(null);10.0;14.0;29.0;49.0;null(null);25.0;2.3;null(null)
08/08/2015;null(null);0.1;null(null);4.3;6.4;13.0;61.0;null(null);25.0;1.0;null(null)
09/08/2015;null(null);0.1;null(null);4.5;9.6;16.0;67.0;null(null);26.0;1.7;null(null)
10/08/2015;null(null);0.11;null(null);11.0;23.0;40.0;81.0;null(null);46.0;2.8;null(null)
11/08/2015;null(null);0.1;null(null);8.5;19.0;32.0;77.0;null(null);48.0;3.3;null(null)
12/08/2015;null(null);0.1;null(null);6.9;12.0;23.0;57.0;null(null);36.0;1.6;null(null)
13/08/2015;null(null);0.1;null(null);8.0;10.0;22.0;45.0;null(null);19.0;1.1;null(null)
14/08/2015;null(null);0.1;null(null);15.0;20.0;43.0;29.0;null(null);24.0;3.2;null(null)
15/08/2015;null(null);0.1;null(null);8.1;8.1;20.0;30.0;null(null);18.0;1.0;null(null)
16/08/2015;null(null);0.1;null(null);5.5;6.6;15.0;29.0;null(null);16.0;1.3;null(null)
17/08/2015;null(null);0.1;null(null);11.0;12.0;29.0;33.0;null(null);21.0;2.6;null(null)
18/08/2015;null(null);0.1;null(null);7.9;11.0;23.0;43.0;null(null);21.0;1.0;null(null)
19/08/2015;null(null);0.1;null(null);13.0;15.0;34.0;44.0;null(null);23.0;2.3;null(null)
20/08/2015;null(null);0.1;null(null);12.0;22.0;41.0;55.0;null(null);28.0;3.3;null(null)
21/08/2015;null(null);0.12;null(null);11.0;23.0;40.0;62.0;null(null);31.0;2.5;null(null)
22/08/2015;null(null);0.1;null(null);6.8;8.6;19.0;31.0;null(null);20.0;1.0;null(null)
23/08/2015;null(null);0.1;null(null);3.9;5.7;12.0;39.0;null(null);20.0;1.0;null(null)
24/08/2015;null(null);0.1;null(null);14.0;15.0;36.0;36.0;null(null);25.0;1.6;null(null)
25/08/2015;null(null);0.1;null(null);11.0;15.0;31.0;32.0;null(null);21.0;2.4;null(null)
26/08/2015;null(null);0.1;null(null);19.0;16.0;45.0;22.0;null(null);23.0;2.5;null(null)
27/08/2015;null(null);0.1;null(null);11.0;8.3;25.0;21.0;null(null);19.0;1.0;null(null)
28/08/2015;null(null);0.1;null(null);15.0;14.0;37.0;24.0;null(null);20.0;3.4;null(null)
29/08/2015;null(null);0.1;null(null);6.2;11.0;21.0;38.0;null(null);21.0;1.0;null(null)
30/08/2015;null(null);0.1;null(null);6.0;12.0;21.0;51.0;null(null);34.0;1.0;null(null)
31/08/2015;null(null);0.1;null(null);9.7;15.0;30.0;40.0;null(null);30.0;1.1;null(null)
01/10/2015;null(null);0.1;null(null);17.0;24.0;50.0;32.0;null(null);30.0;1.5;null(null)
02/10/2015;null(null);0.11;null(null);19.0;23.0;52.0;40.0;null(null);31.0;1.3;null(null)
03/10/2015;null(null);0.11;null(null);12.0;17.0;35.0;24.0;null(null);28.0;1.2;null(null)
04/10/2015;null(null);0.1;null(null);5.7;10.0;19.0;28.0;null(null);17.0;1.0;null(null)
06/10/2015;null(null);0.1;null(null);9.9;15.0;30.0;37.0;null(null);22.0;1.0;null(null)
07/10/2015;null(null);0.1;null(null);17.0;16.0;42.0;18.0;null(null);26.0;1.0;null(null)
08/10/2015;null(null);0.1;null(null);23.0;20.0;55.0;15.0;null(null);27.0;1.4;null(null)
09/10/2015;null(null);0.12;null(null);29.0;26.0;70.0;15.0;null(null);27.0;3.5;null(null)
10/10/2015;null(null);0.1;null(null);9.4;17.0;31.0;37.0;null(null);23.0;1.0;null(null)
11/10/2015;null(null);0.1;null(null);6.7;11.0;21.0;25.0;null(null);18.0;1.0;null(null)
12/10/2015;null(null);0.1;null(null);6.3;6.1;15.0;30.0;null(null);20.0;1.0;null(null)
13/10/2015;null(null);0.1;null(null);19.0;16.0;46.0;30.0;null(null);29.0;1.4;null(null)
14/10/2015;0.01;0.11;null(null);28.0;22.0;66.0;17.0;null(null);30.0;2.0;0.01
15/10/2015;0.01;0.13;null(null);23.0;23.0;58.0;16.0;null(null);28.0;1.3;0.01
16/10/2015;0.01;0.12;null(null);40.0;24.0;87.0;4.1;null(null);29.0;1.6;0.01
17/10/2015;0.01;0.1;null(null);21.0;17.0;49.0;18.0;null(null);24.0;1.0;0.01
18/10/2015;0.01;0.11;null(null);19.0;15.0;44.0;2.4;null(null);22.0;1.1;0.01
19/10/2015;0.01;0.11;null(null);21.0;16.0;49.0;8.5;null(null);17.0;1.1;0.01
