Fecha;CO;NO;NO2;NOX;O3;PM10;PM25;dd;HR;PRB;LL;RS;TMP;vv
01/10/2015;0.21;4;16;14;89;16;9;324;77;995.9;4.9;109.4;17.7;1.12
30/09/2015;0.24;4;24;15;78;12;5;187;72;993.1;0.1;152.6;18.3;0.67
29/09/2015;0.22;5;20;18;80;17;9;333;89;994;0;87.5;15.6;0.53
28/09/2015;0.24;5;15;17;89;15;7;307;86;998.3;0;150.2;16.6;0.31
27/09/2015;0.2;5;10;14;76;11;5;319;87;998.1;0;109.7;15.8;0.84
26/09/2015;0.2;5;12;15;76;14;5;324;88;995.7;0;163.2;16.5;0.61
25/09/2015;0.19;5;20;18;73;11;4;321;82;996.7;0;151.5;16.3;0.46
24/09/2015;0.17;5;20;16;72;9;2;270;77;997.3;0;140.8;16;0.1
23/09/2015;0.18;5;11;13;72;8;2;304;88;994.8;13.8;79.5;14.6;0.94
22/09/2015;0.15;5;10;14;73;10;3;313;84;992.4;8.6;80;15.3;2
21/09/2015;0.22;5;15;15;61;12;5;323;83;994.4;0;146.3;16.5;0.76
20/09/2015;0.21;5;20;15;0;7;3;303;79;998.9;0;197;16.3;0.62
19/09/2015;0.19;5;11;13;0;8;2;325;78;1001.4;0;184.2;16.2;0.48
18/09/2015;0.24;5;15;14;73;10;2;316;73;997.6;0.1;122.9;15.9;0.66
17/09/2015;0.16;5;10;14;71;8;2;260;71;987.9;1.8;83.9;15.3;1.41
16/09/2015;0.17;4;8;13;75;11;2;216;61;972.6;0.5;177.8;21.3;2.65
15/09/2015;0.19;5;13;15;74;11;3;201;64;979.1;3.2;54.3;18.2;2.83
14/09/2015;0.19;6;9;15;72;12;3;294;79;988.9;4.7;87.4;15.5;1.04
13/09/2015;0.2;5;8;15;79;9;4;238;67;983;1.2;82.5;19.7;1.38
12/09/2015;0.2;5;9;15;89;14;7;269;90;988.2;1;35.1;18.2;0.25
11/09/2015;0.23;6;14;17;98;14;7;328;83;989;0.3;221;19;0.82
10/09/2015;0.21;5;8;15;93;10;6;287;84;991.9;1.3;61.6;17.8;0.61
09/09/2015;0.22;6;19;20;98;16;8;312;73;990.2;0.3;208.4;19.7;0.55
08/09/2015;0.2;6;16;18;88;13;5;328;77;994.1;0.4;225;17.1;0.54
07/09/2015;0.19;6;18;17;87;10;4;324;76;999;0.1;206.9;16.3;0.83
06/09/2015;0.2;6;11;16;91;10;4;329;73;999.7;0.3;234.7;16.7;0.7
05/09/2015;0.16;6;9;14;79;7;2;314;73;998.2;0.3;139.2;15.8;0.8
04/09/2015;0.17;5;12;15;74;7;2;337;77;995.2;0.2;119.1;15.7;0.51
03/09/2015;0.18;3;8;10;81;8;3;299;90;993.8;7.8;61.7;15.8;0.69
02/09/2015;0.18;2;7;7;91;10;3;343;79;993.9;11.6;181.6;17.2;0.59
01/09/2015;0.15;2;6;6;76;10;2;327;87;996.2;13.8;70;17.1;1.31
31/08/2015;0.26;2;8;7;89;22;8;312;78;990;11.5;96.6;22.3;0.93
30/08/2015;0.2;2;8;7;96;16;7;202;61;989.4;1.2;221.9;26.2;0.8
29/08/2015;0.23;2;8;8;76;13;5;11;88;991.2;0.3;245.5;21.9;0.62
28/08/2015;0.19;2;9;8;73;10;4;349;82;992.4;0;256.2;21.6;0.89
27/08/2015;0.19;2;13;7;82;11;4;220;57;987.8;0;119.9;25.3;0.65
26/08/2015;0.23;1;7;7;83;12;4;224;61;988.8;0;247.9;23.6;0.51
25/08/2015;0.18;1;10;7;83;8;3;268;59;993.8;0;260.5;20.7;0.26
24/08/2015;0.15;;4;;69;;;326;67;991.5;0;272;17.9;1.54
23/08/2015;0;;0;;0;;;;;;;;;
22/08/2015;0.27;2;11;9;82;23;15;345;94;988.8;11.1;131.7;19.8;0.86
21/08/2015;0.29;2;13;10;100;18;10;348;84;994.3;0;261.3;21.7;0.67
20/08/2015;0.23;2;10;9;98;13;8;336;82;997.1;0;260.9;19.9;0.59
19/08/2015;0.15;2;6;7;79;8;3;324;79;996.4;0;253;18.1;0.63
18/08/2015;0.19;2;6;7;85;11;3;342;79;993.5;0;245.5;18.2;0.72
17/08/2015;0.19;2;6;7;85;12;4;336;84;992;0.4;223.7;17.8;0.77
16/08/2015;0.2;2;7;7;67;11;4;335;84;990.9;0.6;170.9;17;0.6
15/08/2015;0.18;4;6;9;59;9;3;304;85;993.2;3.1;147.3;16.8;0.78
14/08/2015;0.14;3;7;10;74;10;3;309;75;994;3.8;139.2;17.3;1.89
13/08/2015;0.24;4;6;10;83;12;4;294;80;992;3.4;201.8;19.9;1.11
12/08/2015;0.35;4;9;11;103;20;12;345;84;991;4.7;247.3;21.9;0.84
11/08/2015;0.33;4;13;12;103;20;11;338;86;989.3;1;228.5;21;0.87
10/08/2015;0.27;4;13;12;99;15;8;336;80;993.5;0;300.6;20.5;0.37
09/08/2015;0.17;3;5;9;76;11;3;317;82;999.1;0;173.7;18.4;1.12
08/08/2015;0.16;3;5;9;68;9;2;292;91;999.4;5.7;72.9;16.4;1.1
07/08/2015;0.21;4;6;9;66;10;3;321;92;995.1;5.8;89.2;18.7;1.45
06/08/2015;0.18;3;15;10;83;18;9;328;90;991.5;0.8;158.5;19.8;0.62
05/08/2015;0.24;2;10;7;74;16;6;322;87;990.3;0;188.6;20.4;0.89
04/08/2015;0.17;2;8;7;59;8;2;342;93;994.5;11.9;78.9;18.3;0.51
03/08/2015;0.19;2;6;7;107;15;6;336;81;991.9;0.1;212.3;20.5;0.86
02/08/2015;0.25;2;8;8;113;14;7;260;63;990;0;298.6;23.9;0.14
01/08/2015;0.18;2;7;7;102;11;5;309;72;993.4;0;185.5;18;0.66
31/07/2015;0.19;2;6;8;91;12;5;307;85;988.9;1.4;61.3;16.6;0.84
30/07/2015;0.17;2;14;8;72;11;4;12;78;993;0.1;145;16.7;0.19
29/07/2015;0.16;2;8;7;60;7;2;352;89;991.9;7.8;53.4;18.2;0.41
28/07/2015;0.21;2;7;7;79;11;4;332;76;991.9;0.3;297.6;20.5;0.49
27/07/2015;0.18;2;7;7;56;12;3;310;84;993.4;0.8;79.6;18.8;1.13
26/07/2015;0.22;3;10;9;84;12;4;332;71;991.1;0;256.2;20.6;0.81
25/07/2015;0.16;3;6;7;77;12;3;311;80;996.2;1.9;163.3;17.3;1.04
24/07/2015;0.27;3;14;10;85;12;6;327;84;989.8;7.4;239.7;20.5;1.3
23/07/2015;0.2;4;8;9;73;9;;356;84;993.1;0.2;263.9;20.6;1.02
22/07/2015;0.18;5;5;10;57;4;;13;97;995.8;15.3;61.8;19.5;0.83
21/07/2015;0.18;8;11;14;52;;;320;95;992.5;14.1;69.5;21.1;0.85
20/07/2015;0.25;9;13;19;87;16;;348;80;992.8;0;303.9;23;0.79
19/07/2015;0.23;10;5;17;63;10;;323;85;993.1;0.2;258.4;21.9;0.68
18/07/2015;0.26;11;13;20;64;11;;335;91;991.8;4.4;198.3;21.4;0.85
17/07/2015;0.22;11;10;21;65;11;;340;88;993.7;0.9;171.5;20.7;0.65
16/07/2015;0.29;10;9;19;64;10;;348;91;991.5;0;82.9;20.4;0.49
15/07/2015;0.26;9;8;18;76;15;;342;87;994.2;0;211.7;20.5;0.97
14/07/2015;0.21;8;22;17;66;10;;357;83;998;0;243;19.8;0.75
13/07/2015;0.21;7;12;15;68;9;;359;79;999.1;0;262.8;19.5;0.77
12/07/2015;0.17;6;11;13;66;7;;20;77;999.5;0.1;282.2;19.3;0.71
11/07/2015;0.21;6;5;11;83;12;;338;83;999.8;0.4;82.4;18.7;0.82
10/07/2015;0.34;7;26;17;105;15;;332;73;992.9;0;332.4;21.6;1.1
09/07/2015;0.18;7;23;15;74;9;;43;73;997.6;0;291.6;18.6;0.8
08/07/2015;0.25;6;5;11;67;;;340;83;998.7;8;125.4;17.9;1.33
07/07/2015;0.28;6;5;12;93;;9;349;84;995;0;269.4;20.3;1.15
06/07/2015;0.27;6;24;15;102;;8;349;84;994.2;0.4;313.5;21;0.92
05/07/2015;0.22;6;4;11;57;11;3;348;90;996.8;0.3;111;19.8;0.92
04/07/2015;0.21;6;9;12;88;12;6;8;75;997.4;0.3;200.7;20.9;0.62
03/07/2015;0.22;7;10;15;113;;8;195;67;993.5;0;305.8;25.6;0.49
02/07/2015;0.24;6;7;12;61;9;4;318;94;996.1;1.3;71.2;19.2;1.05
01/07/2015;0.29;6;7;12;86;24;18;338;91;990.3;0.5;214;20;0.99
30/06/2015;0.26;6;9;14;130;;18;7;69;988.9;0;317.1;25.7;0.58
29/06/2015;0.25;7;17;17;73;;8;342;88;995.8;0.6;271.8;20.3;0.62
28/06/2015;0.27;7;8;13;59;;5;340;90;997.8;0.4;94.4;19;0.72
27/06/2015;0.26;6;7;13;81;;12;337;82;998.2;0.1;334.2;19.5;0.87
26/06/2015;0.31;6;20;14;113;;15;331;87;997.9;0.2;203.8;19.7;0.94
25/06/2015;0.3;5;16;14;117;;9;327;67;996.7;0;361.5;21.4;0.8
24/06/2015;0.23;5;8;10;75;;5;342;77;995.9;0;352.3;18.7;0.74
23/06/2015;0.28;5;8;10;60;;;344;82;993.2;0;255.1;18.1;0.91
22/06/2015;0.23;4;9;10;87;11;;338;84;991.7;0;336.7;19.1;1.06
21/06/2015;0.2;4;5;8;94;10;;330;77;996.2;0;353.6;18.5;0.89
20/06/2015;0.16;4;5;8;84;10;;337;82;998.9;0;337.9;16.9;0.99
19/06/2015;0.17;4;6;8;84;7;;318;91;999.2;1.6;101;16;1.41
18/06/2015;0.44;4;7;8;100;13;;325;86;1001;0;197.7;16.5;1.44
17/06/2015;0.22;4;5;7;98;10;;314;85;1002.2;0;206.4;15.9;2.09
16/06/2015;0.18;3;4;7;88;8;;308;86;1000.5;3.4;82.4;14.7;2.32
15/06/2015;0.17;3;5;7;91;9;;313;88;995;11.1;88.4;15.4;1.69
14/06/2015;0.19;3;5;7;93;8;;330;86;989.3;2.5;242.3;15.7;0.79
13/06/2015;0.16;3;6;7;81;8;;319;94;987.2;10.2;88.6;15.8;0.45
12/06/2015;0.18;3;5;7;91;10;;340;92;987.6;11.3;115.2;16;0.43
11/06/2015;0.19;;15;;96;9;;203;82;986.4;10.9;80.3;18.7;0.81
10/06/2015;0.25;;0;;89;9;;174;83;989.4;7.4;110.6;16.2;0.71
09/06/2015;0.24;;0;;105;16;;331;83;994.5;1;199.8;16.3;1.22
08/06/2015;0.26;;0;;101;14;;333;88;996.6;0;306.6;18.1;1.09
07/06/2015;0.19;;6;;73;11;;339;92;999.2;0.2;166.9;16.9;0.67
06/06/2015;0.15;;11;;72;8;;335;95;1000.7;2.6;72.7;15.6;0.69
05/06/2015;0.22;;7;;100;11;;320;79;996.3;1.1;181;18.7;1.32
04/06/2015;0.23;4;16;12;118;13;;156;66;994.3;0;345.2;24;0.54
03/06/2015;0.21;3;12;10;78;11;;340;93;998.7;0.9;86.2;16.5;0.3
02/06/2015;0.18;4;10;10;72;9;;340;95;996.1;1.2;112.2;16.7;0.89
01/06/2015;0.22;4;8;10;69;;;353;90;995.2;0;105.4;16.5;0.68
31/05/2015;0.23;4;6;9;88;;;330;70;994.9;0;345.4;17.5;0.81
30/05/2015;0.21;4;5;9;87;;;319;78;995.5;0;283.4;14.8;0.63
29/05/2015;0.16;4;9;9;89;7;;334;90;994.2;4.4;143.7;13.6;1
28/05/2015;0.25;4;13;10;92;10;;343;87;996;0.1;182.7;15;0.98
27/05/2015;0.25;4;8;9;95;;;340;86;999.2;0;321.1;14.8;1.43
26/05/2015;0.18;3;5;7;79;11;;323;89;999.7;0.2;128.1;13.1;2.18
25/05/2015;0.16;3;6;7;79;7;;331;94;998.3;1.9;100;13.4;2.38
24/05/2015;0.16;3;3;6;73;7;;330;97;997.1;0.9;62.1;13.6;2.17
23/05/2015;0.2;3;3;6;88;9;;323;85;999.2;2.1;136.3;12.3;1.85
22/05/2015;0.19;3;4;7;95;10;;336;78;1003.5;0;215.3;11.9;1.76
21/05/2015;0.21;3;5;7;86;10;;332;80;1005.1;5.1;124.3;11.2;1.77
20/05/2015;0.19;3;3;7;87;8;;311;88;999.3;15;155.2;10.5;2.08
19/05/2015;0.17;3;4;7;82;9;;321;89;994.8;11.3;135.4;10.8;1.9
18/05/2015;0.22;4;8;8;83;9;;330;87;993.3;1.9;236.8;12.5;0.96
17/05/2015;0.19;3;2;6;76;6;;343;93;1002.3;1.2;152.8;13.3;1.31
16/05/2015;0.19;3;2;6;87;7;;317;95;1006.9;7.2;109.5;12;2.11
15/05/2015;0.18;3;3;7;92;;;317;93;1000.9;28.7;55.4;10.7;3.87
14/05/2015;0.19;4;4;8;86;12;;312;83;995.5;0.8;86.6;13.2;1.76
13/05/2015;0.27;4;12;11;81;14;;353;88;995.5;0;82.7;15.8;0.63
12/05/2015;0.23;4;9;10;93;12;;335;95;996;0.1;197.4;14.3;0.89
11/05/2015;0.27;5;12;13;97;18;;353;96;996.4;0;136.4;14.2;0.71
10/05/2015;0.28;4;9;11;103;12;;357;72;996.6;0.1;311.9;19.7;0.55
09/05/2015;0.22;6;13;14;86;9;;10;85;1002;0;89.1;14.8;0.34
08/05/2015;0.18;4;9;9;111;11;;345;59;993.9;0;275.6;18.5;0.51
07/05/2015;0.2;4;13;12;110;12;;191;59;990.1;0;292.2;19.2;0.28
06/05/2015;0.22;4;4;8;97;9;;341;76;995.9;0;224.9;12.6;0.69
05/05/2015;0.14;4;3;7;95;10;;;74;988.6;5.7;191.3;13.9;
04/05/2015;0.17;3;7;8;86;11;;;52;977.6;0;164.5;23.3;
03/05/2015;0.15;3;6;8;79;8;;;61;984.3;1.5;111.1;20.5;
02/05/2015;0.18;3;8;8;60;8;;;72;985.6;0;129.3;19.8;
01/05/2015;0.16;3;4;7;81;8;;;71;988.7;2.1;82.3;18;
30/04/2015;0.22;4;9;9;92;9;;236;54;992.2;0;208;17.5;1.39
29/04/2015;0.2;4;9;10;83;9;;337;75;995.5;0;176.7;11.6;0.55
28/04/2015;0.19;4;5;8;88;9;;355;68;997.1;0;272.3;11.2;1.2
27/04/2015;0.16;4;3;7;91;8;;;85;988.6;3.1;102.1;11.8;
26/04/2015;0.17;3;4;7;88;6;;;75;981.8;51.5;63;15.1;
25/04/2015;0.2;4;8;9;92;8;;;56;986.6;0.1;206.9;19;
24/04/2015;0.26;5;34;19;77;13;;;75;989.2;0.5;185.7;15.4;
23/04/2015;0.18;4;17;11;104;8;;;74;995.2;0.1;214.8;13.8;
22/04/2015;0.17;3;5;8;108;8;;194;46;994.2;0.2;130;18.1;0.59
21/04/2015;0.25;4;24;14;97;9;;;62;996.8;0;255.3;17.3;
20/04/2015;0.24;4;6;9;100;8;;316;71;997.4;0;270.5;13.3;0.29
19/04/2015;0.19;4;4;7;98;6;;316;79;992.6;0.3;112.8;11.6;0.96
18/04/2015;0.2;4;9;11;81;10;;;92;989.2;8.5;97;11.9;
17/04/2015;0.19;4;24;13;89;12;;2;89;993.6;5.7;85.3;12.7;0.42
16/04/2015;0.21;4;17;14;101;20;;349;70;989.8;0.7;102.5;14.7;0.19
15/04/2015;0.15;3;12;8;110;15;;168;24;990.5;0;61.5;20.7;2.01
14/04/2015;0.17;3;4;7;109;14;;169;25;997;0;250.9;23.8;2.37
13/04/2015;0.2;3;9;10;111;16;;182;37;1002;0;258;20.9;0.92
12/04/2015;0.26;4;9;11;98;12;;335;66;1001.6;0;254.1;16.8;0.55
11/04/2015;0.23;4;8;9;92;8;;343;87;1001.9;0;130.6;12.5;0.51
10/04/2015;0.22;3;5;9;108;9;;187;62;996.8;2.4;111;13.8;1.32
09/04/2015;0.17;3;5;8;113;10;;177;26;997.4;0;125.5;16.8;2.24
08/04/2015;0.2;3;4;8;111;8;;167;34;999.6;0;260;15.9;2.63
07/04/2015;0.24;4;17;15;95;10;;331;61;1000.3;0;249;12.5;0.63
06/04/2015;0;6;16;16;95;8;;342;64;996.4;0;249.3;10;0.89
05/04/2015;0.2;4;14;11;88;7;;4;83;993;2.5;168.2;9.8;1.01
04/04/2015;0.18;4;3;8;91;5;;333;94;995.2;5.7;83.8;9;1.88
03/04/2015;0.13;4;9;10;93;11;;348;80;998.4;0;184.5;10;1.47
02/04/2015;0;5;6;10;96;14;;27;74;1004.3;0;237;9.4;0.46
01/04/2015;0.19;4;6;9;89;17;;355;81;1009;0.1;171.4;9.8;1.92
31/03/2015;0.2;4;7;11;77;10;;339;89;1006.8;3.5;76.4;11.6;2.74
30/03/2015;0.18;4;8;11;87;10;;279;69;1003.4;0;60.6;13.8;1.3
29/03/2015;0.19;5;9;12;84;8;;45;75;1002.7;1.3;174.2;13.6;0.07
28/03/2015;0.19;4;10;10;74;8;;18;92;1005.4;1.5;69;11.3;0.36
27/03/2015;0.19;4;10;9;88;8;;216;92;1003.4;6.9;68.2;10.3;2.48
26/03/2015;0.19;3;8;8;87;6;;214;92;993.5;6.3;55.9;8.9;2.5
25/03/2015;0.19;3;8;8;89;7;;251;79;989.7;6.1;115.7;6.5;3.04
24/03/2015;0.21;3;9;9;90;7;;223;94;986.5;14.2;18.3;7.2;2.08
23/03/2015;0.22;2;25;14;73;5;;166;97;986.6;22.3;32.2;5.6;0.17
22/03/2015;0.29;1;8;7;76;10;;267;90;989.9;5.9;15.5;7.3;1.51
21/03/2015;0.29;1;10;8;74;10;;210;96;990.5;6.8;17.9;7.1;0.64
20/03/2015;0.32;1;9;10;80;24;;217;90;994.3;2.5;15.5;7.9;1.46
19/03/2015;0.25;2;12;12;86;9;;228;82;996.1;0.6;84.2;10.4;0.38
18/03/2015;0.27;3;19;16;96;8;;122;60;995.8;0;95.6;12.2;0.24
17/03/2015;0.25;2;9;11;99;9;;86;41;992.3;0;205.3;13.6;2.2
16/03/2015;0.27;2;27;16;84;17;;191;73;993.9;0;87.3;8.3;0.9
15/03/2015;0.21;2;7;10;78;14;;198;80;995.7;5.4;65.1;6.4;1.31
14/03/2015;0.21;2;10;9;91;10;;218;85;999.3;31.9;47.3;6.6;2.69
13/03/2015;0.38;2;5;8;89;20;;219;81;1001.8;9.3;85.8;8.7;3.8
12/03/2015;0.25;7;50;25;109;24;;231;81;998.8;0;156.1;10.1;0.95
11/03/2015;0.26;2;15;12;93;15;;237;93;1002.3;0;32.5;9.4;0.44
10/03/2015;0.23;3;21;14;104;15;;244;82;1001.8;0;188;10.3;0.88
09/03/2015;0.25;3;26;15;98;14;;229;73;1001.7;0;182.9;10.6;0.6
08/03/2015;0.26;2;15;11;95;14;;235;65;1002.1;0;183.6;11.7;0.96
07/03/2015;0.28;3;22;15;88;12;;234;49;1003.6;0;185.3;14;0.47
06/03/2015;0.22;3;17;16;86;12;;238;61;1007.2;0;184.6;9.1;0.65
05/03/2015;0.19;2;15;11;90;14;;288;72;1013.4;0;177.7;6.7;0.88
04/03/2015;0.18;2;7;7;89;7;;246;86;1010.3;20.3;77.1;7.3;3.06
03/03/2015;0.21;2;21;12;80;7;;246;94;1000.8;6.2;61.1;9.9;0.59
02/03/2015;0.2;2;8;8;83;4;;226;99;998.9;9.5;29.8;11.2;1.08
01/03/2015;0.23;2;8;7;64;4;;141;78;995.6;1.3;61.4;14.9;1.35
28/02/2015;0.14;2;9;8;90;6;;186;88;997.6;3.7;39.7;9.9;0.63
27/02/2015;0.22;2;5;7;96;8;;232;79;1001.3;10.3;71.4;7.5;3.5
