Fecha;SO2;NO;NO2;O3;CO
01/01/2015;1;3;31;39;0.3
02/01/2015;1;11;38;37;0.4
03/01/2015;1;4;18;52;0.3
04/01/2015;1;8;28;35;0.3
05/01/2015;2;38;53;19;0.4
06/01/2015;1;4;20;41;0.2
07/01/2015;2;60;67;13;0.6
08/01/2015;2;53;55;13;0.5
09/01/2015;1;14;33;24;0.3
10/01/2015;1;12;34;27;0.3
11/01/2015;1;20;32;27;0.4
12/01/2015;2;26;51;31;0.4
13/01/2015;1;19;54;29;0.3
14/01/2015;2;11;39;43;0.3
15/01/2015;3;14;49;32;0.3
16/01/2015;2;31;42;31;0.4
17/01/2015;1;8;26;44;0.4
18/01/2015;2;9;32;42;0.4
19/01/2015;1;6;39;29;0.3
20/01/2015;1;6;26;31;0.5
21/01/2015;1;6;23;36;0.5
22/01/2015;1;6;27;39;0.3
23/01/2015;1;6;26;44;0.3
24/01/2015;1;1;10;64;0.3
25/01/2015;1;2;20;69;0.3
26/01/2015;1;6;30;46;0.3
27/01/2015;1;12;36;34;0.3
28/01/2015;1;20;44;34;0.3
29/01/2015;1;7;31;40;0.2
30/01/2015;1;2;12;62;0.2
31/01/2015;1;3;9;62;0.2
01/02/2015;1;2;3;71;0.2
02/02/2015;1;11;28;46;0.3
03/02/2015;1;16;40;27;0.3
04/02/2015;1;4;21;52;0.2
05/02/2015;1;9;28;44;0.4
06/02/2015;1;6;25;50;0.5
07/02/2015;1;7;28;38;0.3
08/02/2015;1;2;13;55;0.3
09/02/2015;1;16;47;40;0.4
10/02/2015;2;39;63;35;0.4
11/02/2015;5;80;103;13;0.6
12/02/2015;3;38;76;24;0.4
13/02/2015;2;26;63;30;0.3
14/02/2015;2;5;31;46;0.2
15/02/2015;1;6;29;45;0.2
16/02/2015;2;19;53;32;0.3
17/02/2015;1;11;52;29;0.4
18/02/2015;1;6;38;45;0.3
19/02/2015;2;21;47;54;0.4
20/02/2015;1;12;48;52;0.3
21/02/2015;1;2;27;64;0.3
22/02/2015;1;1;10;80;0.3
23/02/2015;2;23;42;37;0.4
24/02/2015;1;2;12;68;0.2
25/02/2015;1;6;30;57;0.3
26/02/2015;2;36;58;29;0.4
27/02/2015;1;6;35;44;0.3
28/02/2015;1;2;23;62;0.3
01/03/2015;2;9;42;37;0.3
02/03/2015;2;4;27;42;0.2
03/03/2015;3;6;41;46;0.2
04/03/2015;2;9;48;30;0.3
05/03/2015;1;7;28;62;0.5
06/03/2015;2;12;46;41;0.4
07/03/2015;2;5;40;48;0.3
08/03/2015;2;5;47;46;0.3
09/03/2015;2;10;61;44;0.3
10/03/2015;3;25;69;42;0.4
11/03/2015;3;48;93;31;0.6
12/03/2015;3;34;66;50;0.5
13/03/2015;2;5;38;81;0.3
14/03/2015;1;2;25;62;0.3
15/03/2015;2;4;32;50;0.3
16/03/2015;1;5;37;54;0.4
17/03/2015;2;14;38;55;0.4
18/03/2015;1;2;23;78;0.2
19/03/2015;1;2;27;79;0.3
20/03/2015;1;2;22;85;0.2
21/03/2015;1;1;16;80;0.2
22/03/2015;1;1;17;71;0.2
23/03/2015;1;2;21;81;0.2
24/03/2015;1;2;26;70;0.3
25/03/2015;1;6;40;49;0.4
26/03/2015;2;8;46;50;0.4
27/03/2015;3;17;48;44;0.4
28/03/2015;2;7;31;46;0.3
29/03/2015;2;4;36;46;0.2
30/03/2015;3;5;41;55;0.2
31/03/2015;3;5;31;61;0.2
01/04/2015;2;3;23;63;0.2
02/04/2015;2;3;26;66;0.2
03/04/2015;2;2;19;72;0.2
04/04/2015;2;2;17;73;0.2
05/04/2015;2;1;17;70;0.2
06/04/2015;2;2;14;87;0.2
07/04/2015;2;4;29;76;0.3
08/04/2015;2;11;41;75;0.4
09/04/2015;3;9;48;69;0.3
10/04/2015;2;7;39;69;0.3
11/04/2015;2;1;19;95;0.2
12/04/2015;2;1;28;89;0.3
13/04/2015;5;30;76;50;0.5
14/04/2015;4;30;73;52;0.4
15/04/2015;2;10;40;77;0.3
16/04/2015;3;7;45;65;0.2
17/04/2015;3;6;41;58;0.2
18/04/2015;3;5;35;65;0.2
19/04/2015;2;1;17;76;0.2
20/04/2015;3;5;34;59;0.2
21/04/2015;3;25;52;52;0.4
22/04/2015;5;15;74;40;0.4
23/04/2015;4;6;42;70;0.3
24/04/2015;3;12;39;73;0.2
25/04/2015;2;1;20;84;0.2
26/04/2015;3;2;23;72;0.2
27/04/2015;2;2;16;69;0.2
28/04/2015;3;4;25;70;0.3
29/04/2015;3;4;31;66;0.2
30/04/2015;2;6;31;66;0.2
01/05/2015;3;5;31;63;0.2
02/05/2015;3;2;25;75;0.2
03/05/2015;3;3;30;67;0.2
04/05/2015;3;7;40;65;0.2
05/05/2015;4;12;46;55;0.3
06/05/2015;4;7;39;64;0.3
07/05/2015;5;10;41;64;0.3
08/05/2015;3;8;42;63;0.2
09/05/2015;3;1;22;86;0.2
10/05/2015;3;3;28;68;0.2
11/05/2015;4;15;55;50;0.3
12/05/2015;5;13;49;58;0.3
13/05/2015;4;11;44;59;0.3
14/05/2015;5;8;45;61;0.2
15/05/2015;3;3;19;79;0.4
16/05/2015;3;2;15;93;0.5
17/05/2015;5;2;22;84;0.3
18/05/2015;4;9;38;66;0.3
19/05/2015;Sense dades;6;37;53;0.3
20/05/2015;Sense dades;5;22;54;0.2
21/05/2015;Sense dades;5;24;61;0.2
22/05/2015;3;3;19;81;0.2
23/05/2015;2;2;20;80;0.3
24/05/2015;3;2;19;86;0.3
25/05/2015;2;6;32;80;0.3
26/05/2015;3;3;20;76;0.2
27/05/2015;Sense dades;4;22;76;0.2
28/05/2015;1;4;27;72;0.2
29/05/2015;2;5;39;71;0.2
30/05/2015;3;2;27;76;0.3
31/05/2015;4;4;27;78;0.2
01/06/2015;3;2;25;79;0.2
02/06/2015;3;4;30;73;0.2
03/06/2015;3;14;56;50;0.3
04/06/2015;5;15;56;59;0.3
05/06/2015;3;14;53;60;0.4
06/06/2015;4;5;48;77;0.3
07/06/2015;2;2;32;85;0.2
08/06/2015;2;9;46;82;0.2
09/06/2015;2;3;43;82;0.2
10/06/2015;2;5;42;85;0.2
11/06/2015;2;2;23;88;0.2
12/06/2015;3;3;25;77;0.2
13/06/2015;3;1;19;88;0.2
14/06/2015;3;1;13;86;0.2
15/06/2015;2;3;29;68;0.2
16/06/2015;3;3;27;74;0.3
17/06/2015;2;3;22;82;0.2
18/06/2015;2;2;24;84;0.2
19/06/2015;3;3;31;83;0.2
20/06/2015;2;2;25;84;0.2
21/06/2015;3;5;31;70;0.2
22/06/2015;2;3;28;75;0.2
23/06/2015;3;3;33;80;0.3
24/06/2015;1;2;16;86;0.2
25/06/2015;2;3;31;90;0.2
26/06/2015;2;3;29;83;0.2
27/06/2015;2;5;31;81;0.2
28/06/2015;1;Sense dades;Sense dades;65;0.2
29/06/2015;3;3;29;66;0.5
30/06/2015;3;8;40;87;0.2
01/07/2015;3;6;42;72;0.2
02/07/2015;2;2;31;87;0.2
03/07/2015;2;4;40;84;0.3
04/07/2015;2;3;37;98;0.2
05/07/2015;1;1;22;105;0.2
06/07/2015;1;7;44;83;0.2
07/07/2015;1;3;39;84;0.2
08/07/2015;1;3;34;67;0.2
09/07/2015;1;3;25;69;0.2
10/07/2015;1;3;29;62;0.2
11/07/2015;1;3;17;83;0.2
12/07/2015;1;2;15;66;0.2
13/07/2015;1;4;26;67;0.2
14/07/2015;1;8;36;53;0.3
15/07/2015;4;12;39;62;0.4
16/07/2015;2;15;45;69;0.4
17/07/2015;2;8;39;57;0.2
18/07/2015;1;4;24;63;0.2
19/07/2015;2;3;19;86;0.2
20/07/2015;1;5;27;61;0.2
21/07/2015;4;7;29;61;0.2
22/07/2015;1;5;26;96;0.2
23/07/2015;1;3;20;80;0.3
24/07/2015;2;3;18;78;0.2
25/07/2015;1;3;15;80;0.2
26/07/2015;1;3;13;63;0.2
27/07/2015;2;4;23;Sense dades;0.2
28/07/2015;2;3;24;Sense dades;0.2
29/07/2015;2;4;20;Sense dades;0.2
30/07/2015;1;4;23;47;0.2
31/07/2015;3;4;29;60;0.3
01/08/2015;1;3;16;78;0.3
02/08/2015;1;2;14;80;0.2
03/08/2015;1;4;23;64;0.2
04/08/2015;1;4;28;74;0.3
05/08/2015;1;4;32;58;0.3
06/08/2015;2;5;30;53;0.2
07/08/2015;3;6;29;55;0.2
08/08/2015;1;3;19;61;0.2
09/08/2015;1;3;13;65;0.2
10/08/2015;1;3;20;68;Sense dades
11/08/2015;2;4;19;77;Sense dades
12/08/2015;1;3;17;63;0.2
13/08/2015;1;3;21;63;0.3
14/08/2015;1;2;16;69;0.3
15/08/2015;2;2;16;60;0.3
16/08/2015;2;2;15;59;0.3
17/08/2015;3;2;17;64;0.2
18/08/2015;1;3;27;51;0.3
19/08/2015;1;4;22;63;0.3
20/08/2015;3;5;23;66;0.3
21/08/2015;1;2;14;65;0.2
22/08/2015;2;2;15;76;0.2
23/08/2015;1;2;11;75;0.2
24/08/2015;1;2;10;68;0.3
25/08/2015;1;3;14;57;0.3
26/08/2015;1;3;13;65;0.2
27/08/2015;3;3;15;60;0.2
28/08/2015;1;3;22;52;0.2
29/08/2015;1;2;17;57;0.2
30/08/2015;1;1;17;61;0.2
31/08/2015;1;2;24;67;0.2
01/09/2015;1;2;25;66;0.2
02/09/2015;1;3;25;61;0.3
03/09/2015;1;2;20;78;0.3
04/09/2015;1;3;33;48;0.2
05/09/2015;1;1;17;68;0.2
06/09/2015;1;1;16;72;0.3
07/09/2015;1;5;29;62;0.4
08/09/2015;1;3;34;62;0.4
09/09/2015;1;12;45;65;0.5
10/09/2015;1;5;39;53;0.2
11/09/2015;1;4;33;45;0.2
12/09/2015;1;2;23;62;0.2
13/09/2015;1;3;22;60;0.2
14/09/2015;1;3;23;51;0.2
15/09/2015;201;5;54;Sense dades;1.8
16/09/2015;1;2;25;76;0.2
17/09/2015;1;2;15;72;0.3
18/09/2015;1;2;23;64;0.3
19/09/2015;1;2;19;74;0.2
20/09/2015;1;2;19;74;0.2
21/09/2015;1;7;42;48;0.3
22/09/2015;1;9;36;55;0.2
23/09/2015;1;3;20;60;0.2
24/09/2015;1;2;22;56;0.2
25/09/2015;2;13;43;52;0.3
26/09/2015;2;3;30;55;0.2
27/09/2015;1;3;29;48;0.2
28/09/2015;1;3;30;60;0.2
29/09/2015;1;3;28;62;0.2
30/09/2015;1;3;30;53;0.2
01/10/2015;1;5;37;48;0.3
02/10/2015;1;16;37;54;0.3
03/10/2015;1;6;38;48;0.2
04/10/2015;1;2;31;55;0.2
05/10/2015;1;32;48;31;0.3
06/10/2015;1;9;30;46;0.3
07/10/2015;1;10;30;47;0.3
08/10/2015;1;5;31;48;0.2
09/10/2015;3;13;48;36;0.2
10/10/2015;1;3;27;57;0.2
11/10/2015;2;5;30;56;0.3
12/10/2015;1;2;22;60;0.2
13/10/2015;2;8;44;27;0.2
14/10/2015;1;6;36;34;0.3
15/10/2015;1;3;28;54;0.4
16/10/2015;1;11;38;45;0.3
17/10/2015;3;5;40;42;0.2
18/10/2015;1;8;48;33;0.2
19/10/2015;2;5;36;34;0.2
20/10/2015;2;5;43;31;0.3
21/10/2015;2;6;36;36;0.3
22/10/2015;2;12;44;37;0.3
23/10/2015;2;14;44;34;0.3
24/10/2015;3;17;52;23;0.3
25/10/2015;2;2;25;46;0.2
26/10/2015;1;4;39;44;0.2
27/10/2015;2;9;46;29;0.2
28/10/2015;1;8;34;46;0.2
29/10/2015;2;23;46;30;0.3
30/10/2015;2;9;50;27;0.2
31/10/2015;1;7;32;55;0.3
01/11/2015;2;Sense dades;Sense dades;77;0.2
02/11/2015;2;2;17;67;0.2
03/11/2015;1;8;22;45;0.2
04/11/2015;2;10;27;32;0.3
05/11/2015;4;29;40;22;0.4
