Fecha;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;3;;24;28;;64;48
02/01/2015;4;0.2;30;36;;81;44
03/01/2015;5;0.2;48;39;;112;45
04/01/2015;4;0.2;17;26;;52;52
05/01/2015;5;0.2;29;36;;80;38
06/01/2015;5;0.2;22;23;;57;40
07/01/2015;4;0.2;58;41;;130;37
08/01/2015;3;0.1;71;45;;153;39
09/01/2015;3;0.1;66;45;;147;34
10/01/2015;4;0.1;73;52;;164;34
11/01/2015;3;0.2;65;40;;139;46
12/01/2015;3;0.2;54;48;;130;37
13/01/2015;3;0.1;46;41;;111;41
14/01/2015;3;0.2;49;46;;121;42
15/01/2015;3;0.2;28;43;;85;32
16/01/2015;3;0.2;28;35;29;78;39
17/01/2015;3;0.2;26;33;15;72;49
18/01/2015;3;0.2;60;26;20;117;52
19/01/2015;3;0.2;22;19;8;52;44
20/01/2015;3;0.2;50;37;12;113;47
21/01/2015;3;0.1;33;22;10;72;47
22/01/2015;3;0.1;26;19;7;58;59
23/01/2015;3;0.1;26;27;7;66;54
24/01/2015;3;0.1;45;32;12;101;51
25/01/2015;3;0.2;19;26;11;54;57
26/01/2015;3;0.2;33;37;24;86;44
27/01/2015;3;0.1;22;35;15;68;42
28/01/2015;3;0.1;20;40;20;71;44
29/01/2015;3;0.2;7;17;15;27;57
30/01/2015;3;0.3;3;6;10;10;57
31/01/2015;3;0.1;7;8;10;19;70
01/02/2015;3;0.1;18;7;7;33;73
02/02/2015;3;0.1;19;18;8;47;58
03/02/2015;3;0.1;13;16;6;36;58
04/02/2015;3;0.2;8;8;5;20;73
05/02/2015;3;0.3;16;10;;34;66
06/02/2015;3;0.2;11;21;;37;57
07/02/2015;3;0.2;10;20;;34;48
08/02/2015;3;0.2;9;17;;29;50
09/02/2015;3;0.2;9;35;;48;49
10/02/2015;3;0.2;13;41;;60;50
11/02/2015;3;0.3;14;40;;61;51
12/02/2015;3;0.2;20;46;;77;35
13/02/2015;3;0.2;17;36;;62;32
14/02/2015;3;0.3;10;15;11;30;60
15/02/2015;3;0.3;13;17;39;37;46
16/02/2015;3;0.2;15;27;15;50;50
17/02/2015;3;0.2;17;25;7;51;56
18/02/2015;3;0.2;13;31;16;51;56
19/02/2015;3;0.2;14;35;22;57;64
20/02/2015;3;0.1;16;34;21;59;62
21/02/2015;3;0.1;9;25;15;38;51
22/02/2015;3;0.1;9;23;9;37;65
23/02/2015;3;0.2;16;23;13;47;51
24/02/2015;3;0.2;14;13;10;34;72
25/02/2015;3;0.1;8;13;6;25;65
26/02/2015;3;0.1;10;21;7;35;53
27/02/2015;3;0.1;14;16;10;38;62
28/02/2015;4;0.2;22;31;16;65;58
01/03/2015;4;0.2;14;16;10;37;52
02/03/2015;5;0.2;17;27;18;52;43
03/03/2015;6;0.2;14;29;23;51;45
04/03/2015;4;0.2;16;28;31;53;48
05/03/2015;3;0.2;9;21;;34;71
06/03/2015;4;0.1;13;38;;58;57
07/03/2015;4;0.1;7;38;;48;61
08/03/2015;3;0.2;12;21;;38;71
09/03/2015;4;0.3;11;35;;52;64
10/03/2015;4;0.2;18;43;;70;58
11/03/2015;5;0.2;27;61;;102;49
12/03/2015;5;0.3;25;61;;99;55
13/03/2015;4;0.3;17;36;39;62;72
14/03/2015;3;0.2;16;33;23;57;54
15/03/2015;3;0.2;5;11;12;19;61
16/03/2015;3;0.1;13;29;16;49;57
17/03/2015;3;0.2;7;23;12;34;60
18/03/2015;3;0.1;20;47;17;77;49
19/03/2015;3;0.1;10;25;20;41;58
20/03/2015;3;0.2;7;28;29;38;61
21/03/2015;3;0.1;7;23;21;34;57
22/03/2015;3;0.1;10;14;17;30;68
23/03/2015;;;;;32;;
