Fecha;SO2;NO;NO2;O3;CO
01/01/2015;3;3;26;33;0.2
02/01/2015;4;18;42;23;0.2
03/01/2015;4;54;54;16;0.4
04/01/2015;3;38;47;14;0.3
05/01/2015;3;22;38;11;0.3
06/01/2015;3;2;16;31;0.2
07/01/2015;3;5;23;22;0.2
08/01/2015;2;4;20;27;0.2
09/01/2015;3;35;36;15;0.3
10/01/2015;3;59;47;10;0.4
11/01/2015;3;13;31;14;0.2
12/01/2015;3;20;43;19;0.3
13/01/2015;3;44;45;18;0.3
14/01/2015;3;42;44;13;0.3
15/01/2015;3;37;42;13;0.3
16/01/2015;3;15;30;25;0.2
17/01/2015;3;7;23;36;0.2
18/01/2015;4;Sense dades;Sense dades;32;0.2
19/01/2015;3;Sense dades;Sense dades;30;0.2
20/01/2015;3;Sense dades;Sense dades;25;0.2
21/01/2015;3;Sense dades;Sense dades;17;0.2
22/01/2015;3;14;34;30;0.2
23/01/2015;3;27;22;37;0.2
24/01/2015;3;2;10;51;0.2
25/01/2015;3;1;5;60;0.2
26/01/2015;3;9;34;32;0.2
27/01/2015;3;3;15;45;0.2
28/01/2015;3;21;33;34;0.2
29/01/2015;3;2;17;40;0.2
30/01/2015;3;2;14;54;0.2
31/01/2015;3;1;5;63;0.2
01/02/2015;3;1;2;70;0.2
02/02/2015;3;18;34;37;0.3
03/02/2015;3;3;20;41;0.2
04/02/2015;3;3;20;46;0.2
05/02/2015;3;2;14;51;0.2
06/02/2015;3;5;23;40;0.2
07/02/2015;3;3;22;31;0.2
08/02/2015;3;1;15;48;0.2
09/02/2015;3;9;37;35;0.2
10/02/2015;5;34;56;34;0.3
11/02/2015;4;29;59;24;0.3
12/02/2015;3;13;54;22;0.2
13/02/2015;4;14;42;27;0.2
14/02/2015;3;8;26;39;0.2
15/02/2015;3;3;21;43;0.2
16/02/2015;4;20;44;35;0.2
17/02/2015;3;12;43;21;0.2
18/02/2015;4;6;33;33;0.2
19/02/2015;2;12;35;44;0.2
20/02/2015;1;6;39;49;0.2
21/02/2015;1;2;28;49;0.2
22/02/2015;1;1;10;72;0.2
23/02/2015;1;12;30;36;0.2
24/02/2015;1;1;8;73;0.2
25/02/2015;1;2;15;63;0.2
26/02/2015;1;4;30;37;0.2
27/02/2015;1;3;20;61;0.2
28/02/2015;1;2;18;65;0.2
01/03/2015;1;4;26;36;0.2
02/03/2015;1;3;21;35;0.2
