Fecha;SO2;NO;NO2;O3;CO;PM10
01/01/2015;2;41;56;17;0.7;Sense dades
02/01/2015;1;18;41;31;0.5;Sense dades
03/01/2015;1;16;37;34;0.5;Sense dades
04/01/2015;1;23;39;28;0.4;Sense dades
05/01/2015;2;66;64;Sense dades;0.6;Sense dades
06/01/2015;1;21;36;Sense dades;0.5;Sense dades
07/01/2015;1;59;59;Sense dades;0.6;23
08/01/2015;1;27;37;Sense dades;0.3;13
09/01/2015;1;17;31;Sense dades;0.5;12
10/01/2015;1;29;40;Sense dades;0.6;Sense dades
11/01/2015;1;21;33;Sense dades;0.4;Sense dades
12/01/2015;2;38;52;Sense dades;0.5;30
13/01/2015;2;36;59;26;0.7;23
14/01/2015;1;46;61;27;0.3;Sense dades
15/01/2015;2;35;57;19;0.4;40
16/01/2015;2;66;53;22;0.5;10
17/01/2015;1;16;31;35;0.5;Sense dades
18/01/2015;2;13;36;30;0.6;Sense dades
19/01/2015;1;30;47;20;0.6;11
20/01/2015;1;20;33;26;0.4;16
21/01/2015;1;25;37;27;0.4;15
22/01/2015;1;26;41;26;0.5;13
23/01/2015;1;18;38;36;0.5;11
24/01/2015;1;12;29;48;0.5;Sense dades
25/01/2015;1;11;34;59;0.4;Sense dades
26/01/2015;1;27;47;34;0.5;17
27/01/2015;1;41;53;25;0.5;21
28/01/2015;2;60;62;24;0.4;23
29/01/2015;1;13;28;43;0.2;10
30/01/2015;1;15;32;49;0.2;19
31/01/2015;1;11;21;56;0.2;Sense dades
01/02/2015;1;4;13;64;0.2;Sense dades
02/02/2015;1;36;46;35;0.3;Sense dades
03/02/2015;1;50;56;16;0.3;Sense dades
04/02/2015;1;14;37;40;0.2;Sense dades
05/02/2015;1;40;48;37;0.2;11
06/02/2015;1;23;44;36;0.2;18
07/02/2015;1;21;40;27;0.2;26
08/02/2015;1;6;23;47;0.3;Sense dades
09/02/2015;1;32;51;33;0.3;Sense dades
10/02/2015;2;34;56;33;0.3;30
11/02/2015;2;65;84;20;0.7;38
12/02/2015;2;68;86;14;0.8;46
13/02/2015;2;36;58;29;0.5;26
14/02/2015;1;18;41;38;0.3;Sense dades
15/02/2015;1;27;37;37;0.3;Sense dades
16/02/2015;1;50;69;20;0.4;30
17/02/2015;2;65;72;13;0.4;24
18/02/2015;1;43;61;28;0.3;29
19/02/2015;2;47;68;33;0.5;40
20/02/2015;1;25;59;37;0.5;24
