Fecha;Hora;SO2;NO;NO2;dd;vv;TMP;O3
01/01/2015;1:00:00;0;0.0;3;290;1.8;9.4;79
01/01/2015;2:00:00;0;0.0;7;278;2.0;9.2;73
01/01/2015;3:00:00;0;0.0;6;163;2.1;9.2;72
01/01/2015;4:00:00;0;0.0;3;323;3.0;9.5;77
01/01/2015;5:00:00;0;0.0;3;262;2.4;9.4;75
01/01/2015;6:00:00;0;0.0;2;325;2.8;9.1;73
01/01/2015;7:00:00;0;0.0;4;245;2.1;9.3;67
01/01/2015;8:00:00;0;0.0;5;246;1.0;8.8;65
01/01/2015;9:00:00;0;0.0;4;301;1.6;9.5;65
01/01/2015;10:00:00;0;0.7;5;134;0.6;10.4;54
01/01/2015;11:00:00;0;0.8;5;219;1.6;11.7;62
01/01/2015;12:00:00;0;0.3;2;307;1.5;13.1;74
01/01/2015;13:00:00;0;1.6;9;163;0.9;14.2;65
01/01/2015;14:00:00;0;1.3;9;192;0.9;14.6;67
01/01/2015;15:00:00;0;1.1;7;261;1.2;14.3;76
01/01/2015;16:00:00;0;0.3;4;298;2.0;13.8;84
01/01/2015;17:00:00;0;0.1;2;299;1.9;13.2;85
01/01/2015;18:00:00;0;0.0;2;310;1.8;11.7;87
01/01/2015;19:00:00;0;1.2;16;310;0.3;10.2;63
01/01/2015;20:00:00;0;0.1;12;186;1.1;8.9;61
01/01/2015;21:00:00;0;14.4;26;99;0.7;8.3;44
01/01/2015;22:00:00;0;1.1;10;332;0.5;7.6;56
01/01/2015;23:00:00;1;9.6;17;295;1.2;7.4;48
01/01/2015;0:00:00;0;6.8;30;212;1.0;8.6;41
02/01/2015;1:00:00;0;0.1;14;220;0.4;8.2;59
02/01/2015;2:00:00;0;0.0;4;257;1.6;10.1;81
02/01/2015;3:00:00;0;0.0;2;301;2.0;9.9;82
02/01/2015;4:00:00;0;0.1;2;325;2.3;10.6;83
02/01/2015;5:00:00;0;2.4;11;299;1.2;10.0;69
02/01/2015;6:00:00;0;0.1;4;304;0.8;10.0;78
02/01/2015;7:00:00;0;0.1;5;279;0.5;9.0;72
02/01/2015;8:00:00;0;0.2;13;292;0.2;9.2;62
02/01/2015;9:00:00;0;2.3;16;192;0.2;9.1;55
02/01/2015;10:00:00;0;11.7;35;127;0.5;8.9;28
02/01/2015;11:00:00;0;8.4;27;109;0.1;11.1;38
02/01/2015;12:00:00;0;2.6;15;132;0.1;13.5;64
02/01/2015;13:00:00;0;11.1;39;152;0.3;15.0;44
02/01/2015;14:00:00;1;7.8;33;196;0.7;16.4;51
02/01/2015;15:00:00;1;6.8;28;136;0.9;16.5;50
02/01/2015;16:00:00;1;0.9;8;284;2.0;16.7;81
02/01/2015;17:00:00;0;0.0;3;309;2.2;15.5;87
02/01/2015;18:00:00;0;0.2;7;279;1.1;13.7;79
02/01/2015;19:00:00;0;17.2;32;286;1.4;11.9;47
02/01/2015;20:00:00;0;1.4;16;294;1.5;11.6;66
02/01/2015;21:00:00;1;21.3;30;292;1.2;10.2;42
02/01/2015;22:00:00;0;10.9;30;301;1.2;9.8;45
02/01/2015;23:00:00;1;60.3;49;288;1.5;11.3;27
02/01/2015;0:00:00;1;49.8;46;282;2.2;11.5;32
03/01/2015;1:00:00;0;11.9;27;280;1.6;10.9;49
03/01/2015;2:00:00;1;16.3;33;292;1.5;10.7;42
03/01/2015;3:00:00;1;62.7;38;296;1.3;10.4;38
03/01/2015;4:00:00;0;8.1;19;296;0.9;11.5;62
03/01/2015;5:00:00;0;28.8;32;301;1.0;10.9;43
03/01/2015;6:00:00;0;3.2;18;299;0.5;9.5;54
03/01/2015;7:00:00;0;7.3;13;298;0.9;7.7;59
03/01/2015;8:00:00;0;0.0;6;330;0.6;8.8;72
03/01/2015;9:00:00;0;0.2;7;309;0.5;9.4;72
03/01/2015;10:00:00;1;1.4;13;145;0.5;10.4;61
03/01/2015;11:00:00;1;3.9;19;99;0.2;12.8;54
03/01/2015;12:00:00;1;2.7;14;155;0.5;16.4;65
03/01/2015;13:00:00;0;0.4;4;254;1.9;18.5;85
03/01/2015;14:00:00;0;0.2;4;247;1.5;19.9;87
03/01/2015;15:00:00;0;0.1;4;253;1.4;20.2;88
03/01/2015;16:00:00;0;0.1;4;231;0.8;20.0;87
03/01/2015;17:00:00;0;0.1;5;220;0.4;19.7;84
