Fecha;Hora;S02;NO;NO2;O3;PM10;dd;vv;TMP;HR;PRB;LL
01/01/2015;1:00:00;1;0.0;7;73;17;108;0.2;9.3;55;1029;0.0
01/01/2015;2:00:00;0;0.1;10;67;21;100;0.1;9.1;56;1030;0.0
01/01/2015;3:00:00;0;0.2;20;56;25;103;0.1;9.0;59;1030;0.0
01/01/2015;6:00:00;0;0.0;16;52;27;99;0.1;9.1;70;1032;0.0
01/01/2015;7:00:00;0;0.1;4;59;20;99;0.1;9.0;74;1032;0.0
01/01/2015;8:00:00;0;7.9;35;27;25;56;0.1;11.5;70;1033;0.0
01/01/2015;9:00:00;2;1.6;9;55;23;44;0.2;14.9;58;1034;0.0
01/01/2015;10:00:00;1;4.0;18;51;23;45;0.3;14.4;64;1034;0.0
01/01/2015;11:00:00;0;1.0;6;69;21;47;0.4;14.5;59;1034;0.0
01/01/2015;12:00:00;0;0.4;4;75;19;50;0.4;14.4;58;1033;0.0
01/01/2015;13:00:00;1;0.2;3;80;16;54;0.4;14.2;56;1033;0.0
01/01/2015;14:00:00;1;0.1;3;80;21;56;0.3;14.1;57;1033;0.0
01/01/2015;15:00:00;0;0.5;4;76;17;98;0.1;13.0;62;1033;0.0
01/01/2015;16:00:00;0;0.0;8;59;13;105;0.1;10.3;68;1033;0.0
01/01/2015;18:00:00;0;0.2;11;67;15;106;0.1;8.8;69;1034;0.0
01/01/2015;19:00:00;0;0.0;5;78;14;109;0.2;9.3;68;1034;0.0
01/01/2015;20:00:00;0;0.0;8;72;14;111;0.2;10.0;68;1034;0.0
01/01/2015;21:00:00;0;0.1;5;79;24;108;0.2;9.6;68;1034;0.0
01/01/2015;22:00:00;0;0.0;6;78;16;109;0.1;9.8;68;1034;0.0
01/01/2015;23:00:00;0;0.2;5;80;18;104;0.1;9.5;69;1034;0.0
01/01/2015;0:00:00;0;0.0;5;78;19;103;0.1;9.5;68;1034;0.0
02/01/2015;1:00:00;0;0.3;3;83;18;110;0.1;9.9;66;1034;0.0
02/01/2015;2:00:00;0;0.0;3;84;23;107;0.1;10.3;65;1034;0.0
02/01/2015;3:00:00;1;0.2;5;81;13;110;0.1;10.4;64;1033;0.0
02/01/2015;4:00:00;0;0.4;3;81;29;105;0.1;10.1;67;1033;0.0
02/01/2015;5:00:00;0;0.3;2;83;14;104;0.1;9.5;71;1034;0.0
02/01/2015;7:00:00;0;0.4;4;74;24;78;0.0;11.3;65;1035;0.0
02/01/2015;8:00:00;3;63.9;61;10;33;44;0.1;12.5;65;1036;0.0
02/01/2015;9:00:00;7;110.9;84;9;43;47;0.2;13.3;62;1037;0.0
02/01/2015;10:00:00;8;92.5;84;11;41;47;0.3;14.9;60;1037;0.0
02/01/2015;11:00:00;10;30.2;59;27;29;46;0.4;15.2;64;1036;0.0
02/01/2015;12:00:00;9;10.0;35;45;22;49;0.4;15.3;68;1035;0.0
02/01/2015;13:00:00;4;2.5;18;70;16;43;0.2;16.3;62;1035;0.0
