 Fecha;Hora;SO2 ;NO ;NO2 ;O3 ;CO;BEN;TOL;SH2;dd;vv;TMP;HR;PRB;RS;LL
01/01/2014;0:00:00;5;4;36;22;0.6;0.7;2.2;1.0;5;0.6;16.5;64;1017;0;0.0
01/01/2014;1:00:00;5;20;61;10;0.8;0.8;2.4;2.0;5;1.5;16.1;65;1017;0;0.0
01/01/2014;2:00:00;5;9;54;13;0.7;1.1;3.2;1.0;169;1.3;15.6;65;1017;0;0.0
01/01/2014;3:00:00;5;3;39;25;0.5;0.9;3.1;1.0;334;1.7;15.6;56;1016;0;0.0
01/01/2014;4:00:00;5;1;28;33;0.4;0.6;2.4;1.0;5;1.9;15.3;54;1016;0;0.0
01/01/2014;5:00:00;5;1;22;40;0.3;0.5;1.7;1.0;333;1.6;15.3;49;1016;0;0.0
01/01/2014;6:00:00;3;1;19;48;0.3;0.3;1.5;1.0;335;1.7;15.5;51;1016;0;0.0
01/01/2014;7:00:00;3;2;18;53;0.3;0.3;1.2;1.0;333;2.0;15.2;62;1016;0;0.0
01/01/2014;8:00:00;4;2;18;50;0.3;0.3;0.9;1.0;335;2.0;15.1;65;1017;70;0.0
01/01/2014;9:00:00;6;5;18;41;0.3;0.2;1.1;1.0;5;1.3;17.4;60;1017;296;0.0
01/01/2014;10:00:00;12;8;23;52;0.3;0.2;1.0;1.0;146;2.1;18.7;59;1018;474;0.0
01/01/2014;11:00:00;7;4;13;65;0.3;0.3;0.7;1.0;134;2.2;19.5;60;1018;604;0.0
01/01/2014;12:00:00;4;6;18;62;0.3;0.3;0.7;1.0;135;2.7;20.1;62;1017;677;0.0
01/01/2014;13:00:00;4;5;18;64;0.3;0.2;0.7;1.0;135;2.5;20.7;60;1016;687;0.0
01/01/2014;14:00:00;4;4;13;72;0.4;0.2;0.6;1.0;135;2.7;20.2;61;1016;616;0.0
01/01/2014;15:00:00;3;4;12;73;0.4;0.3;0.6;1.0;136;2.6;20.2;62;1015;492;0.0
01/01/2014;16:00:00;3;4;13;74;0.4;0.3;0.5;1.0;136;2.2;20.0;62;1015;315;0.0
01/01/2014;17:00:00;3;5;16;69;0.3;0.2;0.4;1.0;137;1.5;19.5;64;1015;103;0.0
01/01/2014;18:00:00;4;3;28;57;0.4;0.3;0.6;1.0;238;1.6;18.3;67;1016;0;0.0
01/01/2014;19:00:00;4;2;33;44;0.5;0.3;0.9;1.0;325;1.5;17.9;69;1016;0;0.0
01/01/2014;20:00:00;5;3;45;29;0.5;0.4;1.2;1.0;325;1.8;17.2;69;1017;0;0.0
01/01/2014;21:00:00;5;3;33;37;0.4;0.4;1.5;1.0;171;1.3;16.8;66;1017;0;0.0
01/01/2014;22:00:00;5;4;30;40;0.5;0.5;1.5;1.0;336;1.0;16.4;65;1017;0;0.0
01/01/2014;23:00:00;5;1;20;51;0.4;0.5;1.8;1.0;171;1.6;16.0;61;1017;0;0.0
02/01/2014;0:00:00;4;1;15;55;0.3;0.4;1.4;1.0;335;2.2;15.6;63;1017;0;0.0
02/01/2014;1:00:00;6;1;15;54;0.3;0.3;1.1;1.0;337;1.9;15.4;68;1016;0;0.0
02/01/2014;2:00:00;5;1;10;58;0.3;0.3;1.1;1.0;336;2.1;15.1;63;1016;0;0.0
02/01/2014;3:00:00;6;1;7;62;0.3;0.2;0.9;1.0;336;2.0;14.8;58;1016;0;0.0
02/01/2014;4:00:00;5;1;6;65;0.3;0.2;0.7;1.0;337;2.1;14.9;49;1015;0;0.0
02/01/2014;5:00:00;5;1;13;57;0.3;0.2;0.6;1.0;335;2.0;14.8;52;1015;0;0.0
02/01/2014;6:00:00;5;2;19;55;0.3;0.3;0.9;1.0;334;2.5;14.7;65;1015;0;0.0
02/01/2014;7:00:00;5;4;41;33;0.5;0.3;1.0;1.0;169;2.2;14.8;71;1016;0;0.0
02/01/2014;8:00:00;4;9;51;25;0.6;0.4;1.4;1.0;5;2.1;15.3;73;1017;54;0.0
02/01/2014;9:00:00;6;10;41;32;0.5;0.6;2.0;1.0;172;1.2;17.7;70;1017;293;0.0
02/01/2014;10:00:00;10;13;31;47;0.4;0.6;2.1;1.0;136;1.5;19.4;67;1017;470;0.0
02/01/2014;11:00:00;7;13;30;54;0.4;0.5;1.5;1.0;136;2.3;19.7;64;1017;603;0.0
02/01/2014;12:00:00;3;8;22;63;0.5;0.4;1.3;1.0;134;2.6;19.6;65;1017;674;0.0
02/01/2014;13:00:00;4;9;22;60;0.4;0.4;1.2;1.0;136;2.6;20.0;64;1016;683;0.0
02/01/2014;14:00:00;4;7;20;65;0.4;0.4;0.9;1.0;135;2.4;20.1;64;1015;620;0.0
02/01/2014;15:00:00;2;6;17;66;0.5;0.3;0.9;1.0;147;2.5;19.9;65;1015;492;0.0
02/01/2014;16:00:00;3;7;20;64;0.4;0.3;1.1;1.0;136;2.2;20.0;64;1015;314;0.0
02/01/2014;17:00:00;3;9;29;58;0.4;0.3;0.9;1.0;226;1.4;19.7;66;1016;107;0.0
02/01/2014;18:00:00;2;7;32;55;0.4;0.5;1.0;1.0;317;1.1;18.5;71;1016;0;0.0
02/01/2014;19:00:00;5;4;27;51;0.4;0.3;1.1;1.0;337;1.0;18.2;73;1017;0;0.0
02/01/2014;20:00:00;4;15;59;14;0.6;0.4;1.4;1.0;336;0.8;17.7;75;1017;0;0.0
02/01/2014;21:00:00;5;7;50;13;0.5;0.5;2.2;1.0;170;1.5;17.1;76;1017;0;0.0
02/01/2014;22:00:00;5;7;47;14;0.5;0.5;2.6;1.0;335;1.3;16.8;74;1017;0;0.0
02/01/2014;23:00:00;4;4;42;20;0.5;0.4;1.5;1.0;335;1.8;16.5;71;1017;0;0.0
03/01/2014;0:00:00;5;3;35;24;0.4;0.5;2.3;1.0;334;1.5;16.3;69;1017;0;0.0
03/01/2014;1:00:00;4;1;23;34;0.3;0.5;2.5;1.0;334;2.1;16.0;69;1017;0;0.0
03/01/2014;2:00:00;5;1;14;45;0.3;0.4;2.1;1.0;335;2.2;15.9;70;1017;0;0.0
03/01/2014;3:00:00;4;1;11;45;0.3;0.3;1.5;1.0;336;2.2;15.7;70;1017;0;0.0
03/01/2014;4:00:00;4;1;9;50;0.3;0.3;1.4;1.0;336;2.2;15.7;70;1017;0;0.0
03/01/2014;5:00:00;3;1;11;51;0.3;0.2;1.3;1.0;334;2.3;15.5;72;1017;0;0.0
