Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3;CO;dd;vv;TMP;HR;PRB
01/01/2014;00:00:00;2;N;N;43;14;N;0.1;330;2.3;12.8;76;N
01/01/2014;01:00:00;2;N;N;39;11;N;0.1;323;2.5;12.3;82;N
01/01/2014;02:00:00;2;N;N;36;8;N;0.1;320;2.6;12.2;85;N
01/01/2014;03:00:00;2;N;N;34;7;N;0.1;318;2.4;11.8;86;N
01/01/2014;04:00:00;2;N;N;34;6;N;0.1;317;2.5;11.6;86;N
01/01/2014;05:00:00;2;N;N;34;8;N;0.1;328;2.2;11.6;86;N
01/01/2014;06:00:00;2;N;N;35;8;N;0.1;320;2.5;11.5;85;N
01/01/2014;07:00:00;2;N;N;38;9;N;0.1;331;2.5;14.4;80;N
01/01/2014;08:00:00;2;N;N;38;11;N;0.1;332;0.7;21.5;61;N
01/01/2014;09:00:00;2;N;N;36;8;N;0.1;182;1.0;23.6;46;N
01/01/2014;10:00:00;2;N;N;36;7;N;0.1;100;2.0;23.1;43;N
01/01/2014;11:00:00;2;N;N;34;5;N;0.1;91;2.9;22.3;40;N
01/01/2014;12:00:00;2;N;N;34;6;N;0.1;74;3.1;22.4;39;N
01/01/2014;13:00:00;2;N;N;34;8;N;0.1;69;3.0;23.1;41;N
01/01/2014;14:00:00;2;N;N;37;9;N;0.1;69;2.9;22.6;45;N
01/01/2014;15:00:00;2;N;N;35;8;N;0.1;68;2.7;21.6;48;N
01/01/2014;16:00:00;2;N;N;34;8;N;0.1;52;3.0;19.6;56;N
01/01/2014;17:00:00;2;N;N;33;7;N;0.1;40;2.4;16.4;68;N
01/01/2014;18:00:00;2;N;N;31;7;N;0.1;176;1.5;14.8;73;N
01/01/2014;19:00:00;2;N;N;32;8;N;0.1;239;1.9;14.2;76;N
01/01/2014;20:00:00;2;N;N;16;7;N;0.1;303;2.1;14.3;79;N
01/01/2014;21:00:00;2;N;N;11;6;N;0.1;298;1.8;14.8;78;N
01/01/2014;22:00:00;2;N;N;9;4;N;0.1;302;1.6;14.0;79;N
01/01/2014;23:00:00;2;N;N;11;4;N;0.1;335;2.2;13.5;81;N
02/01/2014;00:00:00;2;N;N;14;4;N;0.1;333;2.3;12.7;83;N
02/01/2014;01:00:00;2;N;N;14;4;N;0.1;331;2.5;12.5;86;N
02/01/2014;02:00:00;2;N;N;13;4;N;0.1;332;2.4;12.2;87;N
02/01/2014;03:00:00;2;N;N;11;4;N;0.1;341;3.0;12.6;88;N
02/01/2014;04:00:00;2;N;N;10;4;N;0.1;340;2.9;12.9;89;N
02/01/2014;05:00:00;2;N;N;8;4;N;0.1;260;2.4;13.1;88;N
02/01/2014;06:00:00;2;N;N;8;3;N;0.1;258;2.4;12.9;88;N
02/01/2014;07:00:00;2;N;N;10;4;N;0.1;26;1.9;15.2;83;N
02/01/2014;08:00:00;2;N;N;10;6;N;0.1;60;2.5;20.0;65;N
02/01/2014;09:00:00;2;N;N;10;4;N;0.1;67;2.7;22.1;56;N
02/01/2014;10:00:00;2;N;N;8;3;N;0.1;54;2.9;22.4;53;N
02/01/2014;11:00:00;2;N;N;6;4;N;0.1;58;2.9;21.9;53;N
02/01/2014;12:00:00;2;N;N;9;3;63;0.1;67;2.5;22.7;50;N
02/01/2014;13:00:00;2;N;N;6;2;91;0.1;61;2.6;23.2;49;N
02/01/2014;14:00:00;2;N;N;7;3;90;0.1;62;2.5;23.0;49;N
02/01/2014;15:00:00;2;N;N;8;3;89;0.1;57;2.6;21.8;53;N
02/01/2014;16:00:00;2;N;N;10;4;88;0.1;56;2.4;20.1;59;N
02/01/2014;17:00:00;2;N;N;12;4;70;0.1;45;2.2;16.6;73;N
02/01/2014;18:00:00;2;N;N;11;5;46;0.1;103;2.2;15.4;80;N
02/01/2014;19:00:00;2;N;N;12;4;62;0.1;320;2.3;14.6;82;N
02/01/2014;20:00:00;2;N;N;11;4;60;0.1;316;2.2;14.2;83;N
02/01/2014;21:00:00;2;N;N;8;4;77;0.1;308;2.6;14.1;85;N
02/01/2014;22:00:00;2;N;N;6;4;77;0.1;340;2.7;14.0;86;N
02/01/2014;23:00:00;2;N;N;6;3;79;0.1;322;2.4;13.8;87;N
03/01/2014;00:00:00;2;N;N;6;3;81;0.1;216;2.2;13.7;88;N
03/01/2014;01:00:00;2;N;N;6;3;79;0.1;257;2.2;13.5;89;N
03/01/2014;02:00:00;2;N;N;7;3;80;0.1;338;2.6;13.5;91;N
03/01/2014;03:00:00;2;N;N;9;4;81;0.1;125;2.0;13.5;91;N
03/01/2014;04:00:00;2;N;N;13;5;78;0.1;65;2.0;13.5;91;N
03/01/2014;05:00:00;2;N;N;17;6;66;0.1;61;1.3;13.4;91;N
03/01/2014;06:00:00;2;N;N;17;7;60;0.1;25;0.9;13.5;91;N
03/01/2014;07:00:00;2;N;N;19;8;57;0.1;22;0.8;15.0;91;N
03/01/2014;08:00:00;2;N;N;19;9;69;0.1;74;2.0;19.5;77;N
03/01/2014;09:00:00;2;N;N;20;8;63;0.1;82;2.5;22.0;63;N
03/01/2014;10:00:00;2;N;N;17;6;68;0.1;65;2.8;22.9;57;N
03/01/2014;11:00:00;2;N;N;14;6;76;0.1;62;3.0;22.9;55;N
03/01/2014;12:00:00;2;N;N;10;5;82;0.1;67;2.9;23.4;53;N
03/01/2014;13:00:00;2;N;N;10;3;76;0.1;58;3.0;23.2;53;N
03/01/2014;14:00:00;2;N;N;10;4;80;0.1;51;3.5;23.1;53;N
03/01/2014;15:00:00;2;N;N;13;4;71;0.1;53;3.4;22.1;56;N
03/01/2014;16:00:00;2;N;N;10;4;64;0.1;42;3.4;20.7;61;N
03/01/2014;17:00:00;2;N;N;10;2;75;0.1;34;3.1;17.5;73;N
