Fecha;Hora;SO2 ;NO ;NO2 ;PM10 ;PM25;O3 ;CO;dd;vv;TMP;HR;PRB;RS;LL
01/01/2014;0:00:00;3;1;8;44;22;76;0.1;170;0.5;14.6;67;1014;0;0
01/01/2014;1:00:00;3;1;12;57;27;70;0.1;293;0.2;14.1;81;1014;0;0
01/01/2014;2:00:00;3;1;9;52;21;64;0.1;271;0.1;12.6;86;1013;0;0
01/01/2014;3:00:00;4;1;6;51;20;65;0.1;260;0.1;12;89;1013;0;0
01/01/2014;4:00:00;3;1;5;40;27;65;0.1;261;0.2;11.8;86;1012;0;0
01/01/2014;5:00:00;4;1;5;38;18;65;0.1;294;0.4;11.3;83;1012;0;0
01/01/2014;6:00:00;2;1;4;29;18;65;0.1;305;0.4;11.1;73;1012;0;0
01/01/2014;7:00:00;3;1;5;27;14;64;0.1;294;0.3;11.6;81;1013;0;0
01/01/2014;8:00:00;3;1;6;25;11;63;0.1;270;0.5;11.6;83;1013;0;0
01/01/2014;9:00:00;3;1;6;27;11;71;0.1;265;0.1;14.6;77;1014;210;0
01/01/2014;10:00:00;4;1;5;26;11;84;0.1;43;0.3;16.8;71;1015;430;0
01/01/2014;11:00:00;4;1;5;21;15;85;0.1;46;1;17.3;68;1014;562;0
01/01/2014;12:00:00;4;2;6;25;15;84;0.1;46;1.7;17.4;67;1014;530;0
01/01/2014;13:00:00;3;1;6;23;16;85;0.1;46;2;17.7;65;1013;625;0
01/01/2014;14:00:00;3;1;4;22;16;87;0.1;46;1.6;18;65;1013;543;0
01/01/2014;15:00:00;3;1;5;28;12;87;0.1;45;1.6;18;65;1012;446;0
01/01/2014;16:00:00;2;1;4;23;14;87;0.1;46;1.3;17.4;66;1012;237;0
01/01/2014;17:00:00;3;1;7;24;17;85;0.1;46;1;16;74;1012;21;0
01/01/2014;18:00:00;4;1;13;19;18;75;0.1;36;0.4;15.1;78;1013;0;0
01/01/2014;19:00:00;4;1;15;25;17;64;0.1;148;0.1;14;82;1013;0;0
01/01/2014;20:00:00;3;1;9;18;18;57;0.1;271;0.3;12.8;90;1013;0;0
01/01/2014;21:00:00;3;1;9;18;15;61;0.1;302;0.2;12.4;97;1014;0;0
01/01/2014;22:00:00;4;1;9;17;11;76;0.1;326;0.5;13.4;96;1014;0;0
01/01/2014;23:00:00;3;1;5;24;9;73;0.1;281;0.2;12.6;95;1014;0;0
02/01/2014;0:00:00;3;1;4;23;14;68;0.1;271;0.5;11.7;99;1014;0;0
02/01/2014;1:00:00;3;1;3;21;14;67;0.1;281;0.5;11.2;92;1013;0;0
02/01/2014;2:00:00;3;1;3;18;11;67;0.1;282;0.6;11.1;87;1012;0;0
02/01/2014;3:00:00;3;1;5;16;11;65;0.1;271;0.3;11.1;86;1012;0;0
02/01/2014;4:00:00;4;1;8;17;10;61;0.1;271;0.6;11;86;1012;0;0
02/01/2014;5:00:00;4;1;27;19;14;40;0.1;283;0.5;11;89;1012;0;0
02/01/2014;6:00:00;4;4;51;23;12;18;0.1;282;0.7;11.2;91;1012;0;0
02/01/2014;7:00:00;4;2;43;28;14;28;0.1;282;0.6;11.3;95;1012;0;0
02/01/2014;8:00:00;4;8;44;21;15;27;0.1;271;0.3;11.3;90;1013;1;0
02/01/2014;9:00:00;4;10;37;23;18;39;0.7;117;0.1;14.7;79;1014;201;0
02/01/2014;10:00:00;4;3;11;30;22;74;0.8;55;0.3;16.9;76;1014;428;0
02/01/2014;11:00:00;6;3;13;24;24;73;0.8;56;0.7;17.9;68;1014;560;0
02/01/2014;12:00:00;5;3;8;25;23;81;0.8;67;0.9;18.4;67;1013;630;0
02/01/2014;13:00:00;4;1;7;24;17;85;0.1;47;1.3;18.3;69;1013;632;0
02/01/2014;14:00:00;3;1;7;24;11;89;0.1;57;1.2;18.6;64;1012;576;0
02/01/2014;15:00:00;4;1;8;21;16;93;0.1;57;0.9;18.6;63;1012;454;0
02/01/2014;16:00:00;3;1;8;21;15;94;0.1;57;1.1;18.1;64;1012;292;0
02/01/2014;17:00:00;3;2;20;19;11;81;0.1;46;0.6;16.8;69;1012;64;0
02/01/2014;18:00:00;3;1;29;18;12;69;0.1;14;0.2;15.2;78;1013;0;0
02/01/2014;19:00:00;3;1;39;20;11;44;0.1;291;0.1;13.7;84;1013;0;0
02/01/2014;20:00:00;2;1;35;30;27;40;0.1;271;0.1;12.7;88;1014;0;0
02/01/2014;21:00:00;3;1;18;20;12;54;0.1;273;0.2;12.1;76;1014;0;0
02/01/2014;22:00:00;3;1;11;12;14;59;0.1;270;0.3;12;58;1014;0;0
02/01/2014;23:00:00;4;1;8;8;14;67;0.1;270;0.3;12.2;67;1014;0;0
03/01/2014;0:00:00;3;1;6;11;11;67;0.1;270;0.3;12.1;61;1014;0;0
03/01/2014;1:00:00;3;1;5;12;10;67;0.1;293;0.4;11.9;58;1014;0;0
