Fecha;PM10;SO2;NO2;NO;CO;O3;SH2
01/01/2015;28;2;37;16;0.8;19;0
02/01/2015;33;2;45;39;0.8;15;1
03/01/2015;21;1;38;7;0.7;20;0
04/01/2015;25;1;33;10;0.8;19;0
05/01/2015;27;2;34;26;0.8;9;1
06/01/2015;29;1;28;7;0.8;21;0
07/01/2015;33;1;34;25;0.8;15;1
08/01/2015;36;1;41;24;0.8;9;0
09/01/2015;33;2;39;32;0.8;14;1
10/01/2015;31;0;23;6;0.8;16;0
11/01/2015;28;0;24;9;0.8;37;0
12/01/2015;23;1;28;9;0.7;30;1
13/01/2015;16;0;21;2;0.4;49;0
14/01/2015;18;0;35;14;0.3;36;0
15/01/2015;12;0;21;2;0.2;67;1
16/01/2015;10;0;17;2;0.2;64;0
17/01/2015;16;0;24;5;0.3;51;0
18/01/2015;8;0;14;1;0.2;65;1
19/01/2015;13;0;18;3;0.2;64;0
20/01/2015;10;1;22;3;0.2;52;1
21/01/2015;9;1;15;2;0.2;71;1
22/01/2015;14;1;23;5;0.2;57;1
23/01/2015;17;1;35;10;0.3;36;0
24/01/2015;19;1;26;4;0.3;36;0
25/01/2015;24;1;27;3;0.3;41;0
26/01/2015;25;1;34;7;0.3;29;1
27/01/2015;19;1;27;2;0.3;41;1
28/01/2015;17;0;25;3;0.3;36;0
29/01/2015;15;0;15;3;0.3;46;1
30/01/2015;14;0;7;1;0.2;70;2
31/01/2015;14;0;5;0;0.2;76;1
01/02/2015;14;0;7;0;0.3;73;0
02/02/2015;10;0;26;10;0.3;42;1
03/02/2015;11;0;27;4;0.3;49;1
04/02/2015;12;1;22;3;0.3;54;1
05/02/2015;17;0;26;7;0.3;48;0
06/02/2015;13;1;31;7;0.4;29;1
07/02/2015;36;0;28;5;0.5;20;0
08/02/2015;32;0;24;3;0.5;26;0
09/02/2015;34;1;32;16;0.4;27;0
10/02/2015;32;1;35;25;0.5;25;1
11/02/2015;27;0;33;7;0.4;39;0
12/02/2015;28;0;31;9;0.4;41;0
13/02/2015;19;0;20;4;0.3;52;0
14/02/2015;11;0;22;2;0.3;44;0
15/02/2015;11;0;16;1;0.3;52;0
16/02/2015;13;0;11;1;0.3;66;0
17/02/2015;26;0;28;6;0.3;53;0
18/02/2015;27;0;32;13;0.4;27;0
19/02/2015;29;2;38;18;0.4;26;0
20/02/2015;19;1;28;4;0.3;36;0
21/02/2015;12;0;6;0;0.3;79;0
22/02/2015;14;0;13;1;0.3;60;0
23/02/2015;14;0;12;2;0.3;55;0
24/02/2015;12;0;8;1;0.2;76;0
25/02/2015;13;0;8;1;0.2;76;0
26/02/2015;11;0;11;1;0.2;65;1
27/02/2015;19;0;14;2;0.2;74;1
28/02/2015;13;0;15;2;0.3;45;1
01/03/2015;11;0;19;2;0.3;31;1
02/03/2015;13;0;24;3;0.3;39;1
03/03/2015;;0;25;6;0.3;43;1
04/03/2015;;0;18;2;0.3;66;0
05/03/2015;18;0;23;5;0.3;48;0
06/03/2015;29;1;32;14;0.4;30;1
07/03/2015;31;6;38;12;0.4;27;1
08/03/2015;32;2;29;5;0.4;50;1
09/03/2015;52;6;44;16;0.5;33;2
10/03/2015;55;0;30;6;0.4;28;1
11/03/2015;51;1;18;2;0.4;44;0
