Fecha;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;3;0.4;4;19;29;24;32
02/01/2015;3;0.2;13;34;26;53;25
03/01/2015;3;0.3;8;24;22;35;33
04/01/2015;3;0.3;3;19;21;23;39
05/01/2015;3;0.3;7;30;28;39;21
06/01/2015;3;0.4;5;19;38;25;24
07/01/2015;3;0.2;8;28;34;38;22
08/01/2015;3;0.2;19;30;36;58;18
09/01/2015;3;0.2;23;35;30;70;21
10/01/2015;3;0.2;5;25;;32;34
11/01/2015;3;0.1;4;20;;23;41
12/01/2015;3;0.2;10;31;;45;23
13/01/2015;3;0.1;12;29;;46;22
14/01/2015;3;0.1;7;21;;31;30
15/01/2015;3;0.1;15;25;;46;34
16/01/2015;3;0.1;2;10;;12;60
17/01/2015;3;0.1;2;15;;17;54
18/01/2015;3;0.2;4;14;;19;45
19/01/2015;3;0.2;5;14;;21;36
20/01/2015;3;0.2;12;28;;45;34
21/01/2015;3;0.2;4;6;;9;46
22/01/2015;3;0.1;3;4;;7;62
23/01/2015;3;0.1;2;4;;6;73
24/01/2015;3;0.1;2;7;;9;66
25/01/2015;3;0.1;2;6;;7;77
26/01/2015;3;0.2;10;34;;48;37
27/01/2015;3;0.1;6;12;;21;47
28/01/2015;3;0.1;5;23;;29;47
29/01/2015;3;0.1;6;11;;18;49
30/01/2015;3;0.2;2;4;;6;54
31/01/2015;3;0.1;2;5;3;7;66
01/02/2015;3;0.1;2;6;4;7;72
02/02/2015;3;0.1;4;14;;19;46
03/02/2015;3;0.1;2;8;5;9;63
04/02/2015;3;0.1;2;5;5;7;70
05/02/2015;3;0.1;2;4;9;6;69
06/02/2015;3;0.1;2;12;6;13;62
07/02/2015;3;0.2;6;25;19;33;25
08/02/2015;3;0.1;2;9;12;11;51
09/02/2015;3;0.2;4;16;21;22;50
10/02/2015;3;0.2;4;23;;27;46
11/02/2015;3;0.2;2;17;;18;59
12/02/2015;3;0.2;14;37;25;57;23
13/02/2015;3;0.1;6;25;16;32;33
14/02/2015;3;0.1;2;8;8;9;63
15/02/2015;3;0.1;2;8;;10;58
16/02/2015;3;0.1;3;17;;19;53
