Fecha;TMP;HR;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;12.4;71;3;0.1;10;37;23;52;31
02/01/2015;12.1;63;7;0.4;60;58;26;150;17
03/01/2015;13.6;51;4;0.3;43;59;21;124;15
04/01/2015;15.6;59;4;0.3;8;33;14;46;33
05/01/2015;13.2;80;4;0.4;37;52;22;109;17
06/01/2015;13.1;85;4;0.3;14;37;23;58;29
07/01/2015;13.1;76;4;0.2;24;40;22;77;23
08/01/2015;12.6;79;5;0.2;41;47;24;109;17
09/01/2015;12.9;73;5;0.2;43;57;28;122;15
10/01/2015;14;66;4;0.4;44;58;29;126;11
11/01/2015;15;58;4;0.3;17;38;16;64;27
12/01/2015;14.4;74;4;0.3;14;36;21;57;31
13/01/2015;14.5;73;5;0.4;33;54;29;104;19
14/01/2015;14.9;64;4;0.3;31;47;21;95;21
15/01/2015;15.2;63;4;0.2;16;48;25;72;20
16/01/2015;15.3;44;3;0.1;4;18;10;23;54
17/01/2015;12;44;4;0.2;12;30;13;48;47
18/01/2015;10.8;50;4;0.2;6;31;13;40;40
19/01/2015;10.6;63;3;0.2;4;17;8;23;52
20/01/2015;9.7;45;5;0.2;9;38;13;52;38
21/01/2015;11.1;52;4;0.2;13;40;11;60;35
22/01/2015;11.4;47;4;0.2;9;39;8;53;45
23/01/2015;12.7;33;4;0.1;6;22;8;31;63
24/01/2015;14.1;33;5;0.2;7;27;10;37;58
25/01/2015;14.8;23;4;0.1;3;12;8;16;74
26/01/2015;12.1;45;5;0.3;23;49;19;83;39
27/01/2015;14.6;48;6;0.2;11;37;11;53;45
28/01/2015;13.9;50;7;0.2;14;44;12;66;46
29/01/2015;17.7;44;4;0.2;6;26;10;34;48
30/01/2015;19.9;52;4;0.2;6;17;10;26;55
31/01/2015;14.5;49;5;0.2;3;10;3;15;67
01/02/2015;12.3;32;4;0.2;4;10;6;15;73
02/02/2015;12.7;45;3;0.3;4;21;7;27;51
03/02/2015;13.6;46;4;0.2;4;22;7;28;51
04/02/2015;8.4;51;3;0.2;4;13;5;18;69
05/02/2015;9.6;24;3;0.2;3;14;12;19;68
06/02/2015;8.2;30;4;0.2;6;18;7;27;64
07/02/2015;8;51;4;0.2;7;18;12;28;41
08/02/2015;10.1;48;5;0.3;8;32;15;43;44
09/02/2015;9.9;59;5;0.2;;;20;;41
10/02/2015;11.2;61;5;0.2;;;22;;42
11/02/2015;12.2;72;3;0.3;;;18;;54
12/02/2015;12.2;79;4;0.3;;;19;;47
13/02/2015;13.6;73;7;0.3;;;23;;24
14/02/2015;14.9;54;4;0.2;;;12;;46
15/02/2015;16.6;55;3;0.2;;;9;;42
16/02/2015;15.3;55;3;0.2;;;;;47
17/02/2015;14.5;54;3;0.1;;;6;;68
18/02/2015;13.9;53;3;0.2;;;;;68
19/02/2015;12.7;64;3;0.3;;;14;;71
20/02/2015;12.2;69;8;0.3;15;34;17;57;52
