Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3;CO
01/01/2014;00:00:00;6;1;9;24;6;57;0.2
01/01/2014;01:00:00;6;1;5;22;5;60;0.2
01/01/2014;02:00:00;6;1;3;20;3;64;0.2
01/01/2014;03:00:00;6;1;4;18;1;61;0.2
01/01/2014;04:00:00;4;1;3;16;3;61;0.2
01/01/2014;05:00:00;4;1;3;17;2;62;0.2
01/01/2014;06:00:00;6;1;5;19;2;62;0.2
01/01/2014;07:00:00;5;2;5;15;1;71;0.2
01/01/2014;08:00:00;18;16;34;14;3;53;0.2
01/01/2014;09:00:00;10;2;6;14;1;84;0.2
01/01/2014;10:00:00;6;1;2;11;1;85;0.2
01/01/2014;11:00:00;7;1;2;11;1;87;0.2
01/01/2014;12:00:00;6;1;2;12;1;86;0.2
01/01/2014;13:00:00;5;1;2;12;3;86;0.2
01/01/2014;14:00:00;6;1;2;8;8;86;0.2
01/01/2014;15:00:00;7;1;4;13;4;83;0.2
01/01/2014;16:00:00;7;2;12;11;8;74;0.2
01/01/2014;17:00:00;7;1;11;13;1;66;0.2
01/01/2014;18:00:00;6;1;14;13;4;54;0.3
01/01/2014;19:00:00;6;1;7;13;4;69;0.2
01/01/2014;20:00:00;6;1;4;11;4;75;0.2
01/01/2014;21:00:00;4;1;4;10;4;76;0.2
01/01/2014;22:00:00;6;1;4;10;4;68;0.2
01/01/2014;23:00:00;6;1;3;8;4;64;0.2
02/01/2014;00:00:00;6;1;3;11;3;64;0.2
02/01/2014;01:00:00;6;1;3;10;2;61;0.2
02/01/2014;02:00:00;6;1;5;14;3;58;0.2
02/01/2014;03:00:00;7;1;13;14;3;48;0.2
02/01/2014;04:00:00;7;2;21;14;3;41;0.2
02/01/2014;05:00:00;7;5;30;17;4;35;0.3
02/01/2014;06:00:00;8;7;34;19;4;31;0.3
02/01/2014;07:00:00;8;10;30;16;1;41;0.3
02/01/2014;08:00:00;20;21;35;14;1;47;0.2
02/01/2014;09:00:00;8;2;8;13;2;79;0.2
02/01/2014;10:00:00;7;2;4;10;1;85;0.2
02/01/2014;11:00:00;7;2;4;11;1;86;0.2
02/01/2014;12:00:00;6;2;4;10;1;92;0.2
02/01/2014;13:00:00;5;2;5;9;2;94;0.2
02/01/2014;14:00:00;6;2;6;10;9;94;0.2
02/01/2014;15:00:00;7;2;11;10;6;90;0.2
02/01/2014;16:00:00;7;1;21;11;6;73;0.3
02/01/2014;17:00:00;7;4;43;14;6;36;0.3
02/01/2014;18:00:00;8;4;41;10;4;33;0.3
02/01/2014;19:00:00;9;1;25;5;4;44;0.3
02/01/2014;20:00:00;7;1;16;9;4;54;0.2
02/01/2014;21:00:00;8;1;11;7;4;60;0.2
02/01/2014;22:00:00;5;1;7;6;3;63;0.2
02/01/2014;23:00:00;5;1;4;4;2;63;0.2
03/01/2014;00:00:00;7;1;5;7;2;61;0.2
03/01/2014;01:00:00;6;1;5;9;3;59;0.2
03/01/2014;02:00:00;7;1;7;8;3;56;0.2
03/01/2014;03:00:00;7;1;14;8;3;47;0.2
03/01/2014;04:00:00;8;2;20;10;3;43;0.2
03/01/2014;05:00:00;7;3;31;10;4;32;0.2
03/01/2014;06:00:00;7;8;36;16;3;29;0.2
03/01/2014;07:00:00;7;11;32;14;1;39;0.3
03/01/2014;08:00:00;9;5;17;12;1;59;0.2
03/01/2014;09:00:00;6;2;6;10;1;74;0.2
03/01/2014;10:00:00;6;1;3;7;1;83;0.2
03/01/2014;11:00:00;5;2;6;9;1;85;0.2
03/01/2014;12:00:00;6;2;6;8;1;85;0.2
03/01/2014;13:00:00;6;2;8;10;4;88;0.2
03/01/2014;14:00:00;5;2;10;9;10;84;0.2
03/01/2014;15:00:00;6;2;14;8;6;79;0.2
03/01/2014;16:00:00;6;1;17;10;6;72;0.2
03/01/2014;17:00:00;6;1;16;11;6;69;0.2
03/01/2014;18:00:00;6;1;15;10;6;66;0.2
03/01/2014;19:00:00;7;1;13;12;6;74;0.2
03/01/2014;20:00:00;7;1;8;6;4;80;0.2
03/01/2014;21:00:00;6;1;4;6;4;81;0.2
03/01/2014;22:00:00;4;1;2;5;2;76;0.2
03/01/2014;23:00:00;3;1;3;5;1;72;0.2
04/01/2014;00:00:00;6;1;3;4;1;67;0.2
04/01/2014;01:00:00;5;1;3;5;2;65;0.2
04/01/2014;02:00:00;5;1;3;5;1;63;0.2
04/01/2014;03:00:00;6;1;3;6;1;60;0.2
04/01/2014;04:00:00;7;1;7;13;3;56;0.2
04/01/2014;05:00:00;6;1;6;8;2;60;0.2
04/01/2014;06:00:00;5;1;9;13;2;56;0.2
04/01/2014;07:00:00;9;3;14;8;4;53;0.2
04/01/2014;08:00:00;8;3;10;10;2;60;0.2
04/01/2014;09:00:00;7;3;8;10;1;63;0.2
04/01/2014;10:00:00;6;2;5;9;1;66;0.2
04/01/2014;11:00:00;6;8;12;6;4;58;0.2
04/01/2014;12:00:00;6;2;8;6;8;63;0.2
04/01/2014;13:00:00;N;N;N;N;N;N;N
04/01/2014;14:00:00;N;N;N;N;N;N;N
04/01/2014;15:00:00;N;N;N;N;N;N;N
04/01/2014;16:00:00;N;N;N;N;N;N;N
04/01/2014;17:00:00;N;N;N;N;N;N;N
04/01/2014;18:00:00;N;N;N;N;N;N;N
04/01/2014;19:00:00;N;N;N;N;N;N;N
04/01/2014;20:00:00;N;N;N;N;N;N;N
04/01/2014;21:00:00;N;N;N;N;N;N;N
04/01/2014;22:00:00;N;N;N;N;N;N;N
04/01/2014;23:00:00;N;N;N;N;N;N;N
05/01/2014;00:00:00;N;N;N;N;N;N;N
05/01/2014;01:00:00;N;N;N;N;N;N;N
05/01/2014;02:00:00;N;N;N;N;N;N;N
05/01/2014;03:00:00;N;N;N;N;N;N;N
05/01/2014;04:00:00;N;N;N;N;N;N;N
05/01/2014;05:00:00;N;N;N;N;N;N;N
05/01/2014;06:00:00;N;N;N;N;N;N;N
05/01/2014;07:00:00;N;N;N;N;N;N;N
05/01/2014;08:00:00;N;N;N;N;N;N;N
05/01/2014;09:00:00;N;N;N;N;N;N;N
05/01/2014;10:00:00;N;N;N;N;N;N;N
05/01/2014;11:00:00;N;N;N;N;N;N;N
05/01/2014;12:00:00;N;N;N;N;N;N;N
05/01/2014;13:00:00;N;N;N;N;N;N;N
05/01/2014;14:00:00;N;N;N;N;N;N;N
05/01/2014;15:00:00;N;N;N;N;N;N;N
05/01/2014;16:00:00;N;N;N;N;N;N;N
05/01/2014;17:00:00;N;N;N;N;N;N;N
05/01/2014;18:00:00;N;N;N;N;N;N;N
05/01/2014;19:00:00;N;N;N;N;N;N;N
05/01/2014;20:00:00;N;N;N;N;N;N;N
05/01/2014;21:00:00;N;N;N;N;N;N;N
05/01/2014;22:00:00;N;N;N;N;N;N;N
05/01/2014;23:00:00;N;N;N;N;N;N;N
06/01/2014;00:00:00;N;N;N;N;N;N;N
06/01/2014;01:00:00;N;N;N;N;N;N;N
06/01/2014;02:00:00;N;N;N;N;N;N;N
06/01/2014;03:00:00;N;N;N;N;N;N;N
06/01/2014;04:00:00;N;N;N;N;N;N;N
06/01/2014;05:00:00;N;N;N;N;N;N;N
06/01/2014;06:00:00;N;N;N;N;N;N;N
06/01/2014;07:00:00;N;N;N;N;N;N;N
06/01/2014;08:00:00;N;N;N;N;N;N;N
06/01/2014;09:00:00;N;N;N;N;N;N;N
06/01/2014;10:00:00;N;N;N;N;N;N;N
06/01/2014;11:00:00;N;N;N;N;N;N;N
06/01/2014;12:00:00;N;N;N;N;N;N;N
06/01/2014;13:00:00;N;N;N;N;N;N;N
06/01/2014;14:00:00;N;N;N;N;N;N;N
06/01/2014;15:00:00;N;N;N;N;N;N;N
06/01/2014;16:00:00;N;N;N;N;N;N;N
06/01/2014;17:00:00;N;N;N;N;N;N;N
06/01/2014;18:00:00;N;N;N;N;N;N;N
06/01/2014;19:00:00;N;N;N;N;N;N;N
06/01/2014;20:00:00;N;N;N;N;N;N;N
06/01/2014;21:00:00;N;N;N;N;N;N;N
06/01/2014;22:00:00;N;N;N;N;N;N;N
06/01/2014;23:00:00;N;N;N;N;N;N;N
07/01/2014;00:00:00;N;N;N;N;N;N;N
07/01/2014;01:00:00;N;N;N;N;N;N;N
07/01/2014;02:00:00;N;N;N;N;N;N;N
07/01/2014;03:00:00;N;N;N;N;N;N;N
07/01/2014;04:00:00;N;N;N;N;N;N;N
07/01/2014;05:00:00;N;N;N;N;N;N;N
07/01/2014;06:00:00;N;N;N;N;N;N;N
07/01/2014;07:00:00;N;N;N;N;N;N;N
07/01/2014;08:00:00;N;N;N;N;N;N;N
07/01/2014;09:00:00;N;2;2;17;1;66;0.6
07/01/2014;10:00:00;N;1;5;8;1;68;0.6
07/01/2014;11:00:00;N;2;10;6;1;65;0.6
07/01/2014;12:00:00;N;2;9;8;1;66;0.7
07/01/2014;13:00:00;N;3;10;17;1;64;0.6
07/01/2014;14:00:00;N;2;11;14;3;65;0.6
07/01/2014;15:00:00;N;2;15;18;10;59;0.6
07/01/2014;16:00:00;N;1;28;19;15;44;0.7
07/01/2014;17:00:00;N;5;47;18;13;22;0.7
07/01/2014;18:00:00;N;8;44;23;1;15;0.8
07/01/2014;19:00:00;N;3;41;26;3;15;0.7
07/01/2014;20:00:00;N;2;27;12;3;26;0.6
07/01/2014;21:00:00;N;1;15;5;1;38;0.6
07/01/2014;22:00:00;N;2;16;6;1;37;0.6
07/01/2014;23:00:00;N;2;19;10;1;37;0.6
08/01/2014;00:00:00;N;1;29;18;4;26;0.6
08/01/2014;01:00:00;N;2;24;19;6;38;0.6
08/01/2014;02:00:00;N;1;16;10;6;46;0.5
08/01/2014;03:00:00;N;2;15;7;1;38;0.5
08/01/2014;04:00:00;N;3;23;7;1;34;0.6
08/01/2014;05:00:00;N;2;17;14;1;44;0.6
08/01/2014;06:00:00;N;5;28;23;1;33;0.6
08/01/2014;07:00:00;N;13;30;21;1;34;0.7
08/01/2014;08:00:00;N;8;20;22;3;44;0.6
08/01/2014;09:00:00;N;6;17;20;1;48;0.6
08/01/2014;10:00:00;N;N;N;N;N;N;N
08/01/2014;11:00:00;N;N;N;N;N;N;N
08/01/2014;12:00:00;3;2;9;23;2;58;0.6
08/01/2014;13:00:00;3;3;11;20;4;55;0.6
08/01/2014;14:00:00;3;3;16;26;8;53;0.6
08/01/2014;15:00:00;3;3;26;22;13;45;0.6
08/01/2014;16:00:00;3;1;24;25;15;56;0.6
08/01/2014;17:00:00;3;1;29;24;16;47;0.6
08/01/2014;18:00:00;3;2;20;24;13;49;0.6
08/01/2014;19:00:00;3;2;23;12;6;40;0.6
08/01/2014;20:00:00;3;2;20;14;1;36;0.6
08/01/2014;21:00:00;3;2;21;17;3;39;0.6
08/01/2014;22:00:00;3;1;12;18;6;48;0.5
08/01/2014;23:00:00;3;1;4;10;6;64;0.5
09/01/2014;00:00:00;3;1;6;10;1;60;0.5
09/01/2014;01:00:00;3;1;4;10;4;64;0.5
09/01/2014;02:00:00;3;1;5;9;4;59;0.5
09/01/2014;03:00:00;3;1;9;6;1;49;0.6
09/01/2014;04:00:00;3;1;14;7;1;45;0.6
09/01/2014;05:00:00;3;4;24;14;2;37;0.6
09/01/2014;06:00:00;3;2;8;5;2;77;0.6
09/01/2014;07:00:00;3;2;18;8;1;61;0.6
09/01/2014;08:00:00;3;3;24;9;3;58;0.6
09/01/2014;09:00:00;N;N;N;N;7;N;N
09/01/2014;10:00:00;N;N;N;N;9;N;N
09/01/2014;11:00:00;N;N;N;N;1;N;N
09/01/2014;12:00:00;21;2;5;8;1;89;0.6
09/01/2014;13:00:00;3;2;5;7;1;86;0.7
09/01/2014;14:00:00;3;2;15;7;4;76;0.7
09/01/2014;15:00:00;3;2;19;6;4;74;0.7
09/01/2014;16:00:00;3;2;24;9;4;63;0.7
09/01/2014;17:00:00;3;3;27;10;4;45;0.8
09/01/2014;18:00:00;3;2;33;10;4;42;0.8
09/01/2014;19:00:00;3;2;24;36;15;44;0.8
09/01/2014;20:00:00;3;1;18;6;8;49;0.7
09/01/2014;21:00:00;3;1;9;4;1;53;0.7
09/01/2014;22:00:00;3;1;9;4;1;55;0.7
09/01/2014;23:00:00;3;1;4;4;1;65;0.7
10/01/2014;00:00:00;3;1;2;4;1;82;0.6
10/01/2014;01:00:00;3;1;2;4;1;85;0.6
10/01/2014;02:00:00;3;1;2;4;1;89;0.6
10/01/2014;03:00:00;3;1;3;6;1;88;0.6
10/01/2014;04:00:00;3;1;6;6;1;86;0.6
10/01/2014;05:00:00;3;1;12;8;1;79;0.7
10/01/2014;06:00:00;4;2;18;10;2;75;0.7
10/01/2014;07:00:00;3;3;14;10;1;79;0.7
10/01/2014;08:00:00;3;3;12;7;1;81;0.7
10/01/2014;09:00:00;N;N;N;N;N;N;N
10/01/2014;10:00:00;N;N;N;N;N;N;N
10/01/2014;11:00:00;N;N;N;N;N;N;N
