Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;NO;NO2;PM10;NOX;O3
01/01/2015;0.8;343;12.6;81;1018;85;0;5;2;6;5;7;63
02/01/2015;0.5;47;13.2;65;1020;91;0;5;3;20;6;23;44
03/01/2015;0.4;42;16;48;1018;91;0;4;3;14;4;18;51
04/01/2015;0.8;43;16.6;64;1016;90;0;3;2;8;3;10;59
05/01/2015;0.8;24;13.4;90;1013;90;0;6;3;12;6;14;49
06/01/2015;0.6;28;13;95;1010;87;0;12;2;10;12;11;54
07/01/2015;0.9;27;12.7;89;1015;87;0;9;3;10;9;14;48
08/01/2015;0.6;21;12.2;92;1020;88;0;14;4;18;15;22;33
09/01/2015;0.5;359;13.1;82;1024;90;0.4;14;5;29;15;35;21
10/01/2015;0.4;62;15.1;67;1016;95;0;8;4;26;10;31;29
11/01/2015;0.9;359;16.7;55;1013;96;0;3;2;13;4;14;52
12/01/2015;1.1;316;14.5;87;1017;94;0;5;2;11;6;12;54
13/01/2015;0.7;357;14;86;1010;88;0;9;3;21;10;25;39
14/01/2015;0.7;57;15.1;70;1009;96;0.2;5;3;15;7;17;45
15/01/2015;0.7;337;15.2;71;1001;93;0;9;6;24;11;31;38
16/01/2015;1.2;291;14.4;58;996;56;0;4;2;13;5;15;56
17/01/2015;1.6;342;11.3;54;1004;101;0.2;3;2;9;4;10;63
18/01/2015;1.1;320;10.8;59;998;68;0.4;5;2;12;7;14;57
19/01/2015;2.6;36;9.9;75;992;23;2.8;2;2;8;3;10;57
20/01/2015;1.2;325;9.1;56;992;74;0;2;2;13;3;15;54
21/01/2015;1;334;10.4;64;991;77;0.4;3;4;16;5;20;48
22/01/2015;1.5;356;10.8;57;994;85;0;2;2;10;3;12;63
23/01/2015;2.7;360;12;44;1001;111;0;2;2;5;4;7;74
24/01/2015;2;356;13.9;42;1005;103;0;2;2;6;2;8;73
25/01/2015;2.2;357;13.9;34;1006;105;0;1;2;5;2;7;77
26/01/2015;1.1;1;11.7;56;1010;107;0;2;2;11;3;13;67
27/01/2015;1.6;348;14.8;56;1007;106;0;2;2;9;4;11;66
28/01/2015;1.7;339;13;61;1005;87;0.6;2;2;10;3;12;64
29/01/2015;1.4;256;17.3;56;993;79;0;3;3;12;6;15;49
30/01/2015;1.3;262;19.2;65;980;99;1.6;2;2;6;5;7;56
