Fecha;Hora;SO2 ;NO ;NO2 ;PM10 ;PM25;O3 ;CO;BEN;TOL;dd;vv;TMP;HR;PRB;RS;LL
01/01/2014;0:00:00;7;48;57;68;32;13;0.6;0.8;1.6;330;0.1;14.4;76;1017;0;0.0
01/01/2014;1:00:00;11;97;76;108;60;5;1.0;2.6;7.1;338;0.1;14.1;76;1017;0;0.0
01/01/2014;2:00:00;8;71;74;103;67;6;0.7;3.2;6.6;326;0.1;13.8;77;1016;0;0.0
01/01/2014;3:00:00;6;15;51;69;41;18;0.2;1.5;6.5;333;0.2;13.9;67;1016;0;0.0
01/01/2014;4:00:00;5;10;45;48;19;19;0.1;0.2;0.8;340;0.1;13.5;66;1015;0;0.0
01/01/2014;5:00:00;5;10;46;46;16;19;0.1;0.3;1.7;318;0.2;13.5;62;1015;0;0.0
01/01/2014;6:00:00;5;9;40;49;12;32;0.1;0.3;1.7;300;0.3;13.9;61;1015;0;0.0
01/01/2014;7:00:00;5;7;32;40;10;45;0.1;0.1;0.7;332;0.3;14.2;70;1016;1;0.0
01/01/2014;8:00:00;5;11;43;30;9;32;0.1;0.1;1.0;342;0.1;14.9;70;1017;85;0.0
01/01/2014;9:00:00;6;9;28;23;7;47;0.1;0.2;1.1;328;0.2;19.0;60;1017;268;0.0
01/01/2014;10:00:00;14;10;25;25;6;58;0.1;0.1;0.6;146;0.6;20.2;58;1017;398;0.0
01/01/2014;11:00:00;6;6;13;27;9;75;0.1;0.1;0.2;109;0.8;20.8;59;1017;535;0.0
01/01/2014;12:00:00;5;11;19;13;8;74;0.1;0.1;0.1;167;1.1;21.0;62;1017;620;0.0
01/01/2014;13:00:00;5;8;16;18;5;77;0.1;0.1;0.1;117;1.4;21.0;62;1016;631;0.0
01/01/2014;14:00:00;5;11;18;20;1;78;0.1;0.1;0.2;126;1.0;21.5;61;1015;552;0.0
01/01/2014;15:00:00;5;8;15;9;1;80;0.1;N;N;121;1.0;21.2;61;1015;436;0.0
01/01/2014;16:00:00;4;6;14;8;4;79;0.1;N;N;121;0.7;21.0;62;1015;275;0.0
01/01/2014;17:00:00;5;5;18;9;3;73;0.1;N;N;78;0.4;20.0;65;1015;93;0.0
01/01/2014;18:00:00;8;17;48;8;2;45;0.1;N;N;239;0.6;17.9;71;1015;2;0.0
01/01/2014;19:00:00;6;13;55;8;10;29;0.1;N;N;309;0.2;16.9;74;1016;0;0.0
01/01/2014;20:00:00;8;14;66;17;10;20;0.1;N;N;151;0.3;16.1;76;1016;0;0.0
01/01/2014;21:00:00;6;11;53;12;7;22;0.1;N;N;332;0.1;15.2;74;1017;0;0.0
01/01/2014;22:00:00;5;12;54;16;7;24;0.1;N;N;328;0.1;14.6;75;1017;0;0.0
01/01/2014;23:00:00;5;8;43;11;5;31;0.1;N;N;339;0.1;14.0;72;1017;0;0.0
02/01/2014;0:00:00;5;4;27;12;7;44;0.1;N;N;352;0.1;13.9;72;1017;0;0.0
02/01/2014;1:00:00;6;2;20;9;7;46;0.1;N;N;332;0.2;13.9;75;1016;0;0.0
02/01/2014;2:00:00;6;2;16;6;4;51;0.1;N;N;336;0.1;13.3;74;1015;0;0.0
02/01/2014;3:00:00;5;2;11;6;3;56;0.1;N;N;344;0.1;12.9;70;1015;0;0.0
02/01/2014;4:00:00;5;2;12;8;3;58;0.1;N;N;348;0.1;12.9;62;1015;0;0.0
02/01/2014;5:00:00;4;5;31;8;1;39;0.1;N;N;334;0.2;13.0;63;1015;0;0.0
02/01/2014;6:00:00;5;14;53;8;1;23;0.1;N;N;333;0.1;13.3;75;1015;0;0.0
02/01/2014;7:00:00;7;67;77;18;2;8;0.5;N;N;326;0.1;13.4;79;1016;1;0.0
02/01/2014;8:00:00;8;85;87;20;9;8;0.6;N;N;316;0.1;14.6;79;1016;60;0.0
02/01/2014;9:00:00;8;56;60;19;14;34;0.4;N;N;305;0.2;19.3;69;1017;267;0.0
02/01/2014;10:00:00;7;15;35;14;8;60;0.1;N;N;134;0.2;20.6;64;1015;419;0.0
02/01/2014;11:00:00;9;25;40;13;4;56;0.1;N;N;113;0.8;21.0;63;1017;530;0.0
02/01/2014;12:00:00;6;28;38;13;3;57;0.1;N;N;111;0.7;21.3;63;1016;616;0.0
02/01/2014;13:00:00;6;22;34;17;3;58;0.1;N;N;102;0.8;21.5;62;1015;618;0.0
02/01/2014;14:00:00;6;23;37;18;3;61;0.1;N;N;120;0.8;21.5;63;1015;557;0.0
02/01/2014;15:00:00;6;23;36;10;5;59;0.1;N;N;79;0.7;21.4;63;1015;436;0.0
02/01/2014;16:00:00;5;21;38;9;3;55;0.1;N;N;101;0.6;21.2;63;1015;274;0.0
02/01/2014;17:00:00;6;17;43;7;3;53;0.1;N;N;29;0.2;20.4;66;1015;94;0.0
02/01/2014;18:00:00;7;23;57;6;6;41;0.2;N;N;326;0.2;17.7;75;1016;2;0.0
02/01/2014;19:00:00;8;15;57;5;10;35;0.1;N;N;17;0.1;17.0;79;1016;0;0.0
02/01/2014;20:00:00;10;45;76;4;8;8;0.3;N;N;333;0.1;16.2;82;1017;0;0.0
02/01/2014;21:00:00;10;76;71;20;20;5;0.5;N;N;352;0.1;15.4;84;1017;0;0.0
02/01/2014;22:00:00;10;97;72;19;15;5;0.5;N;N;341;0.1;14.8;84;1017;0;0.0
02/01/2014;23:00:00;8;47;67;24;17;5;0.4;N;N;339;0.1;14.7;82;1017;0;0.0
03/01/2014;0:00:00;7;21;59;15;10;8;0.1;N;N;335;0.1;14.3;78;1017;0;0.0
03/01/2014;1:00:00;6;8;45;12;7;18;0.1;N;N;342;0.1;14.3;79;1017;0;0.0
03/01/2014;2:00:00;5;3;23;9;7;38;0.1;N;N;335;0.1;14.4;79;1016;0;0.0
03/01/2014;3:00:00;5;3;20;8;5;39;0.1;N;N;332;0.1;14.2;79;1016;0;0.0
03/01/2014;4:00:00;4;2;17;7;2;44;0.1;N;N;332;0.1;14.0;80;1016;0;0.0
03/01/2014;5:00:00;4;4;27;3;2;37;0.1;N;N;337;0.1;13.9;82;1016;0;0.0
03/01/2014;6:00:00;5;16;49;2;3;18;0.1;N;N;328;0.1;14.1;84;1017;0;0.0
03/01/2014;7:00:00;8;82;75;6;8;6;0.4;N;N;330;0.1;14.6;84;1017;1;0.0
03/01/2014;8:00:00;12;138;84;22;16;6;0.9;N;N;345;0.1;15.5;83;1018;56;0.0
03/01/2014;9:00:00;11;84;69;24;17;21;0.6;N;N;193;0.2;19.4;72;1018;252;0.0
03/01/2014;10:00:00;19;29;49;29;18;39;0.1;N;N;87;0.6;20.9;66;1018;398;0.0
03/01/2014;11:00:00;8;25;47;16;4;51;0.1;N;N;117;0.6;21.8;64;1018;526;0.0
03/01/2014;12:00:00;7;26;44;10;4;51;0.1;N;N;101;0.7;22.2;64;1018;619;0.0
03/01/2014;13:00:00;7;31;49;8;7;50;0.1;N;N;101;0.7;22.7;60;1017;617;0.0
03/01/2014;14:00:00;8;41;55;21;8;46;0.1;N;N;114;0.9;23.2;56;1016;555;0.0
03/01/2014;15:00:00;10;25;44;22;7;55;0.1;N;N;146;0.8;23.0;60;1016;423;0.0
03/01/2014;16:00:00;21;24;41;22;6;53;0.1;N;N;169;0.8;22.4;62;1016;258;0.0
03/01/2014;17:00:00;10;33;56;17;9;34;0.1;N;N;173;0.4;20.9;66;1017;61;0.0
03/01/2014;18:00:00;7;25;68;14;10;24;0.1;N;N;82;0.2;18.6;71;1017;2;0.0
03/01/2014;19:00:00;16;105;89;5;8;11;0.4;N;N;218;0.4;18.4;63;1018;0;0.0
03/01/2014;20:00:00;8;29;67;32;20;23;0.2;N;N;331;0.2;17.4;57;1018;0;0.0
03/01/2014;21:00:00;6;13;48;11;5;35;0.1;N;N;347;0.3;17.0;64;1018;0;0.0
03/01/2014;22:00:00;6;20;55;8;5;30;0.1;N;N;182;0.1;16.7;71;1019;0;0.0
03/01/2014;23:00:00;6;33;61;8;5;15;0.2;N;N;323;0.1;16.1;74;1019;0;0.0
04/01/2014;0:00:00;6;26;56;9;5;14;0.2;N;N;340;0.1;15.6;77;1018;0;0.0
04/01/2014;1:00:00;5;8;39;8;3;27;0.1;N;N;330;0.1;15.5;79;1018;0;0.0
04/01/2014;2:00:00;4;4;25;4;2;34;0.1;N;N;321;0.1;15.9;80;1018;0;0.0
04/01/2014;3:00:00;5;3;25;1;3;33;0.1;N;N;321;0.1;16.9;78;1018;0;0.0
04/01/2014;4:00:00;5;4;20;1;2;47;0.1;N;N;175;0.2;18.0;79;1018;0;0.0
04/01/2014;5:00:00;5;3;14;4;2;53;0.1;N;N;316;0.1;18.3;79;1018;0;0.0
04/01/2014;6:00:00;4;4;19;7;2;46;0.1;N;N;343;0.2;18.5;75;1019;0;0.0
