Fecha;RS;PM25;PM10;XIL;SO2;CO;NO;NO2;PM10;NOX;O3;TOL;BEN;vv;TMP;HR;PRB
01/01/2014;84;5;3;;3;0.1;7;22;11;33;47;;;1.2;15.2;54;1019
02/01/2014;16;5;3;;2;0.2;16;35;11;59;37;;;1.3;16.6;61;1017
03/01/2014;19;6;3;;2;0.2;37;52;11;108;24;;;0.9;18;61;1019
04/01/2014;80;5;2;;1;0.1;7;20;12;30;52;;;2;16.1;54;1016
05/01/2014;86;5;3;;1;0.3;6;18;10;28;55;;;2.1;12.3;53;1022
06/01/2014;99;5;3;;1;0.3;10;30;10;46;41;;;0.9;14.9;53;1020
07/01/2014;95;10;7;;5;0.7;98;89;20;238;12;;;0.3;13.2;60;1022
08/01/2014;93;13;10;;4;0.5;76;68;25;184;17;;;0.3;11;70;1025
09/01/2014;75;27;24;;4;0.4;74;77;55;190;8;;;0.2;10.2;;1023
10/01/2014;11;25;22;;2;0.3;40;75;50;136;8;;;0.4;10.8;77;1020
11/01/2014;24;20;17;;3;0.4;46;78;40;148;5;;;0.1;11.8;76;1021
12/01/2014;99;18;15;;3;0.4;26;55;36;95;10;;;0.2;12.2;;1024
13/01/2014;13;10;7;;3;0.3;30;55;20;101;17;;;0.7;13.2;66;1020
14/01/2014;61;6;3;;3;0.4;22;46;11;79;28;;;1.2;13.3;57;1016
15/01/2014;89;7;4;;3;0.3;43;47;14;112;20;;;0.9;14.1;64;1017
16/01/2014;21;7;4;;4;0.2;58;56;14;144;20;;;0.6;14.1;66;1012
17/01/2014;112;7;4;;5;0.4;50;63;14;140;22;;;0.6;11.4;62;1008
18/01/2014;61;8;5;;3;0.4;29;58;15;103;17;;;0.5;11.5;68;999
19/01/2014;73;6;3;;3;0.3;14;36;11;57;34;;;0.7;11;58;1000
20/01/2014;119;5;2;;2;0.4;15;34;10;56;42;;;1.6;11.8;43;1014
21/01/2014;103;6;4;;2;0.4;32;52;13;102;28;;;0.9;11.3;50;1018
22/01/2014;39;8;5;;4;0.4;70;65;16;173;13;;;0.3;12;73;1014
23/01/2014;119;7;4;;3;0.4;64;81;14;179;12;;;0.4;12;55;1022
24/01/2014;75;6;3;;2;0.3;28;56;12;99;28;;;1.1;14.8;45;1022
25/01/2014;52;5;3;;2;0.2;19;39;10;67;29;;;1.4;18.1;45;1020
26/01/2014;113;5;3;;1;0.3;9;26;10;40;37;;;1;16.8;47;1020
27/01/2014;127;5;2;;1;0.2;11;25;11;42;46;;;2.4;16.2;43;1011
28/01/2014;119;5;2;;2;0.3;12;27;11;46;49;;;2.1;12.5;46;1008
29/01/2014;58;5;3;;0;0.2;17;38;10;63;46;;;1.4;12.2;53;1001
30/01/2014;130;5;3;;1;0.3;32;55;11;105;31;;;0.9;11.2;41;1008
31/01/2014;96;6;4;;0;0.2;43;66;22;131;28;;;0.8;13;50;1013
01/02/2014;70;4;3;;0;0;16;35;20;59;52;;;1.2;15.4;49;1011
02/02/2014;143;2;1;;0;0.1;9;30;8;45;64;;;0.8;11.7;33;1019
03/02/2014;65;4;3;;0;0.2;29;47;23;91;49;;;1;9.9;50;1014
04/02/2014;137;5;4;;0;0.2;27;53;21;94;50;;;0.8;11.7;53;1016
05/02/2014;81;5;3;;0;0.1;23;46;21;81;57;;;1.3;15.1;50;1012
06/02/2014;144;7;5;;2;0.2;52;69;14;149;44;;;0.7;15.7;61;1014
07/02/2014;152;4;1;;1;0.1;13;29;21;50;68;;;2.1;14.9;45;1017
08/02/2014;85;5;2;;0;0;6;17;27;26;76;;;2.3;15.9;51;1012
09/02/2014;43;4;3;;0;0.1;8;30;6;43;64;;;1;11.6;62;1010
10/02/2014;48;2;1;;;0.1;12;29;4;47;68;;;2.1;12.7;49;1005
11/02/2014;31;3;2;;;0.1;18;38;7;65;58;;;1.5;9.9;50;1018
12/02/2014;156;3;2;;;0;21;41;10;73;47;;;1.2;12.4;57;1019
13/02/2014;140;2;1;;;0;22;32;9;66;48;;;1.6;19.3;56;1017
14/02/2014;165;3;2;;;0;21;34;9;67;45;;;1.3;20.5;51;1014
15/02/2014;161;6;5;;;0.1;29;46;10;91;44;;;0.9;17.6;52;1012
16/02/2014;22;4;3;;;0;15;44;5;68;38;;;0.4;12;71;1017
17/02/2014;80;6;5;;;0.1;36;51;8;106;37;;;0.4;10.9;74;1017
18/02/2014;75;12;10;;;0.2;63;72;20;168;30;;;0.4;12.5;68;1013
19/02/2014;168;9;6;;;0.2;61;77;24;170;28;;;0.3;13.2;56;1020
20/02/2014;176;6;5;;;0.1;31;50;14;98;40;;;1;14.8;52;1019
21/02/2014;110;4;3;;;0.1;26;50;7;89;45;;;0.7;15.7;58;1019
22/02/2014;188;4;3;;;0.1;20;56;7;85;50;;;0.7;13;45;1024
23/02/2014;190;6;5;;;0.1;19;56;9;86;47;;;0.3;12;57;1022
24/02/2014;132;7;5;;;0.1;39;72;11;132;46;;;0.3;12.1;71;1019
25/02/2014;152;6;4;;;0.1;22;43;19;77;52;;;1.6;13.8;55;1020
26/02/2014;104;5;3;;4;0.1;22;48;11;81;53;;;1.1;13.1;53;1025
27/02/2014;92;4;3;;5;0.2;31;60;8;108;37;;;0.8;11.6;52;1028
28/02/2014;131;5;3;;4;0.1;15;37;21;60;57;;;2;15.6;52;1018
01/03/2014;63;3;2;;5;0.1;17;37;6;62;54;;;1;14.6;56;1008
02/03/2014;172;3;2;;3;0;14;35;6;57;48;;;1.1;18.2;56;1005
03/03/2014;206;3;1;;2;0;7;20;15;30;79;;;3;16.6;38;1007
04/03/2014;204;2;1;;3;0.1;11;27;5;44;71;;;2.1;15.2;36;1013
05/03/2014;167;4;3;;6;0.2;30;53;9;98;48;;;1.1;15.7;56;1016
06/03/2014;209;7;6;;9;0.2;40;61;13;123;45;;;0.5;13.6;67;1023
07/03/2014;217;11;8;;9;0.3;37;76;17;133;52;;;0.5;13.6;62;1026
08/03/2014;223;14;13;;6;0.3;21;69;21;101;61;;;0.5;13.2;59;1026
09/03/2014;195;16;15;;5;0.2;11;51;22;68;73;;;0.7;12.2;68;1028
10/03/2014;223;10;8;;8;0.3;46;80;18;150;48;;;0.4;12.7;53;1023
11/03/2014;185;11;9;;11;0.2;32;68;19;118;58;;;0.6;12.7;55;1023
12/03/2014;51;16;14;;10;0.1;11;51;18;68;67;;;1.4;12.3;78;1027
13/03/2014;80;12;11;;11;0.1;19;49;14;78;67;;;1.3;11.5;80;1028
14/03/2014;162;21;18;;12;0.3;62;83;29;177;44;;;0.4;12.7;63;1027
15/03/2014;216;30;26;;22;0.4;56;94;45;179;48;;;0.3;15;52;1026
16/03/2014;236;26;23;;24;0.5;42;83;44;147;46;;;0.3;16.3;47;1024
17/03/2014;235;18;15;;21;0.3;39;72;31;131;52;;;0.6;16.9;51;1023
18/03/2014;218;24;21;;14;0.4;47;64;34;137;58;;;0.5;15.5;64;1022
19/03/2014;221;29;26;;13;0.2;29;69;40;113;50;;;0.3;14.6;73;1024
20/03/2014;210;21;17;;12;0.3;50;68;33;144;49;;;0.4;14.5;69;1021
21/03/2014;180;21;18;;14;0.2;30;70;27;115;46;;;0.4;14.5;77;1021
22/03/2014;128;12;10;;12;0.1;14;39;19;60;50;;;1;17.8;49;1014
23/03/2014;241;2;1;;5;0.1;9;32;4;45;72;;;1.2;15.2;31;1019
24/03/2014;239;3;2;;2;0.1;21;44;9;75;60;;;1.4;16.4;37;1019
25/03/2014;177;3;2;;1;0.1;8;25;11;37;81;;;2.1;15.7;40;1017
26/03/2014;226;2;1;;1;0.1;10;31;5;47;75;;;1.8;14;38;1012
27/03/2014;267;3;2;;6;0.1;18;46;9;73;57;;;0.9;14.1;46;1013
28/03/2014;154;6;4;5.9;7;0.2;19;45;11;75;49;10.3;2.9;0.9;13.4;69;1013
