Fecha;SO2;NO;NO2;O3;CO;PM10
01/01/2015;1;11;38;18;0.5;23
02/01/2015;1;38;53;13;0.6;24
03/01/2015;2;21;47;14;0.5;24
04/01/2015;1;22;43;12;0.5;22
05/01/2015;3;65;53;6;0.7;30
06/01/2015;1;9;30;12;0.5;16
07/01/2015;1;41;42;6;0.6;29
08/01/2015;1;17;34;9;0.5;18
09/01/2015;1;21;31;9;0.5;16
10/01/2015;1;29;39;9;0.6;20
11/01/2015;1;22;30;8;0.6;20
12/01/2015;1;31;41;6;0.5;22
13/01/2015;1;58;60;8;0.4;31
14/01/2015;1;38;52;10;0.3;28
15/01/2015;1;68;61;5;0.5;41
16/01/2015;1;36;44;16;0.3;21
17/01/2015;1;9;31;28;0.3;12
18/01/2015;1;16;38;12;0.4;22
19/01/2015;1;14;41;22;0.3;9
20/01/2015;1;8;31;28;0.3;11
21/01/2015;1;14;34;21;0.4;16
22/01/2015;2;36;41;11;0.4;27
23/01/2015;3;31;42;19;0.4;24
24/01/2015;1;12;38;26;0.4;18
25/01/2015;1;2;22;71;0.3;13
26/01/2015;1;16;44;25;0.4;23
27/01/2015;3;29;46;13;0.4;28
28/01/2015;1;31;46;15;0.4;27
29/01/2015;1;17;36;29;0.4;22
30/01/2015;1;7;28;52;0.3;9
31/01/2015;2;5;22;55;0.3;8
01/02/2015;1;2;15;65;0.3;6
02/02/2015;1;31;48;19;0.5;22
03/02/2015;3;29;51;11;0.5;18
04/02/2015;1;7;37;40;0.4;11
05/02/2015;1;19;40;40;0.5;18
06/02/2015;1;21;41;31;0.5;18
07/02/2015;1;8;32;33;0.5;16
08/02/2015;1;7;37;26;0.6;22
09/02/2015;2;24;47;19;0.5;32
10/02/2015;2;24;46;17;0.4;30
11/02/2015;2;31;53;19;0.4;35
12/02/2015;3;33;56;13;0.4;42
13/02/2015;4;26;52;21;0.4;46
14/02/2015;2;12;35;30;0.3;30
15/02/2015;1;6;28;33;0.3;15
16/02/2015;1;20;40;23;0.4;24
17/02/2015;1;26;48;11;0.4;33
18/02/2015;3;16;41;21;0.4;27
19/02/2015;4;19;47;29;0.4;37
20/02/2015;1;9;45;36;0.4;33
21/02/2015;2;7;43;29;0.4;27
22/02/2015;3;3;26;64;0.4;13
23/02/2015;4;11;33;38;0.3;19
24/02/2015;1;5;23;64;0.3;9
25/02/2015;2;9;32;57;0.3;13
26/02/2015;1;27;54;14;0.4;26
27/02/2015;1;17;40;34;0.4;24
28/02/2015;1;6;35;41;0.4;22
01/03/2015;2;8;36;33;0.4;27
02/03/2015;1;17;38;24;0.3;22
03/03/2015;1;15;40;31;0.4;22
04/03/2015;2;19;32;33;0.4;20
05/03/2015;1;9;32;64;0.4;17
06/03/2015;2;19;47;32;0.4;29
07/03/2015;1;9;44;37;0.4;33
08/03/2015;2;5;37;47;0.4;27
09/03/2015;3;13;53;45;0.5;34
10/03/2015;2;13;55;46;0.5;39
11/03/2015;4;11;51;48;0.5;49
12/03/2015;2;13;52;50;0.4;43
13/03/2015;1;12;50;49;0.4;40
14/03/2015;1;4;28;59;0.3;20
15/03/2015;1;4;24;49;0.3;16
16/03/2015;4;11;38;39;0.4;21
17/03/2015;1;11;43;37;0.4;21
18/03/2015;3;13;44;41;0.4;26
19/03/2015;2;16;47;49;0.5;34
20/03/2015;5;11;38;62;0.4;41
21/03/2015;1;2;25;69;0.3;13
22/03/2015;1;2;24;52;0.4;11
23/03/2015;1;9;37;45;0.5;29
24/03/2015;1;4;35;57;0.4;20
25/03/2015;1;7;29;52;0.4;10
26/03/2015;3;10;37;45;0.4;14
27/03/2015;1;9;41;46;0.4;17
28/03/2015;2;5;23;50;0.4;13
29/03/2015;1;4;26;43;0.4;17
30/03/2015;2;10;27;52;0.4;25
31/03/2015;1;7;27;52;0.4;23
01/04/2015;2;10;26;52;0.4;27
02/04/2015;1;8;28;51;0.4;24
03/04/2015;1;4;22;58;0.4;24
04/04/2015;2;4;25;58;0.4;23
05/04/2015;1;2;19;58;0.4;17
06/04/2015;1;2;19;83;0.4;22
07/04/2015;5;12;32;54;0.5;24
08/04/2015;1;10;34;63;0.5;21
09/04/2015;3;10;40;61;0.5;23
10/04/2015;1;12;45;60;0.5;27
11/04/2015;1;7;35;63;0.5;29
12/04/2015;1;2;24;73;0.5;23
13/04/2015;6;11;38;63;0.5;33
14/04/2015;1;10;44;60;0.5;35
15/04/2015;1;9;40;61;0.5;40
16/04/2015;1;8;38;48;0.5;30
17/04/2015;1;9;37;44;0.5;19
18/04/2015;1;7;35;53;0.5;24
19/04/2015;1;2;17;69;0.4;12
20/04/2015;1;7;28;53;0.5;15
21/04/2015;1;8;33;52;0.5;20
