Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3
01/01/2014;00:00:00;3;3;43;32;12;20
01/01/2014;01:00:00;3;3;46;31;12;16
01/01/2014;02:00:00;3;10;52;32;12;12
01/01/2014;03:00:00;3;1;30;34;11;28
01/01/2014;04:00:00;3;7;46;35;12;17
01/01/2014;05:00:00;3;8;60;38;13;10
01/01/2014;06:00:00;3;3;48;44;12;25
01/01/2014;07:00:00;3;2;30;44;11;47
01/01/2014;08:00:00;3;1;18;30;8;56
01/01/2014;09:00:00;3;1;14;28;6;60
01/01/2014;10:00:00;3;1;11;38;7;60
01/01/2014;11:00:00;3;1;10;40;8;59
01/01/2014;12:00:00;3;1;10;40;8;59
01/01/2014;13:00:00;3;1;11;41;11;61
01/01/2014;14:00:00;3;1;10;41;11;66
01/01/2014;15:00:00;3;1;14;35;10;65
01/01/2014;16:00:00;3;1;15;28;9;65
01/01/2014;17:00:00;3;1;20;21;9;56
01/01/2014;18:00:00;3;1;27;18;9;47
01/01/2014;19:00:00;3;1;29;15;9;44
01/01/2014;20:00:00;3;1;41;16;9;37
01/01/2014;21:00:00;3;1;29;14;8;42
01/01/2014;22:00:00;3;1;25;12;8;41
01/01/2014;23:00:00;3;1;16;14;7;41
02/01/2014;00:00:00;3;1;12;17;7;52
02/01/2014;01:00:00;3;1;16;14;7;44
02/01/2014;02:00:00;3;1;17;19;8;45
02/01/2014;03:00:00;3;1;17;17;8;40
02/01/2014;04:00:00;3;1;26;15;8;27
02/01/2014;05:00:00;3;12;47;18;11;12
02/01/2014;06:00:00;3;29;60;26;14;7
02/01/2014;07:00:00;3;20;53;30;13;21
02/01/2014;08:00:00;3;2;24;22;7;49
02/01/2014;09:00:00;3;1;20;26;7;49
02/01/2014;10:00:00;3;1;14;25;6;55
02/01/2014;11:00:00;3;1;12;24;7;58
02/01/2014;12:00:00;3;1;12;22;6;62
02/01/2014;13:00:00;3;1;12;24;8;63
02/01/2014;14:00:00;3;1;15;20;8;60
02/01/2014;15:00:00;3;1;19;12;7;58
02/01/2014;16:00:00;3;1;19;18;8;61
02/01/2014;17:00:00;3;1;40;18;11;45
02/01/2014;18:00:00;3;8;73;14;11;16
02/01/2014;19:00:00;3;11;74;19;12;7
02/01/2014;20:00:00;3;10;63;23;11;11
02/01/2014;21:00:00;3;1;43;14;8;22
02/01/2014;22:00:00;3;3;47;13;8;15
02/01/2014;23:00:00;3;5;44;10;8;18
03/01/2014;00:00:00;3;3;28;5;6;30
03/01/2014;01:00:00;3;2;38;6;6;24
03/01/2014;02:00:00;3;1;34;8;6;31
03/01/2014;03:00:00;3;1;28;5;6;34
03/01/2014;04:00:00;3;9;56;6;8;11
03/01/2014;05:00:00;4;58;78;4;11;3
03/01/2014;06:00:00;4;72;81;7;11;3
03/01/2014;07:00:00;3;35;64;37;13;20
03/01/2014;08:00:00;3;2;24;62;9;47
03/01/2014;09:00:00;3;2;26;35;8;45
