Fecha;SO2;CO;NO2;PM10;O3;NO;NOX
03/10/2015;7;0,2;31;16;56;5;39
04/10/2015;8;0,2;20;16;44;3;25
05/10/2015;7;0,2;15;22;51;8;27
06/10/2015;7;0,2;27;13;44;12;45
07/10/2015;6;0,2;23;13;49;12;43
08/10/2015;6;0,2;26;11;42;13;47
09/10/2015;11;0,3;40;18;20;30;87
10/10/2015;12;0,3;41;21;22;23;75
11/10/2015;14;0,3;37;22;25;11;54
12/10/2015;10;0,3;26;19;30;16;50
13/10/2015;7;0,3;24;22;54;12;43
14/10/2015;7;0,2;21;20;67;11;38
15/10/2015;7;0,3;32;14;50;14;53
16/10/2015;12;0,3;49;20;26;28;92
17/10/2015;15;0,3;48;23;23;21;81
18/10/2015;9;0,3;38;23;21;18;67
19/10/2015;14;0,3;37;22;8;36;92
20/10/2015;7;0,3;20;17;57;12;39
21/10/2015;4;0,2;24;17;60;11;41
22/10/2015;2;0,2;27;13;58;11;44
23/10/2015;4;0,4;42;20;23;37;98
24/10/2015;4;0,3;41;25;25;22;75
25/10/2015;3;0,2;19;20;57;6;29
26/10/2015;4;0,2;18;23;56;8;31
27/10/2015;3;0,3;23;13;41;11;40
28/10/2015;3;0,3;40;12;21;23;75
29/10/2015;3;0,3;31;13;24;20;61
30/10/2015;4;0,3;38;19;26;34;91
31/10/2015;3;0,3;33;16;42;15;55
01/11/2015;4;0,2;23;20;45;9;37
