Fecha;PM25;PM10;BEN
01/01/2015;18;30;Sense dades
02/01/2015;25;36;Sense dades
03/01/2015;18;24;0.4
04/01/2015;25;31;Sense dades
05/01/2015;31;39;0.5
06/01/2015;25;28;Sense dades
07/01/2015;31;43;0.5
08/01/2015;27;36;Sense dades
09/01/2015;19;25;Sense dades
10/01/2015;25;34;0.5
11/01/2015;25;32;Sense dades
12/01/2015;18;32;0.2
13/01/2015;21;37;Sense dades
14/01/2015;26;36;0.2
15/01/2015;26;41;Sense dades
16/01/2015;22;37;Sense dades
17/01/2015;11;16;0.2
18/01/2015;12;17;Sense dades
19/01/2015;12;15;0.3
20/01/2015;12;17;Sense dades
21/01/2015;16;23;0.2
22/01/2015;18;25;Sense dades
23/01/2015;16;22;Sense dades
24/01/2015;16;18;0.2
25/01/2015;Sense dades;20;Sense dades
26/01/2015;18;25;0.2
27/01/2015;18;25;Sense dades
28/01/2015;14;24;0.2
29/01/2015;19;22;Sense dades
30/01/2015;Sense dades;14;Sense dades
31/01/2015;9;10;Sense dades
01/02/2015;Sense dades;8;Sense dades
02/02/2015;12;17;0.2
03/02/2015;13;19;Sense dades
04/02/2015;11;15;0.2
05/02/2015;14;19;Sense dades
06/02/2015;15;20;Sense dades
07/02/2015;21;27;0.1
08/02/2015;27;29;Sense dades
09/02/2015;32;40;0.2
10/02/2015;27;38;Sense dades
11/02/2015;32;50;0.6
12/02/2015;32;51;Sense dades
13/02/2015;37;49;Sense dades
14/02/2015;19;27;0.2
15/02/2015;13;17;Sense dades
16/02/2015;27;34;0.2
17/02/2015;30;35;Sense dades
18/02/2015;22;34;0.2
19/02/2015;33;42;Sense dades
20/02/2015;30;48;Sense dades
21/02/2015;18;26;0.1
22/02/2015;Sense dades;13;Sense dades
23/02/2015;Sense dades;32;0.2
24/02/2015;Sense dades;20;Sense dades
25/02/2015;Sense dades;22;0.1
26/02/2015;18;34;Sense dades
27/02/2015;18;26;Sense dades
28/02/2015;15;20;0.1
01/03/2015;18;31;Sense dades
02/03/2015;27;30;0.2
03/03/2015;13;23;Sense dades
04/03/2015;16;22;0.2
05/03/2015;24;26;Sense dades
06/03/2015;18;32;Sense dades
07/03/2015;23;38;0.1
08/03/2015;21;34;Sense dades
09/03/2015;27;43;0.2
10/03/2015;31;48;Sense dades
11/03/2015;40;60;0.3
12/03/2015;43;64;Sense dades
13/03/2015;30;47;Sense dades
14/03/2015;12;16;0.1
15/03/2015;15;20;Sense dades
16/03/2015;17;24;0.1
17/03/2015;16;25;Sense dades
18/03/2015;13;26;0.1
19/03/2015;Sense dades;34;Sense dades
20/03/2015;21;35;Sense dades
21/03/2015;19;57;0
22/03/2015;15;23;Sense dades
23/03/2015;17;34;0.1
24/03/2015;14;23;Sense dades
25/03/2015;11;17;0.1
26/03/2015;20;24;Sense dades
27/03/2015;25;31;Sense dades
28/03/2015;24;29;0.1
29/03/2015;23;28;Sense dades
30/03/2015;32;44;0.1
31/03/2015;30;34;Sense dades
01/04/2015;15;31;0.1
02/04/2015;19;35;Sense dades
03/04/2015;16;32;Sense dades
04/04/2015;15;30;0
05/04/2015;13;20;Sense dades
06/04/2015;14;22;Sense dades
07/04/2015;26;28;Sense dades
08/04/2015;16;24;0
09/04/2015;15;24;Sense dades
10/04/2015;18;29;Sense dades
11/04/2015;16;29;0.1
12/04/2015;17;24;Sense dades
13/04/2015;25;35;0.1
14/04/2015;30;45;Sense dades
15/04/2015;27;40;0.2
16/04/2015;21;43;Sense dades
17/04/2015;26;36;Sense dades
18/04/2015;22;34;0.1
19/04/2015;15;20;Sense dades
20/04/2015;13;22;0.1
21/04/2015;17;27;Sense dades
22/04/2015;18;29;0.1
23/04/2015;18;32;Sense dades
24/04/2015;27;32;Sense dades
25/04/2015;20;40;0
26/04/2015;21;42;Sense dades
27/04/2015;Sense dades;19;0
28/04/2015;18;24;Sense dades
29/04/2015;13;22;0.1
30/04/2015;17;26;Sense dades
01/05/2015;22;37;Sense dades
02/05/2015;18;25;0
03/05/2015;20;28;Sense dades
04/05/2015;20;33;0.1
05/05/2015;28;46;Sense dades
06/05/2015;22;37;0.1
07/05/2015;18;28;Sense dades
08/05/2015;22;35;Sense dades
09/05/2015;24;28;0
10/05/2015;22;28;Sense dades
11/05/2015;24;36;0.1
12/05/2015;22;35;Sense dades
13/05/2015;27;39;0.1
14/05/2015;23;38;Sense dades
15/05/2015;48;52;Sense dades
16/05/2015;Sense dades;22;0
17/05/2015;16;28;Sense dades
18/05/2015;30;38;0.1
19/05/2015;13;23;Sense dades
20/05/2015;9;16;0.1
21/05/2015;10;20;Sense dades
22/05/2015;12;20;Sense dades
23/05/2015;12;20;0
24/05/2015;12;20;Sense dades
25/05/2015;18;31;0.1
26/05/2015;13;22;Sense dades
27/05/2015;13;28;0
28/05/2015;19;28;Sense dades
29/05/2015;15;28;Sense dades
30/05/2015;12;20;0
31/05/2015;12;20;Sense dades
01/06/2015;12;20;Sense dades
02/06/2015;12;22;Sense dades
03/06/2015;14;26;0.1
04/06/2015;22;38;Sense dades
05/06/2015;27;33;Sense dades
06/06/2015;20;28;0.1
07/06/2015;20;26;Sense dades
08/06/2015;25;30;0.1
09/06/2015;20;26;Sense dades
10/06/2015;Sense dades;30;0
11/06/2015;27;33;Sense dades
12/06/2015;22;26;Sense dades
13/06/2015;13;24;0
14/06/2015;15;17;Sense dades
15/06/2015;18;21;0.1
16/06/2015;18;20;Sense dades
17/06/2015;15;23;0.1
18/06/2015;18;26;Sense dades
19/06/2015;21;31;Sense dades
20/06/2015;17;23;0
21/06/2015;17;23;Sense dades
22/06/2015;24;25;0
23/06/2015;23;30;Sense dades
24/06/2015;18;27;0
25/06/2015;19;27;Sense dades
26/06/2015;20;27;Sense dades
27/06/2015;18;26;0
28/06/2015;16;22;Sense dades
29/06/2015;24;29;0.1
30/06/2015;21;26;Sense dades
01/07/2015;20;29;0.1
02/07/2015;19;31;Sense dades
03/07/2015;21;32;Sense dades
04/07/2015;20;33;0
05/07/2015;19;26;Sense dades
06/07/2015;24;36;0.1
07/07/2015;24;37;Sense dades
08/07/2015;16;32;0
09/07/2015;16;33;Sense dades
10/07/2015;18;40;Sense dades
11/07/2015;16;37;0
12/07/2015;16;29;Sense dades
13/07/2015;16;28;0
14/07/2015;20;34;Sense dades
15/07/2015;20;35;0
16/07/2015;20;30;Sense dades
17/07/2015;18;26;Sense dades
18/07/2015;19;30;0
19/07/2015;16;30;Sense dades
20/07/2015;18;29;0
21/07/2015;20;29;Sense dades
22/07/2015;17;26;0
23/07/2015;16;24;Sense dades
24/07/2015;16;26;Sense dades
25/07/2015;11;23;0
26/07/2015;11;26;Sense dades
27/07/2015;14;30;0.1
28/07/2015;14;29;Sense dades
29/07/2015;16;30;0.1
30/07/2015;13;27;Sense dades
31/07/2015;16;27;Sense dades
01/08/2015;Sense dades;Sense dades;Sense dades
02/08/2015;Sense dades;Sense dades;Sense dades
03/08/2015;Sense dades;Sense dades;Sense dades
04/08/2015;Sense dades;Sense dades;Sense dades
05/08/2015;Sense dades;Sense dades;Sense dades
06/08/2015;Sense dades;Sense dades;Sense dades
07/08/2015;Sense dades;Sense dades;Sense dades
08/08/2015;Sense dades;Sense dades;Sense dades
09/08/2015;Sense dades;Sense dades;Sense dades
10/08/2015;Sense dades;Sense dades;Sense dades
11/08/2015;Sense dades;Sense dades;Sense dades
12/08/2015;Sense dades;Sense dades;Sense dades
13/08/2015;Sense dades;Sense dades;Sense dades
14/08/2015;Sense dades;Sense dades;Sense dades
15/08/2015;Sense dades;Sense dades;Sense dades
16/08/2015;Sense dades;Sense dades;Sense dades
17/08/2015;Sense dades;Sense dades;Sense dades
18/08/2015;Sense dades;Sense dades;Sense dades
19/08/2015;Sense dades;Sense dades;Sense dades
20/08/2015;Sense dades;Sense dades;Sense dades
21/08/2015;Sense dades;Sense dades;Sense dades
22/08/2015;Sense dades;Sense dades;Sense dades
23/08/2015;Sense dades;Sense dades;Sense dades
24/08/2015;Sense dades;Sense dades;Sense dades
25/08/2015;Sense dades;Sense dades;Sense dades
26/08/2015;Sense dades;Sense dades;Sense dades
27/08/2015;Sense dades;Sense dades;Sense dades
28/08/2015;Sense dades;Sense dades;Sense dades
29/08/2015;Sense dades;Sense dades;Sense dades
30/08/2015;Sense dades;Sense dades;Sense dades
31/08/2015;Sense dades;Sense dades;Sense dades
01/09/2015;Sense dades;Sense dades;Sense dades
02/09/2015;Sense dades;Sense dades;Sense dades
03/09/2015;Sense dades;Sense dades;Sense dades
04/09/2015;Sense dades;Sense dades;Sense dades
05/09/2015;Sense dades;Sense dades;Sense dades
06/09/2015;Sense dades;Sense dades;Sense dades
07/09/2015;Sense dades;Sense dades;Sense dades
08/09/2015;Sense dades;Sense dades;Sense dades
09/09/2015;Sense dades;Sense dades;Sense dades
10/09/2015;Sense dades;Sense dades;Sense dades
11/09/2015;Sense dades;Sense dades;Sense dades
12/09/2015;Sense dades;Sense dades;Sense dades
13/09/2015;Sense dades;Sense dades;Sense dades
14/09/2015;Sense dades;Sense dades;Sense dades
15/09/2015;Sense dades;Sense dades;Sense dades
16/09/2015;Sense dades;Sense dades;Sense dades
17/09/2015;Sense dades;Sense dades;Sense dades
18/09/2015;Sense dades;Sense dades;Sense dades
19/09/2015;Sense dades;Sense dades;Sense dades
20/09/2015;Sense dades;Sense dades;Sense dades
21/09/2015;Sense dades;Sense dades;Sense dades
22/09/2015;Sense dades;Sense dades;Sense dades
23/09/2015;Sense dades;Sense dades;Sense dades
24/09/2015;Sense dades;Sense dades;Sense dades
25/09/2015;Sense dades;Sense dades;Sense dades
26/09/2015;Sense dades;Sense dades;Sense dades
27/09/2015;Sense dades;Sense dades;Sense dades
28/09/2015;Sense dades;Sense dades;Sense dades
29/09/2015;Sense dades;Sense dades;Sense dades
30/09/2015;Sense dades;Sense dades;Sense dades
01/10/2015;Sense dades;Sense dades;Sense dades
02/10/2015;Sense dades;Sense dades;Sense dades
03/10/2015;Sense dades;Sense dades;Sense dades
04/10/2015;Sense dades;Sense dades;Sense dades
05/10/2015;Sense dades;Sense dades;Sense dades
06/10/2015;Sense dades;Sense dades;Sense dades
07/10/2015;Sense dades;Sense dades;Sense dades
08/10/2015;Sense dades;Sense dades;Sense dades
09/10/2015;Sense dades;Sense dades;Sense dades
10/10/2015;Sense dades;Sense dades;Sense dades
11/10/2015;Sense dades;Sense dades;Sense dades
12/10/2015;Sense dades;Sense dades;Sense dades
13/10/2015;Sense dades;Sense dades;Sense dades
14/10/2015;Sense dades;Sense dades;Sense dades
15/10/2015;Sense dades;Sense dades;Sense dades
16/10/2015;Sense dades;Sense dades;Sense dades
17/10/2015;Sense dades;Sense dades;Sense dades
18/10/2015;Sense dades;Sense dades;Sense dades
19/10/2015;Sense dades;Sense dades;Sense dades
20/10/2015;Sense dades;Sense dades;Sense dades
21/10/2015;Sense dades;Sense dades;Sense dades
22/10/2015;Sense dades;Sense dades;Sense dades
23/10/2015;Sense dades;Sense dades;Sense dades
24/10/2015;Sense dades;Sense dades;Sense dades
25/10/2015;Sense dades;Sense dades;Sense dades
26/10/2015;Sense dades;Sense dades;Sense dades
27/10/2015;Sense dades;Sense dades;Sense dades
28/10/2015;Sense dades;Sense dades;Sense dades
29/10/2015;Sense dades;Sense dades;Sense dades
30/10/2015;Sense dades;Sense dades;Sense dades
31/10/2015;Sense dades;Sense dades;Sense dades
01/11/2015;Sense dades;Sense dades;Sense dades
02/11/2015;Sense dades;Sense dades;Sense dades
