Fecha;CO;NO;NO2;O3;PM10;SO2
01/01/2015;;6;24;12;24;20
02/01/2015;;12;26;7;31;21
03/01/2015;;10;26;10;32;20
04/01/2015;;6;24;12;27;19
05/01/2015;;11;25;8;28;16
06/01/2015;;6;21;13;30;11
07/01/2015;;27;30;5;46;22
08/01/2015;;41;37;4;52;26
09/01/2015;;31;34;6;44;28
10/01/2015;;44;35;4;44;24
11/01/2015;;26;27;11;39;24
12/01/2015;;9;21;12;23;18
13/01/2015;;16;27;7;28;19
14/01/2015;;11;24;21;24;9
15/01/2015;;3;17;40;13;6
16/01/2015;;2;14;52;12;10
17/01/2015;;3;15;29;17;11
18/01/2015;;2;11;37;11;8
19/01/2015;;3;14;50;12;6
20/01/2015;;3;15;41;12;6
21/01/2015;;2;6;68;8;5
22/01/2015;;1;7;69;9;5
23/01/2015;;3;12;41;9;5
24/01/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;4;19;25;17;6
25/01/2015;0.3;6;23;13;22;9
26/01/2015;0.2;13;31;8;30;9
27/01/2015;0.4;17;31;7;37;12
28/01/2015;0.6;28;38;7;36;13
29/01/2015;0.5;2;14;42;10;9
30/01/2015;0.2;1;5;58;5;2
31/01/2015;0.3;1;5;71;8;2
01/02/2015;0.3;1;6;66;11;2
02/02/2015;0.4;3;14;50;9;4
03/02/2015;0.3;2;10;66;7;3
04/02/2015;0.2;2;14;55;11;10
05/02/2015;0.2;3;15;50;13;9
06/02/2015;0.2;3;17;46;12;5
07/02/2015;0.3;3;13;36;15;9
08/02/2015;0.3;3;11;43;20;9
09/02/2015;0.2;4;12;64;19;11
10/02/2015;0.3;3;12;51;20;6
11/02/2015;0.2;5;19;37;27;14
12/02/2015;0.4;6;30;18;29;9
13/02/2015;0.3;3;18;40;20;10
14/02/2015;0.1;3;12;61;17;7
15/02/2015;0.1;3;6;57;10;5
16/02/2015;0.1;3;8;63;11;7
17/02/2015;0.1;5;14;59;16;10
18/02/2015;0.2;6;12;49;19;7
19/02/2015;0.2;6;19;39;23;6
20/02/2015;0.3;5;22;31;20;5
21/02/2015;0.2;3;8;62;15;5
22/02/2015;0.1;3;5;66;12;3
23/02/2015;0.1;3;5;65;10;2
24/02/2015;0.1;3;5;71;15;2
25/02/2015;0.1;3;5;69;15;4
26/02/2015;0.1;3;8;52;13;4
27/02/2015;0.2;3;9;70;14;3
28/02/2015;0.2;2;8;54;13;5
01/03/2015;0.1;1;6;58;11;8
02/03/2015;0.1;1;9;51;11;6
03/03/2015;0.1;2;8;41;13;7
04/03/2015;0.2;2;9;61;13;6
05/03/2015;0.2;3;9;54;19;3
06/03/2015;0.2;4;15;49;19;6
07/03/2015;0.2;3;13;47;19;8
08/03/2015;0.1;2;11;48;19;5
09/03/2015;0.1;4;14;48;24;4
10/03/2015;0.1;5;16;51;26;6
11/03/2015;0.1;4;15;52;31;3
12/03/2015;0.1;4;12;40;53;4
13/03/2015;0.1;1;7;69;18;4
14/03/2015;0.1;2;8;63;16;4
15/03/2015;0.1;2;8;52;14;5
16/03/2015;0.2;3;11;52;21;5
17/03/2015;0.1;2;9;66;25;3
18/03/2015;0.1;3;10;66;24;5
19/03/2015;0.1;2;6;77;16;6
20/03/2015;0.2;3;17;59;28;5
21/03/2015;0.1;2;11;60;18;3
22/03/2015;0.2;1;6;65;10;3
23/03/2015;0.1;3;12;51;11;5
24/03/2015;0.2;2;9;59;11;8
25/03/2015;0.2;2;8;69;12;7
26/03/2015;0.1;1;5;59;13;4
27/03/2015;0.1;2;7;47;11;5
28/03/2015;0.1;3;10;39;20;7
29/03/2015;0.1;1;6;68;13;7
30/03/2015;0.1;1;6;80;20;1
31/03/2015;0.1;3;9;66;20;1
01/04/2015;0.1;3;8;68;23;4
02/04/2015;0.1;2;9;61;;6
03/04/2015;0.1;2;10;58;;3
04/04/2015;0.1;3;8;69;;1
05/04/2015;0.1;2;6;72;;2
06/04/2015;0.1;2;7;76;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;5
07/04/2015;0.1;2;4;97;24;3
08/04/2015;0.1;1;4;98;28;2
09/04/2015;0.1;2;13;70;24;3
