Fecha;CO;NO;NO2;NOX;O3;PM10;PM25;SO2
1/08/15;0.19;null(null);null(null);null(null);55.0;12.0;8.6;1.0
2/08/15;0.17;null(null);null(null);null(null);44.0;16.0;12.0;1.0
3/08/15;0.79;null(null);null(null);null(null);37.0;13.0;8.1;1.0
4/08/15;0.71;null(null);null(null);null(null);47.0;11.0;6.4;1.0
5/08/15;0.86;null(null);null(null);null(null);42.0;10.0;5.8;1.0
6/08/15;0.99;null(null);null(null);null(null);39.0;9.3;6.2;1.0
7/08/15;0.6;null(null);null(null);null(null);55.0;9.1;4.2;1.0
8/08/15;0.55;null(null);null(null);null(null);63.0;7.9;4.3;1.0
9/08/15;0.52;null(null);null(null);null(null);63.0;16.0;10.0;1.0
10/08/15;0.16;null(null);null(null);null(null);62.0;40.0;31.0;2.6
11/08/15;0.2;null(null);null(null);null(null);44.0;53.0;45.0;1.0
12/08/15;0.16;null(null);null(null);null(null);31.0;25.0;21.0;1.0
13/08/15;0.16;null(null);null(null);null(null);23.0;8.5;5.5;1.0
14/08/15;0.16;null(null);null(null);null(null);15.0;10.0;7.0;1.2
15/08/15;0.17;null(null);null(null);null(null);15.0;10.0;7.8;1.0
16/08/15;0.11;null(null);null(null);null(null);12.0;11.0;7.8;1.0
17/08/15;0.11;null(null);null(null);null(null);21.0;9.6;6.8;1.0
18/08/15;0.12;null(null);null(null);null(null);26.0;12.0;8.2;1.3
19/08/15;0.2;null(null);null(null);null(null);35.0;13.0;8.0;1.7
20/08/15;0.32;null(null);null(null);null(null);34.0;16.0;10.0;1.1
21/08/15;0.3;null(null);null(null);null(null);30.0;19.0;14.0;1.1
22/08/15;0.28;null(null);null(null);null(null);11.0;14.0;11.0;1.2
23/08/15;0.25;null(null);null(null);null(null);21.0;9.8;7.0;1.2
24/08/15;0.11;null(null);null(null);null(null);20.0;12.0;7.1;1.0
25/08/15;0.11;null(null);null(null);null(null);18.0;7.6;5.0;1.0
27/08/15;0.15;null(null);null(null);null(null);15.0;9.2;7.0;1.0
28/08/15;0.1;null(null);null(null);null(null);9.4;14.0;10.0;1.0
29/08/15;0.1;null(null);null(null);null(null);20.0;14.0;8.5;1.0
