Fecha;Hora;SO;NO;NO2;PM10;vv;dd;TMP;O3
01/01/2015;1:00:00;39;54.9;67;19;2.0;169;10.8;28
01/01/2015;2:00:00;39;80.7;69;21;1.5;191;9.7;13
01/01/2015;3:00:00;25;10.4;53;20;2.3;98;10.5;38
01/01/2015;4:00:00;37;4.0;32;19;2.6;98;10.4;51
01/01/2015;5:00:00;46;26.0;43;20;1.8;147;10.0;25
01/01/2015;6:00:00;76;65.9;67;19;1.7;172;10.5;8
01/01/2015;7:00:00;65;85.5;69;20;1.8;160;10.8;13
01/01/2015;8:00:00;5;29.4;60;20;1.6;229;10.3;33
01/01/2015;9:00:00;1;3.1;18;19;1.2;248;9.8;41
01/01/2015;10:00:00;4;14.2;46;19;1.3;203;10.5;23
01/01/2015;11:00:00;5;14.3;51;18;1.3;175;11.5;20
01/01/2015;12:00:00;2;11.4;46;18;1.1;234;11.9;40
01/01/2015;13:00:00;1;4.1;22;19;0.9;292;12.0;43
01/01/2015;14:00:00;0;2.6;4;20;0.9;305;11.5;46
01/01/2015;15:00:00;0;3.2;2;20;1.2;281;11.5;48
01/01/2015;16:00:00;1;1.3;1;18;1.8;286;11.6;55
01/01/2015;17:00:00;1;2.7;1;17;1.5;279;10.9;59
01/01/2015;18:00:00;0;2.7;3;18;0.5;277;9.7;51
01/01/2015;19:00:00;0;3.8;16;19;0.1;277;8.4;34
01/01/2015;20:00:00;0;3.6;14;20;0.1;277;7.8;36
01/01/2015;21:00:00;0;3.2;11;21;0.1;277;7.5;35
01/01/2015;22:00:00;0;3.0;8;19;0.2;277;7.2;37
01/01/2015;23:00:00;1;3.4;5;18;0.2;277;7.1;42
01/01/2015;0:00:00;1;2.0;3;17;0.3;277;7.1;44
02/01/2015;1:00:00;2;2.6;2;18;0.2;276;7.2;44
02/01/2015;2:00:00;2;2.4;2;17;0.1;276;7.5;51
02/01/2015;3:00:00;1;1.6;1;17;0.1;276;7.9;51
02/01/2015;4:00:00;1;2.5;1;16;0.0;276;8.3;48
02/01/2015;5:00:00;1;2.7;1;15;0.0;276;8.1;46
02/01/2015;6:00:00;0;2.7;1;16;0.0;276;8.3;45
02/01/2015;7:00:00;0;3.7;4;16;0.0;276;8.3;36
02/01/2015;8:00:00;3;4.3;24;16;0.0;276;8.4;16
02/01/2015;9:00:00;7;8.1;39;16;0.0;276;8.6;6
02/01/2015;10:00:00;1;9.5;53;16;0.1;276;9.5;6
02/01/2015;11:00:00;3;6.8;49;16;0.3;279;12.2;21
02/01/2015;12:00:00;3;2.9;29;15;1.2;274;13.8;46
02/01/2015;13:00:00;9;1.3;13;13;1.4;264;14.5;51
02/01/2015;14:00:00;8;1.6;13;13;1.4;270;15.0;56
02/01/2015;15:00:00;6;1.9;11;13;1.4;266;15.2;59
