Fecha;Hora;SO2;CO;NO;NO2;PM10;O3;PM25;NOX
01/01/2014;1:00:00;4;0.5;8.5;11;32;30;12;24
01/01/2014;2:00:00;4;0.54;8.8;11;45;19;11;24
01/01/2014;3:00:00;4;0.53;9.3;11;45;17;13;25
01/01/2014;4:00:00;4;0.5;9.3;11;45;24;13;26
01/01/2014;5:00:00;4;0.51;9.1;11;39;22;8;25
01/01/2014;6:00:00;4;0.49;9.5;11;33;27;9;26
01/01/2014;7:00:00;4;0.5;9.3;11;32;25;4;25
01/01/2014;8:00:00;4;0.52;8.5;11;35;22;9;24
01/01/2014;9:00:00;4;0.5;8.8;11;11;24;17;24
01/01/2014;10:00:00;4;0.5;7.9;11;40;19;7;23
01/01/2014;11:00:00;4;0.51;7.6;11;17;22;20;22
01/01/2014;12:00:00;4;0.52;6.9;10;22;26;9;21
01/01/2014;13:00:00;3;0.5;6.4;10;42;26;7;20
01/01/2014;14:00:00;4;0.52;7;10;32;24;7;21
01/01/2014;15:00:00;4;0.55;7.5;11;38;20;11;22
01/01/2014;16:00:00;4;0.51;7.8;11;31;19;9;23
01/01/2014;17:00:00;4;0.54;8;11;34;16;8;23
01/01/2014;18:00:00;4;0.54;7.8;11;28;25;10;23
01/01/2014;19:00:00;4;0.51;7.8;11;6;50;11;23
01/01/2014;20:00:00;4;0.49;6.8;10;2;60;1;21
01/01/2014;21:00:00;4;0.49;7.3;10;2;61;1;22
01/01/2014;22:00:00;4;0.5;7.2;10;8;59;1;21
01/01/2014;23:00:00;4;0.5;7.4;10;22;49;2;22
01/01/2014;0:00:00;4;0.51;7.7;11;8;45;4;22
02/01/2014;1:00:00;4;0.52;7.7;11;13;35;2;22
02/01/2014;2:00:00;4;0.51;8.4;11;10;36;7;24
02/01/2014;3:00:00;3;0.51;8.3;11;11;35;6;23
02/01/2014;4:00:00;4;0.51;8.6;11;14;35;4;24
02/01/2014;5:00:00;4;0.51;8.6;11;4;38;5;24
02/01/2014;6:00:00;4;0.51;7.6;11;4;38;6;22
02/01/2014;7:00:00;4;0.51;6.8;10;6;38;5;20
02/01/2014;8:00:00;3;0.52;6.6;10;2;39;6;20
02/01/2014;9:00:00;4;0.53;6.3;10;3;40;11;20
02/01/2014;10:00:00;4;0.55;5.9;10;5;31;5;19
02/01/2014;11:00:00;4;0.55;5.9;10;21;28;11;19
02/01/2014;12:00:00;3;0.53;5.4;10;7;34;6;18
02/01/2014;13:00:00;4;0.55;5.5;10;16;36;7;18
02/01/2014;14:00:00;4;0.56;6.3;10;27;39;13;20
02/01/2014;15:00:00;4;0.55;5.7;10;14;35;9;19
02/01/2014;16:00:00;4;0.57;5.1;10;35;36;10;18
02/01/2014;17:00:00;4;0.59;5.5;10;57;39;22;18
02/01/2014;18:00:00;3;0.57;5.8;10;44;37;22;19
02/01/2014;19:00:00;4;0.54;6.3;10;25;37;14;19
02/01/2014;20:00:00;4;0.54;6.7;10;5;31;9;21
02/01/2014;21:00:00;4;0.56;7.3;10;41;25;14;22
02/01/2014;22:00:00;4;0.56;7.8;11;20;25;15;23
02/01/2014;23:00:00;4;0.56;7.8;11;32;24;11;23
02/01/2014;0:00:00;4;0.56;8.3;11;27;16;9;23
03/01/2014;1:00:00;4;0.57;8;11;26;18;10;23
03/01/2014;2:00:00;4;0.57;8.1;11;24;16;10;23
03/01/2014;3:00:00;4;0.58;7.6;11;32;18;10;22
03/01/2014;4:00:00;4;0.56;7.6;10;26;17;10;22
03/01/2014;5:00:00;4;0.56;7.6;11;20;17;6;22
03/01/2014;6:00:00;4;0.56;7.2;10;21;17;7;22
03/01/2014;7:00:00;3;0.56;6.4;10;10;21;7;20
03/01/2014;8:00:00;4;0.56;6.4;10;19;21;10;20
03/01/2014;9:00:00;4;0.56;7.1;10;18;24;12;21
03/01/2014;10:00:00;4;0.57;6.4;10;36;24;12;20
03/01/2014;11:00:00;4;0.58;5.8;10;11;20;18;19
03/01/2014;12:00:00;4;0.56;5.4;10;2;28;6;18
03/01/2014;13:00:00;4;0.56;4.7;10;40;34;4;17
03/01/2014;14:00:00;4;0.57;5.7;10;38;31;9;19
03/01/2014;15:00:00;4;0.59;6.1;10;25;30;7;19
03/01/2014;16:00:00;4;0.58;6.1;10;5;33;4;19
03/01/2014;17:00:00;4;0.58;6.4;10;11;38;5;20
03/01/2014;18:00:00;4;0.61;6.5;10;23;39;6;20
03/01/2014;19:00:00;4;0.65;6.4;10;15;30;7;20
03/01/2014;20:00:00;4;0.59;6.7;10;18;27;1;20
03/01/2014;21:00:00;4;0.62;7;10;6;28;4;21
03/01/2014;22:00:00;4;0.6;7.1;11;13;16;1;21
03/01/2014;23:00:00;4;0.6;7.1;10;2;15;2;21
03/01/2014;0:00:00;4;0.57;7.6;11;2;56;2;22
04/01/2014;1:00:00;4;0.55;8;11;2;64;2;23
04/01/2014;2:00:00;4;0.54;7.6;11;2;66;1;22
04/01/2014;3:00:00;4;0.54;7.9;11;2;65;1;23
04/01/2014;4:00:00;4;0.53;7.8;11;2;64;1;22
04/01/2014;5:00:00;4;0.53;7.2;10;2;66;2;21
04/01/2014;6:00:00;4;0.53;7.3;10;2;61;1;21
